<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MAC,20170627,9.00,9.00,9.00,9.00,44656,9.00,9.00,9.00,9.00,0,11200,0
MAC,20170626,9.10,9.10,9.00,9.10,28150,9.10,9.10,9.00,9.10,0,10600,5000
MAC,20170623,9.10,9.10,9.10,9.10,15800,9.10,9.10,9.10,9.10,0,0,0
MAC,20170622,9.10,9.10,9.00,9.10,25140,9.10,9.10,9.00,9.10,0,0,0
MAC,20170621,9.00,9.10,9.00,9.10,53010,9.00,9.10,9.00,9.10,0,3000,0
MAC,20170620,9.10,9.10,9.00,9.10,32302,9.10,9.10,9.00,9.10,0,0,0
MAC,20170619,9.10,9.10,9.00,9.10,77100,9.10,9.10,9.00,9.10,0,0,0
MAC,20170616,9.00,9.10,9.00,9.10,29955,9.00,9.10,9.00,9.10,0,0,0
MAC,20170615,9.10,9.10,9.00,9.10,49700,9.10,9.10,9.00,9.10,0,100,0
MAC,20170614,9.10,9.10,9.00,9.10,96600,9.10,9.10,9.00,9.10,0,700,0
MAC,20170613,9.00,9.10,8.90,9.10,78800,9.00,9.10,8.90,9.10,0,5300,0
MAC,20170612,9.20,9.20,9.00,9.10,47638,9.20,9.20,9.00,9.10,0,0,0
MAC,20170609,9.10,9.20,9.10,9.20,54620,9.10,9.20,9.10,9.20,0,100,0
MAC,20170608,9.10,9.20,9.00,9.10,401000,9.10,9.20,9.00,9.10,0,100,0
MAC,20170607,9.00,9.20,9.00,9.20,650594,9.00,9.20,9.00,9.20,0,400,0
MAC,20170606,9.10,9.20,9.00,9.20,31570,9.10,9.20,9.00,9.20,0,0,0
MAC,20170605,9.10,9.20,9.00,9.10,244958,9.10,9.20,9.00,9.10,0,100,0
MAC,20170602,9.10,9.10,9.00,9.10,70400,9.10,9.10,9.00,9.10,0,100,0
MAC,20170601,9.10,9.20,9.00,9.10,74700,9.10,9.20,9.00,9.10,0,200,0
MAC,20170531,9.20,9.20,9.10,9.20,21800,9.20,9.20,9.10,9.20,0,200,0
MAC,20170530,9.10,9.30,9.10,9.20,53610,9.10,9.30,9.10,9.20,0,100,10
MAC,20170529,9.00,9.20,9.00,9.20,28300,9.00,9.20,9.00,9.20,0,200,0
MAC,20170526,9.00,9.10,9.00,9.00,9300,9.00,9.10,9.00,9.00,0,0,0
MAC,20170525,9.10,9.20,9.10,9.20,20700,9.10,9.20,9.10,9.20,0,300,0
MAC,20170524,9.00,9.00,8.90,9.00,41370,9.00,9.00,8.90,9.00,0,0,20570
MAC,20170523,9.00,9.10,9.00,9.00,31100,9.00,9.10,9.00,9.00,0,100,0
MAC,20170522,9.00,9.00,8.90,9.00,34940,9.00,9.00,8.90,9.00,0,0,0
MAC,20170519,8.90,9.00,8.90,9.00,129100,8.90,9.00,8.90,9.00,0,0,0
MAC,20170518,8.90,9.00,8.90,9.00,38000,8.90,9.00,8.90,9.00,0,0,0
MAC,20170517,8.90,9.00,8.90,9.00,43000,8.90,9.00,8.90,9.00,0,0,0
MAC,20170516,9.00,9.10,8.90,9.00,42950,9.00,9.10,8.90,9.00,0,1600,0
MAC,20170515,8.90,9.00,8.80,9.00,35676,8.90,9.00,8.80,9.00,0,0,0
MAC,20170512,8.80,8.90,8.80,8.90,79100,8.80,8.90,8.80,8.90,0,0,0
MAC,20170511,8.80,8.90,8.80,8.90,61600,8.80,8.90,8.80,8.90,0,0,0
MAC,20170510,8.80,9.00,8.80,8.80,110800,8.80,9.00,8.80,8.80,0,400,0
MAC,20170509,8.80,8.90,8.80,8.90,78970,8.80,8.90,8.80,8.90,0,0,0
MAC,20170508,8.70,8.80,8.70,8.80,72700,8.70,8.80,8.70,8.80,0,100,0
MAC,20170505,8.70,8.90,8.70,8.80,66550,8.70,8.90,8.70,8.80,0,100,0
MAC,20170504,8.60,8.80,8.60,8.70,49640,8.60,8.80,8.60,8.70,0,0,0
MAC,20170503,8.80,8.80,8.70,8.70,55148,8.80,8.80,8.70,8.70,0,0,0
MAC,20170428,9.10,9.10,8.90,8.90,87700,9.10,9.10,8.90,8.90,0,15000,0
MAC,20170427,9.00,9.10,8.90,9.10,171050,9.00,9.10,8.90,9.10,0,0,0
MAC,20170426,8.50,9.00,8.50,9.00,344693,8.50,9.00,8.50,9.00,0,10,0
MAC,20170425,8.40,8.40,8.40,8.40,23570,8.40,8.40,8.40,8.40,0,0,0
MAC,20170424,8.50,8.50,8.40,8.50,16500,8.50,8.50,8.40,8.50,0,0,0
MAC,20170421,8.40,8.50,8.40,8.50,1017,8.40,8.50,8.40,8.50,0,0,0
MAC,20170420,8.50,8.50,8.50,8.50,10200,8.50,8.50,8.50,8.50,0,0,0
MAC,20170419,8.50,8.50,8.40,8.50,12800,8.50,8.50,8.40,8.50,0,0,0
MAC,20170418,8.50,8.50,8.50,8.50,13000,8.50,8.50,8.50,8.50,0,4100,0
MAC,20170417,8.50,8.60,8.50,8.50,25100,8.50,8.60,8.50,8.50,0,500,0
MAC,20170414,8.60,8.60,8.40,8.40,57701,8.60,8.60,8.40,8.40,50,0,0
MAC,20170413,8.50,8.60,8.50,8.60,33510,8.50,8.60,8.50,8.60,0,0,0
MAC,20170412,8.50,8.60,8.50,8.60,59407,8.50,8.60,8.50,8.60,0,100,0
MAC,20170411,8.60,8.60,8.50,8.50,95000,8.60,8.60,8.50,8.50,180000,0,0
MAC,20170410,8.70,8.70,8.60,8.60,22600,8.70,8.70,8.60,8.60,0,0,0
MAC,20170407,8.70,8.70,8.60,8.70,33000,8.70,8.70,8.60,8.70,0,0,0
MAC,20170405,8.70,8.70,8.60,8.70,34324,8.70,8.70,8.60,8.70,0,0,0
MAC,20170404,8.70,8.70,8.60,8.70,28162,8.70,8.70,8.60,8.70,0,5200,0
MAC,20170403,8.80,8.80,8.70,8.70,21620,8.80,8.80,8.70,8.70,0,0,0
MAC,20170331,8.80,8.80,8.70,8.80,37800,8.80,8.80,8.70,8.80,0,0,0
MAC,20170330,8.70,8.80,8.70,8.80,30911,8.70,8.80,8.70,8.80,0,0,0
MAC,20170329,8.80,8.80,8.70,8.70,45700,8.80,8.80,8.70,8.70,0,0,5000
MAC,20170328,8.80,8.80,8.70,8.80,77820,8.80,8.80,8.70,8.80,322148,3000,11300
MAC,20170327,8.70,8.90,8.70,8.80,81200,8.70,8.90,8.70,8.80,0,9100,0
MAC,20170324,8.80,8.80,8.70,8.80,26400,8.80,8.80,8.70,8.80,0,0,0
MAC,20170323,8.70,8.90,8.70,8.90,52584,8.70,8.90,8.70,8.90,0,43400,0
MAC,20170322,8.80,8.80,8.70,8.80,45365,8.80,8.80,8.70,8.80,0,0,0
MAC,20170321,8.80,8.80,8.70,8.80,10650,8.80,8.80,8.70,8.80,0,0,0
MAC,20170320,8.80,8.90,8.70,8.90,23550,8.80,8.90,8.70,8.90,0,100,100
MAC,20170317,8.90,8.90,8.80,8.90,49382,8.90,8.90,8.80,8.90,0,0,0
MAC,20170316,8.80,8.90,8.80,8.90,38601,8.80,8.90,8.80,8.90,0,100,0
MAC,20170315,8.80,8.90,8.70,8.90,192480,8.80,8.90,8.70,8.90,0,0,0
MAC,20170314,8.90,9.00,8.80,8.90,29200,8.90,9.00,8.80,8.90,3,100,0
MAC,20170313,8.90,9.00,8.80,9.00,23590,8.90,9.00,8.80,9.00,0,100,0
MAC,20170310,8.70,9.00,8.70,9.00,208319,8.70,9.00,8.70,9.00,0,0,0
MAC,20170309,8.80,8.90,8.80,8.80,32100,8.80,8.90,8.80,8.80,0,0,0
MAC,20170308,8.70,9.00,8.70,8.90,121734,8.70,9.00,8.70,8.90,0,69500,0
MAC,20170307,8.70,8.80,8.70,8.80,41502,8.70,8.80,8.70,8.80,0,0,0
MAC,20170306,8.70,8.80,8.70,8.80,35501,8.70,8.80,8.70,8.80,0,0,0
MAC,20170303,8.70,8.80,8.60,8.80,62610,8.70,8.80,8.60,8.80,0,0,0
MAC,20170302,8.80,8.90,8.70,8.70,89900,8.80,8.90,8.70,8.70,0,0,0
MAC,20170301,8.80,8.90,8.80,8.80,114900,8.80,8.90,8.80,8.80,50,0,0
MAC,20170228,8.70,8.90,8.70,8.80,88200,8.70,8.90,8.70,8.80,0,100,0
MAC,20170227,8.80,9.00,8.80,8.80,186710,8.80,9.00,8.80,8.80,0,100,0
MAC,20170224,8.70,8.90,8.70,8.80,90467,8.70,8.90,8.70,8.80,0,100,0
MAC,20170223,8.60,8.80,8.60,8.70,158440,8.60,8.80,8.60,8.70,0,0,0
MAC,20170222,8.80,8.80,8.60,8.70,115800,8.80,8.80,8.60,8.70,0,100,0
MAC,20170221,8.80,8.90,8.60,8.80,120100,8.80,8.90,8.60,8.80,0,0,0
MAC,20170220,9.00,9.10,8.80,8.80,117300,9.00,9.10,8.80,8.80,0,0,0
