<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MBG,20170627,3.80,3.80,3.60,3.60,144628,3.80,3.80,3.60,3.60,0,0,0
MBG,20170626,3.90,3.90,3.80,3.80,76560,3.90,3.90,3.80,3.80,0,0,0
MBG,20170623,4.00,4.10,3.80,4.00,48141,4.00,4.10,3.80,4.00,0,0,0
MBG,20170622,4.40,4.40,4.00,4.00,245480,4.40,4.40,4.00,4.00,110,0,10000
MBG,20170621,4.10,4.40,4.00,4.30,262580,4.10,4.40,4.00,4.30,70,0,0
MBG,20170620,3.70,4.00,3.60,4.00,402800,3.70,4.00,3.60,4.00,0,0,0
MBG,20170619,3.60,3.80,3.50,3.70,54700,3.60,3.80,3.50,3.70,0,0,0
MBG,20170616,3.50,3.60,3.50,3.60,7700,3.50,3.60,3.50,3.60,0,0,0
MBG,20170615,3.50,3.60,3.50,3.60,32800,3.50,3.60,3.50,3.60,0,0,0
MBG,20170614,3.60,3.60,3.50,3.50,22900,3.60,3.60,3.50,3.50,0,0,0
MBG,20170613,3.60,3.60,3.50,3.60,11800,3.60,3.60,3.50,3.60,0,0,0
MBG,20170612,3.60,3.60,3.50,3.60,39500,3.60,3.60,3.50,3.60,0,0,0
MBG,20170609,3.60,3.70,3.60,3.60,27900,3.60,3.70,3.60,3.60,0,0,0
MBG,20170608,3.80,3.80,3.60,3.70,54400,3.80,3.80,3.60,3.70,0,0,0
MBG,20170607,3.70,3.80,3.60,3.80,49800,3.70,3.80,3.60,3.80,0,0,0
MBG,20170606,3.60,3.70,3.50,3.70,97400,3.60,3.70,3.50,3.70,0,0,0
MBG,20170605,3.60,3.60,3.50,3.60,190142,3.60,3.60,3.50,3.60,0,0,0
MBG,20170602,3.60,3.60,3.50,3.50,65100,3.60,3.60,3.50,3.50,0,0,0
MBG,20170601,3.60,3.60,3.50,3.60,66440,3.60,3.60,3.50,3.60,0,0,0
MBG,20170531,3.60,3.70,3.50,3.70,59700,3.60,3.70,3.50,3.70,0,0,0
MBG,20170530,3.70,3.70,3.60,3.70,19900,3.70,3.70,3.60,3.70,0,0,0
MBG,20170529,3.50,3.70,3.50,3.70,55000,3.50,3.70,3.50,3.70,0,0,0
MBG,20170526,3.70,3.70,3.60,3.60,44700,3.70,3.70,3.60,3.60,0,0,0
MBG,20170525,3.70,3.80,3.70,3.80,20000,3.70,3.80,3.70,3.80,0,0,0
MBG,20170524,3.70,3.70,3.60,3.70,20200,3.70,3.70,3.60,3.70,0,0,0
MBG,20170523,3.80,3.80,3.70,3.70,32500,3.80,3.80,3.70,3.70,0,0,0
MBG,20170522,3.70,3.80,3.70,3.80,74600,3.70,3.80,3.70,3.80,0,0,0
MBG,20170519,3.90,4.00,3.80,3.80,77400,3.90,4.00,3.80,3.80,0,0,0
MBG,20170518,3.80,4.00,3.70,4.00,91600,3.80,4.00,3.70,4.00,0,0,0
MBG,20170517,3.80,3.80,3.70,3.80,43200,3.80,3.80,3.70,3.80,0,0,0
MBG,20170516,3.90,3.90,3.70,3.90,17000,3.90,3.90,3.70,3.90,0,0,0
MBG,20170515,3.80,4.00,3.50,3.90,74600,3.80,4.00,3.50,3.90,0,0,0
MBG,20170512,3.70,3.70,3.70,3.70,13500,3.70,3.70,3.70,3.70,0,0,0
MBG,20170511,3.60,3.70,3.60,3.60,16400,3.60,3.70,3.60,3.60,0,0,0
MBG,20170510,3.60,3.70,3.50,3.50,33700,3.60,3.70,3.50,3.50,0,0,0
MBG,20170509,3.50,3.60,3.40,3.60,57700,3.50,3.60,3.40,3.60,0,0,0
MBG,20170508,3.50,3.50,3.30,3.50,94100,3.50,3.50,3.30,3.50,0,0,0
MBG,20170505,3.60,3.60,3.40,3.50,50700,3.60,3.60,3.40,3.50,0,0,0
MBG,20170504,3.50,3.70,3.50,3.50,31500,3.50,3.70,3.50,3.50,0,0,0
MBG,20170503,3.50,3.70,3.50,3.70,33200,3.50,3.70,3.50,3.70,0,0,0
MBG,20170428,3.50,3.70,3.50,3.50,78200,3.50,3.70,3.50,3.50,0,0,0
MBG,20170427,3.70,3.70,3.50,3.60,140300,3.70,3.70,3.50,3.60,0,0,0
MBG,20170426,3.80,3.80,3.70,3.80,17400,3.80,3.80,3.70,3.80,0,0,0
MBG,20170425,3.90,3.90,3.70,3.80,15300,3.90,3.90,3.70,3.80,0,0,0
MBG,20170424,3.80,3.90,3.70,3.90,26400,3.80,3.90,3.70,3.90,0,0,0
MBG,20170421,3.70,3.90,3.70,3.90,22000,3.70,3.90,3.70,3.90,0,0,0
MBG,20170420,3.80,3.80,3.60,3.70,98800,3.80,3.80,3.60,3.70,0,0,0
MBG,20170419,4.00,4.00,3.90,3.90,17800,4.00,4.00,3.90,3.90,0,0,0
MBG,20170418,4.00,4.00,3.90,3.90,8500,4.00,4.00,3.90,3.90,0,0,0
MBG,20170417,4.20,4.20,3.90,4.00,40100,4.20,4.20,3.90,4.00,0,0,0
MBG,20170414,4.20,4.20,3.90,4.20,84400,4.20,4.20,3.90,4.20,0,0,0
MBG,20170413,4.10,4.30,4.10,4.30,47600,4.10,4.30,4.10,4.30,0,0,0
MBG,20170412,4.18,4.18,4.00,4.09,294900,4.60,4.60,4.40,4.50,0,0,0
MBG,20170411,4.45,4.45,4.18,4.18,135500,4.90,4.90,4.60,4.60,0,0,0
MBG,20170410,4.36,4.54,4.27,4.45,123200,4.80,5.00,4.70,4.90,0,0,0
MBG,20170407,5.00,5.00,4.19,4.27,267200,5.50,5.50,4.60,4.70,0,0,0
MBG,20170405,4.27,4.54,4.27,4.55,111300,4.70,5.00,4.70,5.00,0,0,0
MBG,20170404,4.73,4.73,4.46,4.45,130100,5.20,5.20,4.90,4.90,0,0,0
MBG,20170403,4.64,4.91,4.28,4.82,131200,5.10,5.40,4.70,5.30,0,0,100
MBG,20170331,5.09,5.09,4.46,4.55,53418,5.60,5.60,4.90,5.00,0,0,0
MBG,20170330,4.54,4.81,4.54,4.82,353400,5.00,5.30,5.00,5.30,0,0,0
MBG,20170329,4.18,4.45,4.09,4.45,176600,4.60,4.90,4.50,4.90,0,0,0
MBG,20170328,3.82,4.18,3.82,4.09,82100,4.20,4.60,4.20,4.50,0,700,0
MBG,20170327,3.82,3.91,3.82,3.82,52200,4.20,4.30,4.20,4.20,0,700,0
MBG,20170324,3.82,4.00,3.82,3.91,163300,4.20,4.40,4.20,4.30,0,800,0
MBG,20170323,4.00,4.00,3.82,4.00,50500,4.40,4.40,4.20,4.40,0,0,0
MBG,20170322,4.00,4.09,4.00,4.00,86218,4.40,4.50,4.40,4.40,0,5300,0
MBG,20170321,4.09,4.09,3.91,4.09,65000,4.50,4.50,4.30,4.50,0,0,0
MBG,20170320,4.00,4.18,4.00,4.09,88300,4.40,4.60,4.40,4.50,0,200,0
MBG,20170317,4.00,4.00,4.00,4.00,44700,4.40,4.40,4.40,4.40,0,0,0
MBG,20170316,4.00,4.09,4.00,4.00,127200,4.40,4.50,4.40,4.40,0,0,0
MBG,20170315,3.91,4.09,3.82,3.91,66600,4.30,4.50,4.20,4.30,0,0,0
MBG,20170314,4.00,4.00,3.82,3.91,122300,4.40,4.40,4.20,4.30,0,0,0
MBG,20170313,4.09,4.09,4.00,4.00,66300,4.50,4.50,4.40,4.40,0,0,0
MBG,20170310,4.18,4.18,4.09,4.18,115900,4.60,4.60,4.50,4.60,0,0,0
MBG,20170309,4.18,4.27,4.09,4.27,50500,4.60,4.70,4.50,4.70,0,0,0
MBG,20170308,4.45,4.45,4.18,4.18,140800,4.90,4.90,4.60,4.60,0,500,0
MBG,20170307,4.45,4.45,4.18,4.36,198600,4.90,4.90,4.60,4.80,0,0,0
MBG,20170306,4.27,4.45,4.18,4.45,96400,4.70,4.90,4.60,4.90,0,500,0
MBG,20170303,4.45,4.45,4.27,4.27,193100,4.90,4.90,4.70,4.70,0,0,0
MBG,20170302,4.36,4.45,4.36,4.45,161002,4.80,4.90,4.80,4.90,0,0,0
MBG,20170301,4.45,4.45,4.27,4.36,105500,4.90,4.90,4.70,4.80,0,0,0
MBG,20170228,4.18,4.45,4.18,4.45,283400,4.60,4.90,4.60,4.90,0,0,0
MBG,20170227,4.27,4.36,4.09,4.09,268718,4.70,4.80,4.50,4.50,0,0,0
MBG,20170224,4.09,4.63,4.09,4.36,259982,4.50,5.10,4.50,4.80,0,0,0
MBG,20170223,4.91,4.91,4.46,4.45,368710,5.40,5.40,4.90,4.90,0,1800,0
MBG,20170222,5.45,5.45,4.73,4.91,277800,6.00,6.00,5.20,5.40,0,0,0
