<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MCH,20170627,56.00,56.50,55.00,55.80,16020,56.00,56.50,55.00,55.80,0,200,0
MCH,20170626,57.00,57.00,56.00,56.00,4521,57.00,57.00,56.00,56.00,0,0,0
MCH,20170623,58.30,58.30,57.00,57.00,12850,58.30,58.30,57.00,57.00,0,0,1000
MCH,20170622,58.60,58.80,58.60,58.80,2802,58.60,58.80,58.60,58.80,0,0,0
MCH,20170621,58.90,58.90,58.80,58.80,1243,58.90,58.90,58.80,58.80,0,0,0
MCH,20170620,59.90,60.00,59.00,59.00,3100,59.90,60.00,59.00,59.00,0,1000,0
MCH,20170619,59.30,59.30,59.00,59.00,3414,59.30,59.30,59.00,59.00,0,0,0
MCH,20170616,59.90,59.90,59.90,59.90,3250,59.90,59.90,59.90,59.90,0,2200,0
MCH,20170615,59.80,59.80,59.30,59.30,10150,59.80,59.80,59.30,59.30,0,1000,0
MCH,20170614,60.00,61.00,59.80,59.80,17700,60.00,61.00,59.80,59.80,0,1000,0
MCH,20170613,61.60,61.60,60.00,60.20,14650,61.60,61.60,60.00,60.20,0,1700,0
MCH,20170612,62.00,62.00,61.60,61.60,19850,62.00,62.00,61.60,61.60,0,1000,0
MCH,20170609,64.00,64.00,62.00,62.50,15800,64.00,64.00,62.00,62.50,0,0,0
MCH,20170608,64.50,64.50,62.90,62.90,7300,64.50,64.50,62.90,62.90,6250,1800,0
MCH,20170607,64.00,65.00,63.80,64.00,27174,64.00,65.00,63.80,64.00,0,1200,0
MCH,20170606,63.00,64.50,63.00,64.50,75720,63.00,64.50,63.00,64.50,0,0,0
MCH,20170605,64.00,64.00,63.50,63.60,29421,64.00,64.00,63.50,63.60,0,6200,0
MCH,20170602,63.50,63.60,63.50,63.50,39910,63.50,63.60,63.50,63.50,0,36800,0
MCH,20170601,63.60,64.00,63.50,63.50,20467,63.60,64.00,63.50,63.50,0,15000,0
MCH,20170531,63.50,63.50,63.40,63.50,39300,63.50,63.50,63.40,63.50,0,30400,0
MCH,20170530,63.40,63.70,63.40,63.50,59800,63.40,63.70,63.40,63.50,0,42800,2200
MCH,20170529,63.43,63.62,62.50,62.50,88499,68.00,68.20,67.00,67.00,0,70000,0
