<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MCP,20170627,26.85,26.85,26.60,26.60,1020,26.85,26.85,26.60,26.60,0,0,0
MCP,20170626,26.90,26.90,26.00,26.60,4360,26.90,26.90,26.00,26.60,0,0,0
MCP,20170623,26.95,26.95,26.00,26.60,6970,26.95,26.95,26.00,26.60,0,0,0
MCP,20170622,26.90,26.95,26.10,26.30,4300,26.90,26.95,26.10,26.30,0,0,0
MCP,20170621,26.55,26.85,26.00,26.00,27820,26.55,26.85,26.00,26.00,0,0,0
MCP,20170620,26.85,26.90,26.00,26.85,11150,26.85,26.90,26.00,26.85,0,0,0
MCP,20170619,27.00,27.00,26.00,26.90,23120,27.00,27.00,26.00,26.90,0,0,0
MCP,20170616,25.90,26.60,25.90,26.00,31330,25.90,26.60,25.90,26.00,0,0,0
MCP,20170615,26.45,26.50,25.90,26.50,54080,26.45,26.50,25.90,26.50,0,0,0
MCP,20170614,26.00,26.40,25.95,26.40,17820,26.00,26.40,25.95,26.40,0,0,0
MCP,20170613,25.95,26.00,25.85,26.00,17380,25.95,26.00,25.85,26.00,0,0,0
MCP,20170612,26.00,26.00,26.00,26.00,1000,26.00,26.00,26.00,26.00,0,0,160
MCP,20170609,26.40,26.40,26.40,26.40,200,26.40,26.40,26.40,26.40,0,0,40
MCP,20170608,26.75,26.90,25.50,25.50,18510,26.75,26.90,25.50,25.50,0,0,10
MCP,20170607,25.90,25.90,25.90,25.90,2360,25.90,25.90,25.90,25.90,0,160,0
MCP,20170606,26.40,26.40,25.50,25.50,10020,26.40,26.40,25.50,25.50,0,0,0
MCP,20170605,25.20,26.40,25.20,26.40,2050,25.20,26.40,25.20,26.40,0,50,0
MCP,20170602,26.00,26.00,26.00,26.00,110,26.00,26.00,26.00,26.00,0,0,0
MCP,20170601,25.10,25.10,25.10,25.10,2960,25.10,25.10,25.10,25.10,0,0,0
MCP,20170531,26.75,26.75,26.75,26.75,1200,26.75,26.75,26.75,26.75,0,0,0
MCP,20170530,26.75,26.75,26.75,26.75,1300,26.75,26.75,26.75,26.75,0,0,0
MCP,20170529,26.00,26.10,26.00,26.10,240,26.00,26.10,26.00,26.10,0,0,0
MCP,20170526,25.30,26.50,25.30,26.50,1100,25.30,26.50,25.30,26.50,0,0,0
MCP,20170525,25.50,26.70,25.50,26.70,14100,25.50,26.70,25.50,26.70,0,0,0
MCP,20170524,25.50,26.50,25.50,26.50,2680,25.50,26.50,25.50,26.50,0,0,0
MCP,20170523,26.45,27.30,26.00,27.30,6850,26.45,27.30,26.00,27.30,0,0,0
MCP,20170522,25.10,26.30,25.05,26.30,1620,25.10,26.30,25.05,26.30,0,0,0
MCP,20170519,24.80,26.90,24.80,26.90,1200,24.80,26.90,24.80,26.90,0,0,0
MCP,20170518,25.40,26.40,25.40,26.40,5380,25.40,26.40,25.40,26.40,0,0,0
MCP,20170517,24.50,27.30,24.30,27.30,1670,24.50,27.30,24.30,27.30,0,0,0
MCP,20170516,26.00,26.00,26.00,26.00,10,26.00,26.00,26.00,26.00,0,0,0
MCP,20170512,25.95,26.40,25.95,26.40,3100,25.95,26.40,25.95,26.40,0,0,0
MCP,20170511,26.00,26.00,26.00,26.00,24620,26.00,26.00,26.00,26.00,0,0,0
MCP,20170510,25.15,26.75,25.15,26.40,1770,25.15,26.75,25.15,26.40,0,0,0
MCP,20170509,26.65,26.65,25.50,26.40,410,26.65,26.65,25.50,26.40,0,0,0
MCP,20170508,25.55,25.55,25.00,25.00,11730,25.55,25.55,25.00,25.00,0,0,0
MCP,20170505,26.25,26.25,26.00,26.00,6270,26.25,26.25,26.00,26.00,0,0,0
MCP,20170504,26.05,27.40,26.00,27.40,10070,26.05,27.40,26.00,27.40,0,0,0
MCP,20170503,26.15,27.70,26.00,27.70,4540,26.15,27.70,26.00,27.70,0,0,1080
MCP,20170428,26.15,27.50,26.05,27.40,13290,26.15,27.50,26.05,27.40,0,0,0
MCP,20170427,26.35,28.00,26.10,28.00,5620,26.35,28.00,26.10,28.00,0,0,0
MCP,20170426,27.80,27.80,27.80,27.80,1010,27.80,27.80,27.80,27.80,0,0,0
MCP,20170425,27.45,27.50,26.00,27.50,5250,27.45,27.50,26.00,27.50,0,0,0
MCP,20170424,27.80,27.80,27.70,27.70,1050,27.80,27.80,27.70,27.70,0,0,0
MCP,20170421,27.80,27.80,27.70,27.70,13330,27.80,27.80,27.70,27.70,0,0,500
MCP,20170420,25.70,27.85,25.70,27.85,4530,25.70,27.85,25.70,27.85,0,0,0
MCP,20170419,27.75,27.75,27.50,27.50,6930,27.75,27.75,27.50,27.50,0,0,0
MCP,20170418,26.00,26.00,26.00,26.00,1700,26.00,26.00,26.00,26.00,0,0,0
MCP,20170417,26.40,27.95,26.30,27.95,121000,26.40,27.95,26.30,27.95,0,0,0
MCP,20170414,29.50,29.50,28.25,28.25,1530,29.50,29.50,28.25,28.25,0,0,0
MCP,20170413,30.35,30.35,30.35,30.35,3230,30.35,30.35,30.35,30.35,0,0,0
MCP,20170412,27.00,28.40,27.00,28.40,1760,27.00,28.40,27.00,28.40,0,0,0
MCP,20170411,28.10,28.10,28.10,28.10,20,28.10,28.10,28.10,28.10,0,0,0
MCP,20170404,26.80,28.40,26.80,28.40,250,26.80,28.40,26.80,28.40,0,0,0
MCP,20170403,28.50,28.50,28.50,28.50,3300,28.50,28.50,28.50,28.50,0,0,0
MCP,20170331,28.30,28.50,28.30,28.50,23110,28.30,28.50,28.30,28.50,0,0,0
MCP,20170330,28.25,28.25,28.25,28.25,10,28.25,28.25,28.25,28.25,0,0,0
MCP,20170329,26.60,28.30,26.55,28.30,380,26.60,28.30,26.55,28.30,0,0,0
MCP,20170327,27.90,29.40,27.90,28.50,340240,27.90,29.40,27.90,28.50,0,0,0
MCP,20170324,26.65,28.00,26.65,28.00,9020,26.65,28.00,26.65,28.00,0,0,0
MCP,20170323,27.70,28.50,27.50,28.50,6270,27.70,28.50,27.50,28.50,0,0,0
MCP,20170322,27.80,27.80,27.80,27.80,10,27.80,27.80,27.80,27.80,0,0,0
MCP,20170321,28.00,28.00,28.00,28.00,100,28.00,28.00,28.00,28.00,0,0,0
MCP,20170320,26.15,28.00,26.05,28.00,42140,26.15,28.00,26.05,28.00,0,0,0
MCP,20170317,28.00,28.00,28.00,28.00,20,28.00,28.00,28.00,28.00,0,0,0
MCP,20170316,28.40,28.40,28.20,28.30,1630,28.40,28.40,28.20,28.30,30000,100,0
