<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MEC,20170627,2.30,2.30,2.30,2.30,12534,2.30,2.30,2.30,2.30,0,0,0
MEC,20170626,2.40,2.40,2.30,2.30,1500,2.40,2.40,2.30,2.30,0,0,0
MEC,20170623,2.30,2.30,2.30,2.30,200,2.30,2.30,2.30,2.30,0,0,0
MEC,20170622,2.30,2.30,2.20,2.30,5290,2.30,2.30,2.20,2.30,0,0,1400
MEC,20170621,2.40,2.40,2.30,2.30,1300,2.40,2.40,2.30,2.30,36,0,0
MEC,20170620,2.30,2.50,2.30,2.50,1354,2.30,2.50,2.30,2.50,0,0,0
MEC,20170619,2.40,2.50,2.30,2.50,35213,2.40,2.50,2.30,2.50,0,0,35100
MEC,20170616,2.50,2.50,2.40,2.40,11900,2.50,2.50,2.40,2.40,0,0,0
MEC,20170615,2.40,2.50,2.40,2.50,16500,2.40,2.50,2.40,2.50,0,0,0
MEC,20170614,2.40,2.40,2.40,2.40,10,2.40,2.40,2.40,2.40,0,0,0
MEC,20170613,2.40,2.40,2.40,2.40,7810,2.40,2.40,2.40,2.40,0,0,0
MEC,20170609,2.60,2.60,2.60,2.60,7500,2.60,2.60,2.60,2.60,0,0,0
MEC,20170607,2.50,2.70,2.50,2.50,15733,2.50,2.70,2.50,2.50,0,0,0
MEC,20170606,2.80,2.80,2.60,2.60,10900,2.80,2.80,2.60,2.60,8,0,8
MEC,20170605,2.70,2.70,2.70,2.70,500,2.70,2.70,2.70,2.70,0,0,0
MEC,20170601,2.60,2.70,2.60,2.70,723,2.60,2.70,2.60,2.70,0,0,0
MEC,20170529,2.60,2.70,2.60,2.70,4200,2.60,2.70,2.60,2.70,0,0,0
MEC,20170525,2.70,2.70,2.70,2.70,610,2.70,2.70,2.70,2.70,0,0,0
MEC,20170524,2.90,2.90,2.80,2.80,200,2.90,2.90,2.80,2.80,0,0,0
MEC,20170523,2.80,2.80,2.80,2.80,34,2.80,2.80,2.80,2.80,0,0,0
MEC,20170522,2.80,2.80,2.80,2.80,81,2.80,2.80,2.80,2.80,0,0,0
MEC,20170516,2.80,2.80,2.80,2.80,124,2.80,2.80,2.80,2.80,0,0,0
MEC,20170515,2.50,2.60,2.50,2.60,2628,2.50,2.60,2.50,2.60,0,0,0
MEC,20170512,2.40,2.40,2.40,2.40,1100,2.40,2.40,2.40,2.40,0,0,0
MEC,20170510,2.30,2.30,2.30,2.30,2100,2.30,2.30,2.30,2.30,0,0,0
MEC,20170509,2.30,2.30,2.30,2.30,1900,2.30,2.30,2.30,2.30,0,0,0
MEC,20170508,2.30,2.30,2.30,2.30,400,2.30,2.30,2.30,2.30,0,0,0
MEC,20170505,2.30,2.40,2.30,2.30,3684,2.30,2.40,2.30,2.30,60,0,0
MEC,20170503,2.30,2.30,2.20,2.20,6400,2.30,2.30,2.20,2.20,0,0,0
MEC,20170428,2.50,2.50,2.40,2.40,1248,2.50,2.50,2.40,2.40,0,0,0
MEC,20170427,2.30,2.30,2.30,2.30,100,2.30,2.30,2.30,2.30,0,0,0
MEC,20170426,2.50,2.50,2.50,2.50,64,2.50,2.50,2.50,2.50,0,0,0
