<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MH3,20170626,20.90,21.00,18.00,18.60,8990,20.90,21.00,18.00,18.60,0,0,0
MH3,20170622,20.90,20.90,20.90,20.90,1600,20.90,20.90,20.90,20.90,0,0,0
MH3,20170621,21.00,21.00,21.00,21.00,100,21.00,21.00,21.00,21.00,0,0,0
MH3,20170620,21.50,21.50,21.50,21.50,115,21.50,21.50,21.50,21.50,0,0,0
MH3,20170619,21.50,21.50,21.50,21.50,2000,21.50,21.50,21.50,21.50,0,0,0
MH3,20170605,21.90,21.90,21.00,21.00,4400,21.90,21.90,21.00,21.00,0,0,0
MH3,20170601,20.10,20.10,20.10,20.10,3100,20.10,20.10,20.10,20.10,0,0,0
MH3,20170531,17.50,17.50,17.50,17.50,2900,17.50,17.50,17.50,17.50,0,0,0
MH3,20170526,20.41,20.41,20.41,20.40,1000,22.00,22.00,22.00,22.00,0,0,0
MH3,20170525,18.55,18.55,18.55,18.55,1000,20.00,20.00,20.00,20.00,0,0,0
MH3,20170518,19.01,19.48,19.01,19.47,2000,20.50,21.00,20.50,21.00,0,0,0
MH3,20170517,18.54,18.54,18.54,18.55,1000,20.00,20.00,20.00,20.00,0,0,0
MH3,20170516,18.46,18.46,18.46,18.45,2100,19.90,19.90,19.90,19.90,0,0,0
MH3,20170508,18.55,18.55,18.55,18.55,500,20.00,20.00,20.00,20.00,0,0,0
MH3,20170505,18.55,18.64,18.55,18.64,600,20.00,20.10,20.00,20.10,0,0,0
MH3,20170428,18.54,18.73,18.54,18.73,700,20.00,20.20,20.00,20.20,0,0,0
MH3,20170419,19.48,19.48,19.38,19.47,600,21.00,21.00,20.90,21.00,0,0,0
MH3,20170417,21.23,21.23,21.23,21.24,100,22.90,22.90,22.90,22.90,0,0,0
MH3,20170411,19.48,19.48,19.48,19.47,100,21.00,21.00,21.00,21.00,0,0,0
MH3,20170405,18.55,18.55,18.55,18.55,600,20.00,20.00,20.00,20.00,80,0,0
MH3,20170404,18.18,24.11,18.18,24.11,200,19.60,26.00,19.60,26.00,0,0,0
MH3,20170331,21.33,21.33,21.33,21.33,1090,23.00,23.00,23.00,23.00,0,0,0
MH3,20170330,21.51,21.51,20.40,20.40,1200,23.20,23.20,22.00,22.00,0,0,0
MH3,20170329,23.19,23.19,23.19,23.18,100,25.00,25.00,25.00,25.00,0,0,0
MH3,20170327,22.26,22.26,21.42,21.42,700,24.00,24.00,23.10,23.10,0,0,0
MH3,20170323,25.03,25.03,25.03,25.04,100,27.00,27.00,27.00,27.00,0,0,0
MH3,20170322,22.90,23.18,22.90,23.18,600,24.70,25.00,24.70,25.00,0,0,0
MH3,20170321,26.89,26.89,26.89,26.89,600,29.00,29.00,29.00,29.00,0,0,0
MH3,20170320,24.11,27.17,24.11,27.17,3000,26.00,29.30,26.00,29.30,0,0,0
MH3,20170317,29.85,29.85,23.18,26.89,3300,32.20,32.20,25.00,29.00,0,0,0
MH3,20170316,25.97,25.97,25.97,25.96,500,28.00,28.00,28.00,28.00,0,0,0
MH3,20170315,22.62,22.62,22.62,22.63,100,24.40,24.40,24.40,24.40,0,0,0
MH3,20170314,19.75,19.75,19.75,19.75,100,21.30,21.30,21.30,21.30,0,0,0
MH3,20170313,17.25,17.25,17.25,17.25,100,18.60,18.60,18.60,18.60,0,0,0
MH3,20170309,15.03,15.03,15.03,15.02,100,16.20,16.20,16.20,16.20,0,0,0
