<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MHC,20170627,6.00,6.00,5.95,5.96,91780,6.00,6.00,5.95,5.96,0,0,0
MHC,20170626,6.00,6.00,5.95,5.98,98150,6.00,6.00,5.95,5.98,0,0,0
MHC,20170623,5.93,6.00,5.92,5.98,79260,5.93,6.00,5.92,5.98,0,4400,0
MHC,20170622,5.94,6.00,5.94,5.95,56240,5.94,6.00,5.94,5.95,0,0,3000
MHC,20170621,6.01,6.01,5.94,5.94,93690,6.01,6.01,5.94,5.94,0,0,0
MHC,20170620,6.00,6.00,5.93,5.98,180230,6.00,6.00,5.93,5.98,0,0,70
MHC,20170619,5.99,6.00,5.94,5.97,105340,5.99,6.00,5.94,5.97,0,0,0
MHC,20170616,5.93,6.03,5.93,5.96,69910,5.93,6.03,5.93,5.96,0,500,0
MHC,20170615,5.99,5.99,5.94,5.94,99440,5.99,5.99,5.94,5.94,0,1000,4000
MHC,20170614,5.97,6.00,5.94,5.98,172670,5.97,6.00,5.94,5.98,0,2000,300
MHC,20170613,6.00,6.00,5.90,5.98,167120,6.00,6.00,5.90,5.98,0,0,0
MHC,20170612,6.10,6.13,5.98,6.00,168340,6.10,6.13,5.98,6.00,0,0,3000
MHC,20170609,5.99,6.25,5.95,6.14,486430,5.99,6.25,5.95,6.14,0,35360,0
MHC,20170608,6.00,6.03,5.94,5.99,293380,6.00,6.03,5.94,5.99,0,3390,0
MHC,20170607,6.01,6.07,5.96,6.00,306720,6.01,6.07,5.96,6.00,0,30630,0
MHC,20170606,6.01,6.08,6.00,6.01,146570,6.01,6.08,6.00,6.01,0,0,0
MHC,20170605,6.15,6.20,6.01,6.01,69780,6.15,6.20,6.01,6.01,0,120,0
MHC,20170602,5.93,6.15,5.93,6.15,243650,5.93,6.15,5.93,6.15,0,32480,0
MHC,20170601,6.02,6.09,5.90,5.93,363510,6.02,6.09,5.90,5.93,0,4390,8000
MHC,20170531,6.05,6.19,6.00,6.02,277720,6.05,6.19,6.00,6.02,0,4970,0
MHC,20170530,6.43,6.43,6.15,6.20,158580,6.43,6.43,6.15,6.20,0,21910,0
MHC,20170529,6.59,6.59,6.38,6.43,783580,6.59,6.59,6.38,6.43,0,15030,5000
MHC,20170526,5.87,6.24,5.84,6.24,1060990,5.87,6.24,5.84,6.24,0,4700,0
MHC,20170525,5.90,5.90,5.83,5.84,113430,5.90,5.90,5.83,5.84,0,0,2800
MHC,20170524,5.90,5.92,5.80,5.87,48290,5.90,5.92,5.80,5.87,0,5000,0
MHC,20170523,5.85,5.90,5.84,5.89,95580,5.85,5.90,5.84,5.89,0,0,0
MHC,20170522,5.93,5.98,5.85,5.85,162000,5.93,5.98,5.85,5.85,0,0,0
MHC,20170519,5.89,5.90,5.86,5.88,129180,5.89,5.90,5.86,5.88,0,0,0
MHC,20170518,5.91,5.93,5.88,5.89,116540,5.91,5.93,5.88,5.89,0,0,890
MHC,20170517,5.90,5.97,5.88,5.91,123490,5.90,5.97,5.88,5.91,0,0,0
MHC,20170516,5.99,5.99,5.88,5.88,191690,5.99,5.99,5.88,5.88,0,0,1500
MHC,20170515,5.89,5.95,5.86,5.91,223140,5.89,5.95,5.86,5.91,0,0,0
MHC,20170512,5.94,5.94,5.88,5.90,78490,5.94,5.94,5.88,5.90,0,0,0
MHC,20170511,5.95,5.95,5.85,5.90,47000,5.95,5.95,5.85,5.90,0,0,0
MHC,20170510,5.99,6.10,5.87,5.90,216000,5.99,6.10,5.87,5.90,0,0,0
MHC,20170509,5.85,5.99,5.83,5.98,321870,5.85,5.99,5.83,5.98,0,0,70210
MHC,20170508,5.82,5.87,5.81,5.85,165120,5.82,5.87,5.81,5.85,0,0,62790
MHC,20170505,5.92,5.92,5.81,5.88,85210,5.92,5.92,5.81,5.88,0,0,10750
MHC,20170504,5.76,6.00,5.76,5.96,128590,5.76,6.00,5.76,5.96,0,0,2000
MHC,20170503,5.78,5.85,5.75,5.76,166150,5.78,5.85,5.75,5.76,0,40,5220
MHC,20170428,5.89,5.90,5.77,5.80,135760,5.89,5.90,5.77,5.80,0,0,0
MHC,20170427,5.88,5.90,5.83,5.89,45820,5.88,5.90,5.83,5.89,0,0,0
MHC,20170426,5.78,5.88,5.78,5.86,155990,5.78,5.88,5.78,5.86,0,0,0
MHC,20170425,5.89,5.89,5.76,5.80,167400,5.89,5.89,5.76,5.80,0,0,0
MHC,20170424,6.00,6.00,5.69,5.89,139690,6.00,6.00,5.69,5.89,0,0,0
MHC,20170421,6.07,6.09,5.95,6.02,59270,6.07,6.09,5.95,6.02,0,0,0
MHC,20170420,6.01,6.09,6.00,6.01,53310,6.01,6.09,6.00,6.01,0,0,500
MHC,20170419,6.05,6.09,6.00,6.05,70630,6.05,6.09,6.00,6.05,0,0,5210
MHC,20170418,6.00,6.10,5.95,6.10,232000,6.00,6.10,5.95,6.10,0,0,1840
MHC,20170417,6.18,6.21,6.00,6.00,208760,6.18,6.21,6.00,6.00,0,1500,0
MHC,20170414,6.21,6.21,6.12,6.18,70130,6.21,6.21,6.12,6.18,0,0,0
MHC,20170413,6.21,6.40,6.12,6.22,159180,6.21,6.40,6.12,6.22,0,0,0
MHC,20170412,6.39,6.39,6.13,6.13,193230,6.39,6.39,6.13,6.13,0,0,8170
MHC,20170411,6.29,6.37,6.25,6.29,161690,6.29,6.37,6.25,6.29,0,0,16130
MHC,20170410,6.36,6.37,6.28,6.29,58710,6.36,6.37,6.28,6.29,0,200,0
MHC,20170407,6.26,6.40,6.25,6.28,251170,6.26,6.40,6.25,6.28,0,0,0
MHC,20170405,6.42,6.42,6.30,6.30,158460,6.42,6.42,6.30,6.30,0,50,9000
MHC,20170404,6.38,6.44,6.28,6.38,243780,6.38,6.44,6.28,6.38,0,350,3580
MHC,20170403,6.41,6.49,6.35,6.38,111320,6.41,6.49,6.35,6.38,0,500,5700
MHC,20170331,6.50,6.50,6.38,6.40,65160,6.50,6.50,6.38,6.40,0,0,0
MHC,20170330,6.58,6.60,6.50,6.50,230200,6.58,6.60,6.50,6.50,0,500,0
MHC,20170329,6.30,6.59,6.15,6.46,421470,6.30,6.59,6.15,6.46,0,4460,0
MHC,20170328,6.35,6.35,6.20,6.30,213320,6.35,6.35,6.20,6.30,0,500,0
MHC,20170327,6.49,6.50,6.30,6.34,125210,6.49,6.50,6.30,6.34,0,550,0
MHC,20170324,6.32,6.58,6.30,6.42,262710,6.32,6.58,6.30,6.42,0,0,5000
MHC,20170323,6.43,6.57,6.20,6.41,362480,6.43,6.57,6.20,6.41,0,3720,10
MHC,20170322,6.42,6.81,6.42,6.60,462340,6.42,6.81,6.42,6.60,0,0,10270
