<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MKV,20170627,15.90,15.90,14.50,14.50,3800,15.90,15.90,14.50,14.50,0,3800,0
MKV,20170626,14.90,14.90,14.90,14.90,13000,14.90,14.90,14.90,14.90,0,13000,0
MKV,20170622,13.60,14.90,13.60,14.90,9000,13.60,14.90,13.60,14.90,0,9000,0
MKV,20170608,13.60,13.60,13.60,13.60,1000,13.60,13.60,13.60,13.60,0,0,200
MKV,20170607,14.30,14.30,14.30,14.30,300,14.30,14.30,14.30,14.30,0,0,0
MKV,20170530,13.00,13.00,13.00,13.00,192785,13.00,13.00,13.00,13.00,0,0,0
MKV,20170418,14.40,14.40,14.40,14.40,2300,14.40,14.40,14.40,14.40,0,0,0
MKV,20170404,16.00,16.00,16.00,16.00,2400,16.00,16.00,16.00,16.00,46400,0,0
MKV,20170331,17.70,17.70,17.70,17.70,1,17.70,17.70,17.70,17.70,0,0,0
MKV,20170328,17.70,17.70,17.70,17.70,1,17.70,17.70,17.70,17.70,0,0,0
MKV,20161221,17.70,17.70,17.70,17.70,300,17.70,17.70,17.70,17.70,0,0,0
MKV,20161220,16.60,16.60,16.60,16.60,400,16.60,16.60,16.60,16.60,0,0,0
MKV,20161219,15.40,15.40,15.40,15.40,300,15.40,15.40,15.40,15.40,0,0,0
MKV,20161216,14.20,14.20,14.20,14.20,300,14.20,14.20,14.20,14.20,0,0,0
MKV,20161215,13.00,13.00,13.00,13.00,300,13.00,13.00,13.00,13.00,0,0,0
MKV,20161207,12.00,12.00,12.00,12.00,100,12.00,12.00,12.00,12.00,0,0,0
MKV,20161024,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,100,0
MKV,20161011,10.00,10.00,10.00,10.00,2000,10.00,10.00,10.00,10.00,0,0,0
MKV,20161010,10.90,10.90,10.90,10.90,100,10.90,10.90,10.90,10.90,0,0,0
MKV,20161007,10.00,10.00,10.00,10.00,1800,10.00,10.00,10.00,10.00,0,0,0
MKV,20161006,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
MKV,20161004,10.90,10.90,10.80,10.80,600,10.90,10.90,10.80,10.80,0,0,0
MKV,20160930,10.00,10.00,10.00,10.00,2300,10.00,10.00,10.00,10.00,0,0,0
MKV,20160928,10.00,10.00,10.00,10.00,958879,10.00,10.00,10.00,10.00,0,0,0
MKV,20160927,10.00,10.00,10.00,10.00,900000,10.00,10.00,10.00,10.00,0,0,0
MKV,20160926,10.60,10.60,10.60,10.60,100,10.60,10.60,10.60,10.60,0,0,0
MKV,20160923,9.70,9.70,9.70,9.70,100,9.70,9.70,9.70,9.70,500000,0,100
MKV,20160922,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
MKV,20160921,11.10,11.10,11.10,11.10,100,11.10,11.10,11.10,11.10,117906,0,0
MKV,20160920,10.10,10.10,10.10,10.10,500000,10.10,10.10,10.10,10.10,0,0,0
MKV,20160919,11.40,11.40,11.20,11.20,2400,11.40,11.40,11.20,11.20,0,0,2300
MKV,20160804,12.40,12.40,12.40,12.40,100,12.40,12.40,12.40,12.40,0,0,0
MKV,20160803,12.40,12.40,11.40,11.40,300,12.40,12.40,11.40,11.40,0,0,200
MKV,20160520,11.30,11.30,11.30,11.30,30,11.30,11.30,11.30,11.30,0,0,0
MKV,20160516,11.30,11.30,11.30,11.30,20,11.30,11.30,11.30,11.30,0,0,0
MKV,20160504,11.30,11.30,11.30,11.30,20,11.30,11.30,11.30,11.30,0,0,0
MKV,20160413,11.30,11.30,11.30,11.30,100,11.30,11.30,11.30,11.30,10,0,0
MKV,20160412,10.30,10.30,10.30,10.30,10500,10.30,10.30,10.30,10.30,0,0,0
MKV,20160330,11.40,11.40,11.40,11.40,100,11.40,11.40,11.40,11.40,0,0,0
MKV,20160329,11.30,11.30,11.30,11.30,500,11.30,11.30,11.30,11.30,0,0,0
MKV,20160317,10.30,10.30,10.30,10.30,300,10.30,10.30,10.30,10.30,0,0,0
MKV,20160203,11.39,11.39,11.39,11.40,100,12.60,12.60,12.60,12.60,350000,0,0
MKV,20160202,10.40,10.40,10.40,10.40,100,11.50,11.50,11.50,11.50,0,0,0
MKV,20160129,9.77,9.77,9.77,9.77,100,10.80,10.80,10.80,10.80,17814,0,0
MKV,20160128,8.95,8.95,8.95,8.96,100,9.90,9.90,9.90,9.90,0,0,0
MKV,20160127,8.14,8.14,8.14,8.14,100,9.00,9.00,9.00,9.00,0,0,0
MKV,20160121,7.42,7.42,7.42,7.42,5900,8.20,8.20,8.20,8.20,0,0,0
MKV,20151113,8.23,8.23,8.23,8.23,44,9.10,9.10,9.10,9.10,0,0,0
MKV,20151030,8.23,8.23,8.23,8.23,13600,9.10,9.10,9.10,9.10,0,0,0
MKV,20151029,8.23,8.23,8.23,8.23,12000,9.10,9.10,9.10,9.10,0,0,0
MKV,20150820,7.60,7.60,7.60,7.60,50,8.40,8.40,8.40,8.40,0,0,0
MKV,20150811,7.60,7.60,7.60,7.60,5,8.40,8.40,8.40,8.40,0,0,0
MKV,20150810,7.60,7.60,7.60,7.60,52,8.40,8.40,8.40,8.40,0,0,0
MKV,20150724,7.60,7.60,7.60,7.60,6,8.40,8.40,8.40,8.40,0,0,0
MKV,20150722,7.60,7.60,7.60,7.60,100,8.40,8.40,8.40,8.40,0,0,0
MKV,20150714,7.60,7.60,7.60,7.60,110,8.40,8.40,8.40,8.40,0,0,0
MKV,20150702,8.41,8.41,8.41,8.41,100,9.30,9.30,9.30,9.30,0,0,0
MKV,20150622,8.14,8.14,8.14,8.14,170,9.00,9.00,9.00,9.00,0,0,0
MKV,20150609,7.69,7.69,7.69,7.69,42,8.50,8.50,8.50,8.50,0,0,42
MKV,20150608,7.78,7.78,7.69,7.69,200,8.60,8.60,8.50,8.50,0,0,0
MKV,20150602,7.42,7.42,7.42,7.42,100,8.20,8.20,8.20,8.20,0,0,0
MKV,20150601,7.42,7.42,7.42,7.42,700,8.20,8.20,8.20,8.20,0,0,700
MKV,20150529,7.42,7.42,7.42,7.42,100,8.20,8.20,8.20,8.20,0,0,0
MKV,20150520,6.97,6.97,6.97,6.97,100,7.70,7.70,7.70,7.70,0,0,0
MKV,20150519,7.69,7.69,7.69,7.69,5,8.50,8.50,8.50,8.50,0,0,0
MKV,20150515,7.69,7.69,7.69,7.69,2200,8.50,8.50,8.50,8.50,0,0,0
MKV,20150514,7.69,7.69,7.69,7.69,20,8.50,8.50,8.50,8.50,0,0,0
MKV,20150407,7.69,7.69,7.69,7.69,20,8.50,8.50,8.50,8.50,0,0,0
MKV,20150406,7.69,7.69,7.69,7.69,10,8.50,8.50,8.50,8.50,0,0,0
MKV,20150402,7.69,7.69,7.69,7.69,125,8.50,8.50,8.50,8.50,0,0,0
MKV,20150302,8.14,8.14,8.14,8.14,214,9.00,9.00,9.00,9.00,0,0,0
MKV,20150202,9.04,9.04,9.04,9.05,200,10.00,10.00,10.00,10.00,0,0,0
MKV,20150123,8.41,8.41,8.41,8.41,100,9.30,9.30,9.30,9.30,0,0,0
MKV,20150108,7.69,7.69,7.69,7.69,100,8.50,8.50,8.50,8.50,0,0,0
MKV,20141205,8.23,8.23,8.23,8.23,57,9.10,9.10,9.10,9.10,0,0,0
MKV,20141203,8.23,8.23,8.23,8.23,100,9.10,9.10,9.10,9.10,0,0,0
MKV,20141126,7.51,7.51,7.51,7.51,100,8.30,8.30,8.30,8.30,0,0,0
MKV,20141119,8.14,8.14,8.14,8.14,6,9.00,9.00,9.00,9.00,0,0,0
MKV,20141117,8.14,8.14,8.14,8.14,6,9.00,9.00,9.00,9.00,0,0,0
MKV,20141111,8.14,8.14,8.14,8.14,2038,9.00,9.00,9.00,9.00,0,0,0
