<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MTL,20170615,4.10,4.10,4.10,4.10,100,4.10,4.10,4.10,4.10,0,0,0
MTL,20170614,3.60,3.60,3.60,3.60,100,3.60,3.60,3.60,3.60,0,0,0
MTL,20170609,3.20,3.20,3.20,3.20,100,3.20,3.20,3.20,3.20,0,0,0
MTL,20170608,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
MTL,20170505,4.30,4.30,4.30,4.30,400,4.30,4.30,4.30,4.30,0,0,0
MTL,20170427,5.00,5.00,5.00,5.00,900,5.00,5.00,5.00,5.00,0,0,0
MTL,20170419,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
MTL,20170405,3.90,3.90,3.90,3.90,200,3.90,3.90,3.90,3.90,0,0,0
MTL,20170331,3.40,3.40,3.40,3.40,800,3.40,3.40,3.40,3.40,0,0,0
MTL,20170330,4.00,4.00,4.00,4.00,900,4.00,4.00,4.00,4.00,0,0,0
MTL,20170327,4.60,4.60,4.60,4.60,900,4.60,4.60,4.60,4.60,0,0,0
MTL,20170315,4.80,6.00,4.80,6.00,200,4.80,6.00,4.80,6.00,0,0,0
MTL,20170314,5.60,5.60,5.60,5.60,100,5.60,5.60,5.60,5.60,0,0,0
MTL,20170303,6.40,6.40,6.30,6.30,200,6.40,6.40,6.30,6.30,0,0,0
MTL,20170301,7.30,7.30,7.20,7.20,200,7.30,7.30,7.20,7.20,0,0,0
MTL,20170228,8.50,8.50,8.20,8.20,200,8.50,8.50,8.20,8.20,0,0,0
MTL,20170123,9.60,9.60,9.60,9.60,100,9.60,9.60,9.60,9.60,0,0,0
MTL,20170116,8.40,8.40,8.40,8.40,100,8.40,8.40,8.40,8.40,0,0,0
MTL,20170113,8.10,8.10,8.10,8.10,1700,8.10,8.10,8.10,8.10,0,0,0
MTL,20161128,13.50,13.50,13.50,13.50,100,13.50,13.50,13.50,13.50,0,0,0
MTL,20160801,13.45,13.45,13.45,13.45,100,13.60,13.60,13.60,13.60,0,0,0
MTL,20160718,15.82,15.82,15.82,15.82,100,16.00,16.00,16.00,16.00,0,0,0
MTL,20160701,14.63,14.73,14.63,14.73,200,14.80,14.90,14.80,14.90,0,0,0
MTL,20160614,14.84,14.84,14.84,14.83,100,15.00,15.00,15.00,15.00,0,0,0
MTL,20160602,15.32,15.32,15.32,15.33,100,15.50,15.50,15.50,15.50,0,0,0
MTL,20160531,13.84,14.53,13.84,14.54,600,14.00,14.70,14.00,14.70,0,0,0
MTL,20160530,15.13,15.23,13.85,13.84,1100,15.30,15.40,14.00,14.00,0,0,0
MTL,20160527,15.23,15.23,15.23,15.23,100,15.40,15.40,15.40,15.40,0,0,0
MTL,20160526,19.78,19.78,15.92,15.92,200,20.00,20.00,16.10,16.10,0,0,0
MTL,20160525,18.69,18.69,18.69,18.69,100,18.90,18.90,18.90,18.90,0,0,0
MTL,20160524,16.32,16.32,16.32,16.32,100,16.50,16.50,16.50,16.50,0,0,0
MTL,20160516,16.12,16.12,13.84,14.54,2300,16.30,16.30,14.00,14.70,0,0,0
MTL,20160513,16.12,16.12,14.14,14.14,500,16.30,16.30,14.30,14.30,0,0,0
MTL,20160512,14.14,14.14,14.14,14.14,1500,14.30,14.30,14.30,14.30,0,0,0
MTL,20160511,12.36,12.36,12.36,12.36,200,12.50,12.50,12.50,12.50,0,0,0
