<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MTP,20170616,15.10,15.10,15.10,15.10,5500,15.10,15.10,15.10,15.10,0,0,0
MTP,20170615,16.20,16.20,15.10,15.10,400,16.20,16.20,15.10,15.10,0,0,0
MTP,20170613,16.20,16.20,16.20,16.20,1200,16.20,16.20,16.20,16.20,0,0,0
MTP,20170609,16.80,16.80,16.80,16.80,100,16.80,16.80,16.80,16.80,0,0,0
MTP,20170608,19.70,19.70,19.70,19.70,100,19.70,19.70,19.70,19.70,0,0,0
MTP,20170607,17.20,17.20,17.20,17.20,100,17.20,17.20,17.20,17.20,0,0,0
MTP,20170606,15.70,15.70,15.70,15.70,500,15.70,15.70,15.70,15.70,0,0,0
MTP,20170511,13.97,13.97,13.52,13.61,4600,15.50,15.50,15.00,15.10,0,0,0
MTP,20170509,15.32,15.32,15.32,15.32,2100,17.00,17.00,17.00,17.00,0,0,0
MTP,20170505,16.85,16.85,16.67,16.67,231,18.70,18.70,18.50,18.50,0,0,0
MTP,20170504,14.87,14.87,14.51,14.51,200,16.50,16.50,16.10,16.10,0,0,0
MTP,20170428,15.32,15.32,15.32,15.32,10,17.00,17.00,17.00,17.00,0,0,0
MTP,20170427,15.32,15.41,15.32,15.41,7300,17.00,17.10,17.00,17.10,0,0,0
MTP,20170425,17.03,17.03,17.03,17.03,100,18.90,18.90,18.90,18.90,0,0,0
MTP,20170420,16.04,16.04,15.50,15.50,202,17.80,17.80,17.20,17.20,0,0,0
MTP,20170419,15.95,16.04,15.95,16.04,1700,17.70,17.80,17.70,17.80,0,0,0
MTP,20170417,13.97,13.97,13.97,13.97,1100,15.50,15.50,15.50,15.50,0,0,0
MTP,20170410,12.17,12.17,12.17,12.17,3000,13.50,13.50,13.50,13.50,0,0,0
MTP,20170330,13.52,14.42,13.52,14.42,3900,15.00,16.00,15.00,16.00,0,0,0
