<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MVC,20170627,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
MVC,20170626,11.00,11.00,11.00,11.00,1000,11.00,11.00,11.00,11.00,0,0,0
MVC,20170620,11.00,11.00,11.00,11.00,700,11.00,11.00,11.00,11.00,0,0,0
MVC,20170619,11.00,11.00,10.80,10.80,2340,11.00,11.00,10.80,10.80,0,0,0
MVC,20170616,11.00,11.10,10.80,11.00,3300,11.00,11.10,10.80,11.00,0,0,0
MVC,20170615,11.30,11.30,11.00,11.00,4700,11.30,11.30,11.00,11.00,0,0,0
MVC,20170614,11.50,11.50,11.50,11.50,140,11.50,11.50,11.50,11.50,0,0,0
MVC,20170612,11.40,11.40,11.00,11.00,1860,11.40,11.40,11.00,11.00,0,0,0
MVC,20170609,11.40,11.40,11.40,11.40,100,11.40,11.40,11.40,11.40,0,0,0
MVC,20170608,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
MVC,20170607,11.10,11.10,11.00,11.00,200,11.10,11.10,11.00,11.00,0,0,0
MVC,20170605,10.90,11.00,10.90,11.00,1400,10.90,11.00,10.90,11.00,0,0,0
MVC,20170601,11.00,11.00,10.70,10.70,7000,11.00,11.00,10.70,10.70,0,0,0
MVC,20170531,11.00,11.00,11.00,11.00,3500,11.00,11.00,11.00,11.00,0,0,0
MVC,20170530,11.00,11.00,11.00,11.00,3000,11.00,11.00,11.00,11.00,0,0,0
MVC,20170529,10.20,10.70,10.20,10.50,5900,10.20,10.70,10.20,10.50,0,0,0
MVC,20170526,11.50,11.50,10.70,10.70,400,11.50,11.50,10.70,10.70,0,0,0
MVC,20170525,11.80,11.80,11.80,11.80,400,11.80,11.80,11.80,11.80,0,0,0
MVC,20170524,11.50,11.50,11.00,11.00,500,11.50,11.50,11.00,11.00,0,0,0
MVC,20170523,11.60,11.60,11.60,11.60,100,11.60,11.60,11.60,11.60,0,0,0
MVC,20170516,12.00,12.00,11.00,11.00,7000,12.00,12.00,11.00,11.00,0,0,0
MVC,20170515,10.90,10.90,10.90,10.90,900,10.90,10.90,10.90,10.90,0,0,0
MVC,20170512,12.10,12.10,11.50,11.60,20200,12.10,12.10,11.50,11.60,89000,0,0
MVC,20170511,11.60,11.60,11.60,11.60,2800,11.60,11.60,11.60,11.60,0,0,0
MVC,20170510,11.90,12.10,11.00,11.30,6900,11.90,12.10,11.00,11.30,0,0,0
MVC,20170504,12.20,12.20,12.10,12.20,7400,12.20,12.20,12.10,12.20,0,0,0
MVC,20170503,11.90,12.10,10.70,12.10,7000,11.90,12.10,10.70,12.10,0,0,0
MVC,20170428,12.50,12.50,11.00,12.20,4300,12.50,12.50,11.00,12.20,0,0,0
MVC,20170427,12.10,12.10,12.10,12.10,100,12.10,12.10,12.10,12.10,0,0,0
MVC,20170426,11.60,11.60,11.60,11.60,300,11.60,11.60,11.60,11.60,0,0,0
MVC,20170425,11.70,11.70,11.20,11.50,5700,11.70,11.70,11.20,11.50,65000,0,0
MVC,20170424,11.50,11.50,11.50,11.50,4100,11.50,11.50,11.50,11.50,0,0,0
MVC,20170421,11.80,12.10,11.80,12.10,500,11.80,12.10,11.80,12.10,0,0,0
MVC,20170420,10.60,11.00,10.50,11.00,4400,10.60,11.00,10.50,11.00,0,0,0
MVC,20170419,11.20,11.20,10.70,11.00,8300,11.20,11.20,10.70,11.00,0,0,0
MVC,20170418,10.70,12.90,10.60,12.80,1000,10.70,12.90,10.60,12.80,0,0,0
MVC,20170417,11.50,12.40,11.50,11.50,900,11.50,12.40,11.50,11.50,15800,0,0
MVC,20170414,12.30,12.30,11.90,11.90,8800,12.30,12.30,11.90,11.90,0,0,0
MVC,20170413,11.80,12.60,11.80,12.60,300,11.80,12.60,11.80,12.60,0,0,0
MVC,20170412,12.90,12.90,11.50,11.50,13400,12.90,12.90,11.50,11.50,0,0,0
MVC,20170411,11.50,13.00,10.20,12.70,58900,11.50,13.00,10.20,12.70,0,0,0
MVC,20170410,11.30,11.70,11.30,11.70,10600,11.30,11.70,11.30,11.70,10000,0,0
MVC,20170407,10.60,11.50,9.80,11.50,27700,10.60,11.50,9.80,11.50,0,0,0
MVC,20170405,9.50,12.00,9.50,11.30,27300,9.50,12.00,9.50,11.30,0,0,0
MVC,20170404,11.50,12.00,9.80,11.60,21600,11.50,12.00,9.80,11.60,0,0,0
MVC,20170403,11.50,11.50,10.60,11.00,4300,11.50,11.50,10.60,11.00,0,0,0
MVC,20170331,11.30,11.70,10.30,11.70,24300,11.30,11.70,10.30,11.70,0,0,0
MVC,20170330,10.20,10.20,10.20,10.20,10000,10.20,10.20,10.20,10.20,0,0,0
MVC,20170329,9.90,11.20,9.90,11.20,13200,9.90,11.20,9.90,11.20,0,0,0
MVC,20170328,10.00,10.10,9.70,10.10,16400,10.00,10.10,9.70,10.10,0,0,0
MVC,20170327,12.00,12.50,10.80,11.00,28500,12.00,12.50,10.80,11.00,0,0,0
MVC,20170324,13.00,14.00,12.00,13.90,17000,13.00,14.00,12.00,13.90,0,0,0
MVC,20170323,16.10,16.10,13.00,14.00,58800,16.10,16.10,13.00,14.00,0,0,0
