<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NBW,20170612,16.00,19.50,16.00,19.50,6900,16.00,19.50,16.00,19.50,0,6800,6900
NBW,20170526,18.80,18.80,18.80,18.80,10000,19.50,19.50,19.50,19.50,0,10000,10000
NBW,20170510,18.80,18.80,18.80,18.80,100,19.50,19.50,19.50,19.50,0,0,100
NBW,20170509,18.51,18.51,18.51,18.51,100,19.20,19.20,19.20,19.20,0,0,100
NBW,20170414,18.51,18.51,18.51,18.51,100,19.20,19.20,19.20,19.20,0,100,0
NBW,20170403,21.69,21.69,21.69,21.69,6,22.50,22.50,22.50,22.50,0,0,0
NBW,20170329,21.69,21.69,21.69,21.69,14,22.50,22.50,22.50,22.50,0,0,0
NBW,20170328,21.69,21.69,21.69,21.69,1,22.50,22.50,22.50,22.50,0,0,0
NBW,20170327,21.69,21.69,21.69,21.69,51,22.50,22.50,22.50,22.50,0,0,0
NBW,20170322,21.70,21.70,21.70,21.69,100,22.50,22.50,22.50,22.50,0,0,0
NBW,20170307,21.31,21.31,21.31,21.31,100,22.10,22.10,22.10,22.10,0,0,0
NBW,20170217,21.02,21.02,21.02,21.02,3000,21.80,21.80,21.80,21.80,0,3000,0
NBW,20161223,21.21,21.21,21.21,21.21,3000,22.00,22.00,22.00,22.00,0,3000,0
NBW,20161129,21.21,21.21,21.21,21.21,1200,22.00,22.00,22.00,22.00,0,1200,0
NBW,20161128,21.21,21.21,21.21,21.21,100,22.00,22.00,22.00,22.00,0,100,0
NBW,20161117,21.21,21.21,21.21,21.21,600,22.00,22.00,22.00,22.00,0,600,0
NBW,20161110,21.21,21.21,21.21,21.21,3900,22.00,22.00,22.00,22.00,0,3900,0
NBW,20161024,21.21,21.21,21.21,21.21,200,22.00,22.00,22.00,22.00,0,200,0
NBW,20161019,21.21,21.21,21.21,21.21,3000,22.00,22.00,22.00,22.00,0,3000,0
NBW,20161012,21.21,21.21,21.21,21.21,7000,22.00,22.00,22.00,22.00,0,4700,0
NBW,20161010,21.69,23.14,21.69,23.14,3100,22.50,24.00,22.50,24.00,0,0,0
NBW,20161007,20.15,20.15,20.15,20.15,700,20.90,20.90,20.90,20.90,0,0,0
NBW,20161003,17.45,19.48,17.45,19.48,9600,18.10,20.20,18.10,20.20,0,0,0
NBW,20160928,16.59,17.36,16.59,17.35,200,17.20,18.00,17.20,18.00,0,100,100
NBW,20160926,19.48,19.48,19.48,19.48,2000,20.20,20.20,20.20,20.20,0,2000,0
NBW,20160920,16.87,16.96,16.87,16.97,10100,17.50,17.60,17.50,17.60,1000000,0,100
NBW,20160919,19.28,19.95,19.28,19.76,1500,20.00,20.70,20.00,20.50,0,0,0
NBW,20160916,17.36,17.36,17.36,17.35,500,18.00,18.00,18.00,18.00,0,0,0
NBW,20160915,16.58,16.97,16.58,16.97,8000,17.20,17.60,17.20,17.60,0,0,0
NBW,20160914,16.49,16.49,16.39,16.39,13200,17.10,17.10,17.00,17.00,0,12100,0
NBW,20160913,16.39,16.39,16.39,16.39,17000,17.00,17.00,17.00,17.00,0,6000,0
NBW,20160912,16.39,16.39,16.39,16.39,6100,17.00,17.00,17.00,17.00,0,6000,0
NBW,20160908,16.48,16.58,16.48,16.49,6800,17.10,17.20,17.10,17.10,0,6700,0
NBW,20160906,16.59,16.59,16.59,16.58,4000,17.20,17.20,17.20,17.20,0,4000,0
NBW,20160905,16.68,16.78,16.68,16.78,1300,17.30,17.40,17.30,17.40,0,1200,1200
NBW,20160831,16.78,16.78,16.78,16.78,2900,17.40,17.40,17.40,17.40,0,2900,0
NBW,20160829,16.87,16.87,16.39,16.39,6200,17.50,17.50,17.00,17.00,0,6000,100
NBW,20160825,16.97,16.97,16.87,16.87,6000,17.60,17.60,17.50,17.50,0,5900,0
NBW,20160824,16.97,16.97,16.97,16.97,100,17.60,17.60,17.60,17.60,0,0,0
NBW,20160822,16.97,16.97,16.97,16.97,1000,17.60,17.60,17.60,17.60,0,1000,0
NBW,20160818,15.62,16.97,15.62,16.97,2500,16.20,17.60,16.20,17.60,0,0,100
NBW,20160817,18.31,18.31,18.31,18.32,100,19.00,19.00,19.00,19.00,0,0,0
NBW,20160812,14.75,16.68,14.75,16.39,1200,15.30,17.30,15.30,17.00,0,100,900
NBW,20160810,17.26,17.26,17.26,17.26,100,17.90,17.90,17.90,17.90,0,0,0
NBW,20160809,15.71,15.71,15.71,15.72,100,16.30,16.30,16.30,16.30,0,0,100
NBW,20160808,18.41,18.41,18.41,18.41,100,19.10,19.10,19.10,19.10,0,0,0
NBW,20160805,15.81,16.29,15.81,16.29,200,16.40,16.90,16.40,16.90,0,0,100
NBW,20160804,18.51,18.51,18.51,18.51,100,19.20,19.20,19.20,19.20,0,0,0
NBW,20160727,16.10,16.19,16.10,16.20,1500,16.70,16.80,16.70,16.80,0,0,0
NBW,20160722,16.00,16.00,16.00,16.00,500,16.60,16.60,16.60,16.60,0,0,0
NBW,20160720,17.93,17.93,15.72,17.93,1200,18.60,18.60,16.30,18.60,0,0,0
NBW,20160715,15.62,15.62,15.62,15.62,100,16.20,16.20,16.20,16.20,0,0,100
NBW,20160714,18.31,18.31,18.31,18.32,100,19.00,19.00,19.00,19.00,0,0,0
NBW,20160707,16.29,16.29,16.29,16.29,100,16.90,16.90,16.90,16.90,0,0,0
NBW,20160706,14.17,14.17,14.17,14.17,100,14.70,14.70,14.70,14.70,0,0,100
NBW,20160624,17.16,17.16,16.39,16.39,1400,17.80,17.80,17.00,17.00,0,0,0
NBW,20160613,14.94,14.94,14.94,14.94,300,15.50,15.50,15.50,15.50,0,0,0
NBW,20160610,14.75,14.75,14.75,14.75,100,15.30,15.30,15.30,15.30,0,0,100
NBW,20160607,17.26,17.26,17.26,17.26,300,17.90,17.90,17.90,17.90,0,0,0
NBW,20160524,15.04,15.04,15.04,15.04,800,16.60,16.60,16.60,16.60,0,0,0
NBW,20160511,15.04,15.04,15.04,15.04,100,16.60,16.60,16.60,16.60,0,0,100
NBW,20160510,17.66,17.66,17.66,17.67,100,19.50,19.50,19.50,19.50,0,0,0
NBW,20160429,15.40,15.58,15.40,15.58,400,17.00,17.20,17.00,17.20,0,0,0
NBW,20160419,13.86,13.86,13.86,13.86,5,15.30,15.30,15.30,15.30,0,0,0
NBW,20160414,13.86,13.86,13.86,13.86,100,15.30,15.30,15.30,15.30,10000,100,100
NBW,20160412,16.31,16.31,15.22,16.31,4100,18.00,18.00,16.80,18.00,0,0,0
NBW,20160407,16.76,16.76,16.76,16.76,200,18.50,18.50,18.50,18.50,0,200,0
NBW,20160329,16.31,16.31,16.31,16.31,100,18.00,18.00,18.00,18.00,0,100,0
NBW,20160325,15.22,15.22,15.22,15.22,10,16.80,16.80,16.80,16.80,0,0,0
NBW,20160323,15.22,15.22,15.22,15.22,100,16.80,16.80,16.80,16.80,4400,0,0
NBW,20160322,14.50,14.50,14.50,14.50,10,16.00,16.00,16.00,16.00,0,0,0
NBW,20160314,14.49,14.49,14.49,14.50,100,16.00,16.00,16.00,16.00,0,0,100
NBW,20160311,16.94,16.94,16.94,16.94,1800,18.70,18.70,18.70,18.70,0,1800,0
NBW,20160309,16.94,16.94,16.94,16.94,1000,18.70,18.70,18.70,18.70,0,1000,0
NBW,20160308,16.95,16.95,16.95,16.94,1700,18.70,18.70,18.70,18.70,0,1500,0
NBW,20160303,17.22,17.22,17.22,17.22,400,19.00,19.00,19.00,19.00,0,400,0
NBW,20160226,16.31,16.31,16.31,16.31,10,18.00,18.00,18.00,18.00,0,0,0
NBW,20160225,16.31,16.31,16.31,16.31,100,18.00,18.00,18.00,18.00,0,100,0
NBW,20160122,15.40,15.40,15.40,15.40,800,17.00,17.00,17.00,17.00,0,0,0
NBW,20160121,15.40,15.40,15.40,15.40,100,17.00,17.00,17.00,17.00,0,0,0
NBW,20160115,15.40,15.40,15.40,15.40,700,17.00,17.00,17.00,17.00,0,700,0
NBW,20160108,13.50,13.50,13.50,13.50,100,14.90,14.90,14.90,14.90,0,0,100
