<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NCS,20170627,58.00,58.30,58.00,58.30,17600,58.00,58.30,58.00,58.30,0,0,0
NCS,20170623,57.50,57.50,57.00,57.30,2100,57.50,57.50,57.00,57.30,0,0,0
NCS,20170622,57.90,58.50,57.80,58.30,9813,57.90,58.50,57.80,58.30,0,0,0
NCS,20170621,57.50,58.00,57.00,57.60,17510,57.50,58.00,57.00,57.60,0,200,0
NCS,20170620,55.10,55.10,55.10,55.10,400,55.10,55.10,55.10,55.10,0,0,0
NCS,20170619,57.60,57.60,57.50,57.50,1705,57.60,57.60,57.50,57.50,0,0,0
NCS,20170616,58.00,58.00,58.00,58.00,1109,58.00,58.00,58.00,58.00,0,0,0
NCS,20170615,57.90,57.90,57.50,57.50,1250,57.90,57.90,57.50,57.50,0,0,0
NCS,20170614,58.00,58.00,57.50,57.50,1100,58.00,58.00,57.50,57.50,0,0,0
NCS,20170613,57.50,59.00,57.50,59.00,10400,57.50,59.00,57.50,59.00,0,0,0
NCS,20170612,57.00,57.00,57.00,57.00,5,57.00,57.00,57.00,57.00,0,0,0
NCS,20170609,57.00,57.00,57.00,57.00,2505,57.00,57.00,57.00,57.00,0,0,0
NCS,20170608,57.50,57.50,56.00,56.00,1300,57.50,57.50,56.00,56.00,0,0,0
NCS,20170607,56.50,56.50,56.50,56.50,141,56.50,56.50,56.50,56.50,0,100,0
NCS,20170606,57.50,58.00,57.50,57.60,3429,57.50,58.00,57.50,57.60,0,0,0
NCS,20170605,57.00,57.50,57.00,57.50,6510,57.00,57.50,57.00,57.50,0,0,0
NCS,20170602,56.50,57.40,56.50,57.40,4700,56.50,57.40,56.50,57.40,0,0,0
NCS,20170601,56.20,57.00,56.20,57.00,2700,56.20,57.00,56.20,57.00,0,0,0
NCS,20170531,55.50,56.50,55.50,56.50,600,55.50,56.50,55.50,56.50,0,0,0
NCS,20170530,55.20,56.50,55.20,55.30,2300,55.20,56.50,55.20,55.30,0,0,0
NCS,20170529,56.00,56.00,55.00,55.00,1900,56.00,56.00,55.00,55.00,0,200,0
NCS,20170526,56.00,56.00,56.00,56.00,1100,56.00,56.00,56.00,56.00,0,1100,0
NCS,20170525,54.00,57.00,54.00,55.00,4600,54.00,57.00,54.00,55.00,0,0,100
NCS,20170524,56.47,56.47,56.00,56.00,1503,59.50,59.50,59.00,59.00,0,0,0
NCS,20170523,56.10,56.86,56.00,56.85,2300,59.10,59.90,59.00,59.90,0,100,0
NCS,20170522,57.42,57.71,57.14,57.14,1500,60.50,60.80,60.20,60.20,0,0,0
NCS,20170519,56.95,57.42,56.48,56.95,8720,60.00,60.50,59.50,60.00,0,1400,0
NCS,20170518,57.89,57.89,56.95,56.95,2600,61.00,61.00,60.00,60.00,0,500,0
NCS,20170517,57.89,57.89,57.42,57.42,3300,61.00,61.00,60.50,60.50,0,1000,0
NCS,20170516,56.95,57.90,56.95,57.42,10100,60.00,61.00,60.00,60.50,0,900,0
NCS,20170515,56.00,56.95,56.00,56.57,9900,59.00,60.00,59.00,59.60,0,0,200
NCS,20170512,55.80,55.99,55.80,56.00,10600,58.80,59.00,58.80,59.00,0,0,4800
NCS,20170511,55.90,55.90,55.53,55.52,648,58.90,58.90,58.50,58.50,0,0,0
NCS,20170510,55.81,56.00,55.72,55.81,2715,58.80,59.00,58.70,58.80,0,0,1400
NCS,20170509,55.62,56.00,55.62,56.00,800,58.60,59.00,58.60,59.00,0,0,300
NCS,20170508,56.00,56.00,55.24,55.24,1000,59.00,59.00,58.20,58.20,0,0,300
NCS,20170505,57.52,57.52,56.00,56.00,10700,60.60,60.60,59.00,59.00,0,1000,10200
NCS,20170504,66.06,66.06,57.51,57.52,9700,69.60,69.60,60.60,60.60,0,0,7800
NCS,20170503,55.05,58.37,55.05,57.42,15349,58.00,61.50,58.00,60.50,0,0,0
NCS,20170428,55.90,55.90,54.58,55.05,2300,58.90,58.90,57.50,58.00,0,0,0
NCS,20170427,55.81,55.81,55.81,55.81,1,58.80,58.80,58.80,58.80,0,0,0
NCS,20170426,55.53,56.00,55.05,55.05,10115,58.50,59.00,58.00,58.00,0,0,800
NCS,20170425,55.42,55.99,55.42,56.00,6348,58.40,59.00,58.40,59.00,0,0,1000
NCS,20170424,54.57,54.57,54.57,54.57,742,57.50,57.50,57.50,57.50,0,0,0
NCS,20170421,54.67,54.76,54.48,54.48,5100,57.60,57.70,57.40,57.40,0,0,0
NCS,20170420,54.11,55.05,54.11,54.10,1400,57.00,58.00,57.00,57.00,0,0,100
NCS,20170419,54.10,54.58,54.10,54.20,4000,57.00,57.50,57.00,57.10,0,0,0
NCS,20170418,54.11,54.11,53.63,53.63,4450,57.00,57.00,56.50,56.50,0,0,2800
NCS,20170417,55.05,55.05,54.10,54.20,4900,58.00,58.00,57.00,57.10,0,0,0
NCS,20170414,54.58,54.95,54.10,54.86,5650,57.50,57.90,57.00,57.80,0,0,200
NCS,20170413,54.57,55.14,54.57,54.67,2200,57.50,58.10,57.50,57.60,0,0,0
NCS,20170412,55.05,55.05,54.96,54.95,4160,58.00,58.00,57.90,57.90,0,0,0
NCS,20170411,55.61,55.61,55.61,55.62,1000,58.60,58.60,58.60,58.60,0,0,0
NCS,20170410,55.52,55.52,55.52,55.52,200,58.50,58.50,58.50,58.50,0,0,0
NCS,20170407,55.90,55.90,55.05,55.05,2400,58.90,58.90,58.00,58.00,0,0,0
NCS,20170405,55.71,55.71,55.05,55.05,2100,58.70,58.70,58.00,58.00,0,0,300
NCS,20170404,55.52,55.99,55.52,55.90,1400,58.50,59.00,58.50,58.90,0,0,300
NCS,20170403,55.52,55.90,55.52,55.52,14400,58.50,58.90,58.50,58.50,0,0,0
NCS,20170331,55.71,55.71,55.05,55.52,1410,58.70,58.70,58.00,58.50,0,0,0
NCS,20170330,55.71,55.71,55.71,55.71,200,58.70,58.70,58.70,58.70,0,0,0
NCS,20170329,56.00,56.00,55.05,55.05,9300,59.00,59.00,58.00,58.00,0,1000,0
NCS,20170328,57.61,57.61,56.00,56.85,2000,60.70,60.70,59.00,59.90,0,0,0
NCS,20170327,57.80,57.80,56.00,56.00,1720,60.90,60.90,59.00,59.00,0,0,0
NCS,20170324,55.81,56.38,55.72,56.00,6450,58.80,59.40,58.70,59.00,0,0,1900
NCS,20170323,56.00,56.00,55.62,55.81,9700,59.00,59.00,58.60,58.80,0,0,300
NCS,20170322,56.66,56.66,56.57,56.57,3400,59.70,59.70,59.60,59.60,0,0,3300
NCS,20170321,56.66,56.94,56.00,56.00,1950,59.70,60.00,59.00,59.00,0,0,1900
NCS,20170320,56.47,56.95,56.09,56.47,20455,59.50,60.00,59.10,59.50,0,10000,18400
NCS,20170317,56.00,56.00,56.00,56.00,3820,59.00,59.00,59.00,59.00,0,0,3000
NCS,20170316,55.99,55.99,55.80,55.81,3120,59.00,59.00,58.80,58.80,0,0,1100
NCS,20170315,55.53,56.00,55.53,55.71,8100,58.50,59.00,58.50,58.70,0,5900,1000
NCS,20170314,56.00,56.00,55.81,56.00,11550,59.00,59.00,58.80,59.00,0,10500,10800
NCS,20170313,55.52,56.00,55.52,55.81,3300,58.50,59.00,58.50,58.80,0,200,1600
NCS,20170310,56.95,57.14,56.19,56.66,18800,60.00,60.20,59.20,59.70,0,10000,5000
NCS,20170309,58.28,58.28,56.48,56.57,22250,61.40,61.40,59.50,59.60,0,5000,8700
NCS,20170308,56.18,57.42,56.18,56.76,9650,59.20,60.50,59.20,59.80,50,0,3300
NCS,20170307,54.86,55.52,54.86,55.52,11535,57.80,58.50,57.80,58.50,0,2400,0
NCS,20170306,54.86,54.86,54.86,54.86,3500,57.80,57.80,57.80,57.80,0,3100,500
NCS,20170303,54.86,55.04,54.76,54.86,2250,57.80,58.00,57.70,57.80,0,800,0
NCS,20170302,54.57,55.05,54.57,54.95,7310,57.50,58.00,57.50,57.90,0,2500,400
NCS,20170301,54.39,54.58,54.39,54.48,6700,57.30,57.50,57.30,57.40,0,0,200
NCS,20170228,55.23,55.23,54.66,55.24,8610,58.20,58.20,57.60,58.20,50,0,0
NCS,20170227,54.48,54.67,54.48,54.57,8600,57.40,57.60,57.40,57.50,0,0,0
NCS,20170224,54.48,54.85,54.48,54.67,9320,57.40,57.80,57.40,57.60,0,0,0
NCS,20170223,55.43,55.43,54.58,54.57,4750,58.40,58.40,57.50,57.50,0,1200,0
NCS,20170222,54.66,54.66,54.57,54.67,650,57.60,57.60,57.50,57.60,0,100,0
NCS,20170221,55.71,55.71,54.10,54.57,8500,58.70,58.70,57.00,57.50,0,0,0
NCS,20170220,55.04,55.52,55.04,55.52,2800,58.00,58.50,58.00,58.50,0,0,0
NCS,20170217,55.05,55.81,54.96,54.95,2600,58.00,58.80,57.90,57.90,0,0,0
NCS,20170216,55.52,56.85,55.05,55.05,4818,58.50,59.90,58.00,58.00,0,0,1600
NCS,20170215,55.05,55.52,54.10,54.67,8130,58.00,58.50,57.00,57.60,0,0,0
NCS,20170214,55.52,55.52,55.14,55.14,1501,58.50,58.50,58.10,58.10,0,0,0
NCS,20170213,55.91,55.91,55.05,55.05,3100,58.90,58.90,58.00,58.00,0,0,0
NCS,20170210,55.99,56.09,55.14,56.00,3000,59.00,59.10,58.10,59.00,0,300,600
NCS,20170208,56.00,56.00,55.62,56.00,2100,59.00,59.00,58.60,59.00,0,1000,1700
NCS,20170207,56.00,56.95,56.00,56.19,7100,59.00,60.00,59.00,59.20,0,0,3800
NCS,20170206,56.66,57.71,56.66,56.76,2400,59.70,60.80,59.70,59.80,0,0,0
NCS,20170203,56.47,56.85,56.47,56.57,6700,59.50,59.90,59.50,59.60,0,0,5800
NCS,20170202,56.38,56.47,56.00,56.00,2000,59.40,59.50,59.00,59.00,0,0,100
NCS,20170125,55.99,55.99,55.42,55.62,800,59.00,59.00,58.40,58.60,0,0,200
NCS,20170124,55.53,55.53,55.34,55.33,1100,58.50,58.50,58.30,58.30,0,0,0
NCS,20170123,56.00,56.00,55.62,55.62,1300,59.00,59.00,58.60,58.60,0,0,0
NCS,20170120,56.00,56.00,56.00,56.00,3200,59.00,59.00,59.00,59.00,0,0,3000
NCS,20170119,54.76,55.99,54.76,56.00,2310,57.70,59.00,57.70,59.00,0,0,900
NCS,20170118,55.15,55.53,55.15,55.52,1400,58.10,58.50,58.10,58.50,0,0,0
NCS,20170117,58.37,58.37,56.00,56.00,3300,61.50,61.50,59.00,59.00,0,0,3000
NCS,20170116,58.75,58.75,56.95,56.95,1500,61.90,61.90,60.00,60.00,0,0,0
NCS,20170113,57.89,57.89,56.95,56.95,200,61.00,61.00,60.00,60.00,0,0,0
NCS,20170112,55.24,57.43,54.96,57.42,4200,58.20,60.50,57.90,60.50,0,0,1500
NCS,20170111,56.66,57.90,56.66,57.52,1000,59.70,61.00,59.70,60.60,0,0,400
NCS,20170110,55.99,56.18,55.52,56.00,13300,59.00,59.20,58.50,59.00,0,4000,5000
NCS,20170109,52.68,56.95,52.68,55.52,6200,55.50,60.00,55.50,58.50,0,200,4100
NCS,20170106,57.90,57.90,56.00,56.95,3400,61.00,61.00,59.00,60.00,0,0,0
NCS,20170105,61.70,61.70,58.37,58.37,7000,65.00,65.00,61.50,61.50,0,0,1000
NCS,20170104,56.00,58.57,56.00,56.95,6500,59.00,61.70,59.00,60.00,0,0,200
NCS,20170103,58.84,60.08,58.84,58.85,3500,62.00,63.30,62.00,62.00,0,0,400
NCS,20161230,59.32,60.18,56.95,58.75,5100,62.50,63.40,60.00,61.90,0,0,600
NCS,20161229,56.10,60.27,49.36,57.71,9800,59.10,63.50,52.00,60.80,0,0,0
NCS,20161228,58.28,58.28,56.95,56.95,2000,61.40,61.40,60.00,60.00,0,0,900
NCS,20161227,58.37,58.85,57.90,58.85,10700,61.50,62.00,61.00,62.00,0,0,0
NCS,20161226,59.13,60.74,58.84,60.27,1700,62.30,64.00,62.00,63.50,0,0,500
NCS,20161223,60.37,61.70,60.37,61.69,2000,63.60,65.00,63.60,65.00,0,0,500
NCS,20161222,61.41,61.50,59.60,59.61,9700,64.70,64.80,62.80,62.80,0,0,1200
NCS,20161221,61.50,61.50,61.50,61.50,400,64.80,64.80,64.80,64.80,0,0,0
NCS,20161220,61.70,62.45,59.32,59.79,5600,65.00,65.80,62.50,63.00,0,0,0
NCS,20161219,63.02,63.02,60.93,62.36,3200,66.40,66.40,64.20,65.70,0,0,0
NCS,20161216,62.45,62.45,59.79,61.69,12200,65.80,65.80,63.00,65.00,0,2000,0
NCS,20161215,62.64,62.64,59.79,61.88,5800,66.00,66.00,63.00,65.20,0,0,0
NCS,20161214,60.84,61.31,59.80,59.98,6500,64.10,64.60,63.00,63.20,0,2500,0
NCS,20161213,61.50,63.87,60.83,60.84,2000,64.80,67.30,64.10,64.10,0,0,100
NCS,20161212,61.50,61.50,60.74,60.74,900,64.80,64.80,64.00,64.00,0,0,0
NCS,20161209,61.69,61.69,60.74,60.74,2100,65.00,65.00,64.00,64.00,0,0,0
NCS,20161208,59.80,62.65,59.42,61.50,1300,63.00,66.00,62.60,64.80,0,0,0
NCS,20161207,60.55,60.55,58.37,58.85,3300,63.80,63.80,61.50,62.00,0,0,400
NCS,20161206,61.79,61.79,58.85,59.32,7800,65.10,65.10,62.00,62.50,0,0,800
NCS,20161205,63.02,63.02,62.17,62.36,7500,66.40,66.40,65.50,65.70,0,0,0
NCS,20161202,63.88,63.88,63.59,63.59,900,67.30,67.30,67.00,67.00,0,0,0
NCS,20161201,65.11,65.11,63.12,63.12,4800,68.60,68.60,66.50,66.50,0,0,1100
NCS,20161130,65.49,66.25,63.12,64.45,5000,69.00,69.80,66.50,67.90,0,0,600
NCS,20161129,65.20,66.44,63.59,64.45,5000,68.70,70.00,67.00,67.90,0,0,400
NCS,20161128,65.49,66.92,62.65,62.64,3600,69.00,70.50,66.00,66.00,0,0,0
NCS,20161125,66.92,66.92,63.12,63.12,2200,70.50,70.50,66.50,66.50,0,0,0
NCS,20161124,63.02,64.54,63.02,63.12,6400,66.40,68.00,66.40,66.50,0,0,0
NCS,20161123,66.44,67.86,64.54,64.54,6300,70.00,71.50,68.00,68.00,0,500,0
NCS,20161122,70.23,72.70,66.63,67.39,6400,74.00,76.60,70.20,71.00,0,0,200
NCS,20161121,71.19,74.61,68.34,68.81,13200,75.00,78.60,72.00,72.50,0,0,1700
NCS,20161118,64.54,72.13,64.54,68.91,34150,68.00,76.00,68.00,72.60,0,0,13300
NCS,20161117,60.93,66.62,60.74,65.49,31900,64.20,70.20,64.00,69.00,0,0,400
NCS,20161116,63.21,63.21,60.37,61.31,2200,66.60,66.60,63.60,64.60,0,0,0
NCS,20161115,62.64,63.11,58.84,62.17,3600,66.00,66.50,62.00,65.50,0,0,0
NCS,20161114,65.02,65.02,60.75,60.74,5300,68.50,68.50,64.00,64.00,0,100,0
NCS,20161111,65.01,65.01,63.12,63.12,6100,68.50,68.50,66.50,66.50,0,0,100
NCS,20161110,65.49,68.33,63.59,64.54,3600,69.00,72.00,67.00,68.00,0,0,100
NCS,20161109,62.64,63.46,60.82,62.64,9600,69.00,69.90,67.00,69.00,0,4000,1500
NCS,20161108,62.64,64.18,62.18,62.64,11700,69.00,70.70,68.50,69.00,0,0,1200
NCS,20161107,63.10,64.37,60.83,61.73,11800,69.50,70.90,67.00,68.00,0,0,700
NCS,20161104,64.37,64.73,63.55,63.55,17700,70.90,71.30,70.00,70.00,0,0,14200
NCS,20161103,63.54,66.27,63.54,63.73,14500,70.00,73.00,70.00,70.20,0,200,0
NCS,20161102,65.36,65.36,63.55,65.36,23100,72.00,72.00,70.00,72.00,0,100,300
NCS,20161101,63.54,66.26,60.82,62.64,13900,70.00,73.00,67.00,69.00,0,0,300
NCS,20161031,57.51,63.26,57.51,58.73,17800,90.00,99.00,90.00,91.90,0,1600,0
NCS,20161028,57.51,59.36,57.45,58.79,17220,90.00,92.90,89.90,92.00,0,0,0
NCS,20161027,58.15,58.15,57.32,57.32,6600,91.00,91.00,89.70,89.70,0,2200,0
NCS,20161026,57.51,60.07,57.51,57.51,4100,90.00,94.00,90.00,90.00,0,0,0
NCS,20161025,57.38,57.51,57.38,57.45,2300,89.80,90.00,89.80,89.90,0,100,0
NCS,20161024,57.52,58.80,57.20,58.15,10576,90.00,92.00,89.50,91.00,0,700,0
NCS,20161021,56.24,57.52,55.60,55.60,1100,88.00,90.00,87.00,87.00,0,0,0
NCS,20161020,56.24,56.24,56.24,56.24,200,88.00,88.00,88.00,88.00,0,0,0
NCS,20161019,56.23,56.23,56.23,56.24,1000,88.00,88.00,88.00,88.00,0,0,0
NCS,20161018,57.89,57.89,57.51,57.51,1500,90.60,90.60,90.00,90.00,0,0,0
NCS,20161017,56.87,59.30,56.87,59.30,500,89.00,92.80,89.00,92.80,0,0,0
NCS,20161014,57.39,57.39,56.88,56.87,500,89.80,89.80,89.00,89.00,0,0,0
NCS,20161013,57.39,57.39,57.39,57.39,200,89.80,89.80,89.80,89.80,0,0,0
NCS,20161012,57.51,57.51,56.87,57.45,1300,90.00,90.00,89.00,89.90,0,0,0
NCS,20161011,57.77,57.77,57.51,57.51,600,90.40,90.40,90.00,90.00,0,0,0
NCS,20161010,58.15,58.15,58.15,58.15,312,91.00,91.00,91.00,91.00,0,0,0
NCS,20161007,56.87,58.73,56.36,58.73,2500,89.00,91.90,88.20,91.90,0,0,0
NCS,20161006,56.87,58.60,56.87,58.60,900,89.00,91.70,89.00,91.70,0,0,0
NCS,20161005,58.79,59.11,57.52,57.51,1300,92.00,92.50,90.00,90.00,0,0,500
NCS,20161004,58.34,58.73,58.15,58.73,2900,91.30,91.90,91.00,91.90,0,0,200
NCS,20161003,59.69,59.69,58.79,58.79,1600,93.40,93.40,92.00,92.00,0,0,300
NCS,20160930,59.88,59.88,59.88,59.88,800,93.70,93.70,93.70,93.70,0,0,0
NCS,20160929,57.83,59.43,57.83,59.43,400,90.50,93.00,90.50,93.00,0,0,0
NCS,20160927,58.79,60.71,58.79,60.71,18400,92.00,95.00,92.00,95.00,0,0,0
NCS,20160926,58.79,58.79,58.79,58.79,100,92.00,92.00,92.00,92.00,0,0,0
NCS,20160923,60.58,60.65,58.79,58.79,1700,94.80,94.90,92.00,92.00,0,0,0
NCS,20160922,59.30,60.71,59.30,60.71,1400,92.80,95.00,92.80,95.00,0,0,0
NCS,20160921,59.37,59.37,58.79,58.79,2100,92.90,92.90,92.00,92.00,0,1500,0
NCS,20160920,58.79,59.37,58.79,58.79,9900,92.00,92.90,92.00,92.00,0,9300,100
NCS,20160919,59.94,59.94,58.79,58.79,1200,93.80,93.80,92.00,92.00,0,700,0
NCS,20160916,58.79,59.37,58.79,58.79,1710,92.00,92.90,92.00,92.00,0,200,0
NCS,20160915,59.69,59.69,59.11,59.11,2310,93.40,93.40,92.50,92.50,0,0,0
NCS,20160914,59.75,59.75,57.83,59.37,4200,93.50,93.50,90.50,92.90,0,0,0
NCS,20160913,59.43,59.43,58.79,58.79,7900,93.00,93.00,92.00,92.00,0,7000,0
NCS,20160912,58.66,58.79,58.66,58.79,1368,91.80,92.00,91.80,92.00,0,1100,100
NCS,20160909,58.15,58.79,58.15,58.79,12100,91.00,92.00,91.00,92.00,0,9300,100
NCS,20160908,57.51,58.15,57.51,57.83,3400,90.00,91.00,90.00,90.50,0,1100,0
NCS,20160907,57.51,57.51,57.51,57.51,400,90.00,90.00,90.00,90.00,0,0,0
NCS,20160906,58.09,58.09,57.51,57.51,1800,90.90,90.90,90.00,90.00,0,300,0
NCS,20160905,57.51,57.83,57.51,57.83,2800,90.00,90.50,90.00,90.50,0,0,200
NCS,20160901,58.47,60.07,58.15,58.15,1500,91.50,94.00,91.00,91.00,0,0,0
NCS,20160831,58.66,58.66,58.66,58.66,100,91.80,91.80,91.80,91.80,0,0,0
NCS,20160830,58.15,58.47,57.57,58.47,1600,91.00,91.50,90.10,91.50,0,0,0
NCS,20160829,59.30,59.30,59.30,59.30,200,92.80,92.80,92.80,92.80,0,0,0
NCS,20160826,59.94,59.94,58.15,58.15,2700,93.80,93.80,91.00,91.00,0,0,0
NCS,20160825,60.70,60.70,59.43,59.43,1400,95.00,95.00,93.00,93.00,0,0,0
NCS,20160824,57.57,58.02,57.51,58.02,5950,90.10,90.80,90.00,90.80,0,1000,0
NCS,20160823,57.51,57.51,57.51,57.51,4300,90.00,90.00,90.00,90.00,0,600,0
NCS,20160822,58.15,58.15,57.51,57.51,8400,91.00,91.00,90.00,90.00,0,0,0
NCS,20160819,57.51,57.51,57.51,57.51,5700,90.00,90.00,90.00,90.00,0,5500,0
NCS,20160818,57.51,57.51,57.51,57.51,1500,90.00,90.00,90.00,90.00,0,1500,0
NCS,20160817,58.02,58.02,57.51,57.51,2800,90.80,90.80,90.00,90.00,0,100,0
NCS,20160816,57.51,57.96,57.51,57.51,5100,90.00,90.70,90.00,90.00,0,2500,0
NCS,20160815,58.66,58.66,57.51,57.51,1600,91.80,91.80,90.00,90.00,9500,1300,0
NCS,20160812,60.71,60.71,57.51,58.47,8756,95.00,95.00,90.00,91.50,10000,6300,0
NCS,20160811,57.51,57.64,57.51,57.64,14520,90.00,90.20,90.00,90.20,0,9500,0
NCS,20160810,57.57,57.77,57.19,57.19,6250,90.10,90.40,89.50,89.50,0,3000,0
NCS,20160809,57.51,57.64,57.51,57.51,6300,90.00,90.20,90.00,90.00,20000,4300,0
NCS,20160808,57.51,57.57,57.51,57.51,5900,90.00,90.10,90.00,90.00,0,3700,100
NCS,20160805,58.15,58.15,57.51,57.51,4400,91.00,91.00,90.00,90.00,0,1500,0
NCS,20160804,57.89,58.40,57.51,57.51,7900,90.60,91.40,90.00,90.00,0,5500,0
NCS,20160803,57.51,57.51,57.51,57.51,3200,90.00,90.00,90.00,90.00,0,3000,0
NCS,20160802,57.64,57.64,56.55,57.51,5900,90.20,90.20,88.50,90.00,0,3600,0
NCS,20160801,57.83,58.40,57.83,58.15,3000,90.50,91.40,90.50,91.00,0,1500,0
NCS,20160729,58.85,58.98,58.34,58.34,2010,92.10,92.30,91.30,91.30,0,0,0
NCS,20160728,58.79,59.30,58.79,59.30,600,92.00,92.80,92.00,92.80,0,500,0
NCS,20160727,59.62,59.62,59.43,59.43,1300,93.30,93.30,93.00,93.00,0,0,0
NCS,20160726,59.43,60.71,59.43,59.43,2500,93.00,95.00,93.00,93.00,0,500,0
NCS,20160725,59.75,59.75,58.79,59.75,4800,93.50,93.50,92.00,93.50,0,2000,0
NCS,20160722,59.43,59.43,57.51,58.79,3000,93.00,93.00,90.00,92.00,0,0,0
