<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NHS,20151027,15.80,16.10,15.80,15.80,1325800,15.80,16.10,15.80,15.80,0,0,0
NHS,20151026,16.20,16.40,16.00,16.00,553960,16.20,16.40,16.00,16.00,0,0,0
NHS,20151023,16.80,16.90,16.20,16.20,673840,16.80,16.90,16.20,16.20,0,0,0
NHS,20151022,17.10,17.20,16.40,16.90,1090560,17.10,17.20,16.40,16.90,0,520,0
NHS,20151021,15.60,16.90,15.60,16.90,1955450,15.60,16.90,15.60,16.90,0,0,30000
NHS,20151020,17.10,17.30,16.20,16.20,1299990,17.10,17.30,16.20,16.20,0,0,0
NHS,20151019,17.40,17.70,17.00,17.10,1422680,17.40,17.70,17.00,17.10,0,4500,200
NHS,20151016,17.30,17.80,16.90,17.70,2102530,17.30,17.80,16.90,17.70,0,0,12000
NHS,20151015,17.30,17.70,17.00,17.60,1684770,17.30,17.70,17.00,17.60,0,0,0
NHS,20151014,17.20,17.60,16.80,17.50,1302130,17.20,17.60,16.80,17.50,0,0,0
NHS,20151013,16.60,17.60,16.60,17.40,2166920,16.60,17.60,16.60,17.40,0,0,5000
NHS,20151012,17.30,17.60,17.10,17.10,1501060,17.30,17.60,17.10,17.10,0,0,0
NHS,20151009,16.30,17.50,16.20,17.30,1217220,16.30,17.50,16.20,17.30,0,0,0
NHS,20151008,16.60,17.00,15.70,16.90,1463190,16.60,17.00,15.70,16.90,0,0,0
NHS,20151007,15.70,16.60,15.60,16.40,933050,15.70,16.60,15.60,16.40,0,0,0
NHS,20151006,15.30,15.70,15.30,15.70,565680,15.30,15.70,15.30,15.70,0,0,0
NHS,20151005,15.10,15.40,14.90,15.40,613030,15.10,15.40,14.90,15.40,0,0,5390
NHS,20151002,15.10,15.10,14.90,15.10,440030,15.10,15.10,14.90,15.10,0,0,1000
