<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NSC,20170627,108.00,109.00,108.00,108.00,1150,108.00,109.00,108.00,108.00,0,1060,0
NSC,20170626,108.00,108.00,106.10,108.00,1080,108.00,108.00,106.10,108.00,0,1060,0
NSC,20170623,108.00,108.00,107.00,108.00,1620,108.00,108.00,107.00,108.00,0,1590,0
NSC,20170622,108.50,108.50,106.60,106.60,1610,108.50,108.50,106.60,106.60,0,310,0
NSC,20170621,109.00,109.00,107.00,107.00,2860,109.00,109.00,107.00,107.00,0,340,0
NSC,20170620,110.00,110.00,106.50,106.70,1640,110.00,110.00,106.50,106.70,0,20,0
NSC,20170619,110.00,110.00,107.00,107.50,520,110.00,110.00,107.00,107.50,0,490,10
NSC,20170616,103.20,107.30,103.20,107.10,2450,103.20,107.30,103.20,107.10,0,30,350
NSC,20170615,107.50,107.50,107.30,107.30,570,107.50,107.50,107.30,107.30,0,540,0
NSC,20170614,108.00,108.00,103.30,107.50,3120,108.00,108.00,103.30,107.50,0,60,20
NSC,20170613,107.50,108.10,107.50,107.50,4130,107.50,108.10,107.50,107.50,0,0,20
NSC,20170612,107.00,108.90,107.00,108.50,12600,107.00,108.90,107.00,108.50,0,40,40
NSC,20170609,108.50,110.00,107.00,107.10,2600,108.50,110.00,107.00,107.10,0,170,0
NSC,20170608,105.90,108.40,105.90,108.20,8360,105.90,108.40,105.90,108.20,0,190,0
NSC,20170607,103.00,106.40,103.00,104.20,5510,103.00,106.40,103.00,104.20,0,170,20
NSC,20170606,106.90,106.90,106.90,106.90,510,106.90,106.90,106.90,106.90,0,510,0
NSC,20170605,105.00,106.00,101.10,103.00,1520,105.00,106.00,101.10,103.00,0,150,0
NSC,20170602,102.10,104.90,102.00,104.00,4410,102.10,104.90,102.00,104.00,0,1020,1550
NSC,20170601,102.30,105.40,102.20,105.40,2340,102.30,105.40,102.20,105.40,0,330,0
NSC,20170531,105.00,109.00,105.00,109.00,840,105.00,109.00,105.00,109.00,0,530,0
NSC,20170530,105.80,113.10,102.00,102.00,27560,105.80,113.10,102.00,102.00,0,1550,260
NSC,20170529,106.00,106.00,102.50,105.80,3070,106.00,106.00,102.50,105.80,0,200,0
NSC,20170526,103.00,107.00,103.00,105.80,1190,103.00,107.00,103.00,105.80,0,220,0
NSC,20170525,104.80,107.00,104.80,107.00,1660,104.80,107.00,104.80,107.00,0,1660,0
NSC,20170524,111.00,111.00,106.00,107.00,1550,111.00,111.00,106.00,107.00,0,20,10
NSC,20170523,102.80,107.60,102.50,105.90,3300,102.80,107.60,102.50,105.90,0,680,0
NSC,20170522,103.00,103.50,100.60,100.60,6330,103.00,103.50,100.60,100.60,0,5040,300
NSC,20170519,102.00,104.00,101.00,103.00,6380,102.00,104.00,101.00,103.00,0,970,0
NSC,20170518,98.50,104.80,98.50,104.80,1390,98.50,104.80,98.50,104.80,0,390,0
NSC,20170517,104.00,104.80,103.00,103.20,5500,104.00,104.80,103.00,103.20,0,2190,0
NSC,20170516,104.90,106.00,102.50,102.70,4360,104.90,106.00,102.50,102.70,0,1300,0
NSC,20170515,104.90,104.90,104.90,104.90,110,104.90,104.90,104.90,104.90,0,10,0
NSC,20170512,109.00,109.00,100.80,105.00,1250,109.00,109.00,100.80,105.00,0,120,0
NSC,20170511,103.50,107.00,103.40,107.00,90,103.50,107.00,103.40,107.00,0,40,0
NSC,20170510,111.00,114.00,101.00,107.60,3320,111.00,114.00,101.00,107.60,0,1160,0
NSC,20170509,105.90,109.90,105.00,106.80,3090,105.90,109.90,105.00,106.80,0,610,230
NSC,20170508,103.00,106.80,103.00,106.80,210,103.00,106.80,103.00,106.80,0,10,0
NSC,20170505,102.00,107.00,102.00,106.90,2750,102.00,107.00,102.00,106.90,0,630,40
NSC,20170504,108.00,108.00,102.10,102.10,840,108.00,108.00,102.10,102.10,0,580,10
NSC,20170503,115.00,115.00,102.00,102.00,3060,115.00,115.00,102.00,102.00,0,60,840
NSC,20170428,103.00,112.30,100.30,109.00,1810,103.00,112.30,100.30,109.00,0,1560,100
NSC,20170427,103.00,105.00,100.00,105.00,3950,103.00,105.00,100.00,105.00,0,2380,0
NSC,20170426,102.00,103.00,100.00,102.00,3790,102.00,103.00,100.00,102.00,0,120,0
NSC,20170425,101.00,103.00,100.00,101.00,5690,101.00,103.00,100.00,101.00,0,100,0
NSC,20170424,101.00,103.00,100.00,101.00,510,101.00,103.00,100.00,101.00,0,110,0
NSC,20170421,102.00,102.00,98.20,100.00,13430,102.00,102.00,98.20,100.00,0,750,0
NSC,20170420,99.90,100.40,99.90,100.40,140,99.90,100.40,99.90,100.40,0,140,0
NSC,20170419,104.00,108.00,100.00,101.00,610,104.00,108.00,100.00,101.00,0,480,0
NSC,20170418,96.40,104.00,96.40,104.00,5440,96.40,104.00,96.40,104.00,0,1360,10
NSC,20170414,98.60,100.00,97.20,99.10,3280,98.60,100.00,97.20,99.10,0,2440,0
NSC,20170413,96.60,98.70,96.60,98.50,2410,96.60,98.70,96.60,98.50,0,150,0
NSC,20170412,98.30,98.80,95.80,98.40,3150,98.30,98.80,95.80,98.40,0,150,3000
NSC,20170411,97.80,98.60,95.80,96.20,3280,97.80,98.60,95.80,96.20,0,190,3000
NSC,20170410,96.20,99.40,96.00,96.20,3060,96.20,99.40,96.00,96.20,0,300,3000
NSC,20170407,99.30,100.00,99.30,100.00,11610,99.30,100.00,99.30,100.00,0,30,5000
NSC,20170405,97.50,99.40,95.10,99.40,5980,97.50,99.40,95.10,99.40,0,340,5500
NSC,20170404,95.10,100.00,95.10,96.10,3660,95.10,100.00,95.10,96.10,0,1320,3000
NSC,20170403,101.50,101.50,95.20,101.00,300,101.50,101.50,95.20,101.00,0,180,0
NSC,20170331,97.00,101.50,94.10,101.50,7110,97.00,101.50,94.10,101.50,0,3840,3490
NSC,20170330,95.10,98.50,94.00,98.20,10470,95.10,98.50,94.00,98.20,0,110,3010
NSC,20170329,98.00,99.00,98.00,98.50,290,98.00,99.00,98.00,98.50,0,290,0
NSC,20170328,99.60,99.60,93.10,99.00,25040,99.60,99.60,93.10,99.00,0,60,3000
NSC,20170327,99.90,99.90,96.60,99.10,1350,99.90,99.90,96.60,99.10,0,30,70
NSC,20170324,100.00,100.00,97.00,99.20,800,100.00,100.00,97.00,99.20,0,300,250
NSC,20170323,100.00,100.00,98.00,99.30,2130,100.00,100.00,98.00,99.30,0,530,0
NSC,20170322,100.50,100.50,99.00,99.00,1250,100.50,100.50,99.00,99.00,0,140,0
NSC,20170321,100.00,101.00,96.60,99.00,870,100.00,101.00,96.60,99.00,0,260,10
NSC,20170320,97.50,101.00,96.50,100.00,1990,97.50,101.00,96.50,100.00,0,530,0
NSC,20170317,98.00,101.00,96.20,100.00,5120,98.00,101.00,96.20,100.00,0,3490,0
NSC,20170316,99.30,99.40,96.10,98.10,2770,99.30,99.40,96.10,98.10,0,1380,0
NSC,20170315,96.50,99.00,96.50,99.00,1370,96.50,99.00,96.50,99.00,0,690,0
NSC,20170314,99.00,99.50,96.50,99.00,1690,99.00,99.50,96.50,99.00,0,1680,0
NSC,20170313,99.50,99.50,98.00,99.50,550,99.50,99.50,98.00,99.50,0,370,0
NSC,20170310,99.60,100.00,96.00,99.60,2460,99.60,100.00,96.00,99.60,0,600,10
NSC,20170309,100.00,100.00,95.50,99.40,2820,100.00,100.00,95.50,99.40,0,2480,0
NSC,20170308,100.90,100.90,96.00,100.00,1620,100.90,100.90,96.00,100.00,0,120,0
NSC,20170307,99.50,102.00,95.00,99.40,1130,99.50,102.00,95.00,99.40,0,90,0
NSC,20170306,101.50,101.50,95.00,99.00,1170,101.50,101.50,95.00,99.00,0,40,0
NSC,20170303,96.00,101.00,96.00,99.00,2390,96.00,101.00,96.00,99.00,0,240,0
