<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NSG,20170627,11.40,11.40,10.10,10.10,4400,11.40,11.40,10.10,10.10,0,0,0
NSG,20170621,11.20,11.50,11.20,11.50,300,11.20,11.50,11.20,11.50,0,0,0
NSG,20170620,10.00,11.20,10.00,11.20,4000,10.00,11.20,10.00,11.20,0,0,0
NSG,20170616,11.40,11.40,11.40,11.40,100,11.40,11.40,11.40,11.40,0,0,0
NSG,20170614,10.00,10.00,10.00,10.00,2700,10.00,10.00,10.00,10.00,0,0,0
NSG,20170613,11.20,11.20,11.20,11.20,100,11.20,11.20,11.20,11.20,100000,0,0
NSG,20170612,9.80,9.80,9.80,9.80,100,9.80,9.80,9.80,9.80,0,0,0
NSG,20170609,11.50,11.50,11.40,11.40,10500,11.50,11.50,11.40,11.40,0,0,0
NSG,20170607,11.00,12.00,11.00,12.00,8300,11.00,12.00,11.00,12.00,0,0,0
NSG,20170606,10.90,11.00,10.90,10.90,101800,10.90,11.00,10.90,10.90,0,0,0
NSG,20170601,11.50,13.00,10.50,10.50,25800,11.50,13.00,10.50,10.50,0,0,0
NSG,20170531,11.60,11.60,11.50,11.60,9900,11.60,11.60,11.50,11.60,0,0,0
NSG,20170530,10.10,10.10,10.10,10.10,300,10.10,10.10,10.10,10.10,0,0,0
NSG,20170529,11.50,11.80,11.50,11.80,22100,11.50,11.80,11.50,11.80,0,0,0
NSG,20170526,11.50,11.50,11.50,11.50,200,11.50,11.50,11.50,11.50,0,0,0
NSG,20170525,11.00,11.00,11.00,11.00,200,11.00,11.00,11.00,11.00,0,0,0
NSG,20170523,12.90,12.90,12.90,12.90,3700,12.90,12.90,12.90,12.90,0,0,0
NSG,20170518,11.90,11.90,11.90,11.90,1700,11.90,11.90,11.90,11.90,0,0,0
NSG,20170517,11.20,11.20,11.20,11.20,200,11.20,11.20,11.20,11.20,0,0,0
NSG,20170516,9.30,11.20,9.30,11.20,6900,9.30,11.20,9.30,11.20,0,0,0
NSG,20170515,10.90,10.90,10.90,10.90,1000,10.90,10.90,10.90,10.90,0,0,0
NSG,20170512,9.60,9.60,9.60,9.60,200,9.60,9.60,9.60,9.60,0,0,0
NSG,20170511,10.70,11.10,9.70,11.00,4300,10.70,11.10,9.70,11.00,0,0,0
NSG,20170510,10.90,11.10,10.90,11.10,500,10.90,11.10,10.90,11.10,0,0,0
NSG,20170509,10.90,10.90,10.90,10.90,200,10.90,10.90,10.90,10.90,0,0,0
NSG,20170508,11.20,11.20,10.30,10.50,6000,11.20,11.20,10.30,10.50,0,0,0
NSG,20170505,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
NSG,20170504,11.40,11.40,11.40,11.40,1800,11.40,11.40,11.40,11.40,0,0,0
NSG,20170503,10.90,10.90,9.60,9.60,2800,10.90,10.90,9.60,9.60,0,0,0
NSG,20170428,10.20,10.20,10.20,10.20,100,10.20,10.20,10.20,10.20,0,0,0
NSG,20170427,8.90,8.90,8.90,8.90,200,8.90,8.90,8.90,8.90,0,0,0
NSG,20170426,8.20,11.00,8.20,11.00,2000,8.20,11.00,8.20,11.00,0,0,0
NSG,20170425,9.60,9.60,9.60,9.60,1400,9.60,9.60,9.60,9.60,0,0,0
NSG,20170424,8.50,8.50,8.50,8.50,500,8.50,8.50,8.50,8.50,0,0,0
NSG,20170421,10.00,10.00,10.00,10.00,5000,10.00,10.00,10.00,10.00,0,0,0
NSG,20170420,10.40,10.40,9.20,9.20,1500,10.40,10.40,9.20,9.20,0,0,0
NSG,20170419,10.30,10.30,9.10,9.10,600,10.30,10.30,9.10,9.10,0,0,0
