<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NSN,20140418,2.50,2.50,2.50,2.50,700,2.50,2.50,2.50,2.50,0,0,0
NSN,20140411,2.50,2.80,2.50,2.70,12200,2.50,2.80,2.50,2.70,0,0,0
NSN,20140404,3.30,3.30,2.70,2.70,4630,3.30,3.30,2.70,2.70,0,0,100
NSN,20140328,3.00,3.00,3.00,3.00,73810,3.00,3.00,3.00,3.00,0,0,0
NSN,20140321,2.50,2.80,2.40,2.80,75272,2.50,2.80,2.40,2.80,0,0,0
NSN,20140317,2.40,2.60,2.40,2.60,21010,2.40,2.60,2.40,2.60,0,0,0
NSN,20140314,2.30,2.40,2.30,2.40,11010,2.30,2.40,2.30,2.40,0,0,0
NSN,20140312,2.40,2.40,2.30,2.40,7000,2.40,2.40,2.30,2.40,0,0,0
NSN,20140311,2.40,2.40,2.30,2.30,13140,2.40,2.40,2.30,2.30,0,0,0
NSN,20140310,2.40,2.40,2.40,2.40,15500,2.40,2.40,2.40,2.40,0,0,2000
NSN,20140307,2.30,2.40,2.30,2.40,22200,2.30,2.40,2.30,2.40,0,0,2700
NSN,20140306,2.30,2.40,2.20,2.40,2600,2.30,2.40,2.20,2.40,0,0,0
NSN,20140304,2.30,2.40,2.30,2.40,200,2.30,2.40,2.30,2.40,0,0,0
NSN,20140303,2.40,2.50,2.30,2.50,7700,2.40,2.50,2.30,2.50,0,0,0
NSN,20140228,2.40,2.40,2.40,2.40,33700,2.40,2.40,2.40,2.40,0,0,0
NSN,20140227,2.50,2.50,2.40,2.50,17911,2.50,2.50,2.40,2.50,0,0,0
NSN,20140226,2.30,2.50,2.30,2.50,6400,2.30,2.50,2.30,2.50,0,0,3000
NSN,20140225,2.40,2.50,2.20,2.50,18610,2.40,2.50,2.20,2.50,0,0,100
NSN,20140224,2.50,2.50,2.40,2.40,4500,2.50,2.50,2.40,2.40,0,0,0
NSN,20140221,2.40,2.50,2.40,2.50,7100,2.40,2.50,2.40,2.50,0,0,0
NSN,20140220,2.40,2.50,2.40,2.50,11800,2.40,2.50,2.40,2.50,0,0,0
NSN,20140219,2.40,2.40,2.30,2.30,29800,2.40,2.40,2.30,2.30,0,0,0
NSN,20140218,2.50,2.50,2.50,2.50,5299,2.50,2.50,2.50,2.50,0,0,0
NSN,20140217,2.30,2.30,2.20,2.30,10500,2.30,2.30,2.20,2.30,0,400,0
NSN,20140214,2.40,2.40,2.20,2.30,87600,2.40,2.40,2.20,2.30,0,2000,0
