<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NTC,20170627,45.00,45.00,44.90,45.00,13300,45.00,45.00,44.90,45.00,0,0,0
NTC,20170626,45.00,45.00,45.00,45.00,23000,45.00,45.00,45.00,45.00,0,0,0
NTC,20170623,45.00,45.40,44.80,45.00,28410,45.00,45.40,44.80,45.00,0,0,0
NTC,20170622,45.50,45.50,44.60,45.00,33300,45.50,45.50,44.60,45.00,0,0,0
NTC,20170621,45.50,45.80,45.30,45.50,10000,45.50,45.80,45.30,45.50,0,0,0
NTC,20170620,45.40,45.70,45.40,45.50,10200,45.40,45.70,45.40,45.50,0,0,200
NTC,20170619,46.40,46.40,46.00,46.10,21031,46.40,46.40,46.00,46.10,0,0,0
NTC,20170616,46.20,46.40,46.20,46.40,3900,46.20,46.40,46.20,46.40,0,0,0
NTC,20170615,46.00,46.20,46.00,46.10,12100,46.00,46.20,46.00,46.10,0,0,0
NTC,20170614,45.30,47.00,45.30,46.00,21500,45.30,47.00,45.30,46.00,0,0,0
NTC,20170613,46.30,46.30,46.00,46.20,16300,46.30,46.30,46.00,46.20,0,100,0
NTC,20170612,48.00,48.30,47.50,47.50,11100,48.00,48.30,47.50,47.50,0,100,0
NTC,20170609,48.40,48.50,48.00,48.00,8400,48.40,48.50,48.00,48.00,0,0,0
NTC,20170608,47.40,49.40,47.40,48.00,18700,47.40,49.40,47.40,48.00,0,0,0
NTC,20170607,48.10,49.40,48.00,49.00,66001,48.10,49.40,48.00,49.00,0,0,0
NTC,20170606,45.40,49.00,45.40,48.30,60730,45.40,49.00,45.40,48.30,0,0,0
NTC,20170605,45.10,45.80,45.10,45.80,13600,45.10,45.80,45.10,45.80,0,0,0
NTC,20170602,44.80,45.50,44.80,45.10,13800,44.80,45.50,44.80,45.10,0,0,0
NTC,20170601,44.50,46.00,44.20,45.50,14600,44.50,46.00,44.20,45.50,0,0,0
NTC,20170531,46.30,46.30,45.00,45.90,29100,46.30,46.30,45.00,45.90,0,0,0
NTC,20170530,45.00,46.40,44.60,46.00,45210,45.00,46.40,44.60,46.00,0,0,0
NTC,20170529,43.80,45.50,43.00,45.50,20520,43.80,45.50,43.00,45.50,0,0,0
NTC,20170526,43.00,43.30,42.80,43.10,76310,43.00,43.30,42.80,43.10,0,0,0
NTC,20170525,44.00,44.00,42.50,42.50,110100,44.00,44.00,42.50,42.50,0,0,0
NTC,20170524,45.50,45.50,43.50,43.50,48610,45.50,45.50,43.50,43.50,0,0,200
NTC,20170523,46.17,46.17,45.80,45.80,23500,49.20,49.20,48.80,48.80,0,0,0
NTC,20170522,45.99,46.37,45.99,46.36,11800,49.00,49.40,49.00,49.40,0,0,0
NTC,20170519,45.80,46.45,45.80,46.46,7200,48.80,49.50,48.80,49.50,0,0,0
NTC,20170518,46.46,46.46,45.90,45.89,23100,49.50,49.50,48.90,48.90,0,0,0
NTC,20170517,46.73,46.73,45.98,46.74,29210,49.80,49.80,49.00,49.80,0,0,0
NTC,20170516,46.83,46.92,46.55,46.64,21710,49.90,50.00,49.60,49.70,0,0,0
