<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ORS,20170627,2.90,2.90,2.70,2.80,700,2.90,2.90,2.70,2.80,0,0,0
ORS,20170626,3.00,3.00,2.70,2.70,2200,3.00,3.00,2.70,2.70,0,0,0
ORS,20170622,2.70,2.90,2.70,2.90,11100,2.70,2.90,2.70,2.90,0,0,0
ORS,20170621,2.80,3.00,2.80,3.00,13100,2.80,3.00,2.80,3.00,0,0,0
ORS,20170616,2.80,3.10,2.80,3.10,2100,2.80,3.10,2.80,3.10,0,0,0
ORS,20170615,3.00,3.00,3.00,3.00,100,3.00,3.00,3.00,3.00,0,0,0
ORS,20170614,2.80,3.00,2.80,2.80,927,2.80,3.00,2.80,2.80,0,0,0
ORS,20170608,2.80,3.10,2.80,3.10,200,2.80,3.10,2.80,3.10,0,0,0
ORS,20170607,2.90,2.90,2.90,2.90,200,2.90,2.90,2.90,2.90,0,0,0
ORS,20170605,2.80,3.00,2.80,2.90,5200,2.80,3.00,2.80,2.90,0,0,0
ORS,20170602,2.90,2.90,2.90,2.90,200,2.90,2.90,2.90,2.90,0,0,0
ORS,20170601,2.90,2.90,2.90,2.90,300,2.90,2.90,2.90,2.90,0,0,0
ORS,20170531,2.80,2.90,2.70,2.70,1600,2.80,2.90,2.70,2.70,0,0,0
ORS,20170530,2.70,2.90,2.70,2.90,800,2.70,2.90,2.70,2.90,0,0,0
ORS,20170529,3.00,3.00,2.80,2.80,200,3.00,3.00,2.80,2.80,0,0,0
ORS,20170526,3.00,3.00,3.00,3.00,100,3.00,3.00,3.00,3.00,0,0,0
ORS,20170525,2.90,2.90,2.90,2.90,12300,2.90,2.90,2.90,2.90,0,0,0
ORS,20170524,3.00,3.00,2.70,2.70,300,3.00,3.00,2.70,2.70,0,0,0
ORS,20170523,2.90,2.90,2.80,2.80,200,2.90,2.90,2.80,2.80,0,0,0
ORS,20170522,2.60,2.90,2.60,2.90,200,2.60,2.90,2.60,2.90,0,0,0
ORS,20170519,2.80,2.80,2.80,2.80,2000,2.80,2.80,2.80,2.80,0,0,0
ORS,20170518,2.90,3.00,2.90,3.00,800,2.90,3.00,2.90,3.00,0,0,0
ORS,20170509,3.00,3.00,3.00,3.00,100,3.00,3.00,3.00,3.00,0,0,0
ORS,20170504,2.70,3.00,2.70,3.00,5100,2.70,3.00,2.70,3.00,0,0,0
ORS,20170428,2.90,3.00,2.90,3.00,2400,2.90,3.00,2.90,3.00,0,0,0
ORS,20170426,3.10,3.10,3.10,3.10,100,3.10,3.10,3.10,3.10,0,0,0
ORS,20170425,2.90,2.90,2.90,2.90,1900,2.90,2.90,2.90,2.90,0,0,0
ORS,20170424,2.90,2.90,2.90,2.90,100,2.90,2.90,2.90,2.90,0,0,0
