<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PAC,20170627,58.00,58.00,54.60,55.00,404300,58.00,58.00,54.60,55.00,85000,5000,12850
PAC,20170626,57.00,59.00,57.00,57.00,104880,57.00,59.00,57.00,57.00,0,5000,12850
PAC,20170623,54.50,58.10,54.50,57.40,377480,54.50,58.10,54.50,57.40,0,118320,600
PAC,20170622,52.20,54.50,52.20,54.30,137900,52.20,54.50,52.20,54.30,100000,100140,4900
PAC,20170621,53.00,53.00,51.60,53.00,103280,53.00,53.00,51.60,53.00,0,71000,2300
PAC,20170620,50.30,52.20,50.20,52.00,274510,50.30,52.20,50.20,52.00,21000,243700,35600
PAC,20170619,49.35,50.50,47.70,50.30,206820,49.35,50.50,47.70,50.30,0,105730,7000
PAC,20170616,48.40,49.80,48.40,49.35,73960,48.40,49.80,48.40,49.35,30000,30390,32000
PAC,20170615,49.80,49.80,47.90,48.40,213750,49.80,49.80,47.90,48.40,169920,161670,198250
PAC,20170614,47.00,50.00,47.00,49.90,238620,47.00,50.00,47.00,49.90,0,73790,6420
PAC,20170613,48.10,48.40,47.10,47.60,86060,48.10,48.40,47.10,47.60,0,37410,2060
PAC,20170612,46.50,48.00,46.00,47.70,221070,46.50,48.00,46.00,47.70,0,124520,4740
PAC,20170609,45.90,46.75,45.60,46.50,189200,45.90,46.75,45.60,46.50,0,68050,2150
PAC,20170608,44.60,45.80,44.00,45.50,222140,44.60,45.80,44.00,45.50,0,95210,10620
PAC,20170607,44.80,44.90,44.30,44.60,93290,44.80,44.90,44.30,44.60,0,300,0
PAC,20170606,45.40,45.40,44.35,44.50,68470,45.40,45.40,44.35,44.50,0,6600,1410
PAC,20170605,43.50,45.20,43.50,44.70,160330,43.50,45.20,43.50,44.70,0,15110,2370
PAC,20170602,43.10,43.80,43.10,43.70,115030,43.10,43.80,43.10,43.70,0,12040,200
PAC,20170601,44.90,44.90,43.50,44.00,41390,44.90,44.90,43.50,44.00,0,1800,100
PAC,20170531,43.60,44.80,43.20,44.30,213250,43.60,44.80,43.20,44.30,25000,79880,2110
PAC,20170530,42.00,44.50,41.80,43.20,262830,42.00,44.50,41.80,43.20,0,3190,1180
PAC,20170529,42.10,42.70,41.80,42.00,117300,42.10,42.70,41.80,42.00,0,200,5000
PAC,20170526,44.00,44.00,42.50,42.70,99040,44.00,44.00,42.50,42.70,0,1200,5100
PAC,20170525,42.80,43.75,42.80,43.30,163100,42.80,43.75,42.80,43.30,100000,150100,1150
PAC,20170524,43.00,43.00,42.40,42.70,150740,43.00,43.00,42.40,42.70,0,10,13110
PAC,20170523,41.40,42.40,40.90,42.00,198350,41.40,42.40,40.90,42.00,0,70000,4100
PAC,20170522,41.20,41.40,40.70,41.40,145120,41.20,41.40,40.70,41.40,0,70140,100
PAC,20170519,41.00,41.20,39.50,41.20,204380,41.00,41.20,39.50,41.20,0,96020,0
PAC,20170518,40.70,41.50,40.70,41.25,133390,40.70,41.50,40.70,41.25,0,71500,12300
PAC,20170517,41.50,41.70,40.90,41.60,139540,41.50,41.70,40.90,41.60,0,93680,200
PAC,20170516,41.00,42.00,41.00,41.80,104220,41.00,42.00,41.00,41.80,0,50000,14390
PAC,20170515,42.00,42.00,40.80,41.50,99800,42.00,42.00,40.80,41.50,0,25190,800
PAC,20170512,41.00,42.40,40.50,41.50,235210,41.00,42.40,40.50,41.50,136282,185162,136882
PAC,20170511,41.70,43.00,40.80,40.85,249880,41.70,43.00,40.80,40.85,54908,90648,125708
PAC,20170510,40.35,42.00,40.30,41.50,380170,40.35,42.00,40.30,41.50,0,1000,75230
PAC,20170509,40.60,40.70,39.90,39.90,106210,40.60,40.70,39.90,39.90,0,50,500
PAC,20170508,39.00,40.75,38.60,40.50,516830,39.00,40.75,38.60,40.50,0,28040,82280
PAC,20170505,39.30,39.30,38.30,38.50,210660,39.30,39.30,38.30,38.50,0,1290,3870
PAC,20170504,38.40,38.60,37.50,38.10,347510,38.40,38.60,37.50,38.10,0,60500,140050
PAC,20170503,38.00,38.00,37.00,37.95,101350,38.00,38.00,37.00,37.95,0,1100,500
PAC,20170428,38.50,38.90,38.00,38.00,169900,38.50,38.90,38.00,38.00,0,1000,6400
PAC,20170427,37.80,38.70,37.50,38.70,490000,37.80,38.70,37.50,38.70,0,148000,3330
PAC,20170426,36.20,38.00,36.10,37.50,414520,36.20,38.00,36.10,37.50,0,253970,7150
PAC,20170425,36.10,36.30,35.80,36.10,53260,36.10,36.30,35.80,36.10,0,0,0
PAC,20170424,36.00,36.30,35.85,36.30,95970,36.00,36.30,35.85,36.30,0,11000,2010
PAC,20170421,36.00,36.30,35.90,36.00,46970,36.00,36.30,35.90,36.00,0,0,1700
PAC,20170420,36.00,36.30,35.70,36.20,129530,36.00,36.30,35.70,36.20,0,0,5000
PAC,20170419,36.20,36.30,35.90,36.30,40870,36.20,36.30,35.90,36.30,0,0,0
PAC,20170418,35.50,36.10,35.45,36.10,65430,35.50,36.10,35.45,36.10,0,0,0
PAC,20170417,34.60,36.30,34.60,35.70,172290,34.60,36.30,34.60,35.70,0,122010,0
PAC,20170414,36.00,36.40,34.50,35.20,214040,36.00,36.40,34.50,35.20,0,21800,30000
PAC,20170413,35.60,36.45,35.60,35.90,81960,35.60,36.45,35.60,35.90,0,0,0
PAC,20170412,36.40,36.70,36.00,36.05,143030,36.40,36.70,36.00,36.05,0,300,2930
PAC,20170411,36.40,36.80,36.00,36.40,123300,36.40,36.80,36.00,36.40,0,1010,0
PAC,20170410,36.70,37.30,35.90,36.00,227160,36.70,37.30,35.90,36.00,0,100,39000
PAC,20170407,38.05,38.05,37.00,37.00,123820,38.05,38.05,37.00,37.00,172500,200580,174500
PAC,20170405,38.50,38.50,37.60,38.10,149800,38.50,38.50,37.60,38.10,0,39280,10
PAC,20170404,37.70,38.50,37.40,38.20,528900,37.70,38.50,37.40,38.20,0,153500,3000
PAC,20170403,36.10,37.90,36.10,37.40,525340,36.10,37.90,36.10,37.40,0,150000,6200
PAC,20170331,36.10,36.40,35.90,36.30,88470,36.10,36.40,35.90,36.30,0,10,0
PAC,20170330,36.50,36.50,35.95,36.40,109540,36.50,36.50,35.95,36.40,0,9000,0
PAC,20170329,36.50,36.80,36.00,36.50,104530,36.50,36.80,36.00,36.50,0,4370,4020
PAC,20170328,35.50,36.50,35.50,36.00,135890,35.50,36.50,35.50,36.00,0,1660,460
PAC,20170327,37.40,37.40,36.30,36.80,144450,37.40,37.40,36.30,36.80,0,2000,0
PAC,20170324,37.70,37.70,36.80,37.00,146710,37.70,37.70,36.80,37.00,0,800,3000
PAC,20170323,37.00,37.80,36.30,37.70,444950,37.00,37.80,36.30,37.70,0,110000,1980
PAC,20170322,36.10,37.60,36.10,37.00,478040,36.10,37.60,36.10,37.00,0,204790,3410
PAC,20170321,36.50,36.70,35.85,36.60,331510,36.50,36.70,35.85,36.60,0,92500,490
PAC,20170320,34.90,36.60,34.90,36.05,717040,34.90,36.60,34.90,36.05,0,198530,41900
PAC,20170317,33.80,34.50,33.80,34.50,143130,33.80,34.50,33.80,34.50,0,55050,0
PAC,20170316,33.40,33.85,33.40,33.70,108320,33.40,33.85,33.40,33.70,0,29000,0
PAC,20170315,33.50,33.55,33.20,33.30,102110,33.50,33.55,33.20,33.30,0,52300,50
PAC,20170314,33.60,33.80,33.30,33.55,105940,33.60,33.80,33.30,33.55,0,54650,0
PAC,20170313,33.49,33.49,33.00,33.20,79990,34.00,34.00,33.50,33.70,23860,25860,100
PAC,20170310,33.50,34.28,33.45,33.49,70830,34.00,34.80,33.95,34.00,0,9400,0
PAC,20170309,33.50,34.48,33.40,33.89,190380,34.00,35.00,33.90,34.40,0,0,0
PAC,20170308,33.00,33.69,33.00,33.35,114940,33.50,34.20,33.50,33.85,0,20740,0
PAC,20170307,33.59,33.98,33.00,33.30,100580,34.10,34.50,33.50,33.80,0,0,1000
PAC,20170306,32.51,33.69,32.51,33.59,276430,33.00,34.20,33.00,34.10,0,30000,62000
PAC,20170303,32.31,32.80,31.97,32.31,92910,32.80,33.30,32.45,32.80,0,40,10
PAC,20170302,32.85,33.00,32.26,32.31,109720,33.35,33.50,32.75,32.80,0,20,1000
PAC,20170301,33.10,33.10,32.21,32.85,156020,33.60,33.60,32.70,33.35,0,4300,9460
PAC,20170228,34.48,34.48,32.51,33.10,137830,35.00,35.00,33.00,33.60,0,130,62790
PAC,20170227,34.48,34.48,33.79,34.48,106480,35.00,35.00,34.30,35.00,0,47500,0
PAC,20170224,34.48,34.67,34.18,34.18,228720,35.00,35.20,34.70,34.70,0,15370,3170
PAC,20170223,34.19,35.08,33.79,34.28,104990,34.70,35.60,34.30,34.80,0,0,500
PAC,20170222,34.97,35.36,34.08,34.09,187660,35.50,35.90,34.60,34.60,0,200,1500
PAC,20170221,35.17,35.67,34.98,34.97,160180,35.70,36.20,35.50,35.50,0,2770,8000
PAC,20170220,35.47,35.47,34.98,35.37,131700,36.00,36.00,35.50,35.90,0,4870,0
PAC,20170217,34.78,35.56,34.68,35.42,252950,35.30,36.10,35.20,35.95,0,102890,11500
PAC,20170216,36.35,36.35,34.48,34.48,334180,36.90,36.90,35.00,35.00,0,37000,28100
PAC,20170215,34.88,36.45,34.88,35.96,387790,35.40,37.00,35.40,36.50,0,91510,500
PAC,20170214,34.58,34.98,34.19,34.68,439560,35.10,35.50,34.70,35.20,0,26160,0
PAC,20170213,34.08,34.68,33.99,34.68,272680,34.60,35.20,34.50,35.20,0,1190,7000
PAC,20170210,33.40,33.79,33.10,33.69,269700,33.90,34.30,33.60,34.20,0,100,65320
PAC,20170209,32.51,33.69,32.02,32.61,643530,33.00,34.20,32.50,33.10,0,11000,499720
PAC,20170208,32.51,32.51,32.02,32.41,162210,33.00,33.00,32.50,32.90,0,15370,91300
PAC,20170207,32.21,32.51,32.01,32.51,163560,32.70,33.00,32.50,33.00,0,1000,97890
PAC,20170206,33.10,33.10,32.21,32.21,282110,33.60,33.60,32.70,32.70,0,25700,222270
PAC,20170203,33.40,33.40,32.21,33.00,168110,33.90,33.90,32.70,33.50,0,60,117000
PAC,20170202,33.98,33.98,33.15,33.20,23280,34.50,34.50,33.65,33.70,0,2060,0
PAC,20170125,34.18,34.18,33.49,33.59,38970,34.70,34.70,34.00,34.10,0,1410,3090
PAC,20170124,32.71,33.99,32.51,33.79,90700,33.20,34.50,33.00,34.30,0,200,3090
PAC,20170123,33.79,34.48,32.61,32.71,172670,34.30,35.00,33.10,33.20,0,1710,69790
PAC,20170120,32.17,33.40,31.43,33.40,335660,32.65,33.90,31.90,33.90,0,276290,39830
PAC,20170119,32.31,32.31,31.23,31.23,168100,32.80,32.80,31.70,31.70,0,29170,136780
PAC,20170118,31.72,32.51,31.72,32.31,86830,32.20,33.00,32.20,32.80,82260,138940,105660
PAC,20170117,32.02,32.51,31.67,32.41,144870,32.50,33.00,32.15,32.90,67740,151400,120220
PAC,20170116,33.10,33.15,32.41,32.41,67450,33.60,33.65,32.90,32.90,0,33280,3600
PAC,20170113,33.10,33.30,32.71,33.10,93220,33.60,33.80,33.20,33.60,0,76880,2420
PAC,20170112,32.71,33.40,32.41,33.10,212100,33.20,33.90,32.90,33.60,0,103780,210
PAC,20170111,31.23,32.41,31.03,32.41,238190,31.70,32.90,31.50,32.90,0,69630,10100
PAC,20170110,31.28,31.38,31.08,31.08,48900,31.75,31.85,31.55,31.55,0,110,18130
PAC,20170109,31.53,31.62,31.23,31.28,21480,32.00,32.10,31.70,31.75,0,1090,0
PAC,20170106,31.43,32.21,31.03,31.23,215330,31.90,32.70,31.50,31.70,0,190,132500
PAC,20170105,30.54,31.53,30.54,31.13,130830,31.00,32.00,31.00,31.60,0,760,28560
PAC,20170104,32.17,32.32,31.04,31.33,208290,32.65,32.80,31.50,31.80,0,32000,112800
PAC,20170103,32.02,32.41,32.02,32.12,50610,32.50,32.90,32.50,32.60,0,0,150
