<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PC1,20170627,36.00,36.70,36.00,36.70,129710,36.00,36.70,36.00,36.70,0,306350,54010
PC1,20170626,34.60,36.20,34.60,36.00,330050,34.60,36.20,34.60,36.00,50000,306350,54010
PC1,20170623,34.50,34.60,34.00,34.60,171640,34.50,34.60,34.00,34.60,0,83520,7800
PC1,20170622,34.20,34.55,34.20,34.55,86630,34.20,34.55,34.20,34.55,0,310,0
PC1,20170621,33.90,34.20,33.90,34.20,237370,33.90,34.20,33.90,34.20,0,171160,0
PC1,20170620,34.00,34.50,33.00,34.00,42880,34.00,34.50,33.00,34.00,0,8380,0
PC1,20170619,34.00,34.00,33.50,34.00,352120,34.00,34.00,33.50,34.00,0,179970,15020
PC1,20170616,33.90,33.90,32.80,33.50,358060,33.90,33.90,32.80,33.50,0,242240,11820
PC1,20170615,32.80,33.60,32.60,33.50,274580,32.80,33.60,32.60,33.50,20000,223890,14390
PC1,20170614,32.00,32.80,32.00,32.80,180030,32.00,32.80,32.00,32.80,0,142750,0
PC1,20170613,32.00,32.50,31.10,32.00,153400,32.00,32.50,31.10,32.00,0,127840,4840
PC1,20170612,30.00,32.00,30.00,32.00,91520,30.00,32.00,30.00,32.00,0,53010,0
PC1,20170609,32.00,32.00,30.00,30.00,80190,32.00,32.00,30.00,30.00,0,160,0
PC1,20170608,33.00,33.00,31.90,31.90,65490,33.00,33.00,31.90,31.90,0,50,10
PC1,20170607,32.80,33.15,32.20,32.20,55680,32.80,33.15,32.20,32.20,0,240,160
PC1,20170606,34.90,34.90,33.20,33.30,77080,34.90,34.90,33.20,33.30,0,1600,0
PC1,20170605,32.00,33.00,32.00,33.00,166550,32.00,33.00,32.00,33.00,0,50,0
PC1,20170602,32.16,32.16,30.85,30.85,100100,41.80,41.80,40.10,40.10,0,0,0
PC1,20170601,31.62,32.31,31.62,31.62,25960,41.10,42.00,41.10,41.10,0,0,0
PC1,20170531,32.30,32.30,31.61,31.62,29900,42.00,42.00,41.10,41.10,0,3120,0
PC1,20170530,32.54,32.54,31.92,32.38,133900,42.30,42.30,41.50,42.10,0,124120,0
PC1,20170529,31.93,32.62,31.93,32.46,74940,41.50,42.40,41.50,42.20,0,64040,0
PC1,20170526,31.92,32.69,31.92,32.31,62220,41.50,42.50,41.50,42.00,0,59820,100
PC1,20170525,32.54,32.77,32.54,32.54,150090,42.30,42.60,42.30,42.30,0,141000,0
PC1,20170524,31.93,32.54,31.85,32.54,324750,41.50,42.30,41.40,42.30,0,299000,1000
PC1,20170523,31.54,32.46,31.54,32.31,327010,41.00,42.20,41.00,42.00,0,283800,10390
PC1,20170522,31.54,32.08,31.54,31.77,230330,41.00,41.70,41.00,41.30,0,110000,0
PC1,20170519,30.77,31.92,30.77,31.54,97520,40.00,41.50,40.00,41.00,0,86800,0
PC1,20170518,31.54,32.00,30.77,30.77,122580,41.00,41.60,40.00,40.00,0,82500,0
PC1,20170517,31.16,32.31,30.39,32.31,192840,40.50,42.00,39.50,42.00,0,108960,5000
PC1,20170516,31.84,31.92,30.77,31.54,188680,41.40,41.50,40.00,41.00,0,152780,12600
PC1,20170515,31.53,32.19,31.53,31.65,297300,41.00,41.85,41.00,41.15,0,133170,0
PC1,20170512,30.46,31.15,30.42,31.15,311680,39.60,40.50,39.55,40.50,0,209060,1950
