<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PCN,20170626,3.00,3.00,3.00,3.00,1000,3.00,3.00,3.00,3.00,0,0,0
PCN,20170620,3.20,3.20,3.10,3.10,2300,3.20,3.20,3.10,3.10,0,0,0
PCN,20170619,3.20,3.20,3.20,3.20,100,3.20,3.20,3.20,3.20,0,0,0
PCN,20170615,3.20,3.20,3.20,3.20,100,3.20,3.20,3.20,3.20,0,0,0
PCN,20170612,3.00,3.00,3.00,3.00,1000,3.00,3.00,3.00,3.00,0,0,0
PCN,20170608,3.00,3.00,3.00,3.00,3800,3.00,3.00,3.00,3.00,0,0,0
PCN,20170607,3.00,3.00,3.00,3.00,800,3.00,3.00,3.00,3.00,0,0,0
PCN,20170605,3.10,3.10,3.10,3.10,3000,3.10,3.10,3.10,3.10,0,0,0
PCN,20170530,3.00,3.00,3.00,3.00,100,3.00,3.00,3.00,3.00,0,0,0
PCN,20170529,3.00,3.30,3.00,3.30,9800,3.00,3.30,3.00,3.30,0,0,0
PCN,20170526,3.30,3.30,3.30,3.30,100,3.30,3.30,3.30,3.30,0,0,0
PCN,20170525,3.00,3.00,3.00,3.00,100,3.00,3.00,3.00,3.00,0,0,0
PCN,20170519,3.00,3.00,3.00,3.00,400,3.00,3.00,3.00,3.00,0,0,0
PCN,20170517,3.10,3.10,3.10,3.10,100,3.10,3.10,3.10,3.10,0,0,0
PCN,20170516,2.90,2.90,2.90,2.90,1000,2.90,2.90,2.90,2.90,0,0,0
PCN,20170505,3.10,3.10,3.10,3.10,100,3.10,3.10,3.10,3.10,0,0,0
PCN,20170504,2.90,2.90,2.90,2.90,500,2.90,2.90,2.90,2.90,0,0,0
PCN,20170503,2.90,2.90,2.90,2.90,1500,2.90,2.90,2.90,2.90,0,0,0
PCN,20170427,2.90,2.90,2.90,2.90,4000,2.90,2.90,2.90,2.90,0,0,0
PCN,20170419,2.90,2.90,2.90,2.90,2000,2.90,2.90,2.90,2.90,0,0,0
PCN,20170418,2.90,2.90,2.90,2.90,1100,2.90,2.90,2.90,2.90,0,0,0
PCN,20170417,2.90,2.90,2.90,2.90,3000,2.90,2.90,2.90,2.90,0,0,0
PCN,20170412,3.10,3.10,3.10,3.10,100,3.10,3.10,3.10,3.10,0,0,0
PCN,20170411,2.90,2.90,2.80,2.90,3800,2.90,2.90,2.80,2.90,0,0,0
PCN,20170410,3.00,3.00,3.00,3.00,1000,3.00,3.00,3.00,3.00,0,0,0
PCN,20170407,3.00,3.00,3.00,3.00,500,3.00,3.00,3.00,3.00,0,0,0
PCN,20170331,3.10,3.10,2.90,2.90,6800,3.10,3.10,2.90,2.90,0,0,0
PCN,20170327,3.20,3.20,3.20,3.20,1000,3.20,3.20,3.20,3.20,0,0,0
PCN,20170323,3.20,3.20,3.20,3.20,1000,3.20,3.20,3.20,3.20,0,0,0
PCN,20170322,3.20,3.20,3.20,3.20,500,3.20,3.20,3.20,3.20,0,0,0
PCN,20170320,3.20,3.20,3.20,3.20,1500,3.20,3.20,3.20,3.20,0,0,0
PCN,20170317,3.30,3.30,3.30,3.30,1000,3.30,3.30,3.30,3.30,0,0,0
PCN,20170316,3.30,3.40,3.30,3.40,1700,3.30,3.40,3.30,3.40,0,0,0
PCN,20170315,3.30,3.30,3.30,3.30,1000,3.30,3.30,3.30,3.30,0,0,0
PCN,20170309,3.30,3.30,3.30,3.30,2400,3.30,3.30,3.30,3.30,0,0,0
PCN,20170302,3.10,3.10,3.00,3.00,2800,3.10,3.10,3.00,3.00,0,0,0
PCN,20170301,3.10,3.30,3.10,3.30,3400,3.10,3.30,3.10,3.30,0,0,0
PCN,20170228,3.40,3.40,3.40,3.40,600,3.40,3.40,3.40,3.40,0,0,0
PCN,20170227,3.70,3.70,3.70,3.70,200,3.70,3.70,3.70,3.70,0,0,0
PCN,20170223,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
PCN,20170220,3.40,3.40,3.40,3.40,600,3.40,3.40,3.40,3.40,0,0,0
PCN,20170216,3.50,3.50,3.50,3.50,400,3.50,3.50,3.50,3.50,0,0,0
PCN,20170213,3.40,3.40,3.40,3.40,200,3.40,3.40,3.40,3.40,0,0,0
PCN,20170209,3.60,3.60,3.60,3.60,8900,3.60,3.60,3.60,3.60,0,0,0
PCN,20170207,3.80,3.90,3.80,3.90,800,3.80,3.90,3.80,3.90,0,0,0
PCN,20170203,3.60,3.60,3.60,3.60,100,3.60,3.60,3.60,3.60,0,0,0
PCN,20170120,3.30,3.30,3.30,3.30,500,3.30,3.30,3.30,3.30,0,0,0
PCN,20170118,3.60,3.60,3.60,3.60,300,3.60,3.60,3.60,3.60,0,0,0
PCN,20170117,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
PCN,20170112,3.80,3.80,3.80,3.80,100,3.80,3.80,3.80,3.80,0,0,0
PCN,20170106,3.50,3.50,3.50,3.50,400,3.50,3.50,3.50,3.50,0,0,0
PCN,20170104,3.80,3.80,3.80,3.80,400,3.80,3.80,3.80,3.80,0,0,0
PCN,20161230,4.20,4.20,4.20,4.20,1900,4.20,4.20,4.20,4.20,0,0,0
PCN,20161229,4.30,4.50,4.30,4.50,1100,4.30,4.50,4.30,4.50,0,0,0
PCN,20161228,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
PCN,20161227,4.20,4.20,3.60,4.10,5300,4.20,4.20,3.60,4.10,0,0,0
PCN,20161226,3.90,3.90,3.30,3.90,1400,3.90,3.90,3.30,3.90,0,0,0
PCN,20161223,4.00,4.00,3.60,3.60,300,4.00,4.00,3.60,3.60,0,0,0
PCN,20161222,3.40,3.70,3.10,3.70,4000,3.40,3.70,3.10,3.70,0,0,0
PCN,20161221,3.50,3.70,3.40,3.40,500,3.50,3.70,3.40,3.40,0,0,0
PCN,20161219,3.40,3.40,3.40,3.40,100,3.40,3.40,3.40,3.40,0,0,0
PCN,20161216,3.60,3.60,3.60,3.60,1600,3.60,3.60,3.60,3.60,0,0,0
PCN,20161215,3.90,3.90,3.90,3.90,2100,3.90,3.90,3.90,3.90,0,0,0
PCN,20161214,4.30,4.30,4.30,4.30,200,4.30,4.30,4.30,4.30,0,0,0
PCN,20161213,4.70,4.70,4.70,4.70,100,4.70,4.70,4.70,4.70,0,0,0
PCN,20161212,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
PCN,20161208,4.80,4.80,4.00,4.60,4500,4.80,4.80,4.00,4.60,0,0,0
PCN,20161207,4.20,4.40,4.20,4.40,1600,4.20,4.40,4.20,4.40,0,0,0
PCN,20161206,4.30,4.30,4.10,4.30,5200,4.30,4.30,4.10,4.30,0,0,0
PCN,20161205,4.70,4.80,4.50,4.50,2300,4.70,4.80,4.50,4.50,0,0,0
PCN,20161202,4.20,4.70,4.00,4.70,18600,4.20,4.70,4.00,4.70,0,0,0
PCN,20161201,4.20,4.30,3.90,4.30,1700,4.20,4.30,3.90,4.30,0,0,0
PCN,20161130,4.00,4.20,3.90,4.20,11000,4.00,4.20,3.90,4.20,0,0,0
PCN,20161129,4.10,4.10,4.10,4.10,11000,4.10,4.10,4.10,4.10,0,0,0
PCN,20161128,3.40,3.80,3.40,3.80,300,3.40,3.80,3.40,3.80,0,0,0
PCN,20161125,3.50,3.60,3.50,3.50,600,3.50,3.60,3.50,3.50,0,0,0
PCN,20161124,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
PCN,20161123,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
PCN,20161122,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
PCN,20161121,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
PCN,20161118,4.20,4.40,4.20,4.20,12600,4.20,4.40,4.20,4.20,0,0,0
PCN,20161115,4.00,4.00,4.00,4.00,300,4.00,4.00,4.00,4.00,0,0,0
PCN,20161031,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
PCN,20161026,3.40,4.00,3.40,4.00,700,3.40,4.00,3.40,4.00,0,0,0
PCN,20161024,3.70,3.70,3.70,3.70,700,3.70,3.70,3.70,3.70,0,0,0
PCN,20161020,3.80,4.10,3.80,4.10,700,3.80,4.10,3.80,4.10,0,0,0
PCN,20161018,4.00,4.20,4.00,4.20,300,4.00,4.20,4.00,4.20,0,0,0
PCN,20161014,3.81,3.90,3.81,3.90,1700,4.40,4.50,4.40,4.50,0,0,0
PCN,20161013,3.90,3.90,3.81,3.81,900,4.50,4.50,4.40,4.40,0,0,0
PCN,20161007,3.81,3.81,3.81,3.81,300,4.40,4.40,4.40,4.40,0,0,0
PCN,20161006,3.46,3.90,3.46,3.90,4000,4.00,4.50,4.00,4.50,0,0,0
PCN,20161003,3.55,3.55,3.55,3.55,2900,4.10,4.10,4.10,4.10,0,0,0
PCN,20160930,3.90,3.90,3.90,3.90,200,4.50,4.50,4.50,4.50,0,0,0
PCN,20160928,4.25,4.25,4.25,4.25,100,4.90,4.90,4.90,4.90,0,0,0
PCN,20160922,3.90,3.90,3.90,3.90,100,4.50,4.50,4.50,4.50,0,0,0
PCN,20160921,3.55,3.55,3.55,3.55,100,4.10,4.10,4.10,4.10,0,0,0
PCN,20160915,3.55,3.55,3.55,3.55,100,4.10,4.10,4.10,4.10,0,0,0
PCN,20160912,3.29,3.29,3.29,3.29,100,3.80,3.80,3.80,3.80,0,0,0
PCN,20160822,3.03,3.03,3.03,3.03,200,3.50,3.50,3.50,3.50,0,0,0
PCN,20160817,3.29,3.29,3.29,3.29,100,3.80,3.80,3.80,3.80,0,0,0
PCN,20160815,3.12,3.12,3.12,3.12,100,3.60,3.60,3.60,3.60,0,0,0
PCN,20160812,2.95,2.95,2.95,2.95,100,3.40,3.40,3.40,3.40,0,0,0
PCN,20160810,2.69,2.69,2.69,2.69,100,3.10,3.10,3.10,3.10,0,0,0
PCN,20160805,2.86,2.86,2.86,2.86,200,3.30,3.30,3.30,3.30,0,0,0
PCN,20160804,2.95,2.95,2.95,2.95,700,3.40,3.40,3.40,3.40,0,0,0
PCN,20160803,3.21,3.21,3.21,3.21,100,3.70,3.70,3.70,3.70,0,0,0
PCN,20160727,3.20,3.20,3.20,3.21,100,3.70,3.70,3.70,3.70,0,0,0
PCN,20160712,3.55,3.55,3.55,3.55,3000,4.10,4.10,4.10,4.10,0,0,0
PCN,20160708,3.55,3.55,3.55,3.55,6600,4.10,4.10,4.10,4.10,0,0,0
PCN,20160707,3.47,3.47,3.29,3.29,4600,4.00,4.00,3.80,3.80,0,0,0
PCN,20160704,3.64,3.64,3.64,3.64,2000,4.20,4.20,4.20,4.20,0,0,0
PCN,20160701,3.99,3.99,3.81,3.81,5500,4.60,4.60,4.40,4.40,0,0,0
PCN,20160629,4.16,4.16,4.16,4.16,4000,4.80,4.80,4.80,4.80,0,0,0
PCN,20160628,4.16,4.16,4.16,4.16,1400,4.80,4.80,4.80,4.80,0,0,0
PCN,20160623,4.16,4.16,4.16,4.16,1000,4.80,4.80,4.80,4.80,0,0,0
PCN,20160620,4.42,4.42,4.42,4.42,100,5.10,5.10,5.10,5.10,0,0,0
PCN,20160616,4.08,4.08,4.08,4.07,1000,4.70,4.70,4.70,4.70,0,0,0
PCN,20160613,4.16,4.51,4.16,4.51,2300,4.80,5.20,4.80,5.20,0,0,0
PCN,20160607,3.90,4.16,3.90,4.16,7900,4.50,4.80,4.50,4.80,0,0,0
PCN,20160603,3.81,3.81,3.81,3.81,2300,4.40,4.40,4.40,4.40,0,0,0
PCN,20160601,4.16,4.16,4.16,4.16,600,4.80,4.80,4.80,4.80,0,0,0
PCN,20160530,4.16,4.16,4.16,4.16,3300,4.80,4.80,4.80,4.80,0,0,0
PCN,20160527,4.16,4.16,4.16,4.16,1900,4.80,4.80,4.80,4.80,0,0,0
PCN,20160519,4.16,4.16,4.16,4.16,5600,4.80,4.80,4.80,4.80,0,0,0
PCN,20160518,4.34,4.34,4.16,4.16,1100,5.00,5.00,4.80,4.80,0,0,0
PCN,20160517,4.59,4.59,4.51,4.51,25000,5.30,5.30,5.20,5.20,0,0,0
PCN,20160509,4.94,4.94,4.94,4.94,100,5.70,5.70,5.70,5.70,0,0,0
PCN,20160505,4.51,4.51,4.51,4.51,100,5.20,5.20,5.20,5.20,0,0,0
PCN,20160422,4.59,4.59,4.16,4.16,5900,5.30,5.30,4.80,4.80,0,0,0
PCN,20160421,4.60,4.60,4.60,4.59,100,5.30,5.30,5.30,5.30,0,0,0
PCN,20160420,4.34,5.03,4.34,5.03,400,5.00,5.80,5.00,5.80,0,0,0
PCN,20160419,4.42,4.76,4.42,4.77,400,5.10,5.50,5.10,5.50,0,0,0
PCN,20160415,4.33,4.33,4.33,4.33,1000,5.00,5.00,5.00,5.00,0,0,0
