<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PEQ,20170606,9.73,13.61,9.73,13.60,5700,13.30,18.60,13.30,18.60,0,0,0
PEQ,20170420,9.72,9.72,9.72,9.73,100,13.30,13.30,13.30,13.30,0,0,0
PEQ,20170412,8.48,8.48,8.48,8.48,100,11.60,11.60,11.60,11.60,0,0,0
PEQ,20170303,6.07,6.07,6.07,6.07,100,8.30,8.30,8.30,8.30,0,0,0
PEQ,20170112,10.09,10.09,10.09,10.09,60,13.80,13.80,13.80,13.80,0,0,0
PEQ,20170110,10.09,10.09,10.09,10.09,3900,13.80,13.80,13.80,13.80,0,0,0
PEQ,20161004,10.10,10.10,10.10,10.09,2200,13.80,13.80,13.80,13.80,0,0,0
PEQ,20160923,8.77,8.77,8.77,8.78,200,12.00,12.00,12.00,12.00,0,0,0
PEQ,20160804,7.82,10.46,7.82,10.46,600,10.70,14.30,10.70,14.30,0,0,0
PEQ,20160802,9.14,9.14,9.14,9.14,100,12.50,12.50,12.50,12.50,0,0,0
PEQ,20160801,7.97,7.97,7.97,7.97,100,10.90,10.90,10.90,10.90,0,0,0
PEQ,20160727,6.95,6.95,6.95,6.95,2000,9.50,9.50,9.50,9.50,0,0,0
PEQ,20160726,7.82,10.46,7.82,10.46,2300,10.70,14.30,10.70,14.30,0,0,0
PEQ,20160722,9.14,9.14,9.14,9.14,200,12.50,12.50,12.50,12.50,0,0,0
PEQ,20160721,7.97,7.97,7.97,7.97,100,10.90,10.90,10.90,10.90,0,0,0
PEQ,20160720,6.95,6.95,6.95,6.95,100,9.50,9.50,9.50,9.50,0,0,0
PEQ,20160627,6.07,6.07,6.07,6.07,100,8.30,8.30,8.30,8.30,0,0,0
PEQ,20160620,6.00,6.00,6.00,6.00,100,8.20,8.20,8.20,8.20,0,0,0
PEQ,20160616,5.27,5.27,5.27,5.27,40,7.20,7.20,7.20,7.20,0,0,0
PEQ,20160520,5.26,5.26,5.26,5.27,100,7.20,7.20,7.20,7.20,0,0,0
PEQ,20160516,5.26,7.02,5.26,7.02,200,7.20,9.60,7.20,9.60,0,0,0
PEQ,20160419,6.14,6.14,6.14,6.14,100,9.60,9.60,9.60,9.60,0,0,0
PEQ,20160413,7.10,7.10,7.10,7.10,100,11.10,11.10,11.10,11.10,0,0,0
PEQ,20160412,8.32,8.32,8.32,8.32,200,13.00,13.00,13.00,13.00,0,0,0
PEQ,20160411,8.32,8.32,8.32,8.32,100,13.00,13.00,13.00,13.00,0,0,0
PEQ,20160407,9.73,9.73,9.73,9.73,500,15.20,15.20,15.20,15.20,0,0,0
PEQ,20160401,9.73,9.73,9.73,9.73,2900,15.20,15.20,15.20,15.20,0,0,0
PEQ,20160331,8.65,8.65,8.32,8.32,2000,13.50,13.50,13.00,13.00,0,0,0
PEQ,20160330,8.90,8.90,6.66,6.66,4100,13.90,13.90,10.40,10.40,0,0,0
PEQ,20160329,7.74,7.74,6.40,6.40,5100,12.10,12.10,10.00,10.00,0,0,0
PEQ,20160324,6.78,6.78,6.78,6.78,100,10.60,10.60,10.60,10.60,0,0,0
PEQ,20160323,7.10,7.10,7.10,7.10,100,11.10,11.10,11.10,11.10,0,0,0
PEQ,20160321,8.19,8.32,8.19,8.32,1000,12.80,13.00,12.80,13.00,0,0,0
PEQ,20160316,8.00,8.00,8.00,8.00,100,12.50,12.50,12.50,12.50,0,0,0
PEQ,20160307,7.68,7.68,7.68,7.68,1000,12.00,12.00,12.00,12.00,0,0,0
PEQ,20160304,7.04,7.04,7.04,7.04,2000,11.00,11.00,11.00,11.00,0,0,0
PEQ,20160229,6.72,6.72,6.72,6.72,3800,10.50,10.50,10.50,10.50,0,0,0
PEQ,20160226,7.04,7.04,7.04,7.04,200,11.00,11.00,11.00,11.00,0,0,0
PEQ,20160223,6.59,6.59,6.59,6.59,1000,10.30,10.30,10.30,10.30,0,0,0
PEQ,20160218,6.40,6.59,6.40,6.59,2000,10.00,10.30,10.00,10.30,0,0,0
PEQ,20160217,5.76,5.76,5.76,5.76,5000,9.00,9.00,9.00,9.00,0,0,0
