<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PGS,20170627,17.60,17.70,17.50,17.70,49500,17.60,17.70,17.50,17.70,0,11000,0
PGS,20170626,17.30,17.60,17.30,17.50,144857,17.30,17.60,17.30,17.50,0,500,0
PGS,20170623,17.40,17.80,17.30,17.30,165210,17.40,17.80,17.30,17.30,0,2000,0
PGS,20170622,17.40,17.80,17.40,17.40,26765,17.40,17.80,17.40,17.40,0,0,0
PGS,20170621,17.80,17.80,17.40,17.50,88608,17.80,17.80,17.40,17.50,0,0,0
PGS,20170620,17.90,17.90,17.80,17.80,4368,17.90,17.90,17.80,17.80,0,600,0
PGS,20170619,17.90,17.90,17.90,17.90,10010,17.90,17.90,17.90,17.90,0,1200,0
PGS,20170616,17.80,17.90,17.70,17.90,125310,17.80,17.90,17.70,17.90,0,43800,0
PGS,20170615,18.00,18.00,17.60,17.80,29120,18.00,18.00,17.60,17.80,0,0,0
PGS,20170614,18.00,18.00,17.90,18.00,67210,18.00,18.00,17.90,18.00,0,61000,0
PGS,20170613,18.00,18.00,17.80,18.00,86421,18.00,18.00,17.80,18.00,0,40000,1900
PGS,20170612,17.80,18.20,17.80,18.00,98276,17.80,18.20,17.80,18.00,0,77500,1400
PGS,20170609,17.70,17.90,17.40,17.90,64383,17.70,17.90,17.40,17.90,15,0,20000
PGS,20170608,17.60,18.00,17.40,17.70,49509,17.60,18.00,17.40,17.70,0,3400,0
PGS,20170607,17.60,18.00,17.50,17.50,170482,17.60,18.00,17.50,17.50,700000,0,9500
PGS,20170606,18.50,18.50,17.80,17.90,71475,18.50,18.50,17.80,17.90,0,0,0
PGS,20170605,18.50,18.50,18.30,18.30,42310,18.50,18.50,18.30,18.30,0,7600,0
PGS,20170602,18.70,18.70,18.50,18.50,79500,19.50,19.50,19.30,19.30,0,0,1100
PGS,20170601,18.69,18.79,18.60,18.60,98781,19.50,19.60,19.40,19.40,0,5600,0
PGS,20170531,18.69,18.88,18.40,18.79,609209,19.50,19.70,19.20,19.60,0,300000,0
PGS,20170530,18.89,19.27,18.60,18.69,152360,19.70,20.10,19.40,19.50,0,3600,0
PGS,20170529,18.50,18.69,18.50,18.60,160141,19.30,19.50,19.30,19.40,47,0,0
PGS,20170526,18.50,18.50,18.31,18.50,177063,19.30,19.30,19.10,19.30,0,0,0
PGS,20170525,18.40,18.50,18.30,18.50,173250,19.20,19.30,19.10,19.30,0,0,0
PGS,20170524,18.31,18.60,18.02,18.40,222805,19.10,19.40,18.80,19.20,0,79100,0
PGS,20170523,18.41,18.60,18.22,18.50,162380,19.20,19.40,19.00,19.30,0,22600,0
PGS,20170522,18.88,18.88,18.40,18.60,134580,19.70,19.70,19.20,19.40,0,0,0
PGS,20170519,18.31,18.69,18.31,18.69,640267,19.10,19.50,19.10,19.50,0,0,0
PGS,20170518,18.12,18.41,18.02,18.31,200880,18.90,19.20,18.80,19.10,19,58000,7000
PGS,20170517,18.21,18.31,18.11,18.12,102408,19.00,19.10,18.90,18.90,0,0,0
PGS,20170516,18.21,18.41,18.02,18.21,272958,19.00,19.20,18.80,19.00,0,33600,0
PGS,20170515,18.40,18.40,18.02,18.31,116114,19.20,19.20,18.80,19.10,0,2100,0
PGS,20170512,18.22,18.41,18.03,18.40,677686,19.00,19.20,18.80,19.20,0,43800,0
PGS,20170511,17.73,18.59,17.73,17.93,367329,18.50,19.40,18.50,18.70,0,0,0
PGS,20170510,17.73,17.83,17.63,17.73,199404,18.50,18.60,18.40,18.50,431976,0,431973
PGS,20170509,17.73,17.83,17.63,17.73,452700,18.50,18.60,18.40,18.50,1000000,500,1150000
PGS,20170508,17.55,17.74,17.55,17.73,89630,18.30,18.50,18.30,18.50,0,0,5000
PGS,20170505,17.25,17.54,17.15,17.45,337796,18.00,18.30,17.90,18.20,0,0,105000
PGS,20170504,17.06,17.25,17.06,17.25,71310,17.80,18.00,17.80,18.00,0,40000,0
PGS,20170503,17.45,17.45,16.97,17.06,64955,18.20,18.20,17.70,17.80,10,0,0
PGS,20170428,17.35,17.54,17.16,17.45,299300,18.10,18.30,17.90,18.20,0,0,54000
PGS,20170427,17.55,17.55,17.35,17.54,103300,18.30,18.30,18.10,18.30,0,6000,46000
PGS,20170426,17.25,17.64,17.25,17.45,45131,18.00,18.40,18.00,18.20,57,0,0
PGS,20170425,17.45,17.54,17.45,17.54,241991,18.20,18.30,18.20,18.30,0,0,85000
PGS,20170424,17.26,17.83,17.16,17.64,173490,18.00,18.60,17.90,18.40,0,87200,72500
PGS,20170421,17.54,17.73,17.45,17.64,143300,18.30,18.50,18.20,18.40,52,10000,42500
PGS,20170420,18.21,18.21,17.25,17.83,304800,19.00,19.00,18.00,18.60,0,10400,9600
PGS,20170419,18.41,18.41,17.93,18.21,581010,19.20,19.20,18.70,19.00,0,11500,0
PGS,20170418,17.16,18.31,17.16,18.31,564263,17.90,19.10,17.90,19.10,0,0,21810
PGS,20170417,17.16,17.45,17.16,17.16,222330,17.90,18.20,17.90,17.90,0,0,0
PGS,20170414,17.35,17.35,17.16,17.16,427193,18.10,18.10,17.90,17.90,0,100000,47500
PGS,20170413,17.55,17.64,17.45,17.45,420483,18.30,18.40,18.20,18.20,130,0,0
PGS,20170412,17.26,17.45,17.16,17.45,650091,18.00,18.20,17.90,18.20,0,90000,68400
PGS,20170411,17.07,17.55,16.97,16.97,417416,17.80,18.30,17.70,17.70,0,1000,100000
PGS,20170410,16.87,16.97,16.77,16.97,97540,17.60,17.70,17.50,17.70,0,32000,0
PGS,20170407,16.87,17.06,16.77,16.87,129670,17.60,17.80,17.50,17.60,0,20000,1100
PGS,20170405,16.87,16.97,16.77,16.87,385003,17.60,17.70,17.50,17.60,500000,90000,603200
PGS,20170404,16.96,17.06,16.77,16.87,172410,17.70,17.80,17.50,17.60,5,0,26100
PGS,20170403,17.06,17.16,16.87,17.06,280610,17.80,17.90,17.60,17.80,0,200000,73900
PGS,20170331,16.78,16.97,16.59,16.87,254182,17.50,17.70,17.30,17.60,0,93600,0
PGS,20170330,16.78,16.78,16.49,16.49,145310,17.50,17.50,17.20,17.20,0,0,40000
PGS,20170329,16.78,16.88,16.68,16.78,127013,17.50,17.60,17.40,17.50,0,0,35200
PGS,20170328,16.78,16.78,16.68,16.78,196443,17.50,17.50,17.40,17.50,0,6300,0
PGS,20170327,16.87,16.87,16.68,16.78,323779,17.60,17.60,17.40,17.50,0,1500,56000
PGS,20170324,16.78,16.97,16.78,16.87,512026,17.50,17.70,17.50,17.60,0,0,6000
PGS,20170323,16.68,16.87,16.68,16.78,563650,17.40,17.60,17.40,17.50,0,6000,121000
PGS,20170322,16.68,16.88,16.68,16.68,1000983,17.40,17.60,17.40,17.40,0,1000,100000
PGS,20170321,16.68,16.97,16.58,16.78,157932,17.40,17.70,17.30,17.50,21,2200,200
PGS,20170320,16.87,16.87,16.68,16.68,678324,17.60,17.60,17.40,17.40,0,1600,147100
PGS,20170317,16.87,16.97,16.87,16.97,475746,17.60,17.70,17.60,17.70,57,0,0
PGS,20170316,16.97,17.07,16.87,16.97,223498,17.70,17.80,17.60,17.70,0,4000,0
PGS,20170315,16.87,16.97,16.77,16.97,186910,17.60,17.70,17.50,17.70,0,0,0
PGS,20170314,16.87,17.06,16.87,16.87,251230,17.60,17.80,17.60,17.60,0,0,7300
PGS,20170313,17.35,17.35,16.97,17.06,148508,18.10,18.10,17.70,17.80,0,4000,4000
PGS,20170310,16.87,17.45,16.87,17.35,594478,17.60,18.20,17.60,18.10,0,4000,60000
PGS,20170309,16.97,16.97,16.68,16.87,496820,17.70,17.70,17.40,17.60,0,0,90000
PGS,20170308,17.07,17.26,16.87,16.97,220924,17.80,18.00,17.60,17.70,0,4000,0
