<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PIV,20170627,31.60,32.20,31.00,32.20,422600,31.60,32.20,31.00,32.20,0,0,0
PIV,20170626,30.60,32.40,29.60,32.30,877700,30.60,32.40,29.60,32.30,0,600,0
PIV,20170623,30.30,30.40,29.80,30.20,345360,30.30,30.40,29.80,30.20,0,0,0
PIV,20170622,29.60,30.40,29.50,30.40,356240,29.60,30.40,29.50,30.40,0,0,0
PIV,20170621,32.50,32.80,29.60,29.80,617300,32.50,32.80,29.60,29.80,7,0,0
PIV,20170620,30.00,32.90,29.50,32.80,1432095,30.00,32.90,29.50,32.80,0,600,0
PIV,20170619,27.30,30.00,26.50,30.00,1779935,27.30,30.00,26.50,30.00,0,5500,0
PIV,20170616,24.90,27.30,24.30,27.30,1555800,24.90,27.30,24.30,27.30,0,500,0
PIV,20170615,24.70,25.00,24.10,24.90,165720,24.70,25.00,24.10,24.90,0,0,0
PIV,20170614,25.30,25.50,24.00,25.00,348800,25.30,25.50,24.00,25.00,0,0,0
PIV,20170613,25.30,25.60,24.80,25.30,269900,25.30,25.60,24.80,25.30,0,0,0
PIV,20170612,25.00,25.50,24.30,25.50,879430,25.00,25.50,24.30,25.50,0,600,0
PIV,20170609,25.20,25.30,23.90,25.00,338310,25.20,25.30,23.90,25.00,0,0,0
PIV,20170608,22.00,24.70,21.20,24.70,892850,22.00,24.70,21.20,24.70,0,0,0
PIV,20170607,20.30,22.50,20.30,22.50,971500,20.30,22.50,20.30,22.50,0,0,0
PIV,20170606,23.90,25.30,22.50,22.50,396100,23.90,25.30,22.50,22.50,0,0,0
PIV,20170605,23.20,25.00,22.50,25.00,1000950,23.20,25.00,22.50,25.00,0,0,0
PIV,20170602,23.70,24.50,21.80,24.40,923500,23.70,24.50,21.80,24.40,0,0,0
PIV,20170601,21.80,23.80,21.00,23.80,1442200,21.80,23.80,21.00,23.80,0,0,0
