<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PJS,20170626,13.60,13.60,13.60,13.60,100,13.60,13.60,13.60,13.60,0,0,100
PJS,20170622,13.40,13.40,13.40,13.40,1000,13.40,13.40,13.40,13.40,0,0,0
PJS,20170620,14.00,14.00,14.00,14.00,100,14.00,14.00,14.00,14.00,0,0,0
PJS,20170609,13.40,13.40,13.40,13.40,2400,13.40,13.40,13.40,13.40,0,0,0
PJS,20170608,13.40,13.40,13.40,13.40,100,13.40,13.40,13.40,13.40,0,0,0
PJS,20170607,13.40,13.40,13.40,13.40,200,13.40,13.40,13.40,13.40,0,0,0
PJS,20170606,13.30,13.30,13.30,13.30,200,13.30,13.30,13.30,13.30,0,0,0
PJS,20170602,13.30,13.30,13.30,13.30,100,13.30,13.30,13.30,13.30,0,0,0
PJS,20170529,12.10,12.10,12.10,12.10,100,12.10,12.10,12.10,12.10,0,0,0
PJS,20170525,13.30,13.30,13.30,13.30,200,13.30,13.30,13.30,13.30,0,0,0
PJS,20170523,13.50,14.30,13.50,14.30,13500,13.50,14.30,13.50,14.30,0,13500,0
PJS,20170522,13.20,13.20,13.20,13.20,200,13.20,13.20,13.20,13.20,0,0,0
PJS,20170518,12.10,12.10,12.10,12.10,100,12.10,12.10,12.10,12.10,0,0,0
PJS,20170517,13.40,13.80,13.40,13.80,300,13.40,13.80,13.40,13.80,0,0,200
PJS,20170516,13.50,13.50,13.50,13.50,6600,13.50,13.50,13.50,13.50,0,0,6000
PJS,20170515,13.50,13.50,13.50,13.50,3000,13.50,13.50,13.50,13.50,0,0,3000
PJS,20170510,13.50,13.50,13.50,13.50,400,13.50,13.50,13.50,13.50,0,0,0
PJS,20170503,13.30,13.30,13.30,13.30,100,13.30,13.30,13.30,13.30,70000,0,0
PJS,20170428,13.70,13.70,13.70,13.70,100,13.70,13.70,13.70,13.70,0,0,0
PJS,20170420,13.10,13.10,13.10,13.10,100,13.10,13.10,13.10,13.10,0,0,0
PJS,20170418,14.00,14.00,14.00,14.00,200,14.00,14.00,14.00,14.00,0,0,0
PJS,20170417,13.20,13.20,13.20,13.20,10,13.20,13.20,13.20,13.20,0,0,0
PJS,20170410,13.30,13.30,13.20,13.20,1100,13.30,13.30,13.20,13.20,0,0,0
PJS,20170407,13.20,13.20,13.20,13.20,500,13.20,13.20,13.20,13.20,0,0,0
PJS,20170330,12.70,12.70,12.70,12.70,500,12.70,12.70,12.70,12.70,0,0,500
PJS,20170329,13.00,13.20,12.50,13.20,1300,13.00,13.20,12.50,13.20,0,0,0
PJS,20170327,13.30,13.30,13.30,13.30,10,13.30,13.30,13.30,13.30,0,0,0
PJS,20170324,13.30,13.30,13.30,13.30,100,13.30,13.30,13.30,13.30,0,0,0
PJS,20170323,13.10,13.10,13.10,13.10,200,13.10,13.10,13.10,13.10,0,0,0
PJS,20170321,13.20,13.20,13.20,13.20,100,13.20,13.20,13.20,13.20,0,0,0
PJS,20170313,13.10,13.20,13.10,13.20,12000,13.10,13.20,13.10,13.20,0,7800,0
PJS,20170310,13.50,13.50,13.10,13.10,10010,13.50,13.50,13.10,13.10,0,6000,0
PJS,20170309,13.20,13.50,13.10,13.10,6310,13.20,13.50,13.10,13.10,0,0,0
PJS,20170307,13.50,13.50,13.50,13.50,254,13.50,13.50,13.50,13.50,0,0,0
PJS,20170303,13.50,13.50,13.50,13.50,250,13.50,13.50,13.50,13.50,0,0,0
PJS,20170302,11.90,11.90,11.90,11.90,160,11.90,11.90,11.90,11.90,0,0,100
PJS,20170228,14.00,14.00,14.00,14.00,2,14.00,14.00,14.00,14.00,0,0,0
PJS,20170227,14.00,14.00,14.00,14.00,401,14.00,14.00,14.00,14.00,0,0,1
PJS,20170224,14.00,14.00,14.00,14.00,1,14.00,14.00,14.00,14.00,0,0,1
PJS,20170223,14.00,14.00,14.00,14.00,113,14.00,14.00,14.00,14.00,0,0,0
PJS,20170221,14.10,14.10,14.10,14.10,19,14.10,14.10,14.10,14.10,0,0,0
PJS,20170213,14.10,14.10,14.10,14.10,100,14.10,14.10,14.10,14.10,0,0,0
PJS,20170210,13.20,13.20,13.20,13.20,100,13.20,13.20,13.20,13.20,0,0,0
PJS,20170209,12.30,12.30,12.30,12.30,100,12.30,12.30,12.30,12.30,0,0,100
PJS,20170208,14.40,14.40,14.40,14.40,100,14.40,14.40,14.40,14.40,0,0,0
PJS,20170207,13.80,13.80,13.80,13.80,1300,13.80,13.80,13.80,13.80,0,1300,0
PJS,20170206,13.80,13.80,13.80,13.80,100,13.80,13.80,13.80,13.80,0,100,0
PJS,20170203,13.70,13.80,13.70,13.80,200,13.70,13.80,13.70,13.80,0,100,0
PJS,20170202,11.50,15.40,11.50,15.40,200,11.50,15.40,11.50,15.40,0,0,100
PJS,20170125,13.50,13.50,13.50,13.50,100,13.50,13.50,13.50,13.50,0,0,0
PJS,20170124,11.80,11.80,11.80,11.80,100,11.80,11.80,11.80,11.80,0,0,100
PJS,20170118,13.80,13.80,13.80,13.80,100,13.80,13.80,13.80,13.80,0,0,0
PJS,20170116,12.30,12.30,12.10,12.10,3300,12.30,12.30,12.10,12.10,0,0,0
PJS,20170106,11.30,12.20,11.30,12.20,400,11.30,12.20,11.30,12.20,0,0,100
PJS,20170104,13.10,13.20,13.10,13.20,400,13.10,13.20,13.10,13.20,0,0,0
PJS,20170103,11.50,11.50,11.50,11.50,100,11.50,11.50,11.50,11.50,0,0,100
PJS,20161228,13.50,13.50,13.50,13.50,200,13.50,13.50,13.50,13.50,270250,0,0
PJS,20161222,12.70,12.70,12.70,12.70,200,12.70,12.70,12.70,12.70,0,0,0
PJS,20161219,12.20,12.80,12.20,12.80,200,12.20,12.80,12.20,12.80,0,0,100
PJS,20161216,12.10,13.90,12.10,13.90,10000,12.10,13.90,12.10,13.90,0,4900,0
PJS,20161215,14.80,14.80,12.80,12.80,17600,14.80,14.80,12.80,12.80,0,17000,0
PJS,20161214,13.00,13.00,12.80,13.00,8200,13.00,13.00,12.80,13.00,0,7900,0
PJS,20161213,14.90,14.90,14.90,14.90,100,14.90,14.90,14.90,14.90,0,0,0
PJS,20161212,11.90,14.30,11.90,13.00,1300,11.90,14.30,11.90,13.00,0,0,100
PJS,20161208,13.90,13.90,13.90,13.90,400,13.90,13.90,13.90,13.90,0,0,0
PJS,20161207,14.40,14.40,14.40,14.40,100,14.40,14.40,14.40,14.40,0,0,0
PJS,20161206,16.90,16.90,16.90,16.90,100,16.90,16.90,16.90,16.90,0,0,0
PJS,20161205,15.40,15.40,15.40,15.40,100,15.40,15.40,15.40,15.40,0,0,0
PJS,20161202,13.30,15.70,13.30,13.30,2100,13.30,15.70,13.30,13.30,0,0,0
PJS,20161201,15.60,15.60,15.60,15.60,100,15.60,15.60,15.60,15.60,0,0,0
PJS,20161130,13.70,13.70,13.70,13.70,100,13.70,13.70,13.70,13.70,0,0,0
PJS,20161129,12.00,12.00,12.00,12.00,21000,12.00,12.00,12.00,12.00,0,8600,0
PJS,20161122,12.00,12.00,12.00,12.00,5000,12.00,12.00,12.00,12.00,0,0,0
PJS,20161117,11.60,11.60,11.60,11.60,100,11.60,11.60,11.60,11.60,0,0,100
PJS,20161114,13.60,13.60,13.60,13.60,100,13.60,13.60,13.60,13.60,0,0,0
PJS,20161101,11.90,11.90,11.90,11.90,100,11.90,11.90,11.90,11.90,0,0,100
PJS,20161020,13.90,13.90,13.90,13.90,100,13.90,13.90,13.90,13.90,0,0,0
PJS,20161017,12.10,12.10,12.10,12.10,10,12.10,12.10,12.10,12.10,0,0,0
PJS,20161012,12.60,12.60,12.00,12.00,8600,12.60,12.60,12.00,12.00,0,7500,0
PJS,20161004,13.50,13.50,13.50,13.50,100,13.50,13.50,13.50,13.50,0,0,0
PJS,20160923,11.90,11.90,11.90,11.90,110,11.90,11.90,11.90,11.90,0,0,100
PJS,20160919,11.90,16.00,11.90,16.00,200,11.90,16.00,11.90,16.00,0,0,100
PJS,20160916,14.00,14.00,14.00,14.00,100,14.00,14.00,14.00,14.00,0,0,0
PJS,20160812,13.00,13.00,13.00,13.00,500,13.00,13.00,13.00,13.00,0,0,500
PJS,20160811,13.00,13.00,13.00,13.00,300,13.00,13.00,13.00,13.00,0,0,300
PJS,20160810,11.50,13.50,11.50,13.50,200,11.50,13.50,11.50,13.50,0,0,200
PJS,20160808,13.50,13.50,13.50,13.50,100,13.50,13.50,13.50,13.50,0,0,100
PJS,20160728,12.00,12.00,12.00,12.00,100,12.00,12.00,12.00,12.00,0,0,0
PJS,20160714,13.90,13.90,13.90,13.90,500,13.90,13.90,13.90,13.90,0,0,0
PJS,20160711,13.90,13.90,13.90,13.90,100,13.90,13.90,13.90,13.90,0,0,0
PJS,20160705,13.70,13.70,13.60,13.60,6000,13.70,13.70,13.60,13.60,0,6000,0
PJS,20160701,13.70,13.70,13.70,13.70,500,13.70,13.70,13.70,13.70,0,0,0
PJS,20160630,12.00,13.90,12.00,13.90,1200,12.00,13.90,12.00,13.90,0,0,0
PJS,20160629,13.90,13.90,13.90,13.90,1000,13.90,13.90,13.90,13.90,0,0,0
PJS,20160628,13.50,13.50,13.50,13.50,1000,13.50,13.50,13.50,13.50,0,1000,0
PJS,20160624,14.00,14.00,14.00,14.00,100,14.00,14.00,14.00,14.00,0,0,0
PJS,20160623,12.30,16.50,12.30,16.50,200,12.30,16.50,12.30,16.50,0,0,100
PJS,20160622,14.40,14.40,14.40,14.40,1700,14.40,14.40,14.40,14.40,0,500,100
PJS,20160621,12.60,12.60,12.60,12.60,100,12.60,12.60,12.60,12.60,0,0,0
PJS,20160616,11.00,11.00,11.00,11.00,100,11.70,11.70,11.70,11.70,0,0,0
PJS,20160615,12.70,12.70,12.70,12.69,100,13.50,13.50,13.50,13.50,0,0,0
PJS,20160614,14.38,14.38,14.38,14.39,100,15.30,15.30,15.30,15.30,0,0,0
PJS,20160613,11.18,12.69,11.18,12.69,1100,11.90,13.50,11.90,13.50,0,0,0
PJS,20160610,12.98,12.98,12.98,12.97,1000,13.80,13.80,13.80,13.80,0,0,0
PJS,20160608,12.31,12.31,12.31,12.32,110,13.10,13.10,13.10,13.10,0,0,0
PJS,20160607,14.11,14.11,14.11,14.10,100,15.00,15.00,15.00,15.00,0,0,0
PJS,20160530,12.69,12.79,12.69,12.79,600,13.50,13.60,13.50,13.60,0,0,0
PJS,20160527,11.19,11.19,11.19,11.19,100,11.90,11.90,11.90,11.90,0,0,100
PJS,20160524,13.16,13.16,13.16,13.16,25000,14.00,14.00,14.00,14.00,0,25000,0
PJS,20160523,13.16,13.16,13.16,13.16,5000,14.00,14.00,14.00,14.00,0,5000,0
PJS,20160517,13.63,13.63,13.63,13.63,1000,14.50,14.50,14.50,14.50,0,0,0
PJS,20160506,13.35,13.35,13.35,13.35,9200,14.20,14.20,14.20,14.20,0,7200,0
PJS,20160504,15.70,15.70,15.70,15.70,100,16.70,16.70,16.70,16.70,0,0,0
PJS,20160429,15.98,15.98,14.01,14.01,200,17.00,17.00,14.90,14.90,0,0,0
PJS,20160428,17.49,17.49,13.16,13.16,1400,18.60,18.60,14.00,14.00,0,0,0
PJS,20160427,15.42,15.42,15.42,15.42,100,16.40,16.40,16.40,16.40,0,0,0
PJS,20160426,13.54,13.54,13.54,13.54,100,14.40,14.40,14.40,14.40,0,0,0
