<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PMT,20170626,4.70,4.70,4.70,4.70,200,4.70,4.70,4.70,4.70,0,0,0
PMT,20170623,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
PMT,20170622,4.40,4.40,3.70,3.70,200,4.40,4.40,3.70,3.70,0,0,0
PMT,20170621,3.60,4.20,3.60,4.20,200,3.60,4.20,3.60,4.20,0,0,0
PMT,20170620,4.30,4.30,3.80,3.80,200,4.30,4.30,3.80,3.80,0,0,0
PMT,20170619,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
PMT,20170616,3.50,4.60,3.50,4.60,200,3.50,4.60,3.50,4.60,0,0,0
PMT,20170615,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
PMT,20170613,4.40,4.40,4.40,4.40,600,4.40,4.40,4.40,4.40,0,0,0
PMT,20170612,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
PMT,20170609,3.40,4.10,3.20,3.40,1300,3.40,4.10,3.20,3.40,0,0,0
PMT,20170608,3.70,4.70,3.50,3.60,3700,3.70,4.70,3.50,3.60,0,0,0
PMT,20170607,4.10,4.10,4.00,4.00,300,4.10,4.10,4.00,4.00,0,0,0
PMT,20170606,4.10,5.20,4.10,5.20,200,4.10,5.20,4.10,5.20,0,0,0
PMT,20170605,4.60,4.60,4.60,4.60,300,4.60,4.60,4.60,4.60,0,0,0
PMT,20170601,5.40,5.40,5.40,5.40,100,5.40,5.40,5.40,5.40,0,0,0
PMT,20170529,6.60,6.60,5.00,5.00,1000,6.60,6.60,5.00,5.00,0,0,0
PMT,20170526,7.00,7.00,5.20,5.20,300,7.00,7.00,5.20,5.20,0,0,0
PMT,20170525,6.10,6.10,6.10,6.10,100,6.10,6.10,6.10,6.10,0,0,0
PMT,20170522,8.40,8.40,6.40,6.40,300,8.40,8.40,6.40,6.40,0,0,0
PMT,20170511,7.50,7.50,7.50,7.50,100,7.50,7.50,7.50,7.50,0,0,0
PMT,20170414,6.80,6.80,6.80,6.80,100,6.80,6.80,6.80,6.80,0,0,0
