<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PTG,20170612,1.20,1.20,1.20,1.20,100,1.20,1.20,1.20,1.20,0,0,0
PTG,20170403,0.90,0.90,0.90,0.90,100,0.90,0.90,0.90,0.90,0,0,0
PTG,20150928,0.70,0.70,0.70,0.70,5000,0.70,0.70,0.70,0.70,0,0,0
PTG,20150424,0.50,0.50,0.50,0.50,100,1.50,1.50,1.50,1.50,0,0,0
PTG,20141124,0.36,0.36,0.36,0.37,100,2.10,2.10,2.10,2.10,0,0,0
PTG,20140106,0.26,0.26,0.26,0.26,100,3.70,3.70,3.70,3.70,0,0,0
PTG,20130312,0.12,0.12,0.12,0.13,100,4.00,4.00,4.00,4.00,0,0,0
PTG,20120528,0.10,0.10,0.10,0.09,100,4.90,4.90,4.90,4.90,0,0,0
PTG,20120416,0.07,0.07,0.07,0.07,300,3.50,3.50,3.50,3.50,0,0,0
PTG,20120215,0.05,0.05,0.05,0.05,800,5.00,5.00,5.00,5.00,0,0,0
PTG,20120106,0.05,0.05,0.05,0.05,800,5.00,5.00,5.00,5.00,0,0,0
PTG,20110811,0.05,0.05,0.05,0.05,490,6.00,6.00,6.00,6.00,0,0,0
PTG,20110810,0.05,0.05,0.05,0.05,100,6.00,6.00,6.00,6.00,0,0,0
PTG,20110608,0.07,0.07,0.07,0.07,200,10.00,10.00,10.00,10.00,0,0,0
PTG,20110524,0.07,0.07,0.07,0.07,3460,10.00,10.00,10.00,10.00,3460,0,0
PTG,20110523,0.07,0.07,0.07,0.07,100,10.00,10.00,10.00,10.00,0,0,0
PTG,20110314,0.07,0.07,0.07,0.07,2950,10.00,10.00,10.00,10.00,0,0,0
PTG,20110310,0.07,0.07,0.07,0.07,1415,10.00,10.00,10.00,10.00,0,0,0
PTG,20110221,0.07,0.07,0.07,0.07,1000,10.00,10.00,10.00,10.00,0,0,0
PTG,20101019,0.06,0.06,0.06,0.06,5000,10.00,10.00,10.00,10.00,0,0,0
PTG,20100920,0.06,0.06,0.06,0.06,6470,10.00,10.00,10.00,10.00,0,0,0
PTG,20100917,0.05,0.05,0.05,0.06,1000,10.00,10.00,10.00,10.00,0,0,0
PTG,20100409,0.05,0.05,0.05,0.05,390,10.00,10.00,10.00,10.00,0,0,0
