<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PTP,20170621,9.50,9.50,9.50,9.50,100,9.50,9.50,9.50,9.50,0,0,0
PTP,20170612,11.10,11.10,11.10,11.10,100,11.10,11.10,11.10,11.10,0,0,0
PTP,20170526,13.00,13.00,13.00,13.00,100,13.00,13.00,13.00,13.00,0,0,0
PTP,20170503,12.50,12.50,12.50,12.50,100,12.50,12.50,12.50,12.50,0,0,0
PTP,20170424,10.90,10.90,10.90,10.90,1000,10.90,10.90,10.90,10.90,0,0,0
PTP,20170421,12.80,12.80,12.80,12.80,100,12.80,12.80,12.80,12.80,0,0,0
PTP,20170403,12.00,12.00,12.00,12.00,500,12.00,12.00,12.00,12.00,0,0,0
PTP,20170329,11.50,11.50,11.50,11.50,500,11.50,11.50,11.50,11.50,0,0,0
PTP,20170320,12.50,12.50,12.50,12.50,40,12.50,12.50,12.50,12.50,0,0,0
PTP,20170317,12.50,12.50,12.50,12.50,5000,12.50,12.50,12.50,12.50,0,0,0
PTP,20170316,12.50,12.50,12.50,12.50,2000,12.50,12.50,12.50,12.50,0,0,0
PTP,20170313,12.50,12.50,12.50,12.50,2000,12.50,12.50,12.50,12.50,0,0,0
PTP,20170303,12.00,12.00,12.00,12.00,500,12.00,12.00,12.00,12.00,0,0,0
PTP,20170301,11.00,11.00,11.00,11.00,3000,11.00,11.00,11.00,11.00,0,0,0
PTP,20170216,12.00,12.60,12.00,12.60,6400,12.00,12.60,12.00,12.60,0,0,0
PTP,20170214,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
PTP,20161213,10.00,10.00,10.00,10.00,2000,10.00,10.00,10.00,10.00,0,0,0
PTP,20161209,10.00,10.00,10.00,10.00,2600,10.00,10.00,10.00,10.00,0,0,0
PTP,20161201,11.00,11.00,11.00,11.00,200,11.00,11.00,11.00,11.00,0,0,0
PTP,20161122,12.20,13.00,12.20,13.00,14400,12.20,13.00,12.20,13.00,0,0,0
PTP,20161121,12.20,12.20,12.20,12.20,2500,12.20,12.20,12.20,12.20,0,0,0
PTP,20161115,12.50,12.50,12.50,12.50,4700,12.50,12.50,12.50,12.50,0,0,0
PTP,20161114,12.50,12.50,12.50,12.50,700,12.50,12.50,12.50,12.50,0,0,0
PTP,20161104,12.50,12.50,12.00,12.00,6500,12.50,12.50,12.00,12.00,0,0,0
PTP,20161103,12.00,12.00,11.50,11.50,2600,12.00,12.00,11.50,11.50,0,0,0
PTP,20161021,12.50,12.50,12.00,12.00,2600,12.50,12.50,12.00,12.00,0,0,0
PTP,20161020,11.90,11.90,11.90,11.90,100,11.90,11.90,11.90,11.90,0,0,0
PTP,20161014,14.00,14.00,14.00,14.00,100,14.00,14.00,14.00,14.00,0,0,0
PTP,20161013,12.60,12.60,12.60,12.60,1000,12.60,12.60,12.60,12.60,0,0,0
PTP,20161012,11.00,11.00,11.00,11.00,1000,11.00,11.00,11.00,11.00,0,0,0
PTP,20161005,10.70,11.00,10.70,11.00,300,10.70,11.00,10.70,11.00,0,0,0
PTP,20161004,12.50,12.50,12.50,12.50,600,12.50,12.50,12.50,12.50,0,0,0
PTP,20160930,12.50,12.50,12.50,12.50,8000,12.50,12.50,12.50,12.50,0,0,0
PTP,20160929,12.50,12.50,12.50,12.50,52400,12.50,12.50,12.50,12.50,0,0,0
PTP,20160928,12.50,12.50,12.50,12.50,5100,12.50,12.50,12.50,12.50,0,0,0
PTP,20160927,12.40,12.50,12.40,12.50,18900,12.40,12.50,12.40,12.50,0,0,0
PTP,20160922,11.80,12.00,11.80,12.00,5500,11.80,12.00,11.80,12.00,0,0,0
PTP,20160921,12.00,12.00,12.00,12.00,900,12.00,12.00,12.00,12.00,0,0,0
PTP,20160920,12.00,12.00,12.00,12.00,3400,12.00,12.00,12.00,12.00,0,0,0
PTP,20160919,12.00,12.00,12.00,12.00,5000,12.00,12.00,12.00,12.00,0,0,0
PTP,20160916,12.50,12.50,12.50,12.50,6500,12.50,12.50,12.50,12.50,0,0,0
PTP,20160915,12.50,12.50,12.00,12.20,32100,12.50,12.50,12.00,12.20,0,0,0
PTP,20160914,11.50,11.50,11.50,11.50,600,11.50,11.50,11.50,11.50,0,0,0
PTP,20160901,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
PTP,20160826,10.20,10.20,10.20,10.20,100,10.20,10.20,10.20,10.20,0,0,0
PTP,20160825,10.20,10.20,10.20,10.20,100,10.20,10.20,10.20,10.20,0,0,0
PTP,20160824,11.00,11.00,11.00,11.00,500,11.00,11.00,11.00,11.00,347840,0,0
PTP,20160817,12.10,12.20,12.10,12.20,15500,12.10,12.20,12.10,12.20,0,0,0
PTP,20160816,12.10,12.20,12.10,12.10,16000,12.10,12.20,12.10,12.10,0,0,0
PTP,20160815,12.10,12.10,12.00,12.10,22800,12.10,12.10,12.00,12.10,0,0,0
PTP,20160811,10.60,10.60,10.60,10.60,1000,10.60,10.60,10.60,10.60,0,0,0
PTP,20160804,10.60,10.60,10.60,10.60,2000,10.60,10.60,10.60,10.60,0,0,0
PTP,20160729,10.10,10.10,10.10,10.10,1000,10.10,10.10,10.10,10.10,0,0,0
PTP,20160728,10.50,10.50,10.50,10.50,1000,10.50,10.50,10.50,10.50,0,0,0
PTP,20160726,10.50,10.50,10.50,10.50,5000,10.50,10.50,10.50,10.50,0,0,0
PTP,20160725,10.10,10.10,10.10,10.10,1000,10.10,10.10,10.10,10.10,0,0,0
PTP,20160722,10.50,10.50,10.50,10.50,2000,10.50,10.50,10.50,10.50,0,0,0
PTP,20160721,10.50,10.50,10.50,10.50,2000,10.50,10.50,10.50,10.50,0,0,0
PTP,20160719,10.50,10.50,10.50,10.50,3700,10.50,10.50,10.50,10.50,0,0,0
PTP,20160714,10.50,10.50,10.50,10.50,3000,10.50,10.50,10.50,10.50,0,0,0
PTP,20160712,10.00,10.00,10.00,10.00,6000,10.00,10.00,10.00,10.00,0,0,0
PTP,20160708,10.00,10.50,10.00,10.50,2900,10.00,10.50,10.00,10.50,0,0,0
PTP,20160707,10.00,10.00,10.00,10.00,1000,10.00,10.00,10.00,10.00,0,0,0
PTP,20160704,10.50,10.50,10.50,10.50,1000,10.50,10.50,10.50,10.50,0,0,0
PTP,20160630,10.00,10.00,10.00,10.00,600,10.00,10.00,10.00,10.00,0,0,0
PTP,20160622,9.60,9.60,9.60,9.60,2900,9.60,9.60,9.60,9.60,0,0,0
PTP,20160621,9.60,9.60,9.60,9.60,1100,9.60,9.60,9.60,9.60,0,0,0
PTP,20160614,10.00,10.40,10.00,10.40,176700,10.00,10.40,10.00,10.40,0,0,0
PTP,20160613,9.40,9.40,8.60,8.60,300,9.40,9.40,8.60,8.60,0,0,0
PTP,20160610,9.40,9.40,9.40,9.40,1500,9.40,9.40,9.40,9.40,0,0,0
PTP,20160609,10.90,11.10,10.90,11.10,25800,10.90,11.10,10.90,11.10,0,0,0
PTP,20160608,9.70,9.80,9.70,9.80,3400,9.70,9.80,9.70,9.80,0,0,0
PTP,20160607,8.70,8.70,6.60,8.70,2100,8.70,8.70,6.60,8.70,0,0,0
PTP,20160601,8.00,8.00,7.50,7.50,900,8.00,8.00,7.50,7.50,30,0,0
PTP,20160525,7.60,7.60,7.60,7.60,700,7.60,7.60,7.60,7.60,0,0,0
PTP,20160524,8.90,8.90,8.90,8.90,1000,9.50,9.50,9.50,9.50,0,0,0
