<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PVM,20170627,10.20,10.20,9.50,10.20,355900,10.20,10.20,9.50,10.20,0,0,0
PVM,20170626,8.30,9.20,8.00,9.20,173100,8.30,9.20,8.00,9.20,0,0,0
PVM,20170623,7.70,8.50,7.30,8.40,138300,7.70,8.50,7.30,8.40,0,0,0
PVM,20170622,7.80,8.20,7.50,7.90,35900,7.80,8.20,7.50,7.90,0,0,0
PVM,20170621,7.20,8.00,7.10,7.50,101500,7.20,8.00,7.10,7.50,0,0,0
PVM,20170620,6.80,7.20,6.70,7.20,1982400,6.80,7.20,6.70,7.20,0,0,0
PVM,20170619,6.90,7.00,6.40,7.00,21900,6.90,7.00,6.40,7.00,0,0,0
PVM,20170616,7.00,7.10,7.00,7.00,9100,7.00,7.10,7.00,7.00,0,0,0
PVM,20170615,7.30,7.40,6.70,7.00,100600,7.30,7.40,6.70,7.00,0,0,0
PVM,20170614,6.30,6.60,6.30,6.60,179300,6.30,6.60,6.30,6.60,0,0,0
PVM,20170613,6.20,6.30,6.20,6.20,45300,6.20,6.30,6.20,6.20,0,0,0
PVM,20170612,6.10,6.20,6.10,6.20,56200,6.10,6.20,6.10,6.20,0,0,0
PVM,20170609,6.10,6.20,6.10,6.20,45200,6.10,6.20,6.10,6.20,0,0,0
PVM,20170608,6.20,6.20,6.10,6.10,33400,6.20,6.20,6.10,6.10,0,0,0
PVM,20170607,6.10,6.20,6.10,6.20,3900,6.10,6.20,6.10,6.20,0,0,0
PVM,20170606,6.10,6.30,6.10,6.30,54500,6.10,6.30,6.10,6.30,0,0,0
PVM,20170605,6.00,6.10,5.90,6.10,44300,6.00,6.10,5.90,6.10,0,0,0
PVM,20170602,6.10,6.10,6.10,6.10,9500,6.10,6.10,6.10,6.10,0,0,0
PVM,20170601,6.00,6.00,5.90,6.00,3200,6.00,6.00,5.90,6.00,0,0,0
PVM,20170531,6.10,6.20,5.90,6.20,48200,6.10,6.20,5.90,6.20,0,0,0
PVM,20170530,6.50,6.50,5.90,5.90,5100,6.50,6.50,5.90,5.90,0,0,0
PVM,20170529,5.90,6.20,5.90,6.20,40100,5.90,6.20,5.90,6.20,0,0,0
PVM,20170526,6.60,6.60,6.60,6.60,100,6.60,6.60,6.60,6.60,0,0,0
PVM,20170525,5.90,6.20,5.90,6.20,65400,5.90,6.20,5.90,6.20,0,0,0
PVM,20170524,5.90,5.90,5.80,5.90,67700,5.90,5.90,5.80,5.90,0,0,0
PVM,20170523,5.80,5.80,5.80,5.80,10200,5.80,5.80,5.80,5.80,0,0,0
PVM,20170522,5.80,5.90,5.80,5.90,36000,5.80,5.90,5.80,5.90,0,0,0
PVM,20170519,5.70,5.90,5.70,5.90,8300,5.70,5.90,5.70,5.90,0,0,0
PVM,20170518,5.90,5.90,5.70,5.80,12300,5.90,5.90,5.70,5.80,0,0,0
PVM,20170517,5.70,5.80,5.70,5.70,21700,5.70,5.80,5.70,5.70,0,0,5000
PVM,20170516,5.90,5.90,5.80,5.80,22900,5.90,5.90,5.80,5.80,0,0,0
PVM,20170515,5.80,6.00,5.80,6.00,154800,5.80,6.00,5.80,6.00,0,0,0
PVM,20170512,5.80,5.90,5.80,5.90,10600,5.80,5.90,5.80,5.90,0,5000,0
PVM,20170511,5.80,5.90,5.80,5.90,327400,5.80,5.90,5.80,5.90,0,0,0
PVM,20170510,5.70,5.80,5.70,5.80,18800,5.70,5.80,5.70,5.80,0,0,0
PVM,20170509,5.80,5.80,5.70,5.80,20700,5.80,5.80,5.70,5.80,0,0,0
PVM,20170508,5.70,6.00,5.60,6.00,141500,5.70,6.00,5.60,6.00,0,0,0
PVM,20170505,5.70,5.80,5.70,5.80,26100,5.70,5.80,5.70,5.80,0,0,0
PVM,20170504,5.70,5.70,5.70,5.70,24800,5.70,5.70,5.70,5.70,0,0,0
PVM,20170503,5.70,5.80,5.60,5.60,24000,5.70,5.80,5.60,5.60,0,0,0
PVM,20170428,5.80,6.00,5.80,6.00,8000,5.80,6.00,5.80,6.00,0,0,0
PVM,20170427,5.80,5.80,5.80,5.80,100,5.80,5.80,5.80,5.80,0,0,0
PVM,20170426,5.90,5.90,5.90,5.90,100,5.90,5.90,5.90,5.90,0,0,0
PVM,20170425,5.70,5.70,5.70,5.70,3600,5.70,5.70,5.70,5.70,0,0,0
PVM,20170424,6.00,6.00,5.80,5.80,4600,6.00,6.00,5.80,5.80,0,0,0
PVM,20170421,5.80,6.00,5.80,5.90,7300,5.80,6.00,5.80,5.90,0,0,0
