<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PX1,20170619,10.00,10.00,10.00,10.00,30,10.00,10.00,10.00,10.00,0,0,0
PX1,20170616,10.00,10.00,10.00,10.00,7700,10.00,10.00,10.00,10.00,0,0,0
PX1,20170615,9.50,9.50,9.50,9.50,500,9.50,9.50,9.50,9.50,0,0,0
PX1,20170612,8.60,8.60,8.60,8.60,1000,8.60,8.60,8.60,8.60,0,0,0
PX1,20170608,7.50,7.50,7.50,7.50,1000,7.50,7.50,7.50,7.50,1621,0,0
PX1,20170607,6.60,6.60,6.60,6.60,110600,6.60,6.60,6.60,6.60,0,0,0
PX1,20161229,10.90,10.90,10.90,10.90,200,10.90,10.90,10.90,10.90,0,0,0
PX1,20161226,12.80,12.80,12.80,12.80,100,12.80,12.80,12.80,12.80,0,0,0
PX1,20161222,11.20,11.20,11.20,11.20,100,11.20,11.20,11.20,11.20,0,0,0
PX1,20161219,9.80,9.80,9.80,9.80,231300,9.80,9.80,9.80,9.80,0,0,0
PX1,20150625,7.00,7.00,7.00,7.00,100,7.00,7.00,7.00,7.00,0,0,0
PX1,20130723,10.00,10.00,10.00,10.00,2200000,10.00,10.00,10.00,10.00,0,0,0
PX1,20130102,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
PX1,20120822,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
PX1,20120718,8.70,8.70,8.70,8.70,100,8.70,8.70,8.70,8.70,0,0,0
PX1,20120618,9.40,9.40,9.40,9.40,100,9.40,9.40,9.40,9.40,0,0,0
PX1,20120515,9.40,9.40,9.40,9.40,100,9.40,9.40,9.40,9.40,0,0,0
PX1,20120410,9.50,9.50,9.50,9.50,400,9.50,9.50,9.50,9.50,0,0,0
PX1,20120313,10.50,10.50,10.50,10.50,100,10.50,10.50,10.50,10.50,0,0,0
PX1,20120209,10.50,10.50,10.50,10.50,100,10.50,10.50,10.50,10.50,0,0,0
PX1,20120104,10.30,10.30,10.30,10.30,100,10.30,10.30,10.30,10.30,0,0,0
PX1,20111205,10.20,10.20,10.20,10.20,100,10.20,10.20,10.20,10.20,0,0,0
PX1,20111108,10.80,10.80,10.80,10.80,100,10.80,10.80,10.80,10.80,0,0,0
PX1,20111010,10.80,10.80,10.80,10.80,100,10.80,10.80,10.80,10.80,0,0,0
PX1,20110927,11.90,11.90,11.90,11.90,100,11.90,11.90,11.90,11.90,0,0,0
PX1,20110921,13.20,13.20,13.20,13.20,100,13.20,13.20,13.20,13.20,0,0,0
PX1,20110908,14.50,14.50,14.50,14.50,100,14.50,14.50,14.50,14.50,0,0,0
PX1,20110830,15.00,15.00,15.00,15.00,100,15.00,15.00,15.00,15.00,0,0,0
PX1,20110804,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
PX1,20110704,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
PX1,20110606,15.60,15.60,15.60,15.60,100,15.60,15.60,15.60,15.60,0,0,0
PX1,20110527,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
PX1,20110422,15.90,15.90,15.90,15.90,100,15.90,15.90,15.90,15.90,0,0,0
PX1,20110330,15.90,15.90,15.90,15.90,100,15.90,15.90,15.90,15.90,0,0,0
PX1,20110303,15.90,15.90,15.90,15.90,100,15.90,15.90,15.90,15.90,0,0,0
PX1,20110124,15.90,15.90,15.90,15.90,100,15.90,15.90,15.90,15.90,0,0,0
PX1,20101231,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
PX1,20101210,15.70,15.70,15.70,15.70,1000,15.70,15.70,15.70,15.70,0,0,0
PX1,20101208,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
