<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
QCG,20170627,28.10,29.50,28.10,28.80,363350,28.10,29.50,28.10,28.80,20000,0,0
QCG,20170626,29.20,29.20,27.90,28.60,1309250,29.20,29.20,27.90,28.60,20000,0,0
QCG,20170623,29.30,30.20,29.10,29.30,481370,29.30,30.20,29.10,29.30,0,0,0
QCG,20170622,30.10,30.30,28.60,29.30,594360,30.10,30.30,28.60,29.30,0,6560,400
QCG,20170621,26.00,28.60,26.00,28.60,1630600,26.00,28.60,26.00,28.60,25000,1000,5050
QCG,20170620,26.75,26.75,26.70,26.75,602830,26.75,26.75,26.70,26.75,100000,0,450
QCG,20170619,25.00,25.00,25.00,25.00,330740,25.00,25.00,25.00,25.00,109490,0,0
QCG,20170616,22.50,23.40,22.00,23.40,542930,22.50,23.40,22.00,23.40,0,0,0
QCG,20170615,22.60,22.70,21.90,21.90,805950,22.60,22.70,21.90,21.90,90000,1400,0
QCG,20170614,20.20,21.60,20.20,21.60,570090,20.20,21.60,20.20,21.60,0,0,0
QCG,20170613,20.50,21.00,20.20,20.20,274760,20.50,21.00,20.20,20.20,0,25200,0
QCG,20170612,21.20,21.30,20.60,20.60,240350,21.20,21.30,20.60,20.60,0,47420,60
QCG,20170609,21.60,21.60,21.00,21.20,670450,21.60,21.60,21.00,21.20,0,250,0
QCG,20170608,21.70,21.70,21.00,21.20,267500,21.70,21.70,21.00,21.20,0,2300,0
QCG,20170607,21.50,22.00,21.40,21.50,372450,21.50,22.00,21.40,21.50,236960,0,0
QCG,20170606,21.60,22.00,21.15,22.00,532900,21.60,22.00,21.15,22.00,23000,0,0
QCG,20170605,21.80,21.80,20.65,21.50,493980,21.80,21.80,20.65,21.50,440000,0,0
QCG,20170602,20.60,21.90,20.30,21.25,1184800,20.60,21.90,20.30,21.25,0,0,0
QCG,20170601,21.25,22.40,21.10,21.30,1012590,21.25,22.40,21.10,21.30,0,0,0
QCG,20170531,23.00,23.20,21.90,21.90,599700,23.00,23.20,21.90,21.90,0,0,1000
QCG,20170530,19.80,21.90,19.80,21.90,2789970,19.80,21.90,19.80,21.90,0,5000,89500
QCG,20170529,21.40,21.90,20.50,20.50,1462210,21.40,21.90,20.50,20.50,100000,0,210010
QCG,20170526,22.80,22.85,22.00,22.00,354350,22.80,22.85,22.00,22.00,200000,1000,65500
