<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
QHW,20170627,31.00,31.00,31.00,31.00,1500,31.00,31.00,31.00,31.00,0,0,0
QHW,20170620,30.00,32.00,30.00,32.00,14400,30.00,32.00,30.00,32.00,0,0,0
QHW,20170616,32.00,32.00,32.00,32.00,700,32.00,32.00,32.00,32.00,0,0,0
QHW,20170615,32.10,32.10,32.00,32.00,1100,32.10,32.10,32.00,32.00,0,0,0
QHW,20170614,32.00,32.00,32.00,32.00,1100,32.00,32.00,32.00,32.00,0,0,0
QHW,20170606,32.00,32.00,32.00,32.00,600,32.00,32.00,32.00,32.00,0,0,0
QHW,20170602,32.00,32.00,32.00,32.00,1000,32.00,32.00,32.00,32.00,0,0,0
QHW,20170531,32.00,32.00,32.00,32.00,1200,32.00,32.00,32.00,32.00,0,0,0
QHW,20170529,32.00,32.00,32.00,32.00,4400,32.00,32.00,32.00,32.00,0,0,0
QHW,20170526,30.10,30.10,30.10,30.10,100,30.10,30.10,30.10,30.10,0,0,0
QHW,20170525,32.00,32.00,31.00,31.00,3000,32.00,32.00,31.00,31.00,0,0,0
QHW,20170522,32.00,32.00,32.00,32.00,4700,32.00,32.00,32.00,32.00,0,0,0
QHW,20170518,32.00,32.00,32.00,32.00,700,32.00,32.00,32.00,32.00,0,0,0
QHW,20170517,32.00,32.00,32.00,32.00,3800,32.00,32.00,32.00,32.00,0,0,0
QHW,20170516,32.00,32.00,32.00,32.00,8800,32.00,32.00,32.00,32.00,0,0,0
QHW,20170511,32.00,32.00,32.00,32.00,200,32.00,32.00,32.00,32.00,0,0,0
QHW,20170510,32.00,32.00,32.00,32.00,100,32.00,32.00,32.00,32.00,0,100,0
QHW,20170509,32.00,32.00,32.00,32.00,1100,32.00,32.00,32.00,32.00,0,0,0
QHW,20170505,32.00,32.00,32.00,32.00,5000,32.00,32.00,32.00,32.00,0,0,0
QHW,20170428,27.50,32.00,27.50,32.00,200,27.50,32.00,27.50,32.00,0,0,0
QHW,20170427,32.00,32.00,32.00,32.00,100,32.00,32.00,32.00,32.00,0,0,0
QHW,20170425,28.00,31.50,28.00,31.50,1300,28.00,31.50,28.00,31.50,0,0,0
QHW,20170420,31.10,31.80,31.00,31.80,4900,31.10,31.80,31.00,31.80,0,0,0
QHW,20170419,29.00,29.00,29.00,29.00,400,29.00,29.00,29.00,29.00,0,0,0
QHW,20170418,29.00,29.00,29.00,29.00,1200,29.00,29.00,29.00,29.00,0,0,0
QHW,20170417,30.00,31.50,29.00,31.50,1900,30.00,31.50,29.00,31.50,0,0,0
QHW,20170413,30.00,30.00,30.00,30.00,1900,30.00,30.00,30.00,30.00,0,0,0
QHW,20170412,30.50,30.50,30.50,30.50,500,30.50,30.50,30.50,30.50,0,0,0
QHW,20170410,30.50,30.50,30.50,30.50,3300,30.50,30.50,30.50,30.50,0,0,0
QHW,20170405,30.50,30.50,30.50,30.50,1400,30.50,30.50,30.50,30.50,0,0,0
QHW,20170404,30.50,30.50,30.50,30.50,1000,30.50,30.50,30.50,30.50,0,0,0
QHW,20170403,34.00,34.50,34.00,34.50,4200,34.00,34.50,34.00,34.50,0,0,0
QHW,20170330,35.00,35.00,34.30,34.30,2600,35.00,35.00,34.30,34.30,0,0,0
QHW,20170328,34.30,34.30,34.30,34.30,200,34.30,34.30,34.30,34.30,0,0,0
QHW,20170327,35.00,35.00,34.10,34.10,1300,35.00,35.00,34.10,34.10,0,0,0
QHW,20170324,33.00,34.50,32.50,34.50,1800,33.00,34.50,32.50,34.50,0,0,0
QHW,20170323,30.00,30.00,30.00,30.00,400,30.00,30.00,30.00,30.00,0,0,0
QHW,20170322,29.20,29.20,29.20,29.20,100,29.20,29.20,29.20,29.20,1400,0,0
QHW,20170321,25.40,25.40,25.40,25.40,100,25.40,25.40,25.40,25.40,1400,0,0
QHW,20170320,22.10,22.10,22.10,22.10,100,22.10,22.10,22.10,22.10,0,0,0
QHW,20170317,19.30,19.30,19.30,19.30,100,19.30,19.30,19.30,19.30,0,0,0
QHW,20170310,16.80,16.80,16.80,16.80,100,16.80,16.80,16.80,16.80,0,0,0
