<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
QSP,20170524,12.00,12.00,12.00,12.00,100,12.00,12.00,12.00,12.00,0,0,0
QSP,20170517,12.00,12.00,12.00,12.00,100,12.00,12.00,12.00,12.00,0,0,0
QSP,20170516,12.00,12.00,12.00,12.00,600,12.00,12.00,12.00,12.00,0,0,0
QSP,20170508,11.90,11.90,11.90,11.90,1000,13.50,13.50,13.50,13.50,0,0,0
QSP,20170323,12.95,12.95,12.95,12.96,100,14.70,14.70,14.70,14.70,0,0,0
QSP,20170320,11.28,11.28,11.28,11.28,100,12.80,12.80,12.80,12.80,0,0,0
QSP,20170316,13.23,13.23,13.23,13.22,100,15.00,15.00,15.00,15.00,0,0,0
QSP,20170313,11.64,11.64,11.64,11.64,600,13.20,13.20,13.20,13.20,0,100,0
QSP,20170309,10.22,10.22,10.13,10.14,1000,11.60,11.60,11.50,11.50,42530,0,0
QSP,20170306,10.14,10.41,10.14,10.40,2300,11.50,11.80,11.50,11.80,0,0,0
QSP,20170302,8.81,9.25,8.81,9.26,1100,10.00,10.50,10.00,10.50,0,100,0
QSP,20170222,8.81,8.81,8.81,8.81,100,10.00,10.00,10.00,10.00,0,0,0
QSP,20170215,8.55,8.55,8.55,8.55,100,9.70,9.70,9.70,9.70,0,0,0
QSP,20170202,8.55,8.55,8.55,8.55,100,9.70,9.70,9.70,9.70,0,0,0
QSP,20170111,7.49,7.49,7.49,7.49,100,8.50,8.50,8.50,8.50,0,0,0
QSP,20170105,6.52,6.52,6.52,6.52,1000,7.40,7.40,7.40,7.40,0,0,0
QSP,20161021,10.75,10.75,10.75,10.75,200,12.20,12.20,12.20,12.20,0,0,0
QSP,20161014,12.61,12.61,12.61,12.60,100,14.30,14.30,14.30,14.30,0,0,0
QSP,20160930,14.81,14.81,14.81,14.81,100,16.80,16.80,16.80,16.80,0,0,0
