<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
QST,20170516,12.90,12.90,12.90,12.90,100,12.90,12.90,12.90,12.90,0,100,0
QST,20170417,12.60,12.60,12.60,12.60,800,12.60,12.60,12.60,12.60,0,0,0
QST,20170313,14.00,14.00,14.00,14.00,100,14.00,14.00,14.00,14.00,0,0,0
QST,20170214,12.80,12.80,12.80,12.80,1000,14.00,14.00,14.00,14.00,0,0,0
QST,20170209,13.07,13.07,13.07,13.07,100,14.30,14.30,14.30,14.30,0,0,100
QST,20170207,12.80,12.80,12.80,12.80,100,14.00,14.00,14.00,14.00,0,0,100
QST,20170203,11.80,11.80,11.80,11.79,100,12.90,12.90,12.90,12.90,0,0,100
QST,20170109,10.78,10.78,10.78,10.79,3300,11.80,11.80,11.80,11.80,0,0,0
QST,20170105,9.87,9.87,9.87,9.87,200,10.80,10.80,10.80,10.80,0,0,200
QST,20161129,9.05,9.05,9.05,9.05,100,9.90,9.90,9.90,9.90,0,0,0
QST,20161124,8.23,8.23,8.23,8.23,2720,9.00,9.00,9.00,9.00,0,0,0
QST,20161005,9.14,9.14,9.14,9.14,20,10.00,10.00,10.00,10.00,0,0,0
QST,20160921,9.14,9.14,9.14,9.14,360,10.00,10.00,10.00,10.00,0,300,0
QST,20160819,8.32,8.32,8.32,8.32,200,9.10,9.10,9.10,9.10,0,200,0
QST,20160804,8.05,8.05,8.05,8.05,500,8.80,8.80,8.80,8.80,0,0,0
QST,20160729,8.32,8.32,8.32,8.32,500,9.10,9.10,9.10,9.10,0,0,0
QST,20160527,9.15,9.15,9.15,9.14,1700,10.00,10.00,10.00,10.00,0,0,0
QST,20160421,9.32,9.32,9.32,9.33,100,10.20,10.20,10.20,10.20,0,0,0
QST,20160414,8.50,8.50,8.50,8.50,1000,9.30,9.30,9.30,9.30,0,0,0
QST,20160413,8.50,8.50,8.50,8.50,600,9.30,9.30,9.30,9.30,0,0,0
QST,20160405,7.77,7.77,7.77,7.77,100,8.50,8.50,8.50,8.50,0,0,0
QST,20160330,7.13,7.13,7.13,7.13,100,7.80,7.80,7.80,7.80,0,0,0
QST,20151109,6.49,6.49,6.49,6.49,3960,8.30,8.30,8.30,8.30,0,0,0
QST,20151021,7.04,7.04,7.04,7.04,100,9.00,9.00,9.00,9.00,0,0,0
QST,20150723,7.82,7.82,7.82,7.82,400,10.00,10.00,10.00,10.00,0,0,0
QST,20150612,8.21,8.21,8.21,8.21,3860,10.50,10.50,10.50,10.50,0,0,0
QST,20150608,7.51,7.51,7.51,7.51,600,9.60,9.60,9.60,9.60,0,0,600
QST,20150528,7.51,7.51,7.51,7.51,100,9.60,9.60,9.60,9.60,0,0,0
QST,20150525,7.51,7.51,7.51,7.51,40,9.60,9.60,9.60,9.60,0,0,0
QST,20150401,7.51,7.51,7.51,7.51,1200,9.60,9.60,9.60,9.60,0,0,0
QST,20150331,7.12,7.12,7.12,7.12,1000,9.10,9.10,9.10,9.10,0,0,0
QST,20150330,7.04,7.04,7.04,7.04,200,9.00,9.00,9.00,9.00,0,0,0
QST,20150320,6.49,6.49,6.49,6.49,300,8.30,8.30,8.30,8.30,0,0,0
QST,20141201,5.94,5.94,5.94,5.94,60,8.80,8.80,8.80,8.80,0,0,0
QST,20141103,5.94,5.94,5.94,5.94,200,8.80,8.80,8.80,8.80,0,0,0
QST,20141016,6.48,6.48,6.48,6.48,400,9.60,9.60,9.60,9.60,0,0,0
QST,20140930,7.09,7.09,7.09,7.09,600,10.50,10.50,10.50,10.50,0,0,0
QST,20140909,7.43,7.43,7.43,7.43,100,11.00,11.00,11.00,11.00,0,0,0
QST,20140811,7.09,7.09,7.09,7.09,100,10.50,10.50,10.50,10.50,0,0,0
QST,20140808,7.09,7.09,7.09,7.09,600,10.50,10.50,10.50,10.50,0,0,0
QST,20140806,7.84,7.84,7.84,7.83,100,11.60,11.60,11.60,11.60,0,0,0
QST,20140728,7.16,7.16,7.16,7.16,100,10.60,10.60,10.60,10.60,0,0,0
QST,20140704,7.90,7.90,7.90,7.90,100,11.70,11.70,11.70,11.70,0,0,0
QST,20140703,8.71,8.71,8.71,8.71,100,12.90,12.90,12.90,12.90,0,0,0
QST,20140701,9.66,9.66,9.66,9.66,100,14.30,14.30,14.30,14.30,0,0,0
