<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RCD,20170627,25.70,25.70,25.50,25.50,4700,25.70,25.70,25.50,25.50,0,2700,0
RCD,20170626,25.60,25.90,25.60,25.90,1500,25.60,25.90,25.60,25.90,0,0,100
RCD,20170621,30.00,30.00,30.00,30.00,1300,30.00,30.00,30.00,30.00,0,0,0
RCD,20170620,30.00,30.00,27.50,29.00,9400,30.00,30.00,27.50,29.00,0,0,0
RCD,20170619,27.50,27.50,27.50,27.50,100,27.50,27.50,27.50,27.50,0,0,0
RCD,20170616,26.60,26.60,26.00,26.00,1500,26.60,26.60,26.00,26.00,0,0,0
RCD,20170614,26.20,27.90,26.00,26.00,8500,26.20,27.90,26.00,26.00,0,0,0
RCD,20170613,24.70,26.30,24.70,26.30,200,24.70,26.30,24.70,26.30,0,0,0
RCD,20170609,24.00,26.00,24.00,26.00,3300,24.00,26.00,24.00,26.00,9195,0,0
RCD,20170607,24.30,26.00,24.00,26.00,2100,24.30,26.00,24.00,26.00,0,0,0
RCD,20170606,24.50,24.60,24.50,24.60,2000,24.50,24.60,24.50,24.60,0,0,0
RCD,20170605,26.20,26.20,26.20,26.20,105,26.20,26.20,26.20,26.20,0,0,0
RCD,20170602,24.10,24.10,24.10,24.10,1100,24.10,24.10,24.10,24.10,0,0,0
RCD,20170601,24.00,26.00,23.20,26.00,5200,24.00,26.00,23.20,26.00,0,0,0
RCD,20170531,24.10,26.00,24.10,26.00,2112,24.10,26.00,24.10,26.00,0,0,0
RCD,20170529,25.00,26.10,24.00,26.10,5400,25.00,26.10,24.00,26.10,0,0,0
RCD,20170526,23.20,26.00,23.20,24.40,13200,23.20,26.00,23.20,24.40,0,0,0
RCD,20170525,25.50,25.50,25.50,25.50,500,25.50,25.50,25.50,25.50,0,0,0
RCD,20170523,25.80,25.90,25.80,25.90,4400,25.80,25.90,25.80,25.90,0,0,0
RCD,20170522,25.70,25.90,25.70,25.90,2305,25.70,25.90,25.70,25.90,0,0,0
RCD,20170519,26.50,26.50,25.20,25.90,1300,26.50,26.50,25.20,25.90,0,0,0
RCD,20170518,25.20,25.20,25.20,25.20,402,25.20,25.20,25.20,25.20,0,0,0
RCD,20170517,27.00,27.20,27.00,27.00,5409,27.00,27.20,27.00,27.00,0,0,0
RCD,20170516,25.40,25.50,25.40,25.50,9313,25.40,25.50,25.40,25.50,410700,0,0
RCD,20170515,25.40,25.40,22.40,24.00,10300,25.40,25.40,22.40,24.00,0,0,0
RCD,20170512,26.00,26.40,26.00,26.20,1600,26.00,26.40,26.00,26.20,0,0,0
RCD,20170511,26.10,26.10,26.10,26.10,1000,26.10,26.10,26.10,26.10,0,0,0
RCD,20170510,25.80,26.20,25.50,25.50,9900,25.80,26.20,25.50,25.50,0,0,0
RCD,20170509,26.50,26.50,25.00,25.50,2800,26.50,26.50,25.00,25.50,0,0,0
RCD,20170508,26.40,26.50,26.40,26.50,200,26.40,26.50,26.40,26.50,0,0,0
RCD,20170505,26.30,26.30,26.00,26.20,3600,26.30,26.30,26.00,26.20,0,2600,0
RCD,20170504,26.90,26.90,26.00,26.90,2000,26.90,26.90,26.00,26.90,0,500,0
RCD,20170503,26.30,27.30,26.20,26.20,3800,26.30,27.30,26.20,26.20,0,2600,0
RCD,20170428,26.70,27.40,26.60,26.60,2300,26.70,27.40,26.60,26.60,0,2000,0
RCD,20170427,27.10,27.20,26.60,26.60,1800,27.10,27.20,26.60,26.60,22400,0,0
RCD,20170426,27.50,27.50,26.30,26.30,2600,27.50,27.50,26.30,26.30,0,2500,0
RCD,20170425,27.60,27.60,26.40,27.50,4600,27.60,27.60,26.40,27.50,0,0,0
RCD,20170424,26.40,26.40,26.20,26.30,7000,26.40,26.40,26.20,26.30,0,0,0
RCD,20170421,26.80,27.00,26.10,26.10,10300,26.80,27.00,26.10,26.10,0,6400,0
RCD,20170420,29.00,29.90,26.80,28.00,17300,29.00,29.90,26.80,28.00,0,8000,0
RCD,20170419,26.00,28.80,26.00,27.00,29200,26.00,28.80,26.00,27.00,17000,2500,0
RCD,20170418,26.00,27.00,25.00,25.80,7800,26.00,27.00,25.00,25.80,0,2500,0
RCD,20170417,26.80,28.00,26.50,27.00,7810,26.80,28.00,26.50,27.00,0,0,0
RCD,20170414,28.00,28.00,25.10,26.50,4400,28.00,28.00,25.10,26.50,0,0,0
RCD,20170413,28.00,28.00,27.60,27.60,5100,28.00,28.00,27.60,27.60,0,0,0
RCD,20170412,27.90,28.50,27.30,28.20,12800,27.90,28.50,27.30,28.20,0,0,0
RCD,20170411,31.50,31.50,25.10,28.00,16400,31.50,31.50,25.10,28.00,0,0,0
RCD,20170410,31.00,31.00,28.40,30.40,7700,31.00,31.00,28.40,30.40,0,0,0
RCD,20170407,30.00,31.00,27.80,28.50,44500,30.00,31.00,27.80,28.50,0,0,0
RCD,20170405,30.70,36.10,30.70,31.00,12900,30.70,36.10,30.70,31.00,0,0,0
RCD,20170404,37.60,40.00,35.70,35.70,22570,37.60,40.00,35.70,35.70,0,0,0
RCD,20170403,39.50,43.90,32.50,38.50,140200,39.50,43.90,32.50,38.50,0,0,0
RCD,20170331,38.00,40.00,37.50,37.50,10500,38.00,40.00,37.50,37.50,0,0,0
RCD,20170330,36.50,40.60,36.50,37.00,5320,36.50,40.60,36.50,37.00,0,0,0
RCD,20170329,35.00,37.30,34.50,37.30,19700,35.00,37.30,34.50,37.30,0,0,0
RCD,20170328,33.30,35.00,30.90,32.50,22650,33.30,35.00,30.90,32.50,0,0,0
RCD,20170327,35.90,37.00,35.00,35.00,4500,35.90,37.00,35.00,35.00,0,0,0
RCD,20170324,32.90,33.00,32.90,33.00,3200,32.90,33.00,32.90,33.00,0,0,0
RCD,20170323,28.40,34.00,28.40,28.50,36400,28.40,34.00,28.40,28.50,0,0,0
RCD,20170322,33.40,33.40,33.40,33.40,6100,33.40,33.40,33.40,33.40,0,0,0
RCD,20170321,39.20,39.20,39.20,39.20,700,39.20,39.20,39.20,39.20,0,0,0
RCD,20170320,50.50,50.50,42.90,42.90,9800,50.50,50.50,42.90,42.90,0,0,0
RCD,20170317,45.50,51.50,45.50,51.40,22250,45.50,51.50,45.50,51.40,0,0,0
RCD,20170316,42.20,48.10,40.50,48.10,15300,42.20,48.10,40.50,48.10,0,0,0
RCD,20170315,39.40,43.50,39.20,43.00,9500,39.40,43.50,39.20,43.00,0,0,0
RCD,20170314,38.50,39.70,38.00,38.50,32300,38.50,39.70,38.00,38.50,0,0,0
RCD,20170313,36.90,39.70,36.00,38.90,33950,36.90,39.70,36.00,38.90,0,0,0
RCD,20170310,34.00,36.50,34.00,34.50,15600,34.00,36.50,34.00,34.50,0,0,0
RCD,20170309,33.00,35.10,32.80,32.80,40400,33.00,35.10,32.80,32.80,0,0,0
RCD,20170308,30.80,31.00,29.50,30.80,7300,30.80,31.00,29.50,30.80,0,0,0
RCD,20170307,28.70,30.00,28.20,28.70,8400,28.70,30.00,28.20,28.70,0,0,0
RCD,20170306,28.00,28.80,28.00,28.80,2600,28.00,28.80,28.00,28.80,0,0,0
RCD,20170303,26.90,26.90,26.50,26.50,1100,26.90,26.90,26.50,26.50,0,0,0
RCD,20170302,26.90,26.90,26.90,26.90,200,26.90,26.90,26.90,26.90,0,0,0
RCD,20170301,26.50,26.90,26.50,26.90,1100,26.50,26.90,26.50,26.90,0,0,0
RCD,20170228,27.50,27.50,26.50,27.00,3800,27.50,27.50,26.50,27.00,0,0,0
RCD,20170227,28.00,28.00,27.60,27.80,2100,28.00,28.00,27.60,27.80,0,0,0
RCD,20170224,28.60,28.60,27.10,27.10,5100,28.60,28.60,27.10,27.10,76,0,0
