<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SAC,20170627,9.40,9.40,9.40,9.40,100,9.40,9.40,9.40,9.40,0,0,0
SAC,20170626,8.30,9.40,8.30,9.30,6800,8.30,9.40,8.30,9.30,0,0,0
SAC,20170623,9.40,9.40,9.40,9.40,100,9.40,9.40,9.40,9.40,0,0,0
SAC,20170622,8.60,8.60,8.60,8.60,1900,8.60,8.60,8.60,8.60,0,0,0
SAC,20170621,8.60,9.70,8.30,8.60,18600,8.60,9.70,8.30,8.60,2700,0,0
SAC,20170620,8.50,9.50,8.50,8.80,18100,8.50,9.50,8.50,8.80,0,0,0
SAC,20170619,9.30,9.40,9.30,9.40,400,9.30,9.40,9.30,9.40,0,0,0
SAC,20170616,10.40,10.40,8.10,8.10,2200,10.40,10.40,8.10,8.10,0,0,0
SAC,20170615,9.60,9.70,8.20,8.50,2900,9.60,9.70,8.20,8.50,0,0,0
SAC,20170614,8.50,9.40,8.00,9.40,1700,8.50,9.40,8.00,9.40,0,0,0
SAC,20170608,9.50,10.40,8.10,10.40,2000,9.50,10.40,8.10,10.40,0,0,0
SAC,20170607,10.00,10.00,8.70,8.70,3000,10.00,10.00,8.70,8.70,0,0,0
SAC,20170602,10.00,10.00,10.00,10.00,1000,10.00,10.00,10.00,10.00,0,0,0
SAC,20170531,10.50,10.60,10.50,10.60,3500,10.50,10.60,10.50,10.60,0,0,0
SAC,20170530,10.50,10.60,10.50,10.60,4800,10.50,10.60,10.50,10.60,0,0,0
SAC,20170526,9.80,10.00,9.80,10.00,3000,9.80,10.00,9.80,10.00,0,0,0
SAC,20170525,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
SAC,20170524,10.90,10.90,10.90,10.90,100,10.90,10.90,10.90,10.90,0,0,0
SAC,20170523,10.62,10.80,10.62,10.80,9000,11.80,12.00,11.80,12.00,0,0,0
SAC,20170522,10.35,10.62,10.35,10.62,6100,11.50,11.80,11.50,11.80,0,0,0
SAC,20170519,10.44,10.44,10.44,10.44,700,11.60,11.60,11.60,11.60,0,0,0
SAC,20170517,10.80,10.80,10.35,10.35,400,12.00,12.00,11.50,11.50,0,100,0
SAC,20170516,9.45,10.62,9.45,10.62,2200,10.50,11.80,10.50,11.80,0,0,0
SAC,20170512,10.44,10.44,10.44,10.44,200,11.60,11.60,11.60,11.60,0,0,0
SAC,20170511,10.35,10.62,10.26,10.35,7100,11.50,11.80,11.40,11.50,0,0,0
