<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SBA,20170627,14.55,14.80,14.45,14.50,98540,14.55,14.80,14.45,14.50,0,0,0
SBA,20170626,14.40,14.60,14.35,14.55,32390,14.40,14.60,14.35,14.55,0,0,0
SBA,20170623,14.60,14.80,14.35,14.35,87680,14.60,14.80,14.35,14.35,0,10,0
SBA,20170622,14.60,14.80,14.55,14.80,89330,14.60,14.80,14.55,14.80,0,0,0
SBA,20170621,14.60,14.80,14.45,14.80,45050,14.60,14.80,14.45,14.80,0,0,4500
SBA,20170620,14.60,14.80,14.55,14.55,13680,14.60,14.80,14.55,14.55,0,0,700
SBA,20170619,14.20,15.00,14.20,14.80,27500,14.20,15.00,14.20,14.80,0,0,5000
SBA,20170616,14.70,14.70,14.40,14.40,20430,14.70,14.70,14.40,14.40,0,0,0
SBA,20170615,14.60,14.70,14.35,14.70,146650,14.60,14.70,14.35,14.70,0,1870,0
SBA,20170614,14.60,14.70,14.00,14.70,29920,14.60,14.70,14.00,14.70,0,630,0
SBA,20170613,14.75,15.00,14.55,14.55,31560,14.75,15.00,14.55,14.55,0,6000,0
SBA,20170612,14.90,15.05,14.75,14.75,55280,14.90,15.05,14.75,14.75,0,0,30
SBA,20170609,14.90,15.15,14.90,15.00,75830,14.90,15.15,14.90,15.00,0,0,0
SBA,20170608,14.80,15.00,14.70,15.00,15840,14.80,15.00,14.70,15.00,0,0,0
SBA,20170607,14.15,14.80,14.15,14.80,26270,14.15,14.80,14.15,14.80,0,30,6450
SBA,20170606,14.10,14.20,14.10,14.15,14050,14.10,14.20,14.10,14.15,0,0,0
SBA,20170605,14.20,14.50,14.00,14.15,28900,14.20,14.50,14.00,14.15,0,0,0
SBA,20170602,14.30,14.30,14.00,14.20,34480,14.30,14.30,14.00,14.20,0,0,0
SBA,20170601,13.95,14.00,13.95,14.00,71970,13.95,14.00,13.95,14.00,0,0,0
SBA,20170531,13.95,14.10,13.85,13.95,56640,13.95,14.10,13.85,13.95,0,0,0
SBA,20170530,13.75,13.95,13.75,13.95,62200,13.75,13.95,13.75,13.95,0,0,0
SBA,20170529,13.70,13.80,13.70,13.80,45170,13.70,13.80,13.70,13.80,0,0,0
SBA,20170526,13.75,13.75,13.35,13.35,36060,13.75,13.75,13.35,13.35,0,0,0
SBA,20170525,13.35,13.75,13.35,13.50,36360,13.35,13.75,13.35,13.50,0,0,0
SBA,20170524,13.50,13.50,13.35,13.35,27670,13.50,13.50,13.35,13.35,0,0,0
