<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SBD,20170626,10.20,10.20,10.20,10.20,8900,10.20,10.20,10.20,10.20,0,8900,0
SBD,20170606,10.20,10.20,10.20,10.19,1000,10.50,10.50,10.50,10.50,0,900,0
SBD,20170602,9.71,9.71,9.71,9.71,200,10.00,10.00,10.00,10.00,0,0,0
SBD,20170525,9.71,10.20,9.71,10.19,500,10.00,10.50,10.00,10.50,0,0,0
SBD,20170519,9.80,9.80,9.71,9.71,15200,10.10,10.10,10.00,10.00,0,15200,0
SBD,20170516,10.29,10.29,10.29,10.29,100,10.60,10.60,10.60,10.60,0,0,0
SBD,20170515,9.52,9.52,8.35,9.51,400,9.80,9.80,8.60,9.80,0,0,100
SBD,20170512,8.35,8.35,8.35,8.35,100,9.10,9.10,9.10,9.10,0,0,100
SBD,20170510,9.26,9.26,9.26,9.27,2400,10.10,10.10,10.10,10.10,0,2400,0
SBD,20170509,9.63,9.63,9.63,9.63,8000,10.50,10.50,10.50,10.50,0,8000,0
SBD,20170508,9.63,9.63,9.63,9.63,11000,10.50,10.50,10.50,10.50,0,11000,0
SBD,20170505,9.55,9.64,9.55,9.63,10000,10.40,10.50,10.40,10.50,0,10000,0
SBD,20170418,9.27,9.27,9.18,9.18,200,10.10,10.10,10.00,10.00,0,0,0
SBD,20170411,9.36,9.36,9.36,9.36,100,10.20,10.20,10.20,10.20,0,0,0
SBD,20170404,9.27,9.27,9.27,9.27,100,10.10,10.10,10.10,10.10,0,0,0
SBD,20170403,9.27,9.27,9.27,9.27,100,10.10,10.10,10.10,10.10,0,0,0
SBD,20170330,9.45,9.45,9.45,9.45,132,10.30,10.30,10.30,10.30,0,0,0
SBD,20170327,9.45,9.45,9.45,9.45,32,10.30,10.30,10.30,10.30,0,0,0
SBD,20170323,9.45,9.45,9.45,9.45,100,10.30,10.30,10.30,10.30,0,0,0
SBD,20170322,8.26,8.26,8.26,8.26,100,9.00,9.00,9.00,9.00,0,0,0
SBD,20170321,8.26,8.26,8.26,8.26,800,9.00,9.00,9.00,9.00,0,0,0
SBD,20170316,8.90,8.90,8.90,8.90,100,9.70,9.70,9.70,9.70,0,0,0
SBD,20170314,9.08,9.08,9.08,9.08,100,9.90,9.90,9.90,9.90,0,0,0
SBD,20170313,9.18,9.18,9.09,9.08,3100,10.00,10.00,9.90,9.90,0,0,0
SBD,20170310,9.17,9.17,9.17,9.18,300,10.00,10.00,10.00,10.00,0,0,0
SBD,20170306,9.54,9.54,9.54,9.54,100,10.40,10.40,10.40,10.40,0,0,0
SBD,20170228,9.63,9.63,9.63,9.63,1600,10.50,10.50,10.50,10.50,0,0,0
SBD,20170224,9.63,9.63,9.63,9.63,400,10.50,10.50,10.50,10.50,0,0,0
SBD,20170223,9.63,9.63,9.63,9.63,100,10.50,10.50,10.50,10.50,0,0,0
SBD,20170222,9.17,9.63,9.17,9.63,1800,10.00,10.50,10.00,10.50,0,0,0
SBD,20170220,9.63,9.63,9.63,9.63,100,10.50,10.50,10.50,10.50,0,0,0
SBD,20170217,9.17,9.63,9.17,9.63,3900,10.00,10.50,10.00,10.50,0,0,0
