<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SDF,20160308,6.50,6.50,6.40,6.40,6200,6.50,6.50,6.40,6.40,0,0,0
SDF,20160307,6.50,6.60,6.50,6.50,46500,6.50,6.60,6.50,6.50,0,0,0
SDF,20160304,6.50,6.50,6.50,6.50,15100,6.50,6.50,6.50,6.50,0,0,0
SDF,20160303,6.40,6.50,6.40,6.50,6200,6.40,6.50,6.40,6.50,0,0,0
SDF,20160302,6.40,6.50,6.40,6.50,7200,6.40,6.50,6.40,6.50,0,0,0
SDF,20160301,6.30,6.50,6.30,6.50,36000,6.30,6.50,6.30,6.50,0,0,0
SDF,20160229,6.40,6.40,6.40,6.40,7100,6.40,6.40,6.40,6.40,0,0,0
SDF,20160226,6.50,6.50,6.40,6.40,8100,6.50,6.50,6.40,6.40,0,0,0
SDF,20160225,6.40,6.50,6.40,6.50,49600,6.40,6.50,6.40,6.50,0,0,0
SDF,20160224,6.40,6.40,6.40,6.40,3400,6.40,6.40,6.40,6.40,0,0,0
SDF,20160223,6.50,6.50,6.40,6.40,49100,6.50,6.50,6.40,6.40,0,0,0
SDF,20160222,6.40,6.50,6.40,6.50,14500,6.40,6.50,6.40,6.50,0,0,0
SDF,20160219,6.40,6.50,6.30,6.50,40400,6.40,6.50,6.30,6.50,0,0,0
SDF,20160218,6.30,6.40,6.30,6.30,20700,6.30,6.40,6.30,6.30,0,0,0
SDF,20160217,6.20,6.20,6.20,6.20,3000,6.20,6.20,6.20,6.20,0,0,0
SDF,20160216,6.20,6.20,6.20,6.20,8600,6.20,6.20,6.20,6.20,0,0,0
SDF,20160215,6.10,6.30,6.10,6.30,32500,6.10,6.30,6.10,6.30,0,0,0
SDF,20160205,5.80,5.80,5.80,5.80,1000,5.80,5.80,5.80,5.80,0,0,0
SDF,20160204,5.70,5.70,5.70,5.70,1000,5.70,5.70,5.70,5.70,0,0,0
SDF,20160203,5.60,5.60,5.60,5.60,5000,5.60,5.60,5.60,5.60,0,0,0
SDF,20160202,5.70,5.70,5.70,5.70,700,5.70,5.70,5.70,5.70,0,0,0
SDF,20160129,5.80,5.80,5.80,5.80,2000,5.80,5.80,5.80,5.80,0,0,0
SDF,20160128,5.80,5.80,5.80,5.80,3000,5.80,5.80,5.80,5.80,0,0,0
SDF,20160127,5.70,5.70,5.70,5.70,7000,5.70,5.70,5.70,5.70,0,0,0
SDF,20160126,5.70,5.70,5.70,5.70,4700,5.70,5.70,5.70,5.70,0,0,0
SDF,20160125,5.70,5.70,5.70,5.70,20000,5.70,5.70,5.70,5.70,0,0,0
SDF,20160121,5.70,5.70,5.70,5.70,8500,5.70,5.70,5.70,5.70,0,0,0
SDF,20160120,5.70,5.70,5.70,5.70,40000,5.70,5.70,5.70,5.70,0,0,0
SDF,20160119,5.70,5.70,5.70,5.70,33800,5.70,5.70,5.70,5.70,0,0,0
SDF,20160118,5.80,5.80,5.60,5.60,38200,5.80,5.80,5.60,5.60,0,0,0
SDF,20160115,5.80,5.80,5.80,5.80,2500,5.80,5.80,5.80,5.80,0,0,0
SDF,20160114,5.90,5.90,5.80,5.90,35700,5.90,5.90,5.80,5.90,0,0,0
SDF,20160113,5.90,5.90,5.90,5.90,27000,5.90,5.90,5.90,5.90,0,0,0
SDF,20160112,5.90,5.90,5.90,5.90,22800,5.90,5.90,5.90,5.90,0,0,0
SDF,20160111,5.90,5.90,5.90,5.90,77900,5.90,5.90,5.90,5.90,0,0,0
SDF,20160108,5.90,6.00,5.90,5.90,122700,5.90,6.00,5.90,5.90,0,0,0
SDF,20160107,5.90,6.00,5.90,5.90,79500,5.90,6.00,5.90,5.90,0,0,0
SDF,20160106,5.90,5.90,5.90,5.90,48200,5.90,5.90,5.90,5.90,0,0,0
SDF,20160105,5.80,6.00,5.80,5.90,29800,5.80,6.00,5.80,5.90,0,0,0
SDF,20160104,5.90,5.90,5.80,5.80,82400,5.90,5.90,5.80,5.80,0,0,0
SDF,20151231,5.70,5.70,5.60,5.70,81300,5.70,5.70,5.60,5.70,0,0,0
SDF,20151230,5.70,5.70,5.60,5.60,55000,5.70,5.70,5.60,5.60,0,0,0
SDF,20151229,5.70,5.70,5.60,5.60,16100,5.70,5.70,5.60,5.60,0,0,0
SDF,20151228,5.70,5.70,5.70,5.70,17800,5.70,5.70,5.70,5.70,0,0,0
SDF,20151225,5.80,5.80,5.80,5.80,40000,5.80,5.80,5.80,5.80,0,0,0
SDF,20151224,5.70,5.70,5.70,5.70,4900,5.70,5.70,5.70,5.70,0,0,0
SDF,20151223,5.80,5.80,5.80,5.80,100,5.80,5.80,5.80,5.80,0,0,0
SDF,20151222,5.80,5.80,5.70,5.80,11100,5.80,5.80,5.70,5.80,0,0,0
SDF,20151221,5.20,5.70,5.20,5.70,143800,5.20,5.70,5.20,5.70,0,0,0
SDF,20151217,5.90,6.00,5.90,5.90,36800,5.90,6.00,5.90,5.90,0,0,0
SDF,20151216,5.90,6.00,5.90,6.00,12800,5.90,6.00,5.90,6.00,0,0,0
SDF,20151215,5.90,5.90,5.90,5.90,10000,5.90,5.90,5.90,5.90,0,0,0
SDF,20151214,6.00,6.40,6.00,6.00,150500,6.00,6.40,6.00,6.00,0,0,0
SDF,20151211,5.90,5.90,5.90,5.90,18200,5.90,5.90,5.90,5.90,0,0,0
SDF,20151209,5.80,5.80,5.80,5.80,25000,5.80,5.80,5.80,5.80,0,0,0
SDF,20151208,5.60,6.00,5.10,5.70,160300,5.60,6.00,5.10,5.70,0,0,0
SDF,20151207,6.00,6.00,6.00,6.00,900,6.00,6.00,6.00,6.00,0,0,0
SDF,20151204,6.00,6.00,6.00,6.00,1700,6.00,6.00,6.00,6.00,0,0,0
SDF,20151203,5.90,5.90,5.90,5.90,1500,5.90,5.90,5.90,5.90,0,0,0
SDF,20151202,6.00,6.00,6.00,6.00,22200,6.00,6.00,6.00,6.00,0,0,0
SDF,20151201,5.90,5.90,5.90,5.90,10000,5.90,5.90,5.90,5.90,0,0,0
SDF,20151130,5.90,5.90,5.90,5.90,49300,5.90,5.90,5.90,5.90,0,0,0
SDF,20151127,6.00,6.00,6.00,6.00,8400,6.00,6.00,6.00,6.00,0,0,0
SDF,20151126,5.90,6.00,5.90,5.90,8100,5.90,6.00,5.90,5.90,0,0,0
SDF,20151125,5.90,6.00,5.90,6.00,6000,5.90,6.00,5.90,6.00,0,0,0
SDF,20151124,5.90,5.90,5.90,5.90,27400,5.90,5.90,5.90,5.90,44000,0,0
SDF,20151123,5.90,5.90,5.80,5.90,32500,5.90,5.90,5.80,5.90,0,0,0
SDF,20151119,5.90,5.90,5.90,5.90,1800,5.90,5.90,5.90,5.90,0,0,0
SDF,20151118,5.90,6.00,5.90,6.00,16000,5.90,6.00,5.90,6.00,0,0,0
SDF,20151117,5.90,5.90,5.80,5.90,13300,5.90,5.90,5.80,5.90,0,0,0
SDF,20151116,5.90,5.90,5.90,5.90,9000,5.90,5.90,5.90,5.90,0,0,0
