<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SDY,20170609,4.70,10.00,4.70,10.00,300,4.70,10.00,4.70,10.00,0,0,200
SDY,20170328,6.50,7.90,6.50,7.70,245900,6.50,7.90,6.50,7.70,182700,0,0
SDY,20170320,7.20,7.20,7.20,7.20,100,7.20,7.20,7.20,7.20,0,0,0
SDY,20161229,8.00,8.00,8.00,8.00,647000,8.00,8.00,8.00,8.00,0,0,600
SDY,20161228,8.80,8.80,8.80,8.80,1000,8.80,8.80,8.80,8.80,0,0,0
SDY,20160610,9.70,9.70,9.70,9.70,100,9.70,9.70,9.70,9.70,0,0,0
SDY,20160603,8.90,8.90,8.90,8.90,100,8.90,8.90,8.90,8.90,0,0,0
SDY,20160518,8.10,8.10,8.10,8.10,17000,8.10,8.10,8.10,8.10,0,0,0
SDY,20160121,8.10,8.10,8.10,8.10,100,8.10,8.10,8.10,8.10,0,0,0
SDY,20160118,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
SDY,20151231,9.90,9.90,9.90,9.90,100,9.90,9.90,9.90,9.90,0,0,0
SDY,20151230,9.10,9.10,9.10,9.10,1000,9.10,9.10,9.10,9.10,0,0,0
SDY,20151229,8.30,8.30,8.30,8.30,1000,8.30,8.30,8.30,8.30,0,0,0
SDY,20151209,9.20,9.20,9.20,9.20,1000,9.20,9.20,9.20,9.20,0,0,0
SDY,20151203,8.00,8.80,8.00,8.80,651000,8.00,8.80,8.00,8.80,0,0,0
SDY,20151202,8.00,8.00,8.00,8.00,1300,8.00,8.00,8.00,8.00,603400,0,0
SDY,20151127,8.00,8.00,8.00,8.00,230000,8.00,8.00,8.00,8.00,0,0,0
SDY,20151126,8.00,8.00,8.00,8.00,100,8.00,8.00,8.00,8.00,0,0,100
SDY,20151118,8.00,8.00,8.00,8.00,249000,8.00,8.00,8.00,8.00,200000,0,0
SDY,20151112,8.20,8.20,8.20,8.20,100,8.20,8.20,8.20,8.20,0,0,0
SDY,20151111,7.50,7.50,7.50,7.50,195600,7.50,7.50,7.50,7.50,0,0,0
SDY,20151103,7.20,7.90,7.20,7.90,262400,7.20,7.90,7.20,7.90,0,0,0
