<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SFT,20161117,3.00,3.00,3.00,3.00,80000,3.00,3.00,3.00,3.00,0,0,0
SFT,20160613,3.00,3.00,3.00,3.00,150000,3.00,3.00,3.00,3.00,0,0,0
SFT,20160610,3.00,3.00,3.00,3.00,22039,3.00,3.00,3.00,3.00,0,0,0
SFT,20160518,3.40,3.40,3.40,3.40,100,3.40,3.40,3.40,3.40,0,0,0
SFT,20160513,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
SFT,20160512,4.50,4.50,4.50,4.50,100,4.50,4.50,4.50,4.50,0,0,0
SFT,20160510,5.20,5.20,5.20,5.20,100,5.20,5.20,5.20,5.20,0,0,0
SFT,20160509,6.10,6.10,6.10,6.10,100,6.10,6.10,6.10,6.10,0,0,0
SFT,20160505,7.10,7.10,7.10,7.10,100,7.10,7.10,7.10,7.10,0,0,0
SFT,20160504,7.10,7.10,7.10,7.10,1900,7.10,7.10,7.10,7.10,0,0,0
SFT,20160429,6.30,6.30,6.30,6.30,100,6.30,6.30,6.30,6.30,0,0,0
SFT,20160428,5.60,5.60,5.60,5.60,100,5.60,5.60,5.60,5.60,0,0,0
SFT,20160427,5.00,5.00,5.00,5.00,12268,5.00,5.00,5.00,5.00,0,0,0
SFT,20160426,5.60,5.60,5.60,5.60,100,5.60,5.60,5.60,5.60,0,0,0
SFT,20160425,6.50,6.50,6.50,6.50,340,6.50,6.50,6.50,6.50,0,0,0
SFT,20160422,7.60,7.60,7.60,7.60,340,7.60,7.60,7.60,7.60,0,0,0
SFT,20160413,8.90,8.90,8.90,8.90,100,8.90,8.90,8.90,8.90,0,0,0
SFT,20160411,7.90,7.90,7.90,7.90,100,7.90,7.90,7.90,7.90,0,0,0
SFT,20160408,7.00,7.00,7.00,7.00,100,7.00,7.00,7.00,7.00,0,0,0
SFT,20160407,6.20,6.20,6.20,6.20,100,6.20,6.20,6.20,6.20,0,0,0
SFT,20160405,5.60,5.60,5.60,5.60,100,5.60,5.60,5.60,5.60,0,0,0
SFT,20160404,5.00,5.00,5.00,5.00,400,5.00,5.00,5.00,5.00,0,0,0
SFT,20160401,5.00,5.00,5.00,5.00,13008,5.00,5.00,5.00,5.00,0,0,0
SFT,20160317,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
SFT,20151217,7.30,7.30,7.30,7.30,100,7.30,7.30,7.30,7.30,0,0,0
SFT,20151216,6.50,6.50,6.50,6.50,100,6.50,6.50,6.50,6.50,0,0,0
SFT,20151214,5.90,5.90,5.90,5.90,100,5.90,5.90,5.90,5.90,0,0,0
SFT,20151208,5.30,5.30,5.30,5.30,100,5.30,5.30,5.30,5.30,0,0,0
SFT,20151203,4.70,4.70,4.70,4.70,100,4.70,4.70,4.70,4.70,0,0,0
SFT,20151202,4.10,4.10,4.10,4.10,100,4.10,4.10,4.10,4.10,0,0,0
SFT,20151201,3.60,3.60,3.60,3.60,100,3.60,3.60,3.60,3.60,0,0,0
SFT,20151124,3.20,3.20,3.20,3.20,100,3.20,3.20,3.20,3.20,0,0,0
SFT,20151118,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
SFT,20151113,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
SFT,20151102,5.00,5.10,5.00,5.10,532,5.00,5.10,5.00,5.10,0,0,0
