<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SGP,20170627,8.80,9.20,8.80,9.00,18300,8.80,9.20,8.80,9.00,0,10000,0
SGP,20170626,9.30,9.30,9.00,9.00,600,9.30,9.30,9.00,9.00,0,0,0
SGP,20170623,9.10,9.30,9.00,9.00,3500,9.10,9.30,9.00,9.00,0,0,0
SGP,20170622,9.20,9.30,9.00,9.00,3000,9.20,9.30,9.00,9.00,0,0,0
SGP,20170621,9.40,9.40,9.00,9.30,1300,9.40,9.40,9.00,9.30,0,0,0
SGP,20170620,9.50,9.50,8.80,9.40,1300,9.50,9.50,8.80,9.40,0,0,0
SGP,20170619,9.00,9.70,9.00,9.70,3700,9.00,9.70,9.00,9.70,0,0,0
SGP,20170616,9.00,9.00,8.60,8.60,4100,9.00,9.00,8.60,8.60,0,0,0
SGP,20170615,8.60,8.60,8.60,8.60,8800,8.60,8.60,8.60,8.60,0,0,0
SGP,20170614,8.60,8.60,8.60,8.60,14000,8.60,8.60,8.60,8.60,0,0,0
SGP,20170613,8.60,8.60,8.00,8.00,1900,8.60,8.60,8.00,8.00,0,0,0
SGP,20170612,8.30,8.60,8.00,8.00,39300,8.30,8.60,8.00,8.00,0,30000,0
SGP,20170609,7.40,8.30,7.40,8.30,1100,7.40,8.30,7.40,8.30,0,0,0
SGP,20170608,8.30,8.30,8.30,8.30,15200,8.30,8.30,8.30,8.30,0,0,0
SGP,20170607,8.40,8.40,8.20,8.20,4000,8.40,8.40,8.20,8.20,0,0,0
SGP,20170605,8.50,8.50,8.50,8.50,100,8.50,8.50,8.50,8.50,0,0,0
SGP,20170602,8.50,8.60,8.40,8.40,11300,8.50,8.60,8.40,8.40,0,0,0
SGP,20170601,8.60,8.60,8.60,8.60,1000,8.60,8.60,8.60,8.60,0,0,0
SGP,20170531,8.90,8.90,8.70,8.70,6300,8.90,8.90,8.70,8.70,0,0,0
SGP,20170530,9.60,9.60,8.60,8.60,22300,9.60,9.60,8.60,8.60,0,0,0
SGP,20170529,8.70,8.80,8.70,8.80,900,8.70,8.80,8.70,8.80,0,0,0
SGP,20170526,9.30,9.30,9.30,9.30,500,9.30,9.30,9.30,9.30,0,0,0
SGP,20170524,8.70,9.50,8.60,9.50,22000,8.70,9.50,8.60,9.50,0,0,0
SGP,20170523,8.50,9.40,8.50,9.40,10600,8.50,9.40,8.50,9.40,0,0,0
SGP,20170522,9.00,9.80,9.00,9.50,92600,9.00,9.80,9.00,9.50,0,8000,0
SGP,20170519,9.20,9.20,8.60,8.60,5700,9.20,9.20,8.60,8.60,0,0,0
SGP,20170518,9.00,9.00,8.60,8.80,3700,9.00,9.00,8.60,8.80,0,0,0
SGP,20170517,8.30,9.00,8.30,9.00,29100,8.30,9.00,8.30,9.00,0,0,0
SGP,20170516,8.30,8.70,8.30,8.70,4800,8.30,8.70,8.30,8.70,0,0,0
SGP,20170515,8.60,8.70,8.40,8.60,25000,8.60,8.70,8.40,8.60,0,0,0
SGP,20170512,8.20,8.20,8.00,8.00,16400,8.20,8.20,8.00,8.00,0,0,0
SGP,20170511,8.40,8.70,8.40,8.60,15100,8.40,8.70,8.40,8.60,0,0,0
SGP,20170510,8.50,8.60,8.00,8.30,7500,8.50,8.60,8.00,8.30,0,0,0
SGP,20170509,8.50,8.50,8.30,8.30,19800,8.50,8.50,8.30,8.30,0,0,0
SGP,20170508,8.00,8.70,7.90,7.90,30200,8.00,8.70,7.90,7.90,0,0,0
SGP,20170505,7.60,7.80,7.60,7.60,10000,7.60,7.80,7.60,7.60,0,0,0
SGP,20170504,8.00,8.00,8.00,8.00,7500,8.00,8.00,8.00,8.00,0,0,0
SGP,20170427,7.60,7.70,7.60,7.60,38800,7.60,7.70,7.60,7.60,0,37000,0
SGP,20170426,7.50,7.80,7.50,7.60,32400,7.50,7.80,7.50,7.60,0,25000,0
SGP,20170425,8.40,8.40,8.40,8.40,105,8.40,8.40,8.40,8.40,0,0,0
SGP,20170424,7.50,7.50,7.50,7.50,100,7.50,7.50,7.50,7.50,0,0,0
SGP,20170421,8.30,8.30,7.60,7.60,2600,8.30,8.30,7.60,7.60,0,0,0
SGP,20170418,8.00,8.00,7.50,7.50,5100,8.00,8.00,7.50,7.50,0,0,0
SGP,20170417,7.50,7.50,7.50,7.50,1500,7.50,7.50,7.50,7.50,0,0,0
SGP,20170412,7.50,7.60,7.40,7.40,7000,7.50,7.60,7.40,7.40,0,0,0
SGP,20170411,7.50,7.50,7.50,7.50,3300,7.50,7.50,7.50,7.50,0,0,0
SGP,20170410,7.30,7.30,7.30,7.30,1200,7.30,7.30,7.30,7.30,0,0,0
SGP,20170407,7.20,7.20,7.20,7.20,1200,7.20,7.20,7.20,7.20,0,0,0
SGP,20170405,7.80,7.80,7.80,7.80,200,7.80,7.80,7.80,7.80,0,0,0
SGP,20170404,8.00,8.00,8.00,8.00,100,8.00,8.00,8.00,8.00,0,100,0
SGP,20170403,7.80,7.90,7.80,7.80,14900,7.80,7.90,7.80,7.80,0,14900,0
