<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SHI,20170627,8.73,8.76,8.62,8.63,735900,8.73,8.76,8.62,8.63,0,0,64400
SHI,20170626,8.80,8.80,8.70,8.70,681280,8.80,8.80,8.70,8.70,810622,0,64400
SHI,20170623,8.72,8.87,8.71,8.80,652370,8.72,8.87,8.71,8.80,0,730,1000
SHI,20170622,8.82,8.83,8.72,8.72,570900,8.82,8.83,8.72,8.72,0,0,1190
SHI,20170621,8.97,8.97,8.81,8.83,694710,8.97,8.97,8.81,8.83,0,5000,0
SHI,20170620,9.05,9.08,8.95,8.97,490190,9.05,9.08,8.95,8.97,104398,3100,1020
SHI,20170619,8.86,9.14,8.86,9.05,851960,8.86,9.14,8.86,9.05,2747566,45000,0
SHI,20170616,8.85,8.93,8.81,8.86,267460,8.85,8.93,8.81,8.86,0,17000,0
SHI,20170615,8.87,8.89,8.78,8.81,400370,8.87,8.89,8.78,8.81,0,59830,0
SHI,20170614,8.88,8.94,8.76,8.86,729550,8.88,8.94,8.76,8.86,0,64800,2000
SHI,20170613,8.77,8.88,8.69,8.75,583730,8.77,8.88,8.69,8.75,0,7510,1920
SHI,20170612,8.88,8.95,8.60,8.79,737620,8.88,8.95,8.60,8.79,0,10030,29100
SHI,20170609,8.94,8.95,8.83,8.88,619660,8.94,8.95,8.83,8.88,0,22200,0
SHI,20170608,9.06,9.09,8.85,8.94,805340,9.06,9.09,8.85,8.94,0,820,0
SHI,20170607,9.07,9.14,9.03,9.06,908480,9.07,9.14,9.03,9.06,0,6270,0
SHI,20170606,9.05,9.19,9.03,9.04,490130,9.05,9.19,9.03,9.04,0,0,0
SHI,20170605,9.00,9.19,8.90,9.04,590420,9.00,9.19,8.90,9.04,0,10000,0
SHI,20170602,9.00,9.04,8.89,9.00,624510,9.00,9.04,8.89,9.00,0,8060,0
SHI,20170601,8.85,9.05,8.85,8.89,673420,8.85,9.05,8.85,8.89,0,29180,0
SHI,20170531,9.05,9.13,8.80,8.85,651840,9.05,9.13,8.80,8.85,0,2400,0
SHI,20170530,9.50,9.50,9.00,9.05,1369500,9.50,9.50,9.00,9.05,0,170,100
SHI,20170529,8.60,9.19,8.60,9.19,1992640,8.60,9.19,8.60,9.19,0,27010,5000
SHI,20170526,8.61,8.70,8.55,8.59,687800,8.61,8.70,8.55,8.59,0,2690,0
SHI,20170525,8.61,8.70,8.51,8.61,903350,8.61,8.70,8.51,8.61,0,400,3300
