<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SIV,20170627,51.00,51.00,51.00,51.00,4100,51.00,51.00,51.00,51.00,0,3300,0
SIV,20170626,58.50,58.50,51.00,52.00,11100,58.50,58.50,51.00,52.00,0,5200,0
SIV,20170623,51.00,51.00,51.00,51.00,3300,51.00,51.00,51.00,51.00,0,1200,0
SIV,20170622,51.00,51.00,51.00,51.00,2300,51.00,51.00,51.00,51.00,0,1300,0
SIV,20170621,51.10,51.10,51.00,51.00,3500,51.10,51.10,51.00,51.00,0,3000,0
SIV,20170620,52.00,52.00,52.00,52.00,100,52.00,52.00,52.00,52.00,0,0,0
SIV,20170619,52.00,52.00,51.00,51.00,400,52.00,52.00,51.00,51.00,0,300,0
SIV,20170616,51.00,51.00,51.00,51.00,1000,51.00,51.00,51.00,51.00,50,1000,0
SIV,20170615,52.00,52.00,43.40,52.00,24300,52.00,52.00,43.40,52.00,0,300,0
SIV,20170614,51.00,51.00,51.00,51.00,300,51.00,51.00,51.00,51.00,0,300,0
SIV,20170613,53.00,53.00,45.10,52.80,5100,53.00,53.00,45.10,52.80,0,1400,0
SIV,20170612,53.00,53.00,53.00,53.00,1000,53.00,53.00,53.00,53.00,0,400,0
SIV,20170609,53.00,53.00,53.00,53.00,1000,53.00,53.00,53.00,53.00,50,0,0
SIV,20170608,53.00,53.00,51.00,53.00,9800,53.00,53.00,51.00,53.00,1000,2000,0
SIV,20170607,54.00,54.00,54.00,54.00,1300,54.00,54.00,54.00,54.00,0,1300,0
SIV,20170606,55.00,55.00,55.00,55.00,1200,55.00,55.00,55.00,55.00,0,1200,0
SIV,20170605,55.70,55.80,55.70,55.80,800,55.70,55.80,55.70,55.80,0,700,100
SIV,20170602,65.50,65.50,65.50,65.50,100,65.50,65.50,65.50,65.50,0,0,0
SIV,20170601,65.20,65.20,55.00,65.20,1100,65.20,65.20,55.00,65.20,0,500,0
SIV,20170531,57.40,57.40,57.00,57.00,1400,57.40,57.40,57.00,57.00,0,1400,0
SIV,20170530,57.40,57.40,57.40,57.40,1900,57.40,57.40,57.40,57.40,0,1000,0
SIV,20170529,67.50,67.50,67.50,67.50,1000,67.50,67.50,67.50,67.50,0,0,0
SIV,20170526,59.00,59.40,59.00,59.40,2100,59.00,59.40,59.00,59.40,0,0,0
SIV,20170525,51.70,51.70,51.70,51.70,300,51.70,51.70,51.70,51.70,0,0,0
SIV,20170524,45.00,45.00,45.00,45.00,6100,45.00,45.00,45.00,45.00,0,0,0
