<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SJS,20170627,28.50,28.80,28.10,28.70,291710,28.50,28.80,28.10,28.70,0,0,0
SJS,20170626,28.80,28.80,28.30,28.30,117060,28.80,28.80,28.30,28.30,0,0,0
SJS,20170623,28.70,29.15,28.50,28.90,242460,28.70,29.15,28.50,28.90,0,0,1000
SJS,20170622,28.15,29.00,28.15,28.50,248790,28.15,29.00,28.15,28.50,0,0,200
SJS,20170621,28.10,28.50,28.05,28.20,177750,28.10,28.50,28.05,28.20,0,0,17500
SJS,20170620,28.55,28.60,28.25,28.45,137780,28.55,28.60,28.25,28.45,0,900,0
SJS,20170619,29.00,29.00,28.15,28.55,299960,29.00,29.00,28.15,28.55,0,1000,0
SJS,20170616,28.50,28.90,28.50,28.90,73300,28.50,28.90,28.50,28.90,0,4100,4000
SJS,20170615,28.10,28.70,28.10,28.65,100090,28.10,28.70,28.10,28.65,0,0,0
SJS,20170614,28.00,28.10,27.70,28.10,108930,28.00,28.10,27.70,28.10,0,0,0
SJS,20170613,27.85,28.30,27.70,28.00,232630,27.85,28.30,27.70,28.00,0,0,3000
SJS,20170612,28.20,28.30,27.80,28.10,413270,28.20,28.30,27.80,28.10,0,0,0
SJS,20170609,28.50,28.65,28.20,28.30,185590,28.50,28.65,28.20,28.30,0,0,0
SJS,20170608,28.40,29.00,28.40,28.45,134610,28.40,29.00,28.40,28.45,0,17150,500
SJS,20170607,29.00,29.40,28.40,28.55,270900,29.00,29.40,28.40,28.55,0,0,0
SJS,20170606,28.50,29.40,28.30,29.20,75440,28.50,29.40,28.30,29.20,0,0,0
SJS,20170605,29.50,29.50,28.65,28.65,127610,29.50,29.50,28.65,28.65,0,0,1250
SJS,20170602,28.20,29.50,27.80,29.50,316630,28.20,29.50,27.80,29.50,0,0,36500
SJS,20170601,29.50,29.50,28.40,28.50,96250,29.50,29.50,28.40,28.50,0,1000,2000
SJS,20170531,30.40,30.50,29.00,29.50,137530,30.40,30.50,29.00,29.50,0,4000,0
SJS,20170530,30.70,30.90,29.00,30.00,261940,30.70,30.90,29.00,30.00,0,3500,4110
SJS,20170529,31.10,31.40,30.10,30.60,370050,31.10,31.40,30.10,30.60,0,0,10
SJS,20170526,30.80,31.40,30.80,30.90,286170,30.80,31.40,30.80,30.90,0,0,5000
SJS,20170525,30.00,31.40,30.00,30.80,664210,30.00,31.40,30.00,30.80,0,0,0
SJS,20170524,28.20,30.40,28.20,29.80,262550,28.20,30.40,28.20,29.80,0,0,20000
SJS,20170523,29.00,29.25,28.50,28.80,123920,29.00,29.25,28.50,28.80,0,3000,1300
SJS,20170522,30.25,30.30,28.50,29.00,484970,30.25,30.30,28.50,29.00,0,300,20000
SJS,20170519,30.05,30.70,30.05,30.50,584550,30.05,30.70,30.05,30.50,0,5000,3000
SJS,20170518,30.25,30.80,30.25,30.25,339450,30.25,30.80,30.25,30.25,0,0,4100
SJS,20170517,30.90,30.90,29.90,30.80,414040,30.90,30.90,29.90,30.80,0,19990,2000
SJS,20170516,31.30,32.30,30.70,30.90,575370,31.30,32.30,30.70,30.90,0,20000,9620
SJS,20170515,30.40,31.45,30.30,31.15,633540,30.40,31.45,30.30,31.15,0,4100,4500
SJS,20170512,31.10,31.25,30.20,30.25,544750,31.10,31.25,30.20,30.25,0,21530,10000
SJS,20170511,30.65,31.70,30.60,31.15,521350,30.65,31.70,30.60,31.15,0,22000,5050
SJS,20170510,29.80,31.15,29.20,30.90,593350,29.80,31.15,29.20,30.90,0,11050,1750
SJS,20170509,29.05,30.40,29.05,29.80,772570,29.05,30.40,29.05,29.80,0,12000,6250
SJS,20170508,29.50,29.70,29.00,29.05,604870,29.50,29.70,29.00,29.05,0,4050,650
SJS,20170505,27.90,29.30,27.80,28.40,542950,27.90,29.30,27.80,28.40,0,0,3000
SJS,20170504,27.55,27.95,27.40,27.55,116570,27.55,27.95,27.40,27.55,0,0,0
SJS,20170503,27.90,27.95,27.35,27.90,121870,27.90,27.95,27.35,27.90,0,0,120
SJS,20170428,28.45,28.45,27.90,27.90,241120,28.45,28.45,27.90,27.90,0,0,0
SJS,20170427,28.00,28.55,27.75,28.15,329460,28.00,28.55,27.75,28.15,0,0,10000
SJS,20170426,27.30,28.00,27.30,27.90,156640,27.30,28.00,27.30,27.90,0,10000,0
SJS,20170425,27.05,27.50,27.05,27.30,255690,27.05,27.50,27.05,27.30,0,0,0
SJS,20170424,28.10,28.50,27.30,27.30,302350,28.10,28.50,27.30,27.30,0,0,17140
SJS,20170421,28.10,28.95,27.90,28.70,106620,28.10,28.95,27.90,28.70,0,0,2500
SJS,20170420,29.40,29.50,28.50,28.50,157020,29.40,29.50,28.50,28.50,0,0,0
SJS,20170419,28.50,29.80,28.05,29.40,674880,28.50,29.80,28.05,29.40,0,12000,1000
SJS,20170418,29.00,29.00,27.50,28.50,209910,29.00,29.00,27.50,28.50,0,0,0
SJS,20170417,29.50,30.20,29.00,29.00,328320,29.50,30.20,29.00,29.00,0,0,0
SJS,20170414,29.60,30.70,29.00,29.10,495300,29.60,30.70,29.00,29.10,0,0,10000
SJS,20170413,27.20,29.10,27.20,29.10,815690,27.20,29.10,27.20,29.10,0,0,780
SJS,20170412,27.20,27.25,26.85,27.20,169460,27.20,27.25,26.85,27.20,0,0,1570
SJS,20170411,26.50,27.70,26.50,27.20,531490,26.50,27.70,26.50,27.20,0,50000,2000
SJS,20170410,27.05,27.10,26.70,26.70,114310,27.05,27.10,26.70,26.70,0,0,0
SJS,20170407,27.00,27.00,26.70,26.95,167510,27.00,27.00,26.70,26.95,0,0,0
SJS,20170405,27.00,27.60,26.95,27.00,343070,27.00,27.60,26.95,27.00,0,0,700
SJS,20170404,26.80,26.95,26.70,26.95,67270,26.80,26.95,26.70,26.95,0,0,0
SJS,20170403,26.90,27.25,26.70,26.80,37250,26.90,27.25,26.70,26.80,0,0,520
SJS,20170331,26.45,27.50,26.45,26.90,450890,26.45,27.50,26.45,26.90,0,780,1000
SJS,20170330,26.20,26.60,26.15,26.20,48120,26.20,26.60,26.15,26.20,0,0,4000
SJS,20170329,26.05,26.50,26.05,26.10,64780,26.05,26.50,26.05,26.10,0,0,1000
SJS,20170328,26.15,26.50,25.90,26.05,121700,26.15,26.50,25.90,26.05,0,0,1370
SJS,20170327,25.80,26.60,25.80,26.60,112200,25.80,26.60,25.80,26.60,0,0,150
SJS,20170324,26.85,26.85,26.05,26.15,226830,26.85,26.85,26.05,26.15,0,1000,10000
SJS,20170323,26.70,27.35,26.60,26.75,195230,26.70,27.35,26.60,26.75,0,10,0
SJS,20170322,27.05,27.80,27.05,27.10,658870,27.05,27.80,27.05,27.10,0,0,0
SJS,20170321,28.00,28.00,27.10,27.50,134240,28.00,28.00,27.10,27.50,0,13250,0
SJS,20170320,27.60,27.70,27.50,27.70,529490,27.60,27.70,27.50,27.70,0,2000,500
SJS,20170317,27.00,27.70,26.90,27.20,283460,27.00,27.70,26.90,27.20,0,0,600
SJS,20170316,26.90,27.30,26.50,27.00,339930,26.90,27.30,26.50,27.00,0,500,1480
SJS,20170315,26.70,27.30,26.50,26.90,518590,26.70,27.30,26.50,26.90,0,280,11080
SJS,20170314,26.30,26.65,26.30,26.50,51410,26.30,26.65,26.30,26.50,0,0,0
SJS,20170313,26.10,27.00,26.00,27.00,276540,26.10,27.00,26.00,27.00,0,0,10000
SJS,20170310,26.40,27.10,26.10,26.40,280860,26.40,27.10,26.10,26.40,0,26840,500
SJS,20170309,26.40,27.15,26.40,26.80,653550,26.40,27.15,26.40,26.80,0,0,2100
SJS,20170308,26.50,26.90,26.10,26.45,255810,26.50,26.90,26.10,26.45,0,0,0
SJS,20170307,26.00,26.70,25.90,26.50,442030,26.00,26.70,25.90,26.50,0,80,3240
SJS,20170306,25.50,26.00,25.50,25.80,126220,25.50,26.00,25.50,25.80,30000,9900,10
SJS,20170303,25.35,25.50,25.20,25.30,90610,25.35,25.50,25.20,25.30,0,0,0
SJS,20170302,25.30,26.00,25.10,25.50,273430,25.30,26.00,25.10,25.50,0,0,17100
SJS,20170301,25.80,26.10,25.20,25.30,272830,25.80,26.10,25.20,25.30,0,2070,10000
SJS,20170228,25.75,26.50,25.70,25.85,266180,25.75,26.50,25.70,25.85,0,0,0
SJS,20170227,26.00,26.30,25.70,26.00,243860,26.00,26.30,25.70,26.00,20000,0,0
SJS,20170224,25.50,26.00,25.05,25.70,423540,25.50,26.00,25.05,25.70,0,0,2010
SJS,20170223,25.45,25.90,25.20,25.50,406750,25.45,25.90,25.20,25.50,0,0,0
SJS,20170222,24.80,25.40,24.40,25.30,395100,24.80,25.40,24.40,25.30,0,0,6050
SJS,20170221,25.00,25.40,24.70,24.80,359370,25.00,25.40,24.70,24.80,0,0,1000
SJS,20170220,24.80,25.00,24.00,24.80,277040,24.80,25.00,24.00,24.80,35000,0,0
SJS,20170217,23.55,25.00,23.30,24.90,385570,23.55,25.00,23.30,24.90,0,5500,224500
SJS,20170216,23.50,24.00,23.40,23.50,209230,23.50,24.00,23.40,23.50,0,0,80
SJS,20170215,22.65,23.50,22.65,23.20,240310,22.65,23.50,22.65,23.20,0,0,100
SJS,20170214,22.80,23.00,22.50,22.65,125960,22.80,23.00,22.50,22.65,0,0,2000
SJS,20170213,23.20,23.20,22.90,23.10,125190,23.20,23.20,22.90,23.10,0,0,0
SJS,20170210,22.85,23.30,22.85,23.20,75850,22.85,23.30,22.85,23.20,0,4500,10000
SJS,20170209,22.30,22.80,22.30,22.80,165550,22.30,22.80,22.30,22.80,0,0,104380
SJS,20170208,22.65,22.65,22.25,22.25,148460,22.65,22.65,22.25,22.25,0,1300,56550
SJS,20170207,22.60,22.70,22.40,22.40,126750,22.60,22.70,22.40,22.40,0,0,52170
SJS,20170206,23.00,23.00,22.50,22.55,93450,23.00,23.00,22.50,22.55,0,740,5000
SJS,20170203,23.00,23.30,22.70,22.70,175390,23.00,23.30,22.70,22.70,0,0,77840
SJS,20170202,22.80,23.30,22.70,23.25,76600,22.80,23.30,22.70,23.25,0,300,1340
SJS,20170125,23.10,23.50,22.80,22.80,44840,23.10,23.50,22.80,22.80,0,0,26250
SJS,20170124,22.40,23.10,22.20,23.10,82310,22.40,23.10,22.20,23.10,0,1000,26250
SJS,20170123,22.45,22.50,21.70,22.10,236580,22.45,22.50,21.70,22.10,0,1000,178370
SJS,20170120,21.50,22.10,21.40,21.70,125530,21.50,22.10,21.40,21.70,0,1030,45050
SJS,20170119,23.10,23.10,21.50,21.50,104410,23.10,23.10,21.50,21.50,0,11000,40050
SJS,20170118,22.60,22.80,22.60,22.60,104180,23.10,23.30,23.10,23.10,0,200,16800
SJS,20170117,22.89,23.28,22.79,22.80,147480,23.40,23.80,23.30,23.30,0,0,55870
SJS,20170116,23.28,23.43,22.89,22.89,67470,23.80,23.95,23.40,23.40,0,1010,24280
SJS,20170113,23.28,23.63,23.28,23.48,150890,23.80,24.15,23.80,24.00,0,0,40600
SJS,20170112,23.63,23.63,23.29,23.48,187370,24.15,24.15,23.80,24.00,0,4000,80260
SJS,20170111,22.75,23.19,22.75,23.19,190410,23.25,23.70,23.25,23.70,0,0,153530
SJS,20170110,22.99,23.48,22.84,22.85,168840,23.50,24.00,23.35,23.35,0,0,76030
SJS,20170109,23.19,23.19,22.94,22.99,119190,23.70,23.70,23.45,23.50,0,0,80820
SJS,20170106,23.19,23.58,23.09,23.09,73750,23.70,24.10,23.60,23.60,0,0,23530
SJS,20170105,23.00,23.78,23.00,23.14,386140,23.50,24.30,23.50,23.65,0,500,78350
SJS,20170104,23.29,23.29,22.85,22.85,32810,23.80,23.80,23.35,23.35,0,0,0
SJS,20170103,22.99,23.38,21.52,23.19,18350,23.50,23.90,22.00,23.70,0,0,1000
SJS,20161230,23.58,23.58,22.99,22.99,73870,24.10,24.10,23.50,23.50,0,0,0
SJS,20161229,23.78,23.78,22.90,23.48,40790,24.30,24.30,23.40,24.00,0,0,400
SJS,20161228,22.79,23.77,22.79,23.29,90100,23.30,24.30,23.30,23.80,0,2500,2000
SJS,20161227,22.85,23.39,22.85,22.89,28910,23.35,23.90,23.35,23.40,0,2500,0
SJS,20161226,22.89,22.89,22.69,22.85,54350,23.40,23.40,23.20,23.35,0,0,16000
SJS,20161223,23.09,23.09,22.89,22.89,46770,23.60,23.60,23.40,23.40,0,160,0
SJS,20161222,22.99,23.09,22.99,23.09,45270,23.50,23.60,23.50,23.60,0,0,0
SJS,20161221,22.99,23.09,22.99,22.99,33980,23.50,23.60,23.50,23.50,0,0,27090
SJS,20161220,23.09,23.38,22.99,23.09,26440,23.60,23.90,23.50,23.60,0,0,4700
SJS,20161219,23.34,23.34,23.09,23.09,57590,23.85,23.85,23.60,23.60,0,0,33420
SJS,20161216,23.43,23.43,22.90,23.19,8220,23.95,23.95,23.40,23.70,0,800,1200
SJS,20161215,23.19,23.19,22.85,23.19,16170,23.70,23.70,23.35,23.70,0,800,1200
SJS,20161214,22.99,23.48,22.99,23.19,131160,23.50,24.00,23.50,23.70,0,0,4190
SJS,20161213,22.70,23.43,22.60,23.43,96170,23.20,23.95,23.10,23.95,0,0,19500
SJS,20161212,23.19,23.78,22.90,22.99,39600,23.70,24.30,23.40,23.50,0,1700,3000
SJS,20161209,23.73,23.73,23.19,23.19,105830,24.25,24.25,23.70,23.70,0,200,10250
SJS,20161208,23.77,24.06,23.67,24.07,56860,24.30,24.60,24.20,24.60,0,0,0
SJS,20161207,23.49,24.27,23.49,24.26,11060,24.00,24.80,24.00,24.80,0,0,70
SJS,20161206,24.06,24.06,23.72,23.73,132440,24.60,24.60,24.25,24.25,0,0,37560
SJS,20161205,24.07,24.46,23.83,24.26,212270,24.60,25.00,24.35,24.80,0,0,0
SJS,20161202,23.97,24.36,23.77,24.12,36640,24.50,24.90,24.30,24.65,0,0,0
SJS,20161201,24.85,24.85,24.16,24.26,12940,25.40,25.40,24.70,24.80,0,0,0
SJS,20161130,23.77,24.45,23.77,24.36,161180,24.30,25.00,24.30,24.90,0,11000,2140
SJS,20161129,23.97,24.16,23.77,23.77,41770,24.50,24.70,24.30,24.30,0,0,6610
SJS,20161128,24.26,24.46,23.68,24.31,70790,24.80,25.00,24.20,24.85,0,0,0
SJS,20161125,24.46,24.95,24.27,24.46,104730,25.00,25.50,24.80,25.00,0,0,13680
SJS,20161124,24.86,25.34,24.66,24.66,113990,25.40,25.90,25.20,25.20,0,0,0
SJS,20161123,23.97,24.75,23.97,24.66,170120,24.50,25.30,24.50,25.20,0,0,0
SJS,20161122,23.49,24.07,23.49,23.97,84730,24.00,24.60,24.00,24.50,0,0,1490
SJS,20161121,23.34,23.38,23.29,23.29,34380,23.85,23.90,23.80,23.80,0,0,0
SJS,20161118,23.73,23.73,23.58,23.58,56480,24.25,24.25,24.10,24.10,0,0,8940
SJS,20161117,23.38,24.26,23.38,23.73,119020,23.90,24.80,23.90,24.25,0,0,10480
SJS,20161116,22.84,23.38,22.79,23.38,81290,23.35,23.90,23.30,23.90,0,0,10480
SJS,20161115,22.80,23.00,22.80,22.99,62380,23.30,23.50,23.30,23.50,0,0,11110
SJS,20161114,23.48,23.48,22.89,23.29,32590,24.00,24.00,23.40,23.80,0,0,12370
SJS,20161111,23.87,23.87,23.28,23.48,25990,24.40,24.40,23.80,24.00,0,0,1500
SJS,20161110,22.90,23.88,22.90,23.87,129710,23.40,24.40,23.40,24.40,0,13000,0
SJS,20161109,23.29,23.29,22.31,22.80,87490,23.80,23.80,22.80,23.30,0,0,0
SJS,20161108,23.29,23.48,23.29,23.29,55980,23.80,24.00,23.80,23.80,0,12000,250
SJS,20161107,22.40,23.28,22.40,23.19,152650,22.90,23.80,22.90,23.70,0,21700,0
SJS,20161104,22.21,22.50,22.21,22.40,70320,22.70,23.00,22.70,22.90,0,0,2400
SJS,20161103,22.79,23.38,22.30,22.50,43640,23.30,23.90,22.80,23.00,0,3500,0
SJS,20161102,23.48,23.48,22.89,22.89,37220,24.00,24.00,23.40,23.40,0,12090,0
SJS,20161101,23.77,23.77,23.23,23.48,205640,24.30,24.30,23.75,24.00,0,0,0
SJS,20161031,23.97,23.97,23.19,23.77,181350,24.50,24.50,23.70,24.30,0,2000,36180
SJS,20161028,23.39,23.87,23.39,23.87,47860,23.90,24.40,23.90,24.40,0,1400,0
SJS,20161027,23.19,23.68,23.19,23.19,46710,23.70,24.20,23.70,23.70,0,0,0
SJS,20161026,23.38,23.38,22.70,23.19,56460,23.90,23.90,23.20,23.70,63831,63831,63831
SJS,20161025,23.28,23.43,22.60,22.99,149510,23.80,23.95,23.10,23.50,0,500,1070
SJS,20161024,23.97,24.95,23.48,23.48,446840,24.50,25.50,24.00,24.00,0,30,43210
SJS,20161021,23.88,24.12,23.19,24.12,187680,24.40,24.65,23.70,24.65,0,100,200
SJS,20161020,24.56,24.95,24.07,24.12,66650,25.10,25.50,24.60,24.65,0,3000,590
SJS,20161019,25.24,25.44,24.36,24.46,119880,25.80,26.00,24.90,25.00,0,300,4070
SJS,20161018,24.46,25.24,24.46,24.95,153360,25.00,25.80,25.00,25.50,0,0,0
SJS,20161017,24.75,24.95,24.26,24.46,122610,25.30,25.50,24.80,25.00,0,200,1490
SJS,20161014,25.24,25.44,24.85,24.85,71490,25.80,26.00,25.40,25.40,0,0,1090
