<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SKS,20141201,4.72,4.72,4.24,4.67,9200,9.90,9.90,8.90,9.80,0,1200,0
SKS,20141128,4.67,4.67,4.29,4.29,3300,9.80,9.80,9.00,9.00,0,0,0
SKS,20141127,4.29,4.29,4.29,4.29,1000,9.00,9.00,9.00,9.00,0,0,0
SKS,20141126,4.15,4.39,4.15,4.29,6375,8.70,9.20,8.70,9.00,0,2000,0
SKS,20141125,4.29,4.29,4.29,4.29,5000,9.00,9.00,9.00,9.00,0,0,0
SKS,20141124,4.28,4.28,4.28,4.29,900,9.00,9.00,9.00,9.00,0,0,0
SKS,20141121,4.95,4.95,4.28,4.76,5800,10.40,10.40,9.00,10.00,0,200,0
SKS,20141120,4.72,4.72,4.34,4.52,9000,9.90,9.90,9.10,9.50,0,0,0
SKS,20141119,5.00,5.00,4.14,4.29,14400,10.50,10.50,8.70,9.00,0,4800,0
SKS,20141118,5.05,5.05,4.29,4.57,5200,10.60,10.60,9.00,9.60,0,5000,0
SKS,20141117,5.05,5.05,4.62,4.62,600,10.60,10.60,9.70,9.70,0,0,0
SKS,20141114,5.58,5.58,4.62,4.62,1400,11.70,11.70,9.70,9.70,0,0,0
SKS,20141113,6.14,6.14,5.10,5.10,600,12.90,12.90,10.70,10.70,0,0,0
SKS,20141112,5.62,5.62,5.62,5.62,100,11.80,11.80,11.80,11.80,0,0,0
SKS,20141111,5.14,5.14,5.14,5.14,100,10.80,10.80,10.80,10.80,0,0,0
SKS,20141110,4.71,4.71,4.71,4.71,100,9.90,9.90,9.90,9.90,0,0,0
SKS,20141107,4.05,4.39,4.05,4.38,4400,8.50,9.20,8.50,9.20,0,4100,0
SKS,20141106,4.28,4.28,4.28,4.29,800,9.00,9.00,9.00,9.00,0,0,0
SKS,20141103,4.77,4.77,4.77,4.76,100,10.00,10.00,10.00,10.00,0,0,0
