<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SMN,20170621,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
SMN,20170620,10.50,10.50,10.50,10.50,500,10.50,10.50,10.50,10.50,0,0,0
SMN,20170619,10.00,10.00,10.00,10.00,500,10.00,10.00,10.00,10.00,0,0,0
SMN,20170616,10.10,10.10,9.20,9.20,1500,10.10,10.10,9.20,9.20,0,0,0
SMN,20170615,9.40,9.40,9.40,9.40,1000,9.40,9.40,9.40,9.40,0,0,0
SMN,20170614,9.00,9.00,9.00,9.00,1000,9.00,9.00,9.00,9.00,0,0,0
SMN,20170613,9.00,9.00,9.00,9.00,1000,9.00,9.00,9.00,9.00,0,0,0
SMN,20170607,9.20,9.20,9.20,9.20,100,9.20,9.20,9.20,9.20,0,0,0
SMN,20170606,9.20,9.20,9.20,9.20,3000,9.20,9.20,9.20,9.20,0,0,0
SMN,20170602,9.20,9.20,9.20,9.20,200,9.20,9.20,9.20,9.20,0,0,0
SMN,20170524,9.00,9.00,9.00,9.00,1000,9.00,9.00,9.00,9.00,0,0,0
SMN,20170522,9.50,9.50,9.50,9.50,1500,9.50,9.50,9.50,9.50,0,0,0
SMN,20170511,9.90,10.00,9.90,10.00,2600,9.90,10.00,9.90,10.00,0,0,0
SMN,20170510,9.40,9.40,9.40,9.40,1800,9.40,9.40,9.40,9.40,0,0,0
SMN,20170509,8.60,8.60,8.60,8.60,11000,8.60,8.60,8.60,8.60,0,0,0
SMN,20170508,9.40,9.40,9.40,9.40,600,9.40,9.40,9.40,9.40,0,600,0
SMN,20170504,9.20,9.20,9.20,9.20,1900,9.20,9.20,9.20,9.20,0,0,0
SMN,20170421,9.20,9.20,9.20,9.20,1000,9.20,9.20,9.20,9.20,0,0,0
SMN,20170407,9.20,9.20,9.20,9.20,100,9.20,9.20,9.20,9.20,0,0,0
SMN,20170327,9.20,9.20,9.20,9.20,1000,9.20,9.20,9.20,9.20,0,0,0
SMN,20170316,9.00,9.00,9.00,9.00,1000,9.00,9.00,9.00,9.00,0,0,0
SMN,20170314,9.00,9.00,9.00,9.00,10000,9.00,9.00,9.00,9.00,0,0,0
SMN,20170313,9.00,9.00,9.00,9.00,5000,9.00,9.00,9.00,9.00,0,0,0
SMN,20170307,9.50,9.50,9.50,9.50,300,9.50,9.50,9.50,9.50,0,0,0
SMN,20170223,9.10,9.10,9.10,9.10,1500,9.10,9.10,9.10,9.10,0,0,0
SMN,20170221,9.00,9.00,9.00,9.00,300,9.00,9.00,9.00,9.00,0,0,0
SMN,20170220,9.00,9.00,9.00,9.00,1900,9.00,9.00,9.00,9.00,0,0,0
SMN,20170216,9.00,9.30,9.00,9.30,3100,9.00,9.30,9.00,9.30,0,0,0
