<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SNG,20141017,19.00,19.50,18.80,19.50,2100,19.00,19.50,18.80,19.50,0,100,0
SNG,20141016,19.40,19.80,19.40,19.80,6620,19.40,19.80,19.40,19.80,0,100,0
SNG,20141015,19.50,20.40,19.50,20.40,5300,19.50,20.40,19.50,20.40,0,300,0
SNG,20141014,20.10,20.10,20.00,20.00,18700,20.10,20.10,20.00,20.00,0,0,2000
SNG,20141013,20.20,20.30,20.10,20.30,9100,20.20,20.30,20.10,20.30,0,0,0
SNG,20141010,19.60,21.00,19.60,20.80,1596,19.60,21.00,19.60,20.80,0,600,0
SNG,20141009,20.00,21.40,20.00,21.00,2800,20.00,21.40,20.00,21.00,0,400,0
SNG,20141008,21.00,22.00,20.20,21.50,10400,21.00,22.00,20.20,21.50,0,3300,0
SNG,20141007,20.00,20.90,20.00,20.10,8400,20.00,20.90,20.00,20.10,0,2700,0
SNG,20141006,19.50,20.00,19.30,20.00,10460,19.50,20.00,19.30,20.00,0,600,0
SNG,20141003,19.60,19.90,19.50,19.80,11520,19.60,19.90,19.50,19.80,0,0,0
SNG,20141002,19.60,19.60,19.60,19.60,40,19.60,19.60,19.60,19.60,0,0,0
SNG,20141001,19.60,19.60,19.00,19.60,24820,19.60,19.60,19.00,19.60,0,0,0
SNG,20140929,19.50,20.00,19.50,20.00,7600,19.50,20.00,19.50,20.00,0,1400,0
SNG,20140926,20.00,20.00,20.00,20.00,40,20.00,20.00,20.00,20.00,0,0,0
SNG,20140925,19.00,20.00,19.00,20.00,6700,19.00,20.00,19.00,20.00,0,0,0
SNG,20140923,19.30,19.70,19.30,19.70,200,19.30,19.70,19.30,19.70,0,0,0
SNG,20140922,19.50,20.00,19.50,19.60,6300,19.50,20.00,19.50,19.60,0,1100,0
SNG,20140919,19.50,20.00,19.50,20.00,2400,19.50,20.00,19.50,20.00,0,400,0
SNG,20140918,19.50,20.30,19.50,20.00,11135,19.50,20.30,19.50,20.00,0,0,0
SNG,20140917,18.80,20.00,18.70,19.50,11600,18.80,20.00,18.70,19.50,0,0,0
SNG,20140916,18.50,18.50,18.20,18.50,14100,18.50,18.50,18.20,18.50,0,0,0
SNG,20140915,18.50,18.70,18.40,18.50,17300,18.50,18.70,18.40,18.50,0,0,0
SNG,20140912,18.40,18.40,18.30,18.30,1100,18.40,18.40,18.30,18.30,0,0,0
SNG,20140911,18.30,18.30,18.30,18.30,500,18.30,18.30,18.30,18.30,0,0,0
SNG,20140910,18.00,18.40,18.00,18.40,4200,18.00,18.40,18.00,18.40,0,0,0
SNG,20140909,18.40,18.40,18.20,18.40,11100,18.40,18.40,18.20,18.40,0,100,0
SNG,20140908,18.70,18.80,18.70,18.70,16000,18.70,18.80,18.70,18.70,0,6000,0
SNG,20140905,18.60,18.60,18.40,18.60,22500,18.60,18.60,18.40,18.60,0,0,0
SNG,20140904,18.60,18.60,18.30,18.30,200,18.60,18.60,18.30,18.30,0,0,0
SNG,20140903,18.30,18.50,18.30,18.50,40800,18.30,18.50,18.30,18.50,0,20000,0
SNG,20140829,18.20,18.30,18.00,18.20,6600,18.20,18.30,18.00,18.20,0,1000,0
SNG,20140828,17.90,18.30,17.90,18.30,4010,17.90,18.30,17.90,18.30,0,2900,1000
SNG,20140827,18.10,18.50,18.00,18.10,28100,18.10,18.50,18.00,18.10,0,3000,0
SNG,20140826,17.80,18.10,17.60,18.10,30500,17.80,18.10,17.60,18.10,0,3000,0
SNG,20140825,17.70,17.80,17.70,17.70,6600,17.70,17.80,17.70,17.70,0,0,0
SNG,20140822,17.50,17.70,17.50,17.60,49200,17.50,17.70,17.50,17.60,0,0,0
SNG,20140821,17.60,17.60,17.50,17.50,12400,17.60,17.60,17.50,17.50,0,0,0
SNG,20140820,17.50,17.60,17.50,17.60,25700,17.50,17.60,17.50,17.60,0,0,0
SNG,20140819,17.50,17.70,17.50,17.70,6000,17.50,17.70,17.50,17.70,0,0,0
SNG,20140818,17.50,17.50,17.40,17.40,31600,17.50,17.50,17.40,17.40,0,0,0
SNG,20140815,17.40,17.40,17.30,17.40,24000,17.40,17.40,17.30,17.40,0,0,0
SNG,20140814,17.40,17.40,17.30,17.30,7700,17.40,17.40,17.30,17.30,0,0,0
SNG,20140813,17.40,17.50,17.40,17.40,8400,17.40,17.50,17.40,17.40,0,0,0
SNG,20140812,17.20,17.50,17.20,17.50,500,17.20,17.50,17.20,17.50,0,0,0
SNG,20140811,17.50,17.50,17.50,17.50,500,17.50,17.50,17.50,17.50,0,0,0
SNG,20140808,17.50,17.60,17.40,17.50,9800,17.50,17.60,17.40,17.50,0,5000,0
SNG,20140806,17.50,17.70,17.50,17.70,300,17.50,17.70,17.50,17.70,0,100,0
SNG,20140805,17.40,17.70,17.40,17.70,4700,17.40,17.70,17.40,17.70,0,0,0
SNG,20140804,17.50,17.70,17.50,17.70,5000,17.50,17.70,17.50,17.70,0,5000,0
SNG,20140801,17.20,17.70,17.20,17.70,9600,17.20,17.70,17.20,17.70,0,100,0
SNG,20140730,17.30,17.70,17.30,17.70,6100,17.30,17.70,17.30,17.70,0,5000,0
SNG,20140729,17.20,17.30,17.20,17.30,2000,17.20,17.30,17.20,17.30,0,2000,0
SNG,20140728,17.00,17.00,16.80,16.80,21600,17.00,17.00,16.80,16.80,0,0,0
SNG,20140725,17.40,17.40,17.20,17.40,6910,17.40,17.40,17.20,17.40,0,0,0
SNG,20140724,17.80,17.80,17.40,17.70,6900,17.80,17.80,17.40,17.70,0,600,0
SNG,20140723,17.40,17.80,17.30,17.80,12400,17.40,17.80,17.30,17.80,0,5000,0
SNG,20140722,17.50,17.50,17.40,17.40,18200,17.50,17.50,17.40,17.40,0,0,0
SNG,20140721,17.70,17.70,17.50,17.50,14500,17.70,17.70,17.50,17.50,0,0,900
SNG,20140718,17.70,17.70,17.60,17.70,11610,17.70,17.70,17.60,17.70,0,0,0
SNG,20140717,17.70,17.80,17.60,17.70,41600,17.70,17.80,17.60,17.70,0,0,0
SNG,20140716,17.70,17.70,17.60,17.70,18200,17.70,17.70,17.60,17.70,0,0,0
SNG,20140715,17.60,17.70,17.60,17.70,36600,17.60,17.70,17.60,17.70,0,0,0
SNG,20140714,17.50,17.60,17.50,17.60,30400,17.50,17.60,17.50,17.60,0,0,0
SNG,20140711,17.60,17.60,17.50,17.60,17800,17.60,17.60,17.50,17.60,0,0,0
SNG,20140710,17.50,17.50,17.50,17.50,5300,17.50,17.50,17.50,17.50,0,0,0
SNG,20140709,17.70,17.70,15.90,17.60,6140,17.70,17.70,15.90,17.60,35000,0,0
SNG,20140708,17.60,17.60,17.40,17.60,19600,17.60,17.60,17.40,17.60,0,0,0
SNG,20140707,17.60,17.70,17.60,17.60,14900,17.60,17.70,17.60,17.60,0,0,0
SNG,20140704,17.80,17.80,17.60,17.60,7800,17.80,17.80,17.60,17.60,0,0,0
SNG,20140703,17.90,17.90,17.60,17.60,6700,17.90,17.90,17.60,17.60,0,0,0
SNG,20140702,17.80,17.90,17.50,17.60,19800,17.80,17.90,17.50,17.60,0,0,0
SNG,20140701,17.60,18.20,17.60,17.70,28700,17.60,18.20,17.60,17.70,0,10000,0
SNG,20140630,17.68,17.77,17.59,17.60,48100,20.70,20.80,20.60,20.60,0,300,0
SNG,20140627,17.68,17.77,17.59,17.68,56000,20.70,20.80,20.60,20.70,0,0,0
SNG,20140626,17.68,17.85,17.51,17.68,11300,20.70,20.90,20.50,20.70,0,0,0
SNG,20140625,17.69,17.77,17.60,17.68,48900,20.70,20.80,20.60,20.70,0,2300,0
SNG,20140624,17.51,17.59,17.42,17.60,13900,20.50,20.60,20.40,20.60,0,0,0
SNG,20140623,17.60,17.68,17.51,17.68,11400,20.60,20.70,20.50,20.70,0,0,0
SNG,20140620,17.94,17.94,17.51,17.51,21000,21.00,21.00,20.50,20.50,0,0,0
SNG,20140619,17.68,17.68,17.25,17.60,22600,20.70,20.70,20.20,20.60,0,0,0
SNG,20140618,18.03,18.20,17.69,17.68,17200,21.10,21.30,20.70,20.70,0,0,0
SNG,20140617,17.26,18.88,17.09,18.03,125600,20.20,22.10,20.00,21.10,0,0,0
SNG,20140616,17.43,17.69,17.09,17.26,16800,20.40,20.70,20.00,20.20,0,0,0
SNG,20140613,17.52,17.52,17.09,17.26,129500,20.50,20.50,20.00,20.20,0,0,0
SNG,20140612,15.98,15.98,15.98,15.98,2500,18.70,18.70,18.70,18.70,0,0,0
SNG,20140611,15.98,15.98,15.55,15.98,17000,18.70,18.70,18.20,18.70,0,0,0
SNG,20140610,15.55,16.15,15.55,16.15,900,18.20,18.90,18.20,18.90,0,100,0
SNG,20140609,16.32,16.32,16.32,16.32,100,19.10,19.10,19.10,19.10,0,0,0
SNG,20140606,16.15,16.15,16.15,16.15,100,18.90,18.90,18.90,18.90,0,0,0
SNG,20140603,15.29,15.98,15.21,15.98,2100,17.90,18.70,17.80,18.70,0,100,0
SNG,20140602,15.55,15.55,15.55,15.55,1500,18.20,18.20,18.20,18.20,0,0,0
SNG,20140529,16.15,16.24,16.15,16.23,3100,18.90,19.00,18.90,19.00,0,0,0
SNG,20140528,16.14,16.14,16.14,16.15,7000,18.90,18.90,18.90,18.90,0,0,0
SNG,20140527,17.60,17.60,16.06,16.23,8700,20.60,20.60,18.80,19.00,0,100,0
SNG,20140526,16.07,16.07,16.07,16.06,2000,18.80,18.80,18.80,18.80,0,0,0
SNG,20140523,15.81,15.81,15.81,15.81,100,18.50,18.50,18.50,18.50,0,0,0
SNG,20140522,15.38,15.98,15.38,15.98,2900,18.00,18.70,18.00,18.70,0,0,0
SNG,20140521,16.66,16.66,15.04,15.04,2900,19.50,19.50,17.60,17.60,0,100,0
SNG,20140519,15.29,15.89,15.29,15.89,4100,17.90,18.60,17.90,18.60,0,100,0
SNG,20140515,16.83,16.83,16.83,16.83,100,19.70,19.70,19.70,19.70,0,100,0
SNG,20140514,14.52,15.72,14.52,15.55,2500,17.00,18.40,17.00,18.20,0,1100,0
SNG,20140513,14.61,14.61,14.35,14.35,5400,17.10,17.10,16.80,16.80,0,0,0
SNG,20140512,14.52,15.38,14.52,15.29,800,17.00,18.00,17.00,17.90,0,300,0
SNG,20140509,15.38,15.72,15.38,15.55,12600,18.00,18.40,18.00,18.20,0,5100,0
SNG,20140508,16.23,16.57,14.95,15.38,15200,19.00,19.40,17.50,18.00,0,7600,0
SNG,20140507,16.83,17.09,16.24,16.57,15300,19.70,20.00,19.00,19.40,0,0,0
SNG,20140506,16.23,16.66,15.97,16.15,54300,19.00,19.50,18.70,18.90,0,3100,0
SNG,20140505,18.71,19.39,17.68,17.68,47100,21.90,22.70,20.70,20.70,0,1200,500
SNG,20140429,18.19,19.65,17.51,19.65,14400,21.30,23.00,20.50,23.00,0,9300,0
SNG,20140428,18.37,18.37,18.28,18.28,7500,21.50,21.50,21.40,21.40,0,2000,0
SNG,20140425,18.37,19.14,18.28,18.37,59000,21.50,22.40,21.40,21.50,0,6400,0
SNG,20140424,19.05,19.05,19.05,19.05,400,22.30,22.30,22.30,22.30,0,0,0
SNG,20140423,18.62,18.62,18.62,18.62,800,21.80,21.80,21.80,21.80,0,0,0
SNG,20140422,17.94,18.71,17.94,18.62,1200,21.00,21.90,21.00,21.80,0,0,0
SNG,20140421,18.20,19.65,18.03,19.48,2600,21.30,23.00,21.10,22.80,0,2100,0
SNG,20140418,18.54,18.54,18.03,18.20,6200,21.70,21.70,21.10,21.30,0,0,0
SNG,20140417,18.80,18.80,18.80,18.80,2000,22.00,22.00,22.00,22.00,0,0,0
SNG,20140416,18.80,18.80,18.80,18.80,100,22.00,22.00,22.00,22.00,0,0,0
SNG,20140415,18.88,18.96,18.02,18.03,5832,22.10,22.20,21.10,21.10,0,100,0
SNG,20140414,18.80,19.06,18.80,19.05,10168,22.00,22.30,22.00,22.30,40,200,0
SNG,20140410,18.80,18.80,18.20,18.80,800,22.00,22.00,21.30,22.00,60,0,0
SNG,20140408,17.17,18.29,17.17,18.20,1400,20.10,21.40,20.10,21.30,0,0,0
SNG,20140407,17.43,18.20,17.35,18.20,6600,20.40,21.30,20.30,21.30,0,0,0
SNG,20140404,18.63,18.63,17.34,17.86,11300,21.80,21.80,20.30,20.90,0,0,0
SNG,20140403,17.17,18.54,17.09,18.54,2000,20.10,21.70,20.00,21.70,0,0,0
SNG,20140402,17.86,18.71,17.86,18.71,200,20.90,21.90,20.90,21.90,0,0,0
SNG,20140401,17.94,17.94,17.85,17.86,1400,21.00,21.00,20.90,20.90,0,300,0
SNG,20140331,17.94,17.94,17.94,17.94,5100,21.00,21.00,21.00,21.00,0,0,0
SNG,20140328,18.88,18.88,17.09,18.71,11800,22.10,22.10,20.00,21.90,0,200,0
SNG,20140327,17.94,18.96,17.26,18.88,7300,21.00,22.20,20.20,22.10,0,1500,0
SNG,20140325,19.14,19.23,19.05,19.05,4528,22.40,22.50,22.30,22.30,0,0,0
SNG,20140324,19.05,19.14,18.79,19.14,13820,22.30,22.40,22.00,22.40,0,0,0
SNG,20140321,19.56,19.56,19.05,19.05,16260,22.90,22.90,22.30,22.30,0,0,0
SNG,20140320,18.62,19.05,18.62,19.05,10000,21.80,22.30,21.80,22.30,0,0,0
SNG,20140319,18.79,19.30,18.79,19.22,7520,22.00,22.60,22.00,22.50,0,500,0
SNG,20140318,20.33,20.33,18.63,19.39,11100,23.80,23.80,21.80,22.70,0,0,0
SNG,20140317,19.73,19.73,18.36,19.48,25200,23.10,23.10,21.50,22.80,0,0,0
SNG,20140314,19.99,19.99,18.80,19.56,1700,23.40,23.40,22.00,22.90,0,600,0
SNG,20140313,19.02,19.02,18.16,18.71,16500,24.30,24.30,23.20,23.90,0,800,0
SNG,20140312,19.02,19.57,19.02,19.41,12300,24.30,25.00,24.30,24.80,0,0,0
SNG,20140311,19.18,19.96,18.79,19.02,20000,24.50,25.50,24.00,24.30,0,9100,0
SNG,20140310,18.79,19.02,18.79,19.02,2800,24.00,24.30,24.00,24.30,0,2000,0
SNG,20140306,17.69,19.18,17.69,19.18,82400,22.60,24.50,22.60,24.50,0,0,0
SNG,20140305,18.79,18.79,18.63,18.63,12400,24.00,24.00,23.80,23.80,0,0,0
SNG,20140304,16.60,19.50,16.60,18.79,1500,21.20,24.90,21.20,24.00,0,800,0
SNG,20140303,18.01,18.09,18.01,18.01,2340,23.00,23.10,23.00,23.00,0,0,0
SNG,20140228,18.32,20.12,18.32,18.40,7236,23.40,25.70,23.40,23.50,0,6200,0
SNG,20140227,18.32,18.32,18.32,18.32,28900,23.40,23.40,23.40,23.40,0,0,0
SNG,20140226,18.24,18.40,18.24,18.32,17900,23.30,23.50,23.30,23.40,0,0,0
SNG,20140225,18.40,18.40,18.40,18.40,11600,23.50,23.50,23.50,23.50,0,0,0
SNG,20140224,18.24,19.57,18.24,18.40,17400,23.30,25.00,23.30,23.50,0,400,0
SNG,20140221,18.09,18.32,18.09,18.24,3720,23.10,23.40,23.10,23.30,0,1100,0
SNG,20140220,18.32,18.40,18.32,18.40,10200,23.40,23.50,23.40,23.50,0,200,0
SNG,20140219,19.03,19.03,18.40,18.48,20680,24.30,24.30,23.50,23.60,0,100,0
SNG,20140218,18.48,19.03,17.93,18.40,9100,23.60,24.30,22.90,23.50,20,100,0
SNG,20140217,16.83,18.47,16.83,18.40,54700,21.50,23.60,21.50,23.50,0,14700,600
SNG,20140214,16.44,17.22,16.44,16.83,9000,21.00,22.00,21.00,21.50,0,1000,0
SNG,20140213,15.66,16.44,15.58,16.28,17900,20.00,21.00,19.90,20.80,0,6200,200
SNG,20140212,15.26,15.57,15.26,15.58,5300,19.50,19.90,19.50,19.90,0,700,0
SNG,20140211,14.87,15.26,14.87,14.87,19900,19.00,19.50,19.00,19.00,0,0,0
SNG,20140210,14.64,14.87,14.64,14.87,43600,18.70,19.00,18.70,19.00,0,27800,1300
SNG,20140207,14.88,15.19,14.88,14.87,13000,19.00,19.40,19.00,19.00,0,0,0
SNG,20140206,14.88,14.88,14.72,14.80,2300,19.00,19.00,18.80,18.90,0,0,0
