<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
STK,20170626,18.50,19.00,18.50,19.00,3100,18.50,19.00,18.50,19.00,0,3000,0
STK,20170623,19.00,19.00,18.50,18.50,230,19.00,19.00,18.50,18.50,0,0,0
STK,20170622,18.50,19.00,17.60,18.95,1110,18.50,19.00,17.60,18.95,0,0,0
STK,20170621,18.00,18.40,17.90,18.35,6410,18.00,18.40,17.90,18.35,0,3500,0
STK,20170620,17.85,17.85,17.85,17.85,60,17.85,17.85,17.85,17.85,0,0,0
STK,20170619,16.25,17.25,16.25,17.25,2190,16.25,17.25,16.25,17.25,0,0,0
STK,20170616,16.75,16.75,16.00,16.25,4780,16.75,16.75,16.00,16.25,0,0,910
STK,20170615,17.05,17.10,17.00,17.00,5760,17.05,17.10,17.00,17.00,0,0,0
STK,20170614,16.50,17.55,16.50,17.55,20,16.50,17.55,16.50,17.55,0,0,0
STK,20170613,16.60,17.25,16.60,17.25,30,16.60,17.25,16.60,17.25,0,0,0
STK,20170612,17.05,17.20,17.05,17.20,2200,17.05,17.20,17.05,17.20,0,0,0
STK,20170609,17.65,17.65,17.05,17.05,30,17.65,17.65,17.05,17.05,0,0,0
STK,20170608,18.25,18.25,17.05,17.05,50,18.25,18.25,17.05,17.05,0,0,0
STK,20170607,17.60,17.65,17.60,17.65,110,17.60,17.65,17.60,17.65,0,0,0
STK,20170606,18.35,18.35,17.00,17.00,1300,18.35,18.35,17.00,17.00,0,0,0
STK,20170605,17.05,17.75,17.05,17.70,170,17.05,17.75,17.05,17.70,0,0,0
STK,20170602,17.20,17.80,17.15,17.25,1100,17.20,17.80,17.15,17.25,0,0,0
STK,20170530,16.85,18.40,16.85,18.40,40,16.85,18.40,16.85,18.40,0,0,0
STK,20170529,17.35,17.80,16.70,17.80,5170,17.35,17.80,16.70,17.80,0,0,4990
STK,20170526,17.45,17.90,17.45,17.90,470,17.45,17.90,17.45,17.90,0,0,0
STK,20170525,17.50,17.50,16.30,17.45,4210,17.50,17.50,16.30,17.45,0,0,0
STK,20170524,17.50,17.50,17.50,17.50,1090,17.50,17.50,17.50,17.50,0,0,90
STK,20170523,17.50,17.50,17.50,17.50,50,17.50,17.50,17.50,17.50,0,0,0
STK,20170519,18.50,18.50,18.50,18.50,20,18.50,18.50,18.50,18.50,0,0,0
STK,20170518,17.60,17.60,17.60,17.60,30,17.60,17.60,17.60,17.60,0,0,0
STK,20170517,17.75,18.50,17.70,18.50,17010,17.75,18.50,17.70,18.50,0,0,17000
STK,20170516,18.45,18.45,17.70,17.70,66280,18.45,18.45,17.70,17.70,0,0,65980
STK,20170515,18.45,18.45,17.70,17.70,77060,18.45,18.45,17.70,17.70,0,40000,72200
