<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
STU,20170626,20.00,20.00,20.00,20.00,100,20.00,20.00,20.00,20.00,0,0,0
STU,20170601,23.50,23.50,23.50,23.50,100,23.50,23.50,23.50,23.50,0,0,0
STU,20170103,16.80,16.80,16.80,16.80,100,18.00,18.00,18.00,18.00,0,0,0
STU,20161219,16.80,16.80,16.80,16.80,100,18.00,18.00,18.00,18.00,0,0,0
STU,20160919,16.80,16.80,16.80,16.80,100,18.00,18.00,18.00,18.00,0,0,0
STU,20160419,24.55,24.55,24.55,24.55,100,30.00,30.00,30.00,30.00,0,0,0
STU,20150616,28.72,28.72,28.72,28.72,100,35.90,35.90,35.90,35.90,0,0,0
STU,20150417,20.56,20.56,20.56,20.56,100,26.80,26.80,26.80,26.80,0,0,0
STU,20140506,14.59,14.59,14.59,14.60,100,22.00,22.00,22.00,22.00,0,0,0
STU,20140224,13.01,13.01,13.01,13.00,100,19.60,19.60,19.60,19.60,0,0,0
STU,20131021,9.29,9.29,9.29,9.29,100,14.00,14.00,14.00,14.00,0,0,0
STU,20130702,6.96,6.96,6.96,6.97,100,11.60,11.60,11.60,11.60,0,0,0
STU,20130129,4.98,4.98,4.98,4.98,100,9.50,9.50,9.50,9.50,0,0,0
STU,20121218,4.98,4.98,4.98,4.98,100,9.50,9.50,9.50,9.50,0,0,0
STU,20120611,4.98,4.98,4.98,4.98,1400,10.50,10.50,10.50,10.50,0,0,0
STU,20120409,4.98,4.98,4.98,4.98,1000,11.00,11.00,11.00,11.00,0,0,0
STU,20120227,4.53,4.53,4.53,4.53,5100,10.00,10.00,10.00,10.00,0,0,0
STU,20111212,4.53,4.53,4.53,4.53,600,10.00,10.00,10.00,10.00,0,0,0
STU,20110401,3.44,3.44,3.44,3.44,100,10.00,10.00,10.00,10.00,0,0,0
