<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SWC,20170627,12.40,12.70,12.40,12.50,77390,12.40,12.70,12.40,12.50,0,0,0
SWC,20170626,12.40,12.50,12.30,12.40,72800,12.40,12.50,12.30,12.40,0,0,0
SWC,20170623,12.90,12.90,12.40,12.50,77200,12.90,12.90,12.40,12.50,0,0,0
SWC,20170622,13.00,13.10,12.70,13.00,37030,13.00,13.10,12.70,13.00,0,0,0
SWC,20170621,13.20,13.50,12.80,12.80,138806,13.20,13.50,12.80,12.80,0,0,0
SWC,20170620,12.40,13.50,12.30,13.20,189090,12.40,13.50,12.30,13.20,0,0,0
SWC,20170619,12.10,12.40,12.00,12.30,69140,12.10,12.40,12.00,12.30,0,0,0
SWC,20170616,12.10,12.20,11.90,12.10,59504,12.10,12.20,11.90,12.10,0,0,0
SWC,20170615,12.40,12.40,11.90,12.00,201160,12.40,12.40,11.90,12.00,0,0,0
SWC,20170614,12.70,12.70,12.40,12.50,129650,12.70,12.70,12.40,12.50,0,0,0
SWC,20170613,12.90,13.00,12.60,12.70,51700,12.90,13.00,12.60,12.70,0,0,0
SWC,20170612,13.10,13.10,12.70,12.90,157183,13.10,13.10,12.70,12.90,0,0,0
SWC,20170609,13.10,13.30,13.00,13.20,63760,13.10,13.30,13.00,13.20,0,0,0
SWC,20170608,13.30,13.40,12.90,13.40,178600,13.30,13.40,12.90,13.40,0,0,0
SWC,20170607,13.60,13.70,13.30,13.30,127936,13.60,13.70,13.30,13.30,0,0,0
SWC,20170606,13.70,13.70,13.40,13.60,133560,13.70,13.70,13.40,13.60,0,0,0
SWC,20170605,14.00,14.00,13.50,13.70,156600,14.00,14.00,13.50,13.70,0,0,0
SWC,20170602,14.10,14.20,13.90,13.90,81800,14.10,14.20,13.90,13.90,0,0,0
SWC,20170601,14.50,14.50,14.00,14.20,91101,14.50,14.50,14.00,14.20,7500,0,0
SWC,20170531,14.20,14.90,14.10,14.40,167540,14.20,14.90,14.10,14.40,0,0,0
SWC,20170530,14.10,14.10,13.90,13.90,77210,14.10,14.10,13.90,13.90,0,0,0
SWC,20170529,14.20,14.30,14.00,14.20,63200,14.20,14.30,14.00,14.20,0,0,0
SWC,20170526,14.30,14.30,14.00,14.20,93840,14.30,14.30,14.00,14.20,0,0,0
SWC,20170525,14.10,14.50,14.00,14.20,45840,14.10,14.50,14.00,14.20,0,0,0
SWC,20170524,14.50,14.50,14.00,14.20,85110,14.50,14.50,14.00,14.20,0,0,0
SWC,20170523,14.70,14.70,14.00,14.10,90540,14.70,14.70,14.00,14.10,0,0,0
SWC,20170522,14.70,15.30,14.30,14.60,200950,14.70,15.30,14.30,14.60,0,0,0
SWC,20170519,13.80,15.70,13.80,15.10,274800,13.80,15.70,13.80,15.10,0,0,0
SWC,20170518,13.80,14.60,13.20,14.20,206610,13.80,14.60,13.20,14.20,0,0,0
SWC,20170517,14.60,14.80,13.80,13.80,400060,14.60,14.80,13.80,13.80,0,200,0
SWC,20170516,15.40,15.40,14.80,14.90,381500,15.40,15.40,14.80,14.90,0,0,0
SWC,20170515,16.50,16.50,15.30,15.40,222220,16.50,16.50,15.30,15.40,0,0,0
SWC,20170512,16.50,16.89,16.35,16.50,423246,21.50,22.00,21.30,21.50,0,0,0
SWC,20170511,16.58,16.58,16.43,16.58,266110,21.60,21.60,21.40,21.60,2500000,0,0
SWC,20170510,16.73,16.81,16.50,16.58,265250,21.80,21.90,21.50,21.60,2200000,100,0
SWC,20170509,16.73,16.81,16.50,16.73,184400,21.80,21.90,21.50,21.80,0,0,0
SWC,20170508,16.50,16.96,16.50,16.73,364800,21.50,22.10,21.50,21.80,0,0,0
SWC,20170505,16.50,16.58,16.35,16.58,174400,21.50,21.60,21.30,21.60,0,0,0
SWC,20170504,16.88,16.88,16.27,16.50,255820,22.00,22.00,21.20,21.50,0,0,0
SWC,20170503,17.65,17.65,16.50,16.73,433100,23.00,23.00,21.50,21.80,0,0,0
SWC,20170428,16.12,16.81,15.89,16.42,211030,21.00,21.90,20.70,21.40,3000000,0,0
SWC,20170427,15.88,16.42,15.50,16.27,346525,20.70,21.40,20.20,21.20,0,0,0
SWC,20170426,16.89,16.89,16.12,16.42,399610,22.00,22.00,21.00,21.40,0,0,0
SWC,20170425,17.19,17.19,16.65,16.81,330440,22.40,22.40,21.70,21.90,0,0,0
SWC,20170424,17.04,17.65,16.73,17.11,940275,22.20,23.00,21.80,22.30,0,0,0
SWC,20170421,16.88,16.88,16.35,16.58,479589,22.00,22.00,21.30,21.60,0,0,0
SWC,20170420,16.19,16.88,15.66,16.27,713700,21.10,22.00,20.40,21.20,0,0,0
SWC,20170419,15.12,16.51,14.97,16.04,245000,19.70,21.50,19.50,20.90,0,0,0
SWC,20170418,14.58,14.96,14.50,14.97,118500,19.00,19.50,18.90,19.50,0,0,0
SWC,20170417,14.97,15.20,14.58,14.58,230400,19.50,19.80,19.00,19.00,0,0,0
SWC,20170414,15.73,15.73,15.12,15.12,229200,20.50,20.50,19.70,19.70,0,0,0
SWC,20170413,16.50,16.50,15.58,15.58,230500,21.50,21.50,20.30,20.30,0,0,0
SWC,20170412,16.50,16.96,16.19,16.27,434500,21.50,22.10,21.10,21.20,0,0,0
SWC,20170411,15.58,16.80,15.58,16.19,691100,20.30,21.90,20.30,21.10,0,0,0
SWC,20170410,15.73,16.12,15.20,15.96,218600,20.50,21.00,19.80,20.80,0,0,0
SWC,20170407,15.51,16.04,14.97,15.58,282000,20.20,20.90,19.50,20.30,0,0,0
SWC,20170405,16.11,16.34,15.42,15.66,164415,21.00,21.30,20.10,20.40,0,0,0
SWC,20170404,17.19,17.19,15.50,15.96,571700,22.40,22.40,20.20,20.80,0,0,0
SWC,20170403,17.65,18.41,16.57,16.65,845348,23.00,24.00,21.60,21.70,0,0,0
SWC,20170331,16.88,17.42,16.50,16.65,279800,22.00,22.70,21.50,21.70,0,0,0
SWC,20170330,16.50,16.88,16.50,16.73,98700,21.50,22.00,21.50,21.80,0,200,0
SWC,20170329,16.65,17.49,16.57,16.65,180100,21.70,22.80,21.60,21.70,15000,0,0
SWC,20170328,16.65,16.65,16.57,16.65,163500,21.70,21.70,21.60,21.70,0,0,0
SWC,20170327,15.81,17.04,15.81,16.65,173548,20.60,22.20,20.60,21.70,0,0,0
SWC,20170324,16.04,16.50,15.42,15.81,173100,20.90,21.50,20.10,20.60,0,0,0
