<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TA9,20170627,18.30,18.50,18.30,18.50,1600,18.30,18.50,18.30,18.50,0,0,0
TA9,20170622,18.90,18.90,17.10,18.90,14900,18.90,18.90,17.10,18.90,0,0,0
TA9,20170621,18.50,18.80,18.50,18.80,6800,18.50,18.80,18.50,18.80,0,0,0
TA9,20170620,18.80,18.80,18.50,18.80,1500,18.80,18.80,18.50,18.80,0,500,0
TA9,20170619,18.80,18.80,18.50,18.80,12800,18.80,18.80,18.50,18.80,0,0,0
TA9,20170616,18.40,18.90,18.40,18.90,3500,18.40,18.90,18.40,18.90,0,0,0
TA9,20170615,18.90,18.90,18.40,18.90,2000,18.90,18.90,18.40,18.90,0,0,0
TA9,20170614,18.90,18.90,18.90,18.90,2000,18.90,18.90,18.90,18.90,0,0,0
TA9,20170613,18.50,19.00,18.50,19.00,900,18.50,19.00,18.50,19.00,0,0,0
TA9,20170612,19.00,19.00,19.00,19.00,200,19.00,19.00,19.00,19.00,0,0,0
TA9,20170609,18.90,19.00,18.50,18.90,4800,18.90,19.00,18.50,18.90,0,0,0
TA9,20170608,19.00,19.00,18.30,19.00,800,19.00,19.00,18.30,19.00,0,0,0
TA9,20170607,19.00,19.00,18.90,19.00,3242,19.00,19.00,18.90,19.00,0,0,0
TA9,20170606,19.80,19.80,17.80,19.10,5165,19.80,19.80,17.80,19.10,0,0,0
TA9,20170605,18.90,19.00,18.10,19.00,8900,18.90,19.00,18.10,19.00,0,0,0
TA9,20170602,19.10,19.10,18.50,19.10,5503,19.10,19.10,18.50,19.10,0,0,0
TA9,20170601,19.20,19.20,19.00,19.10,6300,19.20,19.20,19.00,19.10,0,0,0
TA9,20170531,19.00,19.20,18.80,19.10,34800,19.00,19.20,18.80,19.10,0,2500,0
TA9,20170530,18.50,19.00,18.00,19.00,12800,18.50,19.00,18.00,19.00,0,1100,0
TA9,20170529,18.60,19.00,18.50,19.00,2900,18.60,19.00,18.50,19.00,0,0,0
TA9,20170526,18.50,18.80,18.50,18.80,11200,18.50,18.80,18.50,18.80,0,0,0
TA9,20170525,18.50,19.00,18.40,18.80,12700,18.50,19.00,18.40,18.80,0,0,0
TA9,20170524,19.00,19.00,18.50,19.00,1100,19.00,19.00,18.50,19.00,0,0,0
TA9,20170522,18.50,19.00,18.50,19.00,400,18.50,19.00,18.50,19.00,0,0,0
TA9,20170519,18.40,19.00,18.40,19.00,9600,18.40,19.00,18.40,19.00,0,0,0
TA9,20170518,18.30,19.00,18.30,19.00,500,18.30,19.00,18.30,19.00,70,0,0
TA9,20170517,18.20,19.40,18.20,19.20,16000,18.20,19.40,18.20,19.20,0,0,0
TA9,20170516,18.20,18.30,18.20,18.20,5920,18.20,18.30,18.20,18.20,0,200,0
TA9,20170515,18.50,18.70,18.30,18.70,2525,18.50,18.70,18.30,18.70,0,0,0
TA9,20170512,18.70,18.80,18.70,18.70,10920,18.70,18.80,18.70,18.70,0,0,0
TA9,20170511,18.60,18.70,18.60,18.70,500,18.60,18.70,18.60,18.70,0,500,0
TA9,20170510,18.10,18.70,18.10,18.70,5830,18.10,18.70,18.10,18.70,0,0,0
TA9,20170509,18.70,18.70,17.90,18.50,30100,18.70,18.70,17.90,18.50,0,1700,0
TA9,20170508,18.70,18.70,17.70,18.70,4013,18.70,18.70,17.70,18.70,0,2200,0
TA9,20170505,19.00,19.00,18.00,18.70,7415,19.00,19.00,18.00,18.70,0,200,0
TA9,20170504,19.50,19.50,18.50,19.30,33990,19.50,19.50,18.50,19.30,0,0,5200
TA9,20170503,20.20,20.20,18.50,19.20,33300,20.20,20.20,18.50,19.20,0,0,0
TA9,20170428,20.50,21.80,20.20,20.50,4500,20.50,21.80,20.20,20.50,0,0,0
TA9,20170427,20.70,21.00,20.70,21.00,300,20.70,21.00,20.70,21.00,0,0,0
TA9,20170426,21.00,21.00,20.10,20.80,3900,21.00,21.00,20.10,20.80,0,0,0
TA9,20170425,21.10,21.50,20.80,21.30,7000,21.10,21.50,20.80,21.30,0,0,0
TA9,20170424,21.50,21.60,21.20,21.50,9000,21.50,21.60,21.20,21.50,0,0,0
TA9,20170421,21.50,21.70,21.50,21.70,10500,21.50,21.70,21.50,21.70,0,0,0
TA9,20170420,21.50,22.00,21.20,21.60,7400,21.50,22.00,21.20,21.60,0,0,0
TA9,20170419,22.10,22.10,21.10,21.50,8200,22.10,22.10,21.10,21.50,0,0,0
TA9,20170418,22.00,22.00,21.50,21.60,11400,22.00,22.00,21.50,21.60,0,0,0
TA9,20170417,22.00,22.30,21.60,21.60,5100,22.00,22.30,21.60,21.60,0,0,800
TA9,20170414,22.40,22.50,21.50,22.40,7042,22.40,22.50,21.50,22.40,0,0,0
TA9,20170413,21.90,22.50,21.60,22.40,19900,21.90,22.50,21.60,22.40,0,0,0
TA9,20170412,21.00,22.10,21.00,22.00,22600,21.00,22.10,21.00,22.00,0,0,400
TA9,20170411,20.70,22.20,19.90,20.80,28000,20.70,22.20,19.90,20.80,0,0,0
TA9,20170407,21.00,22.00,21.00,22.00,4222,21.00,22.00,21.00,22.00,0,0,1300
TA9,20170405,22.10,22.10,21.50,21.90,3900,22.10,22.10,21.50,21.90,0,0,100
TA9,20170404,22.10,22.50,22.00,22.30,11100,22.10,22.50,22.00,22.30,6098,0,800
TA9,20170403,22.10,22.10,22.10,22.10,200,22.10,22.10,22.10,22.10,0,0,0
TA9,20170331,22.00,22.50,21.10,22.10,15322,22.00,22.50,21.10,22.10,0,0,0
TA9,20170330,21.50,22.00,21.50,22.00,40300,21.50,22.00,21.50,22.00,0,0,0
TA9,20170329,21.90,21.90,21.20,21.50,2600,21.90,21.90,21.20,21.50,0,0,600
TA9,20170328,21.80,22.00,21.40,21.40,6900,21.80,22.00,21.40,21.40,0,0,0
TA9,20170327,21.70,22.00,21.70,22.00,1500,21.70,22.00,21.70,22.00,0,0,400
TA9,20170324,22.40,22.50,21.70,22.40,13800,22.40,22.50,21.70,22.40,0,0,0
TA9,20170323,22.50,22.50,22.20,22.50,5040,22.50,22.50,22.20,22.50,0,0,0
TA9,20170322,22.60,23.00,22.00,22.60,12765,22.60,23.00,22.00,22.60,0,0,0
TA9,20170321,22.70,22.70,22.20,22.60,25155,22.70,22.70,22.20,22.60,0,0,0
TA9,20170320,22.80,22.80,22.50,22.70,25400,22.80,22.80,22.50,22.70,0,0,0
TA9,20170317,22.90,23.90,22.50,22.90,15100,22.90,23.90,22.50,22.90,0,0,0
TA9,20170316,23.40,23.40,22.80,22.90,60450,23.40,23.40,22.80,22.90,0,2700,0
TA9,20170315,22.70,23.50,22.70,23.20,51000,22.70,23.50,22.70,23.20,0,0,0
TA9,20170314,22.50,23.00,22.40,22.70,38500,22.50,23.00,22.40,22.70,0,0,0
TA9,20170313,21.30,22.60,21.30,22.60,30800,21.30,22.60,21.30,22.60,0,0,0
TA9,20170310,21.50,21.70,21.40,21.70,18489,21.50,21.70,21.40,21.70,0,0,0
TA9,20170309,21.20,21.80,21.00,21.40,33300,21.20,21.80,21.00,21.40,0,0,0
TA9,20170308,21.00,21.30,21.00,21.10,16100,21.00,21.30,21.00,21.10,0,0,0
TA9,20170307,22.20,22.20,20.70,21.60,24650,22.20,22.20,20.70,21.60,0,0,0
TA9,20170306,23.20,23.20,21.20,21.90,41579,23.20,23.20,21.20,21.90,0,0,0
TA9,20170303,21.68,21.68,21.50,21.50,11400,24.20,24.20,24.00,24.00,0,0,0
TA9,20170302,21.50,21.68,21.50,21.68,4500,24.00,24.20,24.00,24.20,0,0,0
TA9,20170301,21.77,21.77,21.50,21.50,6139,24.30,24.30,24.00,24.00,0,0,0
