<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TDH,20170627,16.15,16.20,15.85,16.15,553470,16.15,16.20,15.85,16.15,0,76480,11000
TDH,20170626,16.20,16.30,16.15,16.15,426660,16.20,16.30,16.15,16.15,0,76480,11000
TDH,20170623,16.00,16.50,15.95,16.30,708340,16.00,16.50,15.95,16.30,0,1030,5000
TDH,20170622,16.00,16.20,15.90,16.05,580650,16.00,16.20,15.90,16.05,0,3000,23000
TDH,20170621,16.25,16.40,15.90,16.00,1123000,16.25,16.40,15.90,16.00,0,200,240
TDH,20170620,16.20,16.70,16.10,16.30,1101640,16.20,16.70,16.10,16.30,0,0,2000
TDH,20170619,16.35,16.50,16.15,16.15,587400,16.35,16.50,16.15,16.15,0,10000,0
TDH,20170616,16.30,16.35,16.10,16.30,454890,16.30,16.35,16.10,16.30,0,47000,0
TDH,20170615,16.50,16.50,16.25,16.30,426000,16.50,16.50,16.25,16.30,0,30010,20000
TDH,20170614,16.60,16.70,16.35,16.50,613560,16.60,16.70,16.35,16.50,0,78570,15000
TDH,20170613,15.90,16.40,15.65,16.40,1392460,15.90,16.40,15.65,16.40,0,108200,435380
TDH,20170612,16.20,16.50,15.80,15.90,868270,16.20,16.50,15.80,15.90,0,13900,270660
TDH,20170609,15.50,16.45,15.50,16.10,2293340,15.50,16.45,15.50,16.10,0,167630,393470
TDH,20170608,15.50,15.55,15.20,15.40,654820,15.50,15.55,15.20,15.40,0,143000,13450
TDH,20170607,15.75,15.80,15.40,15.55,785030,15.75,15.80,15.40,15.55,0,35390,5700
TDH,20170606,15.50,15.75,15.35,15.70,750540,15.50,15.75,15.35,15.70,0,0,800
TDH,20170605,15.50,16.00,15.40,15.60,1315280,15.50,16.00,15.40,15.60,0,19990,0
TDH,20170602,14.60,15.40,14.55,15.40,1373660,14.60,15.40,14.55,15.40,0,31450,4000
TDH,20170601,14.00,14.60,13.90,14.60,675880,14.00,14.60,13.90,14.60,0,38200,1000
TDH,20170531,14.25,14.40,13.70,14.00,864540,14.25,14.40,13.70,14.00,0,132400,6390
TDH,20170530,14.90,14.90,14.00,14.40,1598080,14.90,14.90,14.00,14.40,0,167500,5790
TDH,20170529,15.10,15.30,14.75,15.00,1000180,15.10,15.30,14.75,15.00,0,7000,0
TDH,20170526,15.04,15.22,14.65,14.78,1271850,17.30,17.50,16.85,17.00,0,4100,2710
TDH,20170525,14.65,15.18,14.39,15.13,1377370,16.85,17.45,16.55,17.40,0,18350,20620
TDH,20170524,14.26,14.69,14.26,14.48,853350,16.40,16.90,16.40,16.65,0,1000,15000
TDH,20170523,14.26,14.43,14.08,14.26,1184210,16.40,16.60,16.20,16.40,0,79000,0
TDH,20170522,14.70,15.13,14.44,14.43,1113980,16.90,17.40,16.60,16.60,0,127250,6500
TDH,20170519,14.70,14.83,14.22,14.70,1254810,16.90,17.05,16.35,16.90,35000,140090,4000
TDH,20170518,15.43,15.43,14.69,14.83,1692090,17.75,17.75,16.90,17.05,0,130000,10390
TDH,20170517,14.95,15.43,14.65,15.43,1791210,17.20,17.75,16.85,17.75,0,4350,5000
TDH,20170516,15.74,16.26,14.79,14.78,2478030,18.10,18.70,17.00,17.00,0,402100,420610
TDH,20170515,15.82,16.34,15.65,15.83,1902170,18.20,18.80,18.00,18.20,0,0,299190
TDH,20170512,14.34,15.30,14.26,15.30,2345270,16.50,17.60,16.40,17.60,0,8000,500000
TDH,20170511,14.30,14.39,14.04,14.30,1550580,16.45,16.55,16.15,16.45,0,27000,520
TDH,20170510,14.35,14.61,14.26,14.30,1341650,16.50,16.80,16.40,16.45,0,41390,149430
TDH,20170509,13.91,14.39,13.78,14.35,1263470,16.00,16.55,15.85,16.50,0,0,153640
TDH,20170508,14.04,14.52,13.74,13.91,3175300,16.15,16.70,15.80,16.00,0,1000,372270
TDH,20170505,13.48,14.05,13.39,13.91,2612770,15.50,16.15,15.40,16.00,95060,60000,683210
TDH,20170504,13.39,13.79,13.31,13.35,1406180,15.40,15.85,15.30,15.35,0,1500,109000
TDH,20170503,12.61,12.96,12.43,12.96,2597300,14.50,14.90,14.30,14.90,0,10000,262840
TDH,20170428,12.18,12.44,11.92,12.13,1873680,14.00,14.30,13.70,13.95,0,94000,2000
TDH,20170427,11.39,12.08,11.34,12.09,1233650,13.10,13.90,13.05,13.90,0,105300,0
TDH,20170426,11.26,11.48,11.22,11.30,450440,12.95,13.20,12.90,13.00,74000,96300,0
TDH,20170425,11.05,11.26,11.00,11.22,663580,12.70,12.95,12.65,12.90,78000,93000,0
TDH,20170424,11.43,11.43,11.08,11.22,654440,13.15,13.15,12.75,12.90,0,10000,11210
TDH,20170421,11.57,11.61,11.40,11.43,562200,13.30,13.35,13.10,13.15,0,279000,4000
TDH,20170420,11.52,11.95,11.39,11.57,693570,13.25,13.75,13.10,13.30,0,76000,5510
TDH,20170419,11.31,11.57,11.27,11.52,521260,13.00,13.30,12.95,13.25,0,50000,38990
TDH,20170418,11.22,11.57,10.92,11.57,758770,12.90,13.30,12.55,13.30,0,185420,0
TDH,20170417,11.43,11.74,11.13,11.22,879980,13.15,13.50,12.80,12.90,0,40000,0
TDH,20170414,11.56,11.82,11.04,11.65,1201280,13.30,13.60,12.70,13.40,0,127000,1130
TDH,20170413,11.91,12.13,11.48,11.65,1214110,13.70,13.95,13.20,13.40,0,30000,20500
TDH,20170412,12.04,12.56,11.95,12.00,1476840,13.85,14.45,13.75,13.80,0,419800,45650
TDH,20170411,12.61,12.82,12.43,12.43,1064890,14.50,14.75,14.30,14.30,0,50000,29350
TDH,20170410,12.26,12.69,12.21,12.52,878850,14.10,14.60,14.05,14.40,0,35000,20000
TDH,20170407,12.17,12.35,11.96,12.17,1159610,14.00,14.20,13.75,14.00,0,199730,47770
TDH,20170405,12.52,12.52,12.26,12.26,637150,14.40,14.40,14.10,14.10,0,32000,0
TDH,20170404,12.60,12.91,12.47,12.52,1614000,14.50,14.85,14.35,14.40,0,105000,103720
TDH,20170403,11.87,12.44,11.74,12.43,1483270,13.65,14.30,13.50,14.30,0,184980,35500
TDH,20170331,11.83,12.09,11.74,11.87,829820,13.60,13.90,13.50,13.65,0,144300,0
TDH,20170330,11.65,11.82,11.56,11.83,824060,13.40,13.60,13.30,13.60,25300,246920,0
TDH,20170329,11.61,11.66,11.35,11.52,544310,13.35,13.40,13.05,13.25,0,119500,92740
TDH,20170328,12.00,12.00,11.48,11.57,918380,13.80,13.80,13.20,13.30,0,177700,0
TDH,20170327,11.57,11.92,11.48,11.91,885310,13.30,13.70,13.20,13.70,0,179000,0
TDH,20170324,11.65,11.82,11.43,11.57,389250,13.40,13.60,13.15,13.30,0,20000,20560
TDH,20170323,11.65,11.87,11.43,11.65,1435450,13.40,13.65,13.15,13.40,0,59000,108720
TDH,20170322,12.18,12.18,11.74,11.78,813210,14.00,14.00,13.50,13.55,0,55700,4000
TDH,20170321,12.39,12.39,12.00,12.22,915050,14.25,14.25,13.80,14.05,20000,141200,36740
TDH,20170320,11.87,12.39,11.82,12.39,1494430,13.65,14.25,13.60,14.25,0,107500,123390
TDH,20170317,11.87,12.04,11.74,11.78,871000,13.65,13.85,13.50,13.55,0,193950,0
TDH,20170316,11.48,11.91,11.13,11.78,1096720,13.20,13.70,12.80,13.55,0,104000,0
TDH,20170315,11.40,11.61,11.35,11.48,687760,13.10,13.35,13.05,13.20,0,129630,27590
TDH,20170314,11.66,11.87,11.48,11.57,1127830,13.40,13.65,13.20,13.30,0,105100,0
TDH,20170313,11.04,11.61,10.61,11.57,1883000,12.70,13.35,12.20,13.30,0,22000,0
TDH,20170310,10.87,11.22,10.87,10.87,660610,12.50,12.90,12.50,12.50,0,83800,0
TDH,20170309,11.13,11.13,10.87,11.00,1112340,12.80,12.80,12.50,12.65,0,110000,10000
TDH,20170308,11.22,11.31,11.09,11.22,1440090,12.90,13.00,12.75,12.90,0,117300,7680
TDH,20170307,10.87,11.30,10.87,11.22,1918890,12.50,13.00,12.50,12.90,0,184800,10
TDH,20170306,10.00,10.66,9.83,10.65,1490320,11.50,12.25,11.30,12.25,0,113110,0
TDH,20170303,10.13,10.35,9.74,9.96,722810,11.65,11.90,11.20,11.45,0,211600,50000
TDH,20170302,10.43,10.60,10.17,10.26,759510,12.00,12.20,11.70,11.80,0,125280,0
TDH,20170301,10.13,10.43,9.82,10.43,1129550,11.65,12.00,11.30,12.00,0,152000,0
TDH,20170228,10.57,10.87,10.22,10.43,1381390,12.20,12.55,11.80,12.00,0,91390,0
TDH,20170227,10.56,10.84,10.36,10.57,1462350,13.15,13.50,12.90,13.15,0,282840,176580
TDH,20170224,9.88,10.56,9.64,10.44,2565830,12.30,13.15,12.00,13.00,0,706350,108000
