<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
THW,20170516,19.00,19.00,19.00,19.00,2100,19.00,19.00,19.00,19.00,0,0,0
THW,20170320,19.50,19.50,19.50,19.50,600,20.00,20.00,20.00,20.00,1408200,0,0
THW,20170317,19.21,19.21,19.21,19.21,100,19.70,19.70,19.70,19.70,0,0,0
THW,20170306,18.14,21.26,18.14,21.26,300,18.60,21.80,18.60,21.80,0,0,0
THW,20170303,21.26,21.26,21.26,21.26,100,21.80,21.80,21.80,21.80,0,0,0
THW,20170217,18.53,18.53,18.53,18.53,100,19.00,19.00,19.00,19.00,0,0,0
THW,20170214,18.04,18.04,18.04,18.04,100,18.50,18.50,18.50,18.50,0,0,0
THW,20170209,21.16,21.16,21.16,21.16,4,21.70,21.70,21.70,21.70,0,0,0
THW,20170208,21.16,21.16,21.16,21.16,200,21.70,21.70,21.70,21.70,0,0,0
THW,20170206,18.43,18.43,18.43,18.43,100,18.90,18.90,18.90,18.90,0,0,0
THW,20170203,16.09,16.09,16.09,16.09,100,16.50,16.50,16.50,16.50,0,0,0
THW,20170125,14.05,14.05,14.05,14.04,100,14.40,14.40,14.40,14.40,0,0,0
THW,20170124,12.29,12.29,12.29,12.29,290,12.60,12.60,12.60,12.60,0,0,0
THW,20170123,10.72,10.72,10.72,10.73,100,11.00,11.00,11.00,11.00,0,0,0
THW,20170120,9.36,9.36,9.36,9.36,100,9.60,9.60,9.60,9.60,0,0,0
THW,20160617,6.73,6.73,6.73,6.73,100,6.90,6.90,6.90,6.90,0,0,0
THW,20160603,11.02,11.02,11.02,11.02,69,11.30,11.30,11.30,11.30,0,0,0
THW,20160506,11.02,11.02,11.02,11.02,15,12.00,12.00,12.00,12.00,0,0,0
THW,20160505,11.02,11.48,11.02,11.48,8900,12.00,12.50,12.00,12.50,0,8600,0
THW,20160421,11.02,11.02,11.02,11.02,100,12.00,12.00,12.00,12.00,0,100,0
THW,20160419,11.48,11.48,11.48,11.48,20,12.50,12.50,12.50,12.50,0,0,0
THW,20160413,11.48,11.48,11.48,11.48,100,12.50,12.50,12.50,12.50,0,0,0
THW,20160405,10.93,10.93,10.93,10.93,20,11.90,11.90,11.90,11.90,0,0,0
THW,20160404,10.83,11.02,10.83,11.02,200,11.80,12.00,11.80,12.00,0,100,100
THW,20160331,12.67,12.67,12.67,12.67,51,13.80,13.80,13.80,13.80,0,0,0
THW,20160330,12.67,12.67,12.67,12.67,200,13.80,13.80,13.80,13.80,0,0,0
THW,20160329,11.01,11.01,11.01,11.02,200,12.00,12.00,12.00,12.00,0,0,100
THW,20160328,12.86,12.86,12.86,12.85,200,14.00,14.00,14.00,14.00,900,0,0
THW,20160324,11.57,11.57,11.57,11.57,100,12.60,12.60,12.60,12.60,0,0,100
THW,20160323,13.31,13.31,13.31,13.31,100,14.50,14.50,14.50,14.50,0,0,0
THW,20160322,11.01,12.85,11.01,12.85,200,12.00,14.00,12.00,14.00,2900,0,100
THW,20160311,12.86,12.86,12.86,12.85,1400,14.00,14.00,14.00,14.00,0,1400,0
