<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TIC,20170627,13.20,14.20,13.20,14.20,30610,13.20,14.20,13.20,14.20,0,20,0
TIC,20170626,13.00,13.30,13.00,13.30,3330,13.00,13.30,13.00,13.30,0,20,0
TIC,20170623,13.20,13.20,13.20,13.20,20,13.20,13.20,13.20,13.20,0,0,0
TIC,20170622,13.00,13.20,13.00,13.20,12800,13.00,13.20,13.00,13.20,0,0,60
TIC,20170621,13.00,13.10,13.00,13.00,42890,13.00,13.10,13.00,13.00,0,0,0
TIC,20170620,12.80,12.80,12.70,12.70,510,12.80,12.80,12.70,12.70,0,0,0
TIC,20170619,13.00,13.00,12.90,12.90,3310,13.00,13.00,12.90,12.90,0,500,0
TIC,20170616,12.90,12.90,12.90,12.90,20,12.90,12.90,12.90,12.90,0,20,0
TIC,20170615,12.80,12.80,12.70,12.80,10690,12.80,12.80,12.70,12.80,0,0,0
TIC,20170614,12.70,12.70,12.70,12.70,30,12.70,12.70,12.70,12.70,0,0,0
TIC,20170613,12.70,13.00,12.70,13.00,2020,12.70,13.00,12.70,13.00,0,1260,0
TIC,20170612,12.90,13.00,12.80,13.00,20960,12.90,13.00,12.80,13.00,0,0,0
TIC,20170609,13.00,13.00,13.00,13.00,7250,13.00,13.00,13.00,13.00,0,0,0
TIC,20170608,12.60,13.00,12.60,13.00,1350,12.60,13.00,12.60,13.00,0,40,0
TIC,20170607,12.75,12.80,12.75,12.75,5830,12.75,12.80,12.75,12.75,0,0,5660
TIC,20170606,12.80,12.80,12.75,12.75,20,12.80,12.80,12.75,12.75,0,0,0
TIC,20170605,12.60,13.00,12.60,13.00,2720,12.60,13.00,12.60,13.00,0,0,0
TIC,20170602,12.80,12.90,12.65,12.65,7500,12.80,12.90,12.65,12.65,0,0,0
TIC,20170601,12.90,12.90,12.80,12.80,3500,12.90,12.90,12.80,12.80,0,0,0
TIC,20170531,12.55,12.80,12.55,12.70,2610,12.55,12.80,12.55,12.70,0,0,0
TIC,20170530,12.70,12.80,12.50,12.65,6540,12.70,12.80,12.50,12.65,0,0,0
TIC,20170529,13.40,13.40,12.70,12.70,16330,13.40,13.40,12.70,12.70,0,0,6300
TIC,20170526,12.75,12.75,12.55,12.55,100,12.75,12.75,12.55,12.55,39760,0,0
TIC,20170525,12.85,12.85,12.10,12.10,21390,12.85,12.85,12.10,12.10,0,0,0
TIC,20170524,12.50,12.70,11.80,12.70,53620,12.50,12.70,11.80,12.70,0,0,53610
TIC,20170523,12.70,12.70,12.50,12.50,72390,12.70,12.70,12.50,12.50,0,0,70890
TIC,20170522,12.65,12.75,12.65,12.70,10280,12.65,12.75,12.65,12.70,0,7800,0
TIC,20170519,12.65,12.70,12.65,12.70,90,12.65,12.70,12.65,12.70,0,0,0
TIC,20170518,12.65,12.70,12.65,12.70,6540,12.65,12.70,12.65,12.70,0,0,5000
TIC,20170517,12.80,12.80,12.70,12.70,28340,12.80,12.80,12.70,12.70,0,0,0
TIC,20170516,13.00,13.00,13.00,13.00,130,13.00,13.00,13.00,13.00,0,0,0
TIC,20170515,12.50,13.00,12.50,13.00,3540,12.50,13.00,12.50,13.00,0,0,0
TIC,20170512,12.85,12.85,12.80,12.80,11490,12.85,12.85,12.80,12.80,0,0,0
TIC,20170511,12.90,12.90,12.85,12.85,2500,12.90,12.90,12.85,12.85,0,0,0
TIC,20170508,12.85,12.85,12.85,12.85,10,12.85,12.85,12.85,12.85,0,0,0
TIC,20170505,13.00,13.00,13.00,13.00,8230,13.00,13.00,13.00,13.00,0,2900,0
TIC,20170503,12.60,13.10,12.60,13.00,5270,12.60,13.10,12.60,13.00,0,0,0
TIC,20170428,13.20,13.20,13.00,13.15,8180,13.20,13.20,13.00,13.15,0,4840,350
TIC,20170427,13.20,13.20,13.00,13.00,13010,13.20,13.20,13.00,13.00,0,0,0
TIC,20170425,13.00,13.00,13.00,13.00,2700,13.00,13.00,13.00,13.00,0,0,0
TIC,20170424,13.00,13.00,13.00,13.00,200,13.00,13.00,13.00,13.00,0,0,50
TIC,20170421,13.20,13.20,13.20,13.20,10,13.20,13.20,13.20,13.20,0,0,0
TIC,20170420,13.00,13.20,13.00,13.10,2290,13.00,13.20,13.00,13.10,0,0,0
TIC,20170417,13.30,13.30,13.20,13.20,3300,13.30,13.30,13.20,13.20,0,0,0
TIC,20170414,13.00,13.50,13.00,13.15,10210,13.00,13.50,13.00,13.15,0,0,0
TIC,20170413,13.25,13.40,13.25,13.30,960,13.25,13.40,13.25,13.30,0,0,0
TIC,20170412,13.40,13.40,13.25,13.25,1580,13.40,13.40,13.25,13.25,0,80,0
TIC,20170411,13.25,13.25,13.25,13.25,2000,13.25,13.25,13.25,13.25,0,0,0
TIC,20170410,13.25,13.25,13.25,13.25,150,13.25,13.25,13.25,13.25,0,0,0
TIC,20170407,13.25,13.25,13.25,13.25,1510,13.25,13.25,13.25,13.25,0,0,0
TIC,20170405,13.25,13.25,13.20,13.20,4560,13.25,13.25,13.20,13.20,0,0,0
TIC,20170404,13.10,13.25,13.10,13.25,1010,13.10,13.25,13.10,13.25,0,0,0
TIC,20170403,13.15,13.15,13.15,13.15,1000,13.15,13.15,13.15,13.15,0,0,0
TIC,20170330,13.50,13.50,13.15,13.40,1500,13.50,13.50,13.15,13.40,0,480,0
TIC,20170327,13.50,13.50,13.50,13.50,20,13.50,13.50,13.50,13.50,0,0,0
TIC,20170324,13.00,13.00,13.00,13.00,4380,13.00,13.00,13.00,13.00,0,1000,0
TIC,20170323,13.10,13.10,13.10,13.10,3960,13.10,13.10,13.10,13.10,0,0,0
TIC,20170322,13.20,13.25,13.20,13.20,7940,13.20,13.25,13.20,13.20,0,5920,2800
TIC,20170321,13.20,13.20,13.20,13.20,3500,13.20,13.20,13.20,13.20,0,0,0
TIC,20170320,13.10,13.20,13.10,13.20,1000,13.10,13.20,13.10,13.20,0,0,220
TIC,20170317,13.60,13.60,13.20,13.20,4200,13.60,13.60,13.20,13.20,0,0,0
TIC,20170316,13.10,13.10,13.10,13.10,2110,13.10,13.10,13.10,13.10,0,0,0
TIC,20170315,13.10,13.10,13.00,13.00,18190,13.10,13.10,13.00,13.00,0,0,0
TIC,20170314,13.20,13.35,13.20,13.35,5010,13.20,13.35,13.20,13.35,0,0,0
TIC,20170313,13.50,13.60,13.40,13.40,10640,13.50,13.60,13.40,13.40,0,3900,0
TIC,20170310,13.50,13.60,13.40,13.50,6050,13.50,13.60,13.40,13.50,0,0,0
TIC,20170309,13.85,13.85,13.70,13.70,1300,13.85,13.85,13.70,13.70,0,0,0
TIC,20170308,13.50,13.95,13.50,13.70,11030,13.50,13.95,13.50,13.70,0,0,0
TIC,20170307,13.50,14.25,13.50,13.90,9240,13.50,14.25,13.50,13.90,0,0,0
TIC,20170306,13.35,13.35,13.35,13.35,10300,13.35,13.35,13.35,13.35,0,0,3200
TIC,20170303,13.35,13.60,13.30,13.40,6490,13.35,13.60,13.30,13.40,0,0,0
TIC,20170302,13.20,13.20,13.20,13.20,4000,13.20,13.20,13.20,13.20,0,0,0
TIC,20170301,13.05,13.20,13.00,13.20,18090,13.05,13.20,13.00,13.20,0,1000,0
TIC,20170228,13.00,13.20,13.00,13.20,5350,13.00,13.20,13.00,13.20,0,0,0
TIC,20170227,13.00,13.00,12.90,13.00,8920,13.00,13.00,12.90,13.00,0,100,0
TIC,20170224,13.00,13.00,13.00,13.00,6000,13.00,13.00,13.00,13.00,0,0,0
TIC,20170223,13.00,13.00,13.00,13.00,1300,13.00,13.00,13.00,13.00,0,0,0
TIC,20170222,13.10,13.10,13.05,13.05,4000,13.10,13.10,13.05,13.05,0,0,0
