<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TIE,20170627,12.50,12.50,12.20,12.20,3020,12.50,12.50,12.20,12.20,0,1000,0
TIE,20170626,12.20,12.20,12.20,12.20,1000,12.20,12.20,12.20,12.20,0,1000,0
TIE,20170623,12.20,12.20,12.20,12.20,2640,12.20,12.20,12.20,12.20,0,2000,0
TIE,20170622,12.55,12.55,12.55,12.55,10,12.55,12.55,12.55,12.55,0,0,0
TIE,20170621,12.90,12.90,12.90,12.90,600,12.90,12.90,12.90,12.90,0,0,0
TIE,20170620,12.50,12.50,12.50,12.50,2250,12.50,12.50,12.50,12.50,0,0,780
TIE,20170619,12.15,12.15,12.15,12.15,10,12.15,12.15,12.15,12.15,0,0,0
TIE,20170616,12.90,12.90,12.70,12.70,600,12.90,12.90,12.70,12.70,0,0,0
TIE,20170615,12.50,12.90,12.50,12.90,1670,12.50,12.90,12.50,12.90,0,0,0
TIE,20170614,12.50,12.50,12.50,12.50,10,12.50,12.50,12.50,12.50,0,0,0
TIE,20170613,12.10,12.80,12.00,12.80,2410,12.10,12.80,12.00,12.80,0,2210,0
TIE,20170612,12.20,12.20,12.10,12.10,3700,12.20,12.20,12.10,12.10,0,3600,0
TIE,20170609,12.50,12.50,12.10,12.10,1500,12.50,12.50,12.10,12.10,0,300,0
TIE,20170608,12.50,12.50,12.50,12.50,10,12.50,12.50,12.50,12.50,0,0,0
TIE,20170607,12.75,12.75,12.10,12.75,15810,12.75,12.75,12.10,12.75,0,5600,0
TIE,20170606,12.65,12.85,12.65,12.75,550,12.65,12.85,12.65,12.75,0,0,0
TIE,20170602,12.30,12.30,12.30,12.30,30,12.30,12.30,12.30,12.30,0,0,0
TIE,20170601,12.50,12.50,12.30,12.30,3010,12.50,12.50,12.30,12.30,0,3010,0
TIE,20170531,11.90,12.50,11.90,12.50,3120,11.90,12.50,11.90,12.50,0,0,0
TIE,20170530,11.90,12.00,11.90,11.90,90,11.90,12.00,11.90,11.90,0,80,0
TIE,20170529,11.80,12.00,11.80,11.90,860,11.80,12.00,11.80,11.90,0,240,10
TIE,20170526,11.80,12.00,11.80,11.80,10230,11.80,12.00,11.80,11.80,0,2000,0
TIE,20170525,12.05,12.15,11.80,11.80,5640,12.05,12.15,11.80,11.80,0,0,0
TIE,20170524,11.65,11.75,11.65,11.75,5390,11.65,11.75,11.65,11.75,0,0,0
TIE,20170523,11.10,11.30,11.00,11.00,820,11.10,11.30,11.00,11.00,0,0,0
TIE,20170522,11.00,11.75,10.70,11.75,3690,11.00,11.75,10.70,11.75,0,3580,0
TIE,20170519,11.00,11.00,11.00,11.00,350,11.00,11.00,11.00,11.00,0,0,0
TIE,20170517,11.40,11.40,10.70,10.70,7140,11.40,11.40,10.70,10.70,0,6400,0
TIE,20170516,11.50,11.70,11.00,11.25,2770,11.50,11.70,11.00,11.25,0,0,0
TIE,20170515,11.55,11.55,10.95,10.95,420,11.55,11.55,10.95,10.95,0,0,0
TIE,20170512,11.50,11.50,10.90,10.90,30,11.50,11.50,10.90,10.90,0,0,0
TIE,20170510,11.45,11.70,10.85,10.85,480,11.45,11.70,10.85,10.85,0,0,0
TIE,20170509,11.50,11.50,11.45,11.45,570,11.50,11.50,11.45,11.45,0,0,0
TIE,20170508,11.00,11.60,10.75,10.75,100,11.00,11.60,10.75,10.75,0,0,0
TIE,20170505,11.05,12.65,11.05,11.10,1480,11.05,12.65,11.05,11.10,0,0,0
TIE,20170504,11.85,11.85,11.85,11.85,10,11.85,11.85,11.85,11.85,0,0,0
TIE,20170503,11.30,12.70,11.30,12.70,70,11.30,12.70,11.30,12.70,0,0,0
TIE,20170428,11.55,12.10,10.85,12.10,200,11.55,12.10,10.85,12.10,0,0,0
TIE,20170427,11.55,11.55,11.55,11.55,10,11.55,11.55,11.55,11.55,0,0,0
TIE,20170425,10.70,12.00,10.70,10.80,330,10.70,12.00,10.70,10.80,0,0,0
TIE,20170424,11.50,11.50,11.50,11.50,10,11.50,11.50,11.50,11.50,0,0,0
TIE,20170421,10.70,10.80,10.70,10.80,9400,10.70,10.80,10.70,10.80,0,6400,0
TIE,20170420,10.80,10.80,10.80,10.80,1010,10.80,10.80,10.80,10.80,0,0,10
TIE,20170419,11.10,11.50,11.10,11.50,110,11.10,11.50,11.10,11.50,0,0,0
TIE,20170418,10.75,10.75,10.75,10.75,100,10.75,10.75,10.75,10.75,0,0,0
TIE,20170417,10.70,10.70,10.70,10.70,10,10.70,10.70,10.70,10.70,0,10,10
TIE,20170414,10.80,10.80,10.80,10.80,710,10.80,10.80,10.80,10.80,0,0,0
TIE,20170413,11.60,11.60,10.85,10.85,110,11.60,11.60,10.85,10.85,0,0,0
TIE,20170412,11.00,11.00,11.00,11.00,120,11.00,11.00,11.00,11.00,0,0,0
TIE,20170411,11.60,11.60,11.55,11.55,1290,11.60,11.60,11.55,11.55,0,0,0
TIE,20170410,10.65,12.15,10.65,10.85,30,10.65,12.15,10.65,10.85,0,0,10
TIE,20170407,11.40,11.40,11.40,11.40,10,11.40,11.40,11.40,11.40,0,0,0
TIE,20170405,10.70,10.70,10.70,10.70,3340,10.70,10.70,10.70,10.70,0,3340,0
TIE,20170404,11.40,11.40,10.80,10.80,130,11.40,11.40,10.80,10.80,0,0,0
TIE,20170403,11.75,11.75,10.70,10.70,1320,11.75,11.75,10.70,10.70,0,10,0
TIE,20170331,11.00,11.00,11.00,11.00,180,11.00,11.00,11.00,11.00,0,10,0
TIE,20170329,10.40,11.35,10.40,11.35,170,10.40,11.35,10.40,11.35,0,0,0
TIE,20170328,10.65,10.65,10.65,10.65,60,10.65,10.65,10.65,10.65,0,0,0
TIE,20170327,11.30,11.30,11.30,11.30,10,11.30,11.30,11.30,11.30,0,0,0
TIE,20170323,12.10,12.10,12.10,12.10,550,12.10,12.10,12.10,12.10,0,0,0
TIE,20170322,12.10,12.10,12.10,12.10,1460,12.10,12.10,12.10,12.10,0,0,0
TIE,20170321,12.40,12.85,12.40,12.85,40,12.40,12.85,12.40,12.85,0,0,0
TIE,20170320,12.15,12.70,12.15,12.70,20,12.15,12.70,12.15,12.70,0,0,0
