<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TKC,20170627,25.70,25.70,25.50,25.50,1766,25.70,25.70,25.50,25.50,0,0,0
TKC,20170623,25.40,25.50,25.40,25.50,1080,25.40,25.50,25.40,25.50,0,0,0
TKC,20170622,25.80,26.10,24.50,25.00,16900,25.80,26.10,24.50,25.00,0,15000,0
TKC,20170621,24.90,25.00,24.50,25.00,10540,24.90,25.00,24.50,25.00,0,0,0
TKC,20170620,24.90,24.90,24.90,24.90,2022,24.90,24.90,24.90,24.90,0,0,0
TKC,20170616,23.00,24.40,23.00,24.40,1400,23.00,24.40,23.00,24.40,0,0,0
TKC,20170615,23.20,24.50,23.20,24.50,1300,23.20,24.50,23.20,24.50,0,0,0
TKC,20170614,24.00,24.00,23.00,24.00,900,24.00,24.00,23.00,24.00,0,0,0
TKC,20170613,23.90,23.90,23.00,23.00,1200,23.90,23.90,23.00,23.00,0,0,0
TKC,20170612,23.00,23.00,23.00,23.00,1451,23.00,23.00,23.00,23.00,80,0,0
TKC,20170609,22.50,26.00,22.50,24.50,4669,22.50,26.00,22.50,24.50,0,0,0
TKC,20170608,23.00,26.00,23.00,25.00,9408,23.00,26.00,23.00,25.00,30000,0,0
TKC,20170607,23.00,24.40,22.20,24.40,10460,23.00,24.40,22.20,24.40,0,0,0
TKC,20170606,22.40,22.40,21.10,22.20,10830,22.40,22.40,21.10,22.20,0,0,0
TKC,20170605,19.60,20.50,19.40,20.40,28308,19.60,20.50,19.40,20.40,49,0,0
TKC,20170602,19.30,19.80,19.30,19.80,15330,19.30,19.80,19.30,19.80,0,0,0
TKC,20170601,19.30,19.60,19.30,19.50,26200,19.30,19.60,19.30,19.50,0,0,0
TKC,20170531,19.60,19.60,19.30,19.30,12800,19.60,19.60,19.30,19.30,0,0,0
TKC,20170530,19.20,19.30,18.90,19.20,6400,19.20,19.30,18.90,19.20,0,0,0
TKC,20170529,19.70,19.80,19.70,19.70,2522,19.70,19.80,19.70,19.70,0,0,0
TKC,20170526,19.50,19.70,19.00,19.70,5618,19.50,19.70,19.00,19.70,0,0,0
TKC,20170525,19.90,19.90,19.00,19.80,5778,19.90,19.90,19.00,19.80,0,0,0
TKC,20170524,19.80,19.80,19.60,19.80,1100,19.80,19.80,19.60,19.80,0,0,0
TKC,20170523,20.00,20.00,19.80,20.00,7009,20.00,20.00,19.80,20.00,0,0,0
TKC,20170522,20.00,20.00,20.00,20.00,2500,20.00,20.00,20.00,20.00,0,0,0
TKC,20170519,19.20,20.00,19.20,20.00,14314,19.20,20.00,19.20,20.00,0,0,0
TKC,20170518,20.40,20.40,19.00,19.00,6535,20.40,20.40,19.00,19.00,0,0,0
TKC,20170517,20.40,20.40,20.40,20.40,209,20.40,20.40,20.40,20.40,0,0,0
TKC,20170515,21.50,21.50,19.50,20.10,3000,21.50,21.50,19.50,20.10,0,0,0
