<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TMS,20170627,64.00,64.00,64.00,64.00,20,64.00,64.00,64.00,64.00,0,0,90
TMS,20170626,62.00,64.00,62.00,64.00,250,62.00,64.00,62.00,64.00,0,0,90
TMS,20170623,62.50,62.50,61.90,61.90,1170,62.50,62.50,61.90,61.90,0,0,810
TMS,20170622,62.00,62.00,62.00,62.00,20,62.00,62.00,62.00,62.00,0,0,0
TMS,20170621,57.90,62.00,57.90,62.00,210,57.90,62.00,57.90,62.00,0,0,0
TMS,20170620,62.00,62.00,62.00,62.00,2310,62.00,62.00,62.00,62.00,0,0,0
TMS,20170615,62.50,62.50,62.00,62.50,1330,62.50,62.50,62.00,62.50,0,860,0
TMS,20170614,62.50,62.50,62.50,62.50,500,62.50,62.50,62.50,62.50,0,0,0
TMS,20170612,62.50,62.50,62.50,62.50,1650,62.50,62.50,62.50,62.50,0,0,860
TMS,20170609,63.00,63.00,61.00,62.50,1200,63.00,63.00,61.00,62.50,0,0,0
TMS,20170608,59.50,59.50,59.50,59.50,1000,59.50,59.50,59.50,59.50,0,0,0
TMS,20170605,59.50,64.00,59.50,62.90,7530,59.50,64.00,59.50,62.90,0,0,0
TMS,20170602,60.50,63.00,59.50,62.90,8250,60.50,63.00,59.50,62.90,0,0,0
TMS,20170601,60.00,63.10,59.50,61.00,15690,60.00,63.10,59.50,61.00,0,0,0
TMS,20170531,58.50,59.00,58.00,59.00,8660,58.50,59.00,58.00,59.00,0,0,0
TMS,20170530,59.50,59.50,58.00,58.00,1010,59.50,59.50,58.00,58.00,0,0,0
TMS,20170529,60.00,60.00,58.00,58.00,4510,60.00,60.00,58.00,58.00,0,0,0
TMS,20170526,57.00,58.00,57.00,57.50,4900,57.00,58.00,57.00,57.50,0,0,0
TMS,20170525,57.50,57.50,57.00,57.00,4000,57.50,57.50,57.00,57.00,0,0,0
TMS,20170523,58.10,58.50,57.50,58.50,1800,58.10,58.50,57.50,58.50,0,0,0
TMS,20170522,58.00,58.00,58.00,58.00,510,58.00,58.00,58.00,58.00,0,0,0
TMS,20170519,56.10,58.00,56.10,58.00,230,56.10,58.00,56.10,58.00,0,0,0
TMS,20170518,58.50,59.00,58.00,59.00,7240,58.50,59.00,58.00,59.00,0,0,0
TMS,20170517,56.10,56.10,56.10,56.10,10,56.10,56.10,56.10,56.10,0,0,0
TMS,20170516,58.50,59.00,58.00,59.00,1940,58.50,59.00,58.00,59.00,0,0,0
TMS,20170515,58.00,59.00,58.00,59.00,3730,58.00,59.00,58.00,59.00,0,0,0
TMS,20170512,57.00,57.00,57.00,57.00,167680,57.00,57.00,57.00,57.00,0,0,0
TMS,20170511,58.00,58.00,57.00,57.00,7420,58.00,58.00,57.00,57.00,0,460,0
TMS,20170510,57.00,58.00,56.50,58.00,6320,57.00,58.00,56.50,58.00,0,0,0
TMS,20170509,54.70,57.00,54.70,57.00,1750,54.70,57.00,54.70,57.00,0,0,0
TMS,20170508,55.00,57.00,55.00,57.00,860,55.00,57.00,55.00,57.00,0,0,460
TMS,20170505,57.00,57.00,54.30,54.50,5360,57.00,57.00,54.30,54.50,0,50,0
TMS,20170504,57.60,57.70,55.10,55.10,7030,57.60,57.70,55.10,55.10,0,0,0
TMS,20170503,57.00,57.00,54.00,54.00,5580,57.00,57.00,54.00,54.00,0,0,0
TMS,20170428,55.50,57.90,55.50,57.00,1840,55.50,57.90,55.50,57.00,20000,100,50
TMS,20170427,57.00,57.00,54.50,54.50,39010,57.00,57.00,54.50,54.50,0,0,0
TMS,20170426,57.00,57.50,57.00,57.00,3010,57.00,57.50,57.00,57.00,0,0,0
TMS,20170425,53.60,58.00,53.60,58.00,610,53.60,58.00,53.60,58.00,0,0,100
TMS,20170424,58.50,59.00,57.00,57.00,5840,58.50,59.00,57.00,57.00,0,0,0
TMS,20170420,55.00,58.50,55.00,58.50,4040,55.00,58.50,55.00,58.50,0,0,0
TMS,20170419,56.90,58.50,56.90,58.50,1510,56.90,58.50,56.90,58.50,0,0,0
TMS,20170418,59.00,59.00,55.10,56.90,1410,59.00,59.00,55.10,56.90,0,0,0
TMS,20170417,60.00,60.00,53.30,57.00,19670,60.00,60.00,53.30,57.00,0,0,0
TMS,20170414,52.00,57.10,52.00,57.10,4880,52.00,57.10,52.00,57.10,0,0,0
TMS,20170413,52.00,53.40,52.00,53.40,1010,52.00,53.40,52.00,53.40,0,0,0
TMS,20170412,53.90,54.00,51.00,52.10,5010,53.90,54.00,51.00,52.10,0,0,0
TMS,20170411,52.10,53.00,51.50,53.00,1310,52.10,53.00,51.50,53.00,0,0,0
TMS,20170410,54.00,54.00,54.00,54.00,1410,54.00,54.00,54.00,54.00,0,0,0
TMS,20170407,54.80,54.80,53.00,53.00,1450,54.80,54.80,53.00,53.00,0,0,0
TMS,20170405,51.50,53.00,51.50,53.00,3040,51.50,53.00,51.50,53.00,0,0,0
TMS,20170404,54.00,54.00,52.20,52.20,920,54.00,54.00,52.20,52.20,0,0,0
TMS,20170403,54.50,54.50,53.10,54.00,1310,54.50,54.50,53.10,54.00,0,0,0
