<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TMW,20170621,9.90,9.90,9.90,9.90,600,9.90,9.90,9.90,9.90,0,0,0
TMW,20170612,8.60,9.96,8.60,9.96,400,9.50,11.00,9.50,11.00,0,0,0
TMW,20170607,9.96,9.96,9.96,9.96,700,11.00,11.00,11.00,11.00,0,0,0
TMW,20170526,10.87,10.87,10.87,10.87,100,12.00,12.00,12.00,12.00,0,0,0
TMW,20170524,10.87,10.87,10.87,10.87,400,12.00,12.00,12.00,12.00,0,0,0
TMW,20170503,12.23,12.23,12.23,12.23,500,13.50,13.50,13.50,13.50,0,0,0
TMW,20170314,9.15,9.15,9.15,9.15,100,10.10,10.10,10.10,10.10,0,0,0
TMW,20170309,10.51,10.51,10.51,10.51,100,11.60,11.60,11.60,11.60,0,0,0
TMW,20170306,12.14,12.14,12.14,12.14,100,13.40,13.40,13.40,13.40,0,0,0
TMW,20170301,10.60,10.60,10.60,10.60,100,11.70,11.70,11.70,11.70,0,0,0
TMW,20170217,12.41,12.41,12.41,12.41,100,13.70,13.70,13.70,13.70,0,0,0
TMW,20170214,11.32,11.32,11.32,11.32,7000,12.50,12.50,12.50,12.50,0,0,0
TMW,20170210,11.32,11.32,11.32,11.32,1000,12.50,12.50,12.50,12.50,0,0,0
TMW,20170207,10.78,10.78,10.78,10.78,100,11.90,11.90,11.90,11.90,0,0,0
TMW,20170124,12.68,12.68,12.68,12.68,8000,14.00,14.00,14.00,14.00,0,0,0
TMW,20161212,13.40,13.40,13.40,13.40,100,14.80,14.80,14.80,14.80,0,0,0
TMW,20161209,11.77,11.77,11.77,11.77,600,13.00,13.00,13.00,13.00,0,0,0
TMW,20161125,11.77,11.77,11.77,11.77,400,13.00,13.00,13.00,13.00,0,0,0
TMW,20161123,13.31,13.31,13.31,13.31,100,14.70,14.70,14.70,14.70,0,0,0
TMW,20161122,11.78,11.78,11.78,11.77,17900,13.00,13.00,13.00,13.00,0,0,0
TMW,20161028,13.76,13.76,13.76,13.77,100,15.20,15.20,15.20,15.20,0,0,0
TMW,20161014,12.05,12.05,12.05,12.04,100,13.30,13.30,13.30,13.30,0,0,0
TMW,20161012,10.60,10.60,10.60,10.60,100,11.70,11.70,11.70,11.70,0,0,0
TMW,20161007,9.23,9.23,9.23,9.24,100,10.20,10.20,10.20,10.20,0,0,0
TMW,20161005,10.59,10.59,10.14,10.14,1500,11.70,11.70,11.20,11.20,0,0,0
TMW,20160921,10.24,10.24,10.24,10.23,100,11.30,11.30,11.30,11.30,0,0,0
TMW,20160919,10.87,10.87,10.87,10.87,500,12.00,12.00,12.00,12.00,0,0,0
TMW,20160914,10.96,10.96,10.96,10.96,100,12.10,12.10,12.10,12.10,0,0,0
