<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TPS,20170428,25.50,25.50,25.50,25.50,100,27.30,27.30,27.30,27.30,0,0,100
TPS,20170420,29.89,29.89,29.89,29.89,2100,32.00,32.00,32.00,32.00,0,2100,0
TPS,20170407,29.89,29.89,29.89,29.89,200,32.00,32.00,32.00,32.00,0,0,100
TPS,20170404,35.12,35.12,35.12,35.12,100,37.60,37.60,37.60,37.60,0,0,0
TPS,20170403,41.28,41.28,41.28,41.29,300,44.20,44.20,44.20,44.20,0,0,100
TPS,20170328,48.57,48.57,48.57,48.57,14,52.00,52.00,52.00,52.00,0,0,0
TPS,20170323,48.57,48.57,48.57,48.57,14,52.00,52.00,52.00,52.00,0,0,0
TPS,20170322,48.57,48.57,48.57,48.57,100,52.00,52.00,52.00,52.00,0,0,0
TPS,20170315,43.90,43.90,43.90,43.90,100,47.00,47.00,47.00,47.00,0,0,0
TPS,20170313,38.30,38.30,38.30,38.30,100,41.00,41.00,41.00,41.00,0,0,0
TPS,20170310,33.62,33.62,33.62,33.63,100,36.00,36.00,36.00,36.00,0,0,0
TPS,20170215,28.95,30.82,28.95,30.82,1500,31.00,33.00,31.00,33.00,0,0,0
TPS,20170119,28.02,28.02,28.02,28.02,1000,30.00,30.00,30.00,30.00,0,0,0
TPS,20170112,28.30,28.30,28.30,28.30,100,30.30,30.30,30.30,30.30,0,0,0
TPS,20170106,24.66,24.66,24.66,24.66,100,26.40,26.40,26.40,26.40,0,0,100
TPS,20170105,22.60,29.42,22.60,29.42,1400,24.20,31.50,24.20,31.50,0,100,100
TPS,20161229,25.59,25.59,25.59,25.59,100,27.40,27.40,27.40,27.40,0,0,0
TPS,20161209,22.32,22.32,22.32,22.32,13,23.90,23.90,23.90,23.90,0,0,0
TPS,20161205,22.33,22.33,22.33,22.32,100,23.90,23.90,23.90,23.90,0,0,100
