<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TSB,20170627,11.20,11.20,11.10,11.20,5000,11.20,11.20,11.10,11.20,0,0,0
TSB,20170626,11.00,11.70,11.00,11.70,1300,11.00,11.70,11.00,11.70,0,0,0
TSB,20170623,11.80,11.80,11.80,11.80,100,11.80,11.80,11.80,11.80,7700,0,0
TSB,20170622,11.10,11.30,11.00,11.30,9400,11.10,11.30,11.00,11.30,0,0,0
TSB,20170621,11.10,11.10,11.00,11.10,21300,11.10,11.10,11.00,11.10,0,0,0
TSB,20170620,11.10,11.20,11.00,11.20,7100,11.10,11.20,11.00,11.20,0,0,0
TSB,20170619,11.10,11.10,11.10,11.10,3000,11.10,11.10,11.10,11.10,0,0,0
TSB,20170616,11.00,11.20,11.00,11.20,8100,11.00,11.20,11.00,11.20,0,0,0
TSB,20170615,11.00,11.00,11.00,11.00,3000,11.00,11.00,11.00,11.00,0,0,0
TSB,20170614,11.00,11.00,11.00,11.00,4000,11.00,11.00,11.00,11.00,30000,0,0
TSB,20170613,10.90,10.90,10.90,10.90,14700,11.00,11.00,11.00,11.00,0,0,0
TSB,20170612,10.90,10.90,10.90,10.90,13000,11.00,11.00,11.00,11.00,0,0,0
TSB,20170609,10.90,10.90,10.90,10.90,1000,11.00,11.00,11.00,11.00,16000,0,0
TSB,20170607,10.90,10.90,10.90,10.90,20700,11.00,11.00,11.00,11.00,13000,0,0
TSB,20170606,10.90,11.00,10.90,10.90,7500,11.00,11.10,11.00,11.00,0,0,0
TSB,20170605,10.90,11.00,10.90,11.00,6000,11.00,11.10,11.00,11.10,0,0,0
TSB,20170602,11.00,11.00,11.00,11.00,3084,11.10,11.10,11.10,11.10,35000,0,0
TSB,20170601,10.90,10.90,10.90,10.90,500,11.00,11.00,11.00,11.00,7000,0,0
TSB,20170531,10.90,10.90,10.90,10.90,8500,11.00,11.00,11.00,11.00,5000,0,0
TSB,20170530,11.20,11.20,10.90,10.90,196500,11.30,11.30,11.00,11.00,0,0,0
TSB,20170529,11.89,12.39,11.20,11.20,4100,12.00,12.50,11.30,11.30,0,0,0
TSB,20170525,11.79,11.89,11.79,11.89,4000,11.90,12.00,11.90,12.00,5000,0,0
TSB,20170522,10.90,10.90,10.90,10.90,104400,11.00,11.00,11.00,11.00,0,0,0
TSB,20170519,10.90,10.90,10.90,10.90,154000,11.00,11.00,11.00,11.00,0,0,0
TSB,20170518,10.90,10.90,10.90,10.90,500,11.00,11.00,11.00,11.00,0,0,0
TSB,20170515,10.90,10.90,10.90,10.90,2000,11.00,11.00,11.00,11.00,10000,0,0
TSB,20170512,10.40,10.40,10.40,10.40,100,10.50,10.50,10.50,10.50,0,0,0
TSB,20170511,10.70,10.90,10.70,10.90,10500,10.80,11.00,10.80,11.00,0,0,0
TSB,20170510,10.90,10.90,10.40,10.40,83000,11.00,11.00,10.50,10.50,0,0,0
