<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TTC,20170627,18.50,18.80,18.50,18.80,2400,18.50,18.80,18.50,18.80,0,0,0
TTC,20170623,18.00,18.80,18.00,18.80,9200,18.00,18.80,18.00,18.80,0,100,0
TTC,20170622,18.10,18.40,18.00,18.40,7100,18.10,18.40,18.00,18.40,0,0,0
TTC,20170621,18.00,18.50,18.00,18.50,36700,18.00,18.50,18.00,18.50,0,0,0
TTC,20170620,18.00,18.50,17.50,18.50,11630,18.00,18.50,17.50,18.50,0,100,500
TTC,20170615,18.80,20.10,18.60,18.60,8141,18.80,20.10,18.60,18.60,0,1100,0
TTC,20170614,18.00,18.60,18.00,18.50,6700,18.00,18.60,18.00,18.50,0,0,0
TTC,20170613,18.70,18.70,18.70,18.70,10,18.70,18.70,18.70,18.70,0,0,0
TTC,20170612,18.00,18.70,18.00,18.70,1500,18.00,18.70,18.00,18.70,0,100,0
TTC,20170609,18.00,18.70,18.00,18.70,2200,18.00,18.70,18.00,18.70,0,100,0
TTC,20170608,18.40,18.80,18.40,18.80,300,18.40,18.80,18.40,18.80,0,300,0
TTC,20170607,18.00,18.30,18.00,18.30,1600,18.00,18.30,18.00,18.30,0,100,0
TTC,20170605,18.00,18.40,18.00,18.40,16400,18.00,18.40,18.00,18.40,0,100,0
TTC,20170531,18.30,18.60,18.30,18.60,250,18.30,18.60,18.30,18.60,0,200,0
TTC,20170529,18.00,18.30,18.00,18.30,3600,18.00,18.30,18.00,18.30,10,100,500
TTC,20170526,18.10,18.10,17.50,18.00,6100,18.10,18.10,17.50,18.00,0,100,0
TTC,20170525,17.30,17.30,17.10,17.10,3700,17.30,17.30,17.10,17.10,0,0,3700
TTC,20170519,18.00,18.40,18.00,18.40,1100,18.00,18.40,18.00,18.40,0,0,0
TTC,20170518,18.00,18.00,18.00,18.00,3600,18.00,18.00,18.00,18.00,0,0,0
TTC,20170517,18.00,18.00,18.00,18.00,220,18.00,18.00,18.00,18.00,0,0,0
TTC,20170516,18.00,18.00,18.00,18.00,2300,18.00,18.00,18.00,18.00,0,0,0
TTC,20170515,18.00,18.00,18.00,18.00,5000,18.00,18.00,18.00,18.00,0,0,0
TTC,20170512,18.00,18.00,18.00,18.00,6400,18.00,18.00,18.00,18.00,0,0,400
TTC,20170511,18.00,18.00,18.00,18.00,2200,18.00,18.00,18.00,18.00,0,0,300
TTC,20170510,18.00,18.10,18.00,18.10,5700,18.00,18.10,18.00,18.10,21,100,0
TTC,20170509,18.00,18.50,18.00,18.50,2622,18.00,18.50,18.00,18.50,0,100,100
TTC,20170508,18.60,18.70,18.60,18.70,300,18.60,18.70,18.60,18.70,0,200,0
TTC,20170505,18.50,18.50,18.50,18.50,300,18.50,18.50,18.50,18.50,0,300,0
TTC,20170504,18.00,18.30,18.00,18.30,200,18.00,18.30,18.00,18.30,0,100,0
TTC,20170503,18.10,18.30,18.10,18.30,5203,18.10,18.30,18.10,18.30,0,100,0
TTC,20170428,18.10,18.50,18.10,18.10,11100,18.10,18.50,18.10,18.10,0,100,0
TTC,20170427,18.50,18.50,18.00,18.10,58400,18.50,18.50,18.00,18.10,0,100,0
TTC,20170426,18.20,18.20,18.20,18.20,2040,18.20,18.20,18.20,18.20,0,0,0
TTC,20170424,18.10,18.80,18.00,18.40,27900,18.10,18.80,18.00,18.40,0,300,0
TTC,20170421,18.00,18.70,18.00,18.70,21900,18.00,18.70,18.00,18.70,0,100,0
TTC,20170420,18.80,18.80,18.80,18.80,100,18.80,18.80,18.80,18.80,187900,0,0
TTC,20170419,19.00,19.00,18.20,18.20,703,19.00,19.00,18.20,18.20,0,100,300
TTC,20170418,18.30,18.80,18.30,18.70,3000,18.30,18.80,18.30,18.70,0,300,0
TTC,20170417,18.80,18.80,18.30,18.30,1500,18.80,18.80,18.30,18.30,0,1100,400
TTC,20170414,18.00,18.80,18.00,18.30,3200,18.00,18.80,18.00,18.30,0,0,0
TTC,20170413,18.80,18.90,18.30,18.30,4700,18.80,18.90,18.30,18.30,0,200,0
TTC,20170412,18.60,18.70,18.40,18.40,9100,18.60,18.70,18.40,18.40,0,200,0
TTC,20170411,19.00,19.00,18.50,19.00,12423,19.00,19.00,18.50,19.00,90,200,12200
TTC,20170410,19.20,19.20,18.10,18.20,23300,19.20,19.20,18.10,18.20,45,300,20000
TTC,20170407,19.10,19.10,18.00,19.10,24600,19.10,19.10,18.00,19.10,0,2400,23200
TTC,20170405,19.00,19.10,19.00,19.10,22625,19.00,19.10,19.00,19.10,0,0,11000
TTC,20170404,19.00,19.20,18.70,19.00,29700,19.00,19.20,18.70,19.00,0,400,20100
TTC,20170403,19.00,19.10,18.40,18.40,3240,19.00,19.10,18.40,18.40,0,0,0
TTC,20170331,19.40,19.40,18.10,19.00,39818,19.40,19.40,18.10,19.00,0,200,20000
TTC,20170330,18.30,19.00,18.20,19.00,7100,18.30,19.00,18.20,19.00,0,200,0
TTC,20170329,18.00,19.20,18.00,19.20,4000,18.00,19.20,18.00,19.20,0,200,1300
TTC,20170328,19.50,19.50,17.90,19.20,25200,19.50,19.50,17.90,19.20,0,200,20000
TTC,20170327,19.40,19.90,18.30,18.50,3700,19.40,19.90,18.30,18.50,73800,500,500
TTC,20170324,18.50,19.30,18.10,19.30,34100,18.50,19.30,18.10,19.30,0,200,20000
TTC,20170323,18.20,18.50,18.20,18.20,880,18.20,18.50,18.20,18.20,0,700,0
TTC,20170322,18.40,18.40,18.00,18.00,7950,18.40,18.40,18.00,18.00,0,200,0
TTC,20170321,18.20,18.20,18.00,18.00,6000,18.20,18.20,18.00,18.00,0,100,0
TTC,20170320,18.00,18.30,18.00,18.00,13900,18.00,18.30,18.00,18.00,0,200,0
TTC,20170317,18.50,18.50,18.00,18.10,10800,18.50,18.50,18.00,18.10,0,400,0
TTC,20170316,18.50,18.50,17.10,18.10,11520,18.50,18.50,17.10,18.10,0,1300,800
TTC,20170315,18.00,18.00,18.00,18.00,11051,18.00,18.00,18.00,18.00,0,1000,300
TTC,20170314,19.00,19.00,17.90,18.50,9600,19.00,19.00,17.90,18.50,0,100,3300
TTC,20170313,18.68,18.68,17.11,17.30,11500,20.30,20.30,18.60,18.80,333800,1000,339200
TTC,20170310,17.48,18.77,16.84,18.77,27201,19.00,20.40,18.30,20.40,0,300,2000
TTC,20170309,17.12,17.30,17.02,17.30,20300,18.60,18.80,18.50,18.80,0,100,0
TTC,20170308,17.39,17.39,17.03,17.30,16400,18.90,18.90,18.50,18.80,0,3600,0
TTC,20170307,17.48,17.48,16.93,17.21,7253,19.00,19.00,18.40,18.70,0,400,0
TTC,20170306,17.48,17.85,16.84,16.93,18170,19.00,19.40,18.30,18.40,0,600,0
TTC,20170303,16.56,16.84,16.56,16.84,4500,18.00,18.30,18.00,18.30,0,200,800
TTC,20170302,16.20,16.48,15.92,16.47,15200,17.60,17.90,17.30,17.90,0,100,15000
TTC,20170301,16.66,16.66,16.66,16.66,1000,18.10,18.10,18.10,18.10,0,0,0
TTC,20170228,17.12,17.49,16.29,16.84,6015,18.60,19.00,17.70,18.30,0,4500,2000
TTC,20170227,17.21,17.21,16.19,16.66,6100,18.70,18.70,17.60,18.10,0,400,1000
TTC,20170224,16.47,16.93,16.29,16.47,20150,17.90,18.40,17.70,17.90,0,3400,0
TTC,20170223,17.49,17.49,16.38,16.38,407,19.00,19.00,17.80,17.80,10,200,0
TTC,20170222,17.67,18.22,16.75,16.75,1800,19.20,19.80,18.20,18.20,0,700,0
TTC,20170221,17.39,18.41,16.47,17.85,4850,18.90,20.00,17.90,19.40,0,1800,4000
TTC,20170220,16.47,17.67,16.47,17.21,16100,17.90,19.20,17.90,18.70,0,6100,4000
TTC,20170217,16.19,16.47,16.19,16.47,1026,17.60,17.90,17.60,17.90,0,300,0
TTC,20170216,16.74,17.30,15.92,16.47,39200,18.20,18.80,17.30,17.90,0,800,0
TTC,20170215,16.38,16.56,16.29,16.56,4100,17.80,18.00,17.70,18.00,0,100,0
TTC,20170214,16.94,16.94,16.11,16.38,5120,18.40,18.40,17.50,17.80,0,300,0
TTC,20170213,17.30,17.30,15.74,16.20,14508,18.80,18.80,17.10,17.60,0,5200,0
TTC,20170210,16.56,16.66,16.56,16.66,200,18.00,18.10,18.00,18.10,0,100,0
TTC,20170209,16.56,16.84,16.56,16.84,9200,18.00,18.30,18.00,18.30,0,100,6800
TTC,20170208,16.84,16.84,16.84,16.84,150,18.30,18.30,18.30,18.30,0,0,0
TTC,20170207,16.57,16.84,16.57,16.84,210,18.00,18.30,18.00,18.30,0,100,0
TTC,20170206,17.85,17.85,16.56,17.12,500,19.40,19.40,18.00,18.60,0,200,0
TTC,20170203,18.22,18.22,17.02,17.02,2002,19.80,19.80,18.50,18.50,0,100,0
