<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TTG,20170210,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
TTG,20170124,8.80,8.80,8.80,8.80,100,8.80,8.80,8.80,8.80,0,0,0
TTG,20170118,7.80,7.80,7.80,7.80,100,7.80,7.80,7.80,7.80,0,0,0
TTG,20170112,6.90,6.90,6.90,6.90,100,6.90,6.90,6.90,6.90,0,0,0
TTG,20161222,6.10,6.10,6.10,6.10,100,6.10,6.10,6.10,6.10,0,0,0
TTG,20161207,7.10,7.10,7.00,7.00,300,7.10,7.10,7.00,7.00,0,0,0
TTG,20161110,6.30,6.30,6.30,6.30,200,6.30,6.30,6.30,6.30,0,0,0
TTG,20161109,7.30,7.30,7.30,7.30,200,7.30,7.30,7.30,7.30,0,0,0
TTG,20161031,6.40,6.40,6.40,6.40,1900,6.40,6.40,6.40,6.40,0,0,0
TTG,20161028,5.60,5.60,5.60,5.60,600,5.60,5.60,5.60,5.60,0,0,0
TTG,20161027,4.90,4.90,4.90,4.90,500,4.90,4.90,4.90,4.90,0,0,0
TTG,20161007,4.30,4.30,4.30,4.30,200,4.30,4.30,4.30,4.30,0,0,0
TTG,20161006,5.00,5.00,5.00,5.00,200,5.00,5.00,5.00,5.00,0,0,0
TTG,20161004,5.80,5.80,5.80,5.80,500,5.80,5.80,5.80,5.80,0,0,0
TTG,20161003,5.10,5.10,5.10,5.10,500,5.10,5.10,5.10,5.10,0,0,0
TTG,20160926,4.50,4.50,4.50,4.50,100,4.50,4.50,4.50,4.50,0,0,0
TTG,20160901,4.00,4.00,4.00,4.00,3000,4.00,4.00,4.00,4.00,0,0,0
TTG,20160831,4.00,4.00,4.00,4.00,4000,4.00,4.00,4.00,4.00,0,0,0
TTG,20160822,4.30,4.30,4.30,4.30,1900,4.30,4.30,4.30,4.30,0,0,0
TTG,20160819,4.90,4.90,4.90,4.90,300,4.90,4.90,4.90,4.90,0,0,0
TTG,20160812,4.30,4.30,4.30,4.30,600,4.30,4.30,4.30,4.30,0,0,0
TTG,20160808,4.05,4.05,4.05,4.05,400,4.20,4.20,4.20,4.20,0,0,0
TTG,20160804,4.43,4.43,4.43,4.44,5400,4.60,4.60,4.60,4.60,0,0,0
TTG,20160803,5.02,5.02,5.02,5.01,200,5.20,5.20,5.20,5.20,0,0,0
TTG,20160802,4.43,4.43,4.34,4.34,2500,4.60,4.60,4.50,4.50,0,0,0
TTG,20160801,5.01,5.01,5.01,5.01,200,5.20,5.20,5.20,5.20,0,0,0
TTG,20160712,5.89,5.89,5.89,5.88,100,6.10,6.10,6.10,6.10,0,0,0
TTG,20160707,5.20,5.20,5.20,5.21,100,5.40,5.40,5.40,5.40,0,0,0
TTG,20160706,4.53,4.53,4.53,4.53,100,4.70,4.70,4.70,4.70,0,0,0
TTG,20160705,3.96,3.96,3.96,3.95,500,4.10,4.10,4.10,4.10,0,0,0
TTG,20160701,4.43,4.43,4.43,4.44,100,4.60,4.60,4.60,4.60,0,0,0
TTG,20160630,3.95,3.95,3.95,3.95,100,4.10,4.10,4.10,4.10,0,0,0
TTG,20160624,3.47,3.47,3.47,3.47,700,3.60,3.60,3.60,3.60,0,0,0
TTG,20160617,4.63,4.63,3.57,3.57,3200,4.80,4.80,3.70,3.70,0,0,0
TTG,20160616,4.05,4.05,4.05,4.05,100,4.20,4.20,4.20,4.20,0,0,0
TTG,20160614,3.57,3.57,3.57,3.57,2500,3.70,3.70,3.70,3.70,0,0,0
TTG,20160610,4.15,4.15,3.86,4.15,4000,4.30,4.30,4.00,4.30,0,0,0
TTG,20160609,4.05,4.05,4.05,4.05,2600,4.20,4.20,4.20,4.20,0,0,0
TTG,20160606,4.53,4.53,4.53,4.53,2000,4.70,4.70,4.70,4.70,0,0,0
TTG,20160603,5.20,5.20,5.20,5.21,100,5.40,5.40,5.40,5.40,0,0,0
TTG,20160602,4.53,4.53,4.53,4.53,500,4.70,4.70,4.70,4.70,0,0,0
TTG,20160530,5.11,5.11,5.11,5.11,500,5.30,5.30,5.30,5.30,0,0,0
TTG,20160524,4.92,4.92,4.92,4.92,2000,5.10,5.10,5.10,5.10,0,0,0
TTG,20160520,4.92,4.92,4.92,4.92,500,5.10,5.10,5.10,5.10,0,0,0
TTG,20160519,5.49,5.49,5.49,5.50,100,5.70,5.70,5.70,5.70,0,0,0
TTG,20160518,4.82,4.82,4.82,4.82,3000,5.00,5.00,5.00,5.00,0,0,0
TTG,20160512,5.59,5.59,5.59,5.59,3000,5.80,5.80,5.80,5.80,0,0,0
TTG,20160510,6.47,6.47,6.47,6.46,2000,6.70,6.70,6.70,6.70,0,0,0
TTG,20160509,7.42,7.42,7.42,7.43,100,7.70,7.70,7.70,7.70,0,0,0
TTG,20160429,8.58,8.58,8.58,8.58,100,8.90,8.90,8.90,8.90,0,0,0
TTG,20160405,9.93,9.93,9.93,9.93,100,10.30,10.30,10.30,10.30,0,0,0
TTG,20160314,8.87,8.87,8.87,8.87,100,9.20,9.20,9.20,9.20,0,0,0
TTG,20160311,10.41,10.41,10.41,10.41,100,10.80,10.80,10.80,10.80,0,0,0
TTG,20160226,9.16,9.16,9.16,9.16,100,9.50,9.50,9.50,9.50,0,0,0
TTG,20160128,9.16,9.16,9.16,9.16,100,9.50,9.50,9.50,9.50,0,0,0
TTG,20160126,10.42,10.42,10.42,10.41,100,10.80,10.80,10.80,10.80,0,0,0
TTG,20160125,11.96,11.96,11.96,11.96,100,12.40,12.40,12.40,12.40,0,0,0
TTG,20160121,13.79,13.79,13.79,13.79,100,14.30,14.30,14.30,14.30,0,0,0
TTG,20160115,15.91,15.91,15.91,15.91,100,16.50,16.50,16.50,16.50,0,0,0
TTG,20160112,18.33,18.33,18.33,18.32,100,19.00,19.00,19.00,19.00,0,0,0
TTG,20151229,21.22,21.22,21.22,21.22,100,22.00,22.00,22.00,22.00,0,0,0
TTG,20151127,21.22,21.22,21.22,21.22,100,22.00,22.00,22.00,22.00,0,0,0
TTG,20151030,21.21,21.21,21.21,21.22,100,22.00,22.00,22.00,22.00,0,0,0
